Date,Open,High,Low,Close,Volume
09-29-1994,5.27,5.36,5.27,5.27,0
09-30-1994,5.27,5.60,5.27,5.60,0
10-03-1994,5.44,5.60,5.44,5.44,0
10-04-1994,5.60,5.60,5.35,5.35,0
10-05-1994,5.27,5.44,5.19,5.31,0
10-06-1994,5.35,5.52,5.27,5.35,0
10-07-1994,5.35,5.68,5.35,5.64,0
10-10-1994,5.69,5.85,5.69,5.85,0
10-11-1994,5.85,6.01,5.76,5.76,0
10-12-1994,5.93,5.93,5.76,5.76,0
10-13-1994,5.77,5.94,5.77,5.94,0
10-14-1994,5.94,5.94,5.77,5.94,0
10-17-1994,5.94,5.94,5.77,5.85,0
10-18-1994,5.94,5.94,5.77,5.94,0
10-19-1994,5.94,5.94,5.77,5.94,0
10-20-1994,5.76,5.93,5.76,5.76,0
10-21-1994,5.94,6.02,5.77,6.02,0
10-24-1994,5.93,6.10,5.93,6.10,0
10-25-1994,5.94,6.35,5.94,6.30,0
10-26-1994,6.35,6.51,6.26,6.26,0
10-27-1994,6.51,6.51,6.26,6.26,0
10-28-1994,6.27,6.51,6.27,6.46,0
10-31-1994,6.26,6.51,6.26,6.47,0
11-01-1994,6.27,6.35,5.61,5.85,0
11-02-1994,5.85,5.85,5.60,5.68,0
11-03-1994,5.94,5.94,5.69,5.94,0
11-04-1994,5.68,5.93,5.68,5.68,0
11-07-1994,5.85,5.85,5.60,5.60,0
11-08-1994,5.60,5.76,5.60,5.76,0
11-09-1994,5.77,5.77,5.60,5.64,0
11-10-1994,5.60,5.76,5.60,5.60,0
11-11-1994,5.77,5.77,5.52,5.52,0
11-14-1994,5.52,5.64,5.52,5.52,0
11-15-1994,5.52,5.68,5.52,5.68,0
11-16-1994,5.68,5.68,5.52,5.64,0
11-17-1994,5.68,5.68,5.52,5.64,0
11-18-1994,5.68,5.68,5.52,5.52,0
11-21-1994,5.52,5.68,5.52,5.52,0
11-22-1994,5.52,5.68,5.52,5.60,0
11-23-1994,5.27,5.52,5.19,5.23,0
11-25-1994,5.11,5.36,5.11,5.11,0
11-28-1994,5.11,5.15,5.11,5.11,0
11-29-1994,5.11,5.28,5.11,5.15,0
11-30-1994,5.35,5.35,5.11,5.35,0
12-01-1994,5.31,5.31,5.31,5.31,0
12-02-1994,5.11,5.19,4.95,5.15,0
12-05-1994,5.19,5.19,4.95,5.07,0
12-06-1994,4.99,5.11,4.95,4.95,0
12-07-1994,4.94,5.11,4.94,5.11,0
12-08-1994,4.95,5.03,4.78,4.78,0
12-09-1994,4.78,5.03,4.70,5.03,0
12-12-1994,5.03,5.03,4.86,5.03,0
12-13-1994,4.86,4.94,4.86,4.88,0
12-14-1994,5.03,5.03,4.86,5.03,0
12-15-1994,5.03,5.03,4.86,4.86,0
12-16-1994,5.03,5.03,4.86,5.03,0
12-19-1994,5.03,5.03,4.86,4.86,0
12-20-1994,4.86,5.03,4.86,5.03,0
12-21-1994,4.86,5.03,4.86,4.95,0
12-22-1994,5.03,5.35,5.03,5.35,0
12-23-1994,5.36,5.36,5.11,5.11,0
12-27-1994,5.11,5.35,5.11,5.35,0
12-28-1994,5.35,5.44,5.19,5.44,0
12-29-1994,5.44,5.44,5.44,5.44,0
12-30-1994,5.27,5.44,5.19,5.40,0
01-03-1995,5.44,5.44,5.19,5.40,0
01-04-1995,5.19,5.40,5.19,5.40,0
01-05-1995,5.19,5.40,5.19,5.40,0
01-06-1995,5.39,5.39,5.19,5.27,0
01-09-1995,5.35,5.35,5.35,5.35,0
01-10-1995,5.35,5.35,5.11,5.35,0
01-11-1995,5.35,5.35,5.11,5.35,0
01-12-1995,5.35,5.52,5.27,5.35,0
01-13-1995,5.52,5.76,5.52,5.72,0
01-16-1995,5.77,6.10,5.73,6.10,0
01-17-1995,6.18,6.35,5.85,5.85,0
01-18-1995,5.94,5.94,5.85,5.94,0
01-19-1995,5.85,5.94,5.85,5.85,0
01-20-1995,5.85,6.06,5.85,6.06,0
01-23-1995,5.85,5.93,5.76,5.76,0
01-24-1995,5.93,5.93,5.76,5.76,0
01-25-1995,5.94,5.94,5.94,5.94,0
01-26-1995,5.76,5.85,5.76,5.76,0
01-27-1995,5.76,5.93,5.76,5.76,0
01-30-1995,5.68,5.84,5.68,5.72,0
01-31-1995,5.60,5.76,5.60,5.60,0
02-01-1995,5.61,5.85,5.61,5.85,0
02-02-1995,5.85,5.85,5.60,5.60,0
02-03-1995,5.85,5.85,5.85,5.85,0
02-06-1995,5.73,5.85,5.60,5.60,0
02-07-1995,5.60,5.60,5.60,5.60,0
02-08-1995,5.61,5.85,5.61,5.85,0
02-09-1995,5.60,5.60,5.60,5.60,0
02-10-1995,5.52,5.60,5.52,5.52,0
02-13-1995,5.77,5.77,5.52,5.52,0
02-14-1995,5.44,5.68,5.44,5.60,0
02-15-1995,5.44,5.44,5.44,5.44,0
02-16-1995,5.60,5.60,5.60,5.60,0
02-17-1995,5.44,5.60,5.35,5.60,0
02-21-1995,5.35,5.52,5.35,5.35,0
02-22-1995,5.35,5.60,5.35,5.44,0
02-23-1995,5.35,5.60,5.35,5.35,0
02-24-1995,5.35,5.60,5.35,5.60,0
02-27-1995,5.48,5.52,5.35,5.52,0
02-28-1995,5.60,5.60,5.60,5.60,0
03-02-1995,5.60,5.60,5.44,5.52,0
03-03-1995,5.36,5.60,5.36,5.40,0
03-06-1995,5.35,5.60,5.35,5.60,0
03-07-1995,5.35,5.60,5.35,5.60,0
03-08-1995,5.35,5.35,5.35,5.35,0
03-09-1995,5.48,5.48,5.44,5.44,0
03-13-1995,5.35,5.35,5.35,5.35,0
03-14-1995,5.60,5.60,5.35,5.48,0
03-15-1995,5.60,5.60,5.35,5.35,0
03-16-1995,5.35,5.44,5.35,5.35,0
03-17-1995,5.35,5.35,5.35,5.35,0
03-20-1995,5.35,5.35,5.35,5.35,0
03-21-1995,5.35,5.44,5.35,5.35,0
03-22-1995,5.35,5.60,5.35,5.60,0
03-23-1995,5.60,5.60,5.35,5.52,0
03-24-1995,5.52,5.52,5.19,5.19,0
03-27-1995,5.19,5.68,5.19,5.68,0
03-28-1995,5.60,5.68,5.35,5.68,0
03-29-1995,5.68,5.68,5.35,5.68,0
03-30-1995,5.68,5.68,5.52,5.68,0
03-31-1995,5.52,5.76,5.52,5.76,0
04-03-1995,5.76,5.76,5.60,5.60,0
04-04-1995,5.60,5.76,5.60,5.60,0
04-05-1995,5.60,5.85,5.60,5.60,0
04-06-1995,5.61,5.85,5.61,5.85,0
04-07-1995,5.85,5.85,5.60,5.60,0
04-10-1995,5.77,5.77,5.52,5.52,0
04-11-1995,5.68,5.68,5.43,5.68,0
04-12-1995,5.68,5.68,5.43,5.68,0
04-13-1995,5.68,5.68,5.44,5.64,0
04-17-1995,5.68,5.68,5.43,5.68,0
04-18-1995,5.43,5.68,5.43,5.68,0
04-19-1995,5.44,5.68,5.44,5.44,0
04-20-1995,5.68,5.68,5.44,5.44,0
04-21-1995,5.44,5.68,5.44,5.53,0
04-24-1995,5.68,5.68,5.44,5.44,0
04-25-1995,5.43,5.68,5.43,5.48,0
04-26-1995,5.52,5.68,5.44,5.52,0
04-27-1995,5.60,5.76,5.52,5.76,0
04-28-1995,5.76,5.76,5.60,5.76,0
05-01-1995,5.60,5.76,5.60,5.60,0
05-02-1995,5.76,5.76,5.60,5.76,0
05-03-1995,5.60,5.76,5.60,5.60,0
05-04-1995,5.60,5.60,5.52,5.52,0
05-05-1995,5.52,5.68,5.52,5.68,0
05-08-1995,5.68,5.68,5.68,5.68,0
05-09-1995,5.52,5.68,5.52,5.68,0
05-10-1995,5.68,5.68,5.52,5.52,0
05-11-1995,5.52,5.68,5.19,5.27,0
05-12-1995,5.02,5.44,4.86,5.44,0
05-15-1995,5.44,5.44,5.11,5.22,0
05-16-1995,5.19,5.44,5.19,5.19,0
05-17-1995,5.19,5.60,5.19,5.35,0
05-18-1995,5.60,5.68,5.35,5.60,0
05-19-1995,5.68,5.76,5.56,5.76,0
05-22-1995,5.77,5.77,5.27,5.27,0
05-23-1995,5.52,5.52,5.27,5.52,0
05-24-1995,5.27,5.52,5.27,5.52,0
05-25-1995,5.36,5.52,5.27,5.27,0
05-26-1995,5.27,5.27,5.27,5.27,0
05-30-1995,5.52,5.52,5.27,5.35,0
05-31-1995,5.27,5.52,5.27,5.35,0
06-01-1995,5.44,5.44,5.03,5.19,0
06-02-1995,5.03,5.19,5.03,5.19,0
06-05-1995,5.19,5.19,5.03,5.19,0
06-06-1995,5.19,5.19,5.03,5.03,0
06-07-1995,5.19,5.19,5.03,5.19,0
06-08-1995,5.19,5.36,5.03,5.19,0
06-09-1995,5.44,5.44,5.07,5.07,0
06-12-1995,5.11,5.19,5.03,5.19,0
06-13-1995,5.19,5.19,5.03,5.19,0
06-14-1995,5.19,5.19,5.03,5.03,0
06-15-1995,5.19,5.19,5.03,5.19,0
06-16-1995,5.27,5.35,5.27,5.35,0
06-19-1995,5.35,5.35,5.11,5.35,0
06-20-1995,5.35,5.60,5.27,5.60,0
06-21-1995,5.61,5.85,5.57,5.85,0
06-22-1995,5.61,6.10,5.61,6.10,0
06-23-1995,5.85,6.10,5.85,5.85,0
06-26-1995,6.10,6.10,5.85,6.10,0
06-27-1995,5.76,6.01,5.76,5.76,0
06-28-1995,5.77,6.02,5.77,6.02,0
06-29-1995,5.68,6.01,5.68,5.68,0
06-30-1995,5.69,6.02,5.69,5.98,0
07-03-1995,6.02,6.02,6.02,6.02,0
07-05-1995,5.68,6.01,5.68,5.68,0
07-06-1995,5.94,6.02,5.77,5.89,0
07-07-1995,6.02,6.02,5.69,5.89,0
07-10-1995,6.01,6.01,5.76,5.76,0
07-11-1995,5.98,6.02,5.69,5.98,0
07-12-1995,5.69,6.02,5.69,5.94,0
07-13-1995,5.68,6.01,5.68,5.72,0
07-14-1995,5.69,6.02,5.69,6.02,0
07-17-1995,6.02,6.02,5.81,6.02,0
07-18-1995,5.98,6.02,5.69,5.94,0
07-19-1995,6.01,6.01,5.68,5.68,0
07-20-1995,5.68,6.01,5.68,5.72,0
07-21-1995,6.01,6.01,5.68,5.99,0
07-24-1995,6.02,6.02,5.69,5.89,0
07-25-1995,6.18,6.18,5.85,6.14,0
07-26-1995,6.18,6.18,5.85,5.85,0
07-27-1995,6.18,6.18,5.85,5.98,0
07-28-1995,6.10,6.18,5.85,5.85,0
07-31-1995,6.18,6.18,5.85,6.18,0
08-01-1995,6.18,6.18,5.93,6.10,0
08-02-1995,6.10,6.18,5.93,6.06,0
08-03-1995,5.94,6.18,5.94,5.94,0
08-04-1995,5.94,6.18,5.94,6.02,0
08-07-1995,6.02,6.18,6.02,6.18,0
08-08-1995,5.93,6.18,5.93,6.18,0
08-09-1995,6.18,6.18,6.18,6.18,0
08-10-1995,6.18,6.18,5.94,5.94,0
08-11-1995,6.18,6.18,5.93,6.18,0
08-14-1995,6.18,6.18,6.02,6.18,0
08-15-1995,5.93,6.18,5.93,6.18,0
08-16-1995,5.93,6.18,5.93,6.18,0
08-17-1995,6.18,6.18,6.18,6.18,0
08-18-1995,6.02,6.18,5.93,6.18,0
08-21-1995,6.26,6.43,6.10,6.43,0
08-22-1995,6.10,6.59,6.10,6.59,0
08-23-1995,6.67,6.84,6.51,6.67,0
08-24-1995,6.51,7.58,6.51,7.42,0
08-25-1995,7.42,7.66,7.42,7.54,0
08-28-1995,7.66,7.66,7.50,7.50,0
08-29-1995,7.50,7.66,7.42,7.54,0
08-30-1995,7.42,7.67,7.42,7.42,0
08-31-1995,7.42,7.67,7.42,7.42,0
09-01-1995,7.42,7.42,7.42,7.42,0
09-05-1995,7.42,7.67,7.42,7.42,0
09-06-1995,7.66,7.66,7.42,7.58,0
09-07-1995,7.42,7.66,7.42,7.66,0
09-08-1995,7.67,7.67,7.42,7.42,0
09-11-1995,7.66,7.66,7.66,7.66,0
09-12-1995,7.66,8.24,7.41,8.15,0
09-13-1995,8.15,8.15,7.91,8.07,0
09-14-1995,8.15,8.15,7.91,8.15,0
09-15-1995,8.16,8.16,7.91,7.91,0
09-18-1995,7.91,7.91,7.91,7.91,0
09-19-1995,8.16,8.16,7.91,7.91,0
09-20-1995,7.91,8.03,7.91,7.91,0
09-21-1995,8.15,8.73,8.07,8.36,0
09-22-1995,8.24,8.48,8.24,8.24,0
09-25-1995,8.24,8.57,8.24,8.24,0
09-26-1995,8.24,8.57,8.24,8.24,0
09-27-1995,8.24,8.57,8.24,8.57,0
09-28-1995,8.57,8.57,8.24,8.24,0
09-29-1995,8.24,8.57,8.24,8.57,0
10-02-1995,8.57,8.57,8.24,8.32,0
10-03-1995,8.24,8.82,8.24,8.82,0
10-04-1995,8.49,8.49,8.41,8.45,0
10-05-1995,8.49,8.74,8.49,8.49,0
10-06-1995,8.74,8.74,8.49,8.74,0
10-09-1995,8.74,8.74,8.49,8.49,0
10-10-1995,8.57,8.57,8.24,8.24,0
10-11-1995,8.40,8.40,8.07,8.40,0
10-12-1995,8.40,8.40,8.07,8.07,0
10-13-1995,8.40,8.40,8.07,8.32,0
10-16-1995,8.40,8.40,8.40,8.40,0
10-17-1995,8.07,8.40,8.07,8.07,0
10-18-1995,8.40,8.40,8.07,8.40,0
10-19-1995,8.49,8.74,8.41,8.74,0
10-20-1995,8.41,8.74,8.41,8.74,0
10-23-1995,8.41,8.74,8.41,8.74,0
10-24-1995,8.74,8.74,8.41,8.74,0
10-25-1995,8.74,8.74,8.49,8.49,0
10-26-1995,8.74,8.74,8.41,8.65,0
10-27-1995,8.41,8.65,8.41,8.65,0
10-30-1995,8.40,8.40,8.40,8.40,0
10-31-1995,8.41,8.65,8.41,8.65,0
11-01-1995,8.53,8.65,8.40,8.40,0
11-02-1995,8.40,8.40,8.40,8.40,0
11-03-1995,8.41,8.57,8.41,8.57,0
11-06-1995,8.41,8.65,8.41,8.65,0
11-07-1995,8.40,8.65,8.40,8.40,0
11-08-1995,8.65,8.65,8.65,8.65,0
11-09-1995,8.65,8.65,8.40,8.40,0
11-10-1995,8.41,8.65,8.41,8.65,0
11-13-1995,8.41,8.65,8.41,8.65,0
11-15-1995,8.65,8.65,8.40,8.40,0
11-16-1995,8.65,8.65,8.40,8.40,0
11-17-1995,8.41,8.65,8.41,8.65,0
11-20-1995,8.41,8.65,8.41,8.45,0
11-21-1995,8.66,8.66,8.41,8.61,0
11-22-1995,8.41,8.65,8.41,8.65,0
11-24-1995,8.65,8.65,8.40,8.40,0
11-27-1995,8.65,8.65,8.41,8.65,0
11-28-1995,8.40,8.53,8.40,8.40,0
11-29-1995,8.41,8.65,8.41,8.57,0
11-30-1995,8.41,8.65,8.41,8.65,0
12-01-1995,8.41,8.65,8.41,8.65,0
12-04-1995,8.65,8.65,8.40,8.40,0
12-05-1995,8.41,8.65,8.41,8.65,0
12-06-1995,8.61,8.65,8.41,8.65,0
12-07-1995,8.40,9.23,8.40,9.06,0
12-08-1995,9.06,9.06,8.90,9.06,0
12-11-1995,9.06,9.47,9.06,9.19,0
12-12-1995,9.31,9.31,9.06,9.06,0
12-13-1995,9.31,9.39,9.23,9.23,0
12-14-1995,9.23,9.39,9.23,9.39,0
12-15-1995,9.23,9.39,9.23,9.39,0
12-18-1995,9.39,9.39,9.06,9.31,0
12-19-1995,9.15,9.15,9.15,9.15,0
12-20-1995,9.15,9.15,9.15,9.15,0
12-21-1995,9.14,9.39,9.14,9.39,0
12-27-1995,9.14,9.39,9.14,9.39,0
12-28-1995,9.14,9.39,9.14,9.39,0
12-29-1995,9.39,9.39,9.39,9.39,0
01-02-1996,9.15,9.15,9.15,9.15,0
01-03-1996,9.31,9.31,9.15,9.15,0
01-04-1996,9.39,9.39,9.14,9.39,0
01-05-1996,9.31,9.39,9.23,9.23,0
01-08-1996,9.27,9.39,9.23,9.39,0
01-09-1996,9.39,9.39,9.06,9.06,0
01-10-1996,9.06,9.31,9.06,9.31,0
01-11-1996,8.90,9.27,8.90,9.06,0
01-12-1996,9.07,9.11,8.57,8.65,0
01-15-1996,8.82,8.82,8.65,8.65,0
01-16-1996,8.65,8.82,8.65,8.82,0
01-17-1996,8.65,8.65,8.65,8.65,0
01-18-1996,8.65,8.65,8.57,8.57,0
01-19-1996,8.82,8.90,8.78,8.82,0
01-22-1996,8.65,8.90,8.65,8.90,0
01-23-1996,8.90,8.90,8.65,8.90,0
01-24-1996,8.90,8.90,8.65,8.65,0
01-25-1996,8.65,8.90,8.65,8.90,0
01-26-1996,8.73,8.90,8.65,8.90,0
01-29-1996,8.90,8.90,8.57,8.57,0
01-30-1996,8.57,8.57,8.57,8.57,0
01-31-1996,8.73,8.90,8.39,8.90,0
02-01-1996,8.90,8.90,8.57,8.90,0
02-02-1996,8.57,8.89,8.32,8.32,0
02-05-1996,8.32,8.57,8.24,8.53,0
02-06-1996,8.24,8.53,8.24,8.36,0
02-07-1996,8.24,8.57,8.24,8.24,0
02-08-1996,8.57,8.57,8.32,8.57,0
02-09-1996,8.57,8.65,8.41,8.65,0
02-12-1996,8.65,8.65,8.49,8.65,0
02-13-1996,8.40,8.53,8.40,8.40,0
02-14-1996,8.66,8.66,8.49,8.49,0
02-15-1996,8.41,8.66,8.41,8.49,0
02-16-1996,8.65,8.74,8.49,8.74,0
02-20-1996,8.74,8.90,8.57,8.65,0
02-21-1996,8.90,9.06,8.65,8.90,0
02-22-1996,9.06,9.23,8.98,9.23,0
02-23-1996,9.23,9.23,8.98,9.23,0
02-26-1996,9.23,9.23,8.98,9.23,0
02-27-1996,9.23,9.23,8.98,9.15,0
02-28-1996,9.10,9.39,9.06,9.39,0
02-29-1996,9.06,9.31,9.06,9.31,0
03-01-1996,9.31,9.31,9.23,9.31,0
03-04-1996,9.31,9.31,9.06,9.31,0
03-05-1996,9.31,9.31,9.06,9.31,0
03-06-1996,9.31,9.31,9.31,9.31,0
03-07-1996,9.10,9.31,9.10,9.31,0
03-08-1996,9.06,9.31,9.06,9.31,0
03-11-1996,9.14,9.31,9.06,9.31,0
03-12-1996,9.31,9.31,9.06,9.06,0
03-13-1996,9.15,9.19,9.06,9.06,0
03-14-1996,9.23,9.23,9.06,9.06,0
03-15-1996,9.06,9.39,9.06,9.39,0
03-18-1996,9.15,9.39,9.15,9.15,0
03-19-1996,9.39,9.47,9.35,9.47,0
03-20-1996,9.47,9.47,9.47,9.47,0
03-22-1996,9.47,9.47,9.23,9.47,0
03-25-1996,9.47,9.47,9.23,9.47,0
03-26-1996,9.47,9.47,9.23,9.47,0
03-27-1996,9.23,9.47,9.23,9.47,0
03-28-1996,9.23,9.47,9.23,9.47,0
03-29-1996,9.23,9.47,9.23,9.47,0
04-01-1996,9.23,9.47,9.23,9.23,0
04-02-1996,9.23,9.47,9.23,9.47,0
