Date,Open,High,Low,Close,Volume
11-17-1994,6.00,6.07,6.00,6.07,26447
11-18-1994,6.00,6.00,5.86,5.86,6333
11-21-1994,5.93,5.93,5.59,5.59,46200
11-22-1994,5.59,5.66,5.59,5.66,14486
11-23-1994,5.66,5.73,5.66,5.73,61603
11-25-1994,5.79,5.79,5.79,5.79,10864
11-28-1994,5.79,5.79,5.79,5.79,7239
11-29-1994,5.79,5.93,5.79,5.93,14307
11-30-1994,6.00,6.21,6.00,6.14,88241
12-01-1994,6.07,6.07,6.00,6.00,16299
12-02-1994,5.93,6.14,5.93,6.07,252960
12-05-1994,6.07,6.07,5.93,5.93,26083
12-06-1994,5.86,5.86,5.79,5.86,22645
12-07-1994,5.66,5.79,5.66,5.73,198416
12-08-1994,5.66,5.66,5.66,5.66,174
12-09-1994,5.52,5.66,5.52,5.52,150758
12-12-1994,5.59,5.59,5.52,5.59,102010
12-13-1994,5.59,5.66,5.52,5.66,208382
12-14-1994,5.59,5.66,5.59,5.66,110165
12-15-1994,5.66,5.79,5.66,5.79,52542
12-16-1994,5.73,6.00,5.73,5.86,94219
12-19-1994,5.86,5.86,5.86,5.86,46200
12-20-1994,5.73,5.73,5.66,5.66,14486
12-21-1994,5.52,5.52,4.97,5.38,194247
12-22-1994,5.04,5.31,4.90,5.24,385424
12-23-1994,5.31,5.52,5.31,5.45,36234
12-27-1994,5.31,5.31,5.04,5.04,127744
12-28-1994,5.04,5.04,4.90,4.97,60151
12-29-1994,5.10,5.17,4.83,5.10,164893
12-30-1994,5.17,5.24,5.17,5.17,5428
01-03-1995,5.10,5.10,4.97,5.10,93133
01-04-1995,5.10,5.17,4.83,4.97,88603
01-05-1995,4.90,4.97,4.83,4.83,89148
01-06-1995,4.90,4.90,4.83,4.83,127380
01-09-1995,4.83,4.83,4.69,4.69,125391
01-10-1995,4.55,4.55,4.14,4.21,182288
01-11-1995,4.28,4.41,4.00,4.41,449212
01-12-1995,4.55,5.04,4.55,4.83,335413
01-13-1995,4.90,4.97,4.76,4.90,90234
01-16-1995,4.83,4.90,4.76,4.90,36415
01-17-1995,4.90,4.97,4.83,4.97,131550
01-18-1995,4.97,4.97,4.83,4.90,57071
01-19-1995,4.48,4.62,4.48,4.55,59790
01-20-1995,4.55,4.62,4.55,4.62,35689
01-23-1995,4.62,4.62,4.55,4.55,36234
01-24-1995,4.62,4.76,4.62,4.69,71751
01-25-1995,4.69,4.76,4.69,4.76,4523
01-26-1995,4.83,4.83,4.83,4.83,36777
01-27-1995,4.83,4.83,4.62,4.62,84252
01-30-1995,4.55,4.55,4.41,4.41,107449
01-31-1995,4.55,4.62,4.41,4.55,99474
02-01-1995,4.83,4.83,4.76,4.83,29890
02-02-1995,4.76,4.83,4.69,4.83,73744
02-03-1995,4.90,5.10,4.83,5.10,660684
02-06-1995,4.97,4.97,4.90,4.90,89148
02-07-1995,4.97,4.97,4.90,4.90,84252
02-08-1995,4.83,4.83,4.62,4.69,162537
02-09-1995,4.69,4.69,4.41,4.41,154201
02-10-1995,4.62,4.62,4.28,4.35,160183
02-13-1995,4.35,4.41,4.21,4.35,129737
02-14-1995,4.41,4.41,4.14,4.28,292643
02-15-1995,4.21,4.28,4.14,4.21,206933
02-16-1995,4.21,4.21,4.07,4.21,95672
02-17-1995,4.41,4.83,4.41,4.83,191530
02-21-1995,4.83,4.83,4.55,4.62,77367
02-22-1995,4.55,4.55,4.41,4.55,210376
02-23-1995,4.69,4.69,4.62,4.62,98026
02-24-1995,4.62,4.76,4.55,4.69,229584
02-27-1995,4.69,4.69,4.62,4.62,78635
02-28-1995,4.69,4.83,4.69,4.76,629152
03-01-1995,4.83,4.83,4.41,4.48,104910
03-02-1995,4.55,4.55,3.93,4.00,329974
03-03-1995,4.07,4.28,3.59,3.86,528582
03-06-1995,4.00,4.14,4.00,4.00,178845
03-07-1995,4.00,4.00,3.72,3.79,524593
03-08-1995,3.86,3.86,3.72,3.86,335773
03-09-1995,4.14,4.14,3.79,4.00,457004
03-10-1995,4.21,4.28,4.14,4.21,463345
03-13-1995,4.28,4.62,4.28,4.62,248791
03-14-1995,4.69,5.04,4.69,4.90,307143
03-15-1995,4.55,4.76,4.55,4.62,123214
03-16-1995,4.62,4.83,4.62,4.83,90778
