Date,Open,High,Low,Close,Volume
03-03-1992,4.86,4.86,4.86,4.86,0
03-04-1992,4.45,4.45,4.45,4.45,0
03-05-1992,4.45,4.45,4.45,4.45,0
03-06-1992,4.31,4.52,4.31,4.52,0
03-09-1992,4.52,4.52,4.52,4.52,0
03-10-1992,4.52,4.52,4.52,4.52,0
03-11-1992,4.65,4.65,4.65,4.65,0
03-12-1992,4.65,4.65,4.65,4.65,0
03-13-1992,4.65,4.65,4.65,4.65,0
03-16-1992,4.65,4.65,4.65,4.65,0
03-17-1992,4.86,4.86,4.86,4.86,0
03-18-1992,4.85,4.99,4.85,4.99,0
03-19-1992,4.99,4.99,4.99,4.99,0
03-20-1992,4.99,4.99,4.99,4.99,0
03-23-1992,4.99,4.99,4.99,4.99,0
03-24-1992,4.99,4.99,4.99,4.99,0
03-25-1992,4.99,4.99,4.99,4.99,0
03-26-1992,4.99,4.99,4.99,4.99,0
03-27-1992,4.99,4.99,4.99,4.99,0
03-30-1992,4.99,4.99,4.99,4.99,0
03-31-1992,4.59,4.59,4.59,4.59,0
04-01-1992,4.72,4.72,4.72,4.72,0
04-02-1992,4.72,4.72,4.72,4.72,0
04-03-1992,4.72,4.72,4.72,4.72,0
04-06-1992,4.72,4.72,4.72,4.72,0
04-07-1992,4.72,4.72,4.72,4.72,0
04-08-1992,4.72,4.72,4.72,4.72,0
04-09-1992,4.59,4.59,4.59,4.59,0
04-10-1992,4.79,4.79,4.79,4.79,0
04-13-1992,4.79,4.79,4.79,4.79,0
04-14-1992,4.79,4.79,4.79,4.79,0
04-15-1992,4.99,4.99,4.79,4.79,0
04-16-1992,4.79,4.79,4.79,4.79,0
04-20-1992,4.79,4.79,4.79,4.79,0
04-21-1992,4.79,4.79,4.79,4.79,0
04-22-1992,4.79,4.79,4.79,4.79,0
04-23-1992,4.79,4.79,4.79,4.79,0
04-24-1992,4.79,4.79,4.79,4.79,0
04-27-1992,4.79,4.79,4.79,4.79,0
04-28-1992,4.79,4.79,4.79,4.79,0
04-29-1992,4.79,4.79,4.79,4.79,0
04-30-1992,4.79,4.79,4.79,4.79,0
05-01-1992,5.46,5.46,5.46,5.46,0
05-04-1992,5.46,5.46,5.46,5.46,0
05-05-1992,5.46,5.46,5.46,5.46,0
05-06-1992,5.46,5.46,5.46,5.46,0
05-07-1992,5.46,5.46,5.46,5.46,0
05-08-1992,5.46,5.46,5.46,5.46,0
05-11-1992,5.46,5.46,5.46,5.46,0
05-12-1992,5.46,5.46,5.46,5.46,0
05-13-1992,5.46,5.46,5.46,5.46,0
05-14-1992,4.72,4.72,4.72,4.72,0
05-15-1992,4.72,4.72,4.72,4.72,0
05-18-1992,4.72,4.72,4.72,4.72,0
05-19-1992,4.99,4.99,4.99,4.99,0
05-20-1992,4.99,4.99,4.99,4.99,0
05-21-1992,4.99,4.99,4.99,4.99,0
05-22-1992,4.99,4.99,4.99,4.99,0
05-26-1992,4.99,4.99,4.99,4.99,0
05-27-1992,4.99,4.99,4.99,4.99,0
05-28-1992,4.99,4.99,4.99,4.99,0
05-29-1992,4.92,4.92,4.92,4.92,0
06-01-1992,4.92,4.92,4.86,4.86,0
06-02-1992,4.86,4.86,4.86,4.86,0
06-03-1992,4.86,4.86,4.86,4.86,0
06-04-1992,4.86,4.86,4.86,4.86,0
06-05-1992,4.79,5.06,4.79,5.06,0
06-08-1992,5.06,5.06,4.94,5.06,0
06-09-1992,5.06,5.06,5.06,5.06,0
06-10-1992,5.13,5.13,5.13,5.13,0
06-11-1992,5.13,5.13,5.13,5.13,0
06-12-1992,5.13,5.13,5.13,5.13,0
06-15-1992,5.13,5.13,5.13,5.13,0
06-16-1992,5.13,5.13,5.13,5.13,0
06-17-1992,5.13,5.13,5.13,5.13,0
06-18-1992,4.86,5.13,4.86,5.13,0
06-19-1992,5.13,5.13,5.13,5.13,0
06-22-1992,4.99,4.99,4.99,4.99,0
06-23-1992,4.99,4.99,4.99,4.99,0
06-24-1992,4.99,4.99,4.99,4.99,0
06-25-1992,5.13,5.13,5.13,5.13,0
06-26-1992,5.13,5.13,5.13,5.13,0
06-29-1992,5.13,5.13,5.13,5.13,0
06-30-1992,5.13,5.13,5.13,5.13,0
07-01-1992,5.12,5.12,4.99,4.99,0
07-02-1992,5.13,5.13,4.86,4.86,0
07-06-1992,4.86,4.86,4.86,4.86,0
07-07-1992,5.12,5.12,4.99,4.99,0
07-08-1992,4.99,4.99,4.99,4.99,0
07-09-1992,5.26,5.26,4.99,4.99,0
07-10-1992,5.26,5.33,5.16,5.33,0
07-13-1992,5.36,5.36,5.36,5.36,0
07-14-1992,5.36,5.42,5.19,5.19,0
07-15-1992,5.19,5.19,5.19,5.19,0
07-16-1992,5.33,5.36,5.26,5.36,0
07-17-1992,5.36,5.36,5.36,5.36,0
07-20-1992,5.26,5.26,5.26,5.26,0
07-21-1992,5.19,5.19,5.19,5.19,0
07-22-1992,5.19,5.32,5.19,5.19,0
07-23-1992,5.19,5.19,5.19,5.19,0
07-24-1992,5.19,5.19,5.19,5.19,0
07-27-1992,5.19,5.19,5.19,5.19,0
07-28-1992,5.19,5.19,5.19,5.19,0
07-29-1992,5.19,5.19,5.19,5.19,0
07-30-1992,5.19,5.19,5.19,5.19,0
07-31-1992,5.19,5.19,5.19,5.19,0
08-03-1992,5.19,5.19,5.19,5.19,0
08-04-1992,5.19,5.19,5.19,5.19,0
08-05-1992,5.19,5.19,5.19,5.19,0
08-06-1992,5.19,5.19,5.19,5.19,0
08-07-1992,5.19,5.19,5.19,5.19,0
08-10-1992,5.19,5.19,5.19,5.19,0
08-11-1992,5.19,5.19,5.19,5.19,0
08-12-1992,5.19,5.19,5.19,5.19,0
08-13-1992,5.19,5.33,5.19,5.33,0
08-14-1992,5.33,5.33,5.33,5.33,0
08-17-1992,5.19,5.19,5.19,5.19,0
08-18-1992,5.19,5.19,5.19,5.19,0
08-19-1992,5.26,5.26,5.26,5.26,0
08-20-1992,5.26,5.26,5.26,5.26,0
08-21-1992,5.33,5.33,5.33,5.33,0
08-24-1992,5.33,5.33,5.33,5.33,0
08-25-1992,5.33,5.33,5.33,5.33,0
08-26-1992,5.33,5.33,5.33,5.33,0
08-27-1992,5.33,5.33,5.33,5.33,0
08-28-1992,5.33,5.33,5.33,5.33,0
08-31-1992,5.33,5.33,5.33,5.33,0
09-01-1992,5.33,5.33,5.33,5.33,0
09-02-1992,5.33,5.33,5.33,5.33,0
09-03-1992,5.33,5.33,5.33,5.33,0
09-04-1992,5.33,5.33,5.33,5.33,0
09-08-1992,5.33,5.33,5.33,5.33,0
09-09-1992,4.88,4.95,4.88,4.88,0
09-10-1992,4.88,4.88,4.88,4.88,0
09-11-1992,4.88,4.88,4.88,4.88,0
09-14-1992,4.88,4.88,4.88,4.88,0
09-15-1992,4.88,4.88,4.88,4.88,0
09-16-1992,4.88,4.88,4.88,4.88,0
09-17-1992,4.88,4.88,4.88,4.88,0
09-18-1992,4.88,4.88,4.88,4.88,0
09-21-1992,4.88,4.88,4.88,4.88,0
09-22-1992,4.88,4.88,4.88,4.88,0
09-23-1992,4.88,4.88,4.88,4.88,0
09-24-1992,5.26,5.36,5.26,5.36,0
09-25-1992,5.26,5.36,5.26,5.36,0
09-28-1992,5.36,5.36,5.36,5.36,0
09-29-1992,5.36,5.36,5.36,5.36,0
09-30-1992,5.36,5.36,5.36,5.36,0
10-01-1992,5.36,5.36,5.36,5.36,0
10-02-1992,5.36,5.36,5.36,5.36,0
10-05-1992,5.19,5.19,5.19,5.19,0
10-06-1992,5.19,5.19,5.19,5.19,0
10-07-1992,5.19,5.19,5.19,5.19,0
10-08-1992,5.19,5.19,5.19,5.19,0
10-09-1992,5.19,5.19,5.19,5.19,0
10-12-1992,5.19,5.19,5.19,5.19,0
10-13-1992,5.13,5.13,5.13,5.13,0
10-14-1992,5.13,5.13,5.13,5.13,0
10-15-1992,5.13,5.13,5.13,5.13,0
10-16-1992,5.13,5.13,5.13,5.13,0
10-19-1992,5.13,5.13,5.13,5.13,0
10-20-1992,5.13,5.26,5.13,5.13,0
10-21-1992,5.13,5.13,5.13,5.13,0
10-22-1992,5.13,5.13,5.13,5.13,0
10-23-1992,5.13,5.13,5.13,5.13,0
10-26-1992,5.26,5.26,5.26,5.26,0
10-27-1992,5.26,5.26,5.26,5.26,0
10-28-1992,5.19,5.19,5.19,5.19,0
10-29-1992,5.19,5.19,5.19,5.19,0
10-30-1992,5.19,5.19,5.19,5.19,0
11-02-1992,5.19,5.19,5.19,5.19,0
11-03-1992,5.19,5.19,5.19,5.19,0
