Date,Open,High,Low,Close,Volume
11-21-2003,3.15,3.19,3.07,3.14,5467728
11-24-2003,3.16,3.34,3.16,3.28,697968
11-25-2003,3.24,3.27,3.20,3.22,415590
11-26-2003,3.26,3.26,3.19,3.19,779124
11-28-2003,3.22,3.22,3.17,3.19,585637
12-01-2003,3.22,3.30,3.21,3.24,751650
12-02-2003,3.25,3.25,3.20,3.23,307645
12-03-2003,3.24,3.24,3.17,3.22,372194
12-04-2003,3.23,3.23,3.20,3.23,379029
12-05-2003,3.23,3.23,3.20,3.21,290953
12-08-2003,3.20,3.20,3.17,3.17,201507
12-09-2003,3.20,3.20,3.15,3.15,134716
12-10-2003,3.16,3.17,3.11,3.12,292997
12-11-2003,3.13,3.14,3.11,3.12,420393
12-12-2003,3.17,3.17,3.09,3.14,309743
12-15-2003,3.16,3.16,3.11,3.14,220408
12-16-2003,3.14,3.16,3.12,3.14,793981
12-17-2003,3.14,3.15,3.10,3.14,163369
12-18-2003,3.14,3.14,3.03,3.12,491931
12-19-2003,3.10,3.14,3.10,3.12,119536
12-22-2003,3.14,3.15,3.08,3.15,90137
12-23-2003,3.13,3.15,3.13,3.15,91289
12-24-2003,3.10,3.16,3.05,3.16,48024
12-26-2003,3.15,3.17,3.13,3.15,92994
12-29-2003,3.15,3.22,3.11,3.22,182270
12-30-2003,3.22,3.22,3.14,3.14,254549
12-31-2003,3.19,3.26,3.16,3.26,325036
01-02-2004,3.26,3.27,3.14,3.14,223816
01-05-2004,3.24,3.24,3.11,3.12,325025
01-06-2004,3.13,3.23,3.12,3.19,272110
01-07-2004,3.23,3.24,3.17,3.22,116311
01-08-2004,3.22,3.26,3.20,3.22,344362
01-09-2004,3.26,3.42,3.21,3.22,712921
01-12-2004,3.30,3.37,3.21,3.34,383976
01-13-2004,3.33,3.34,3.29,3.33,151989
01-14-2004,3.34,3.39,3.26,3.36,272027
01-15-2004,3.34,3.42,3.33,3.39,433430
01-16-2004,3.41,3.53,3.38,3.51,470873
01-20-2004,3.53,3.53,3.42,3.46,188509
01-21-2004,3.41,3.51,3.41,3.45,405657
01-22-2004,3.46,3.46,3.35,3.41,252273
01-23-2004,3.41,3.41,3.24,3.35,279142
01-26-2004,3.35,3.41,3.26,3.29,350534
01-27-2004,3.36,3.37,3.30,3.36,504954
01-28-2004,3.36,3.39,3.21,3.29,568846
01-29-2004,3.22,3.40,3.17,3.37,311266
01-30-2004,3.38,3.41,3.31,3.39,106114
02-02-2004,3.39,3.39,3.25,3.30,290201
02-03-2004,3.48,3.48,3.22,3.26,385774
02-04-2004,3.25,3.28,3.17,3.23,181172
02-05-2004,3.23,3.23,3.17,3.21,197180
02-06-2004,3.22,3.22,3.16,3.21,198710
02-09-2004,3.21,3.21,3.14,3.17,197967
02-10-2004,3.15,3.19,3.12,3.18,192024
02-11-2004,3.19,3.21,3.13,3.13,165290
02-12-2004,3.14,3.20,3.13,3.13,295240
02-13-2004,3.14,3.15,3.13,3.14,467610
02-17-2004,3.14,3.14,3.10,3.11,197872
02-18-2004,3.11,3.18,3.10,3.15,1400161
02-19-2004,3.15,3.18,3.13,3.15,151356
02-20-2004,3.15,3.21,3.14,3.19,352345
02-23-2004,3.19,3.21,3.14,3.19,223630
02-24-2004,3.21,3.21,3.14,3.15,207196
02-25-2004,3.16,3.21,3.16,3.19,213714
02-26-2004,3.21,3.21,3.16,3.20,204750
02-27-2004,3.16,3.21,3.15,3.15,239212
03-01-2004,3.19,3.21,3.14,3.14,63944
03-02-2004,3.14,3.20,3.14,3.17,230980
03-03-2004,3.18,3.18,3.10,3.14,265363
03-04-2004,3.14,3.16,3.14,3.14,284112
03-05-2004,3.14,3.17,3.12,3.12,763939
03-08-2004,3.17,3.17,3.14,3.14,53402
03-09-2004,3.15,3.16,3.12,3.12,94143
03-10-2004,3.15,3.15,3.00,3.06,879987
03-11-2004,3.06,3.10,3.05,3.05,91887
03-12-2004,3.05,3.16,3.04,3.13,196692
03-15-2004,3.08,3.13,3.08,3.11,82006
03-16-2004,3.13,3.15,3.07,3.07,259882
03-17-2004,3.07,3.09,3.05,3.05,106195
03-18-2004,3.05,3.08,2.94,2.95,411504
03-19-2004,2.99,3.00,2.94,2.96,495644
03-22-2004,2.94,2.98,2.87,2.95,416930
03-23-2004,2.95,2.96,2.89,2.90,385343
03-24-2004,2.93,2.93,2.92,2.93,200395
03-25-2004,2.93,2.95,2.91,2.94,319225
03-26-2004,2.95,3.03,2.94,2.97,77119
03-29-2004,2.98,3.03,2.98,3.01,105157
03-30-2004,3.01,3.10,3.00,3.05,149570
03-31-2004,3.05,3.06,2.95,3.06,308007
04-01-2004,3.06,3.17,3.05,3.15,257730
04-02-2004,3.20,3.21,3.08,3.15,137609
04-05-2004,3.12,3.17,3.10,3.11,157963
04-06-2004,3.19,3.19,2.96,3.10,160799
04-07-2004,3.22,3.22,3.01,3.14,187734
04-08-2004,3.09,3.14,3.07,3.14,141528
04-12-2004,3.10,3.14,3.10,3.14,131812
04-13-2004,3.15,3.15,2.92,3.03,341778
04-14-2004,2.97,3.01,2.90,3.01,181837
04-15-2004,3.03,3.06,3.02,3.02,84977
04-16-2004,2.93,3.04,2.89,3.03,44880
04-19-2004,3.04,3.04,2.94,3.04,66855
04-20-2004,3.03,3.06,2.95,2.99,80031
04-21-2004,3.04,3.09,2.98,2.99,92807
04-22-2004,2.86,3.04,2.86,3.03,108189
04-23-2004,2.99,3.11,2.94,3.01,117427
04-26-2004,2.99,3.00,2.99,2.99,59815
04-27-2004,2.98,3.02,2.91,2.97,286419
04-28-2004,2.94,2.96,2.92,2.94,188492
04-29-2004,2.92,2.98,2.87,2.88,82555
04-30-2004,2.88,2.99,2.88,2.97,107757
05-03-2004,2.85,3.00,2.64,2.93,596992
05-04-2004,2.94,2.99,2.92,2.95,108156
05-05-2004,2.97,2.97,2.93,2.96,42201
05-06-2004,2.95,2.98,2.93,2.98,61990
05-07-2004,2.93,2.94,2.91,2.93,63051
05-10-2004,2.91,2.95,2.88,2.94,68103
05-11-2004,2.91,3.01,2.91,2.95,65135
05-12-2004,2.87,2.96,2.85,2.96,60337
05-13-2004,2.99,2.99,2.92,2.94,27111
05-14-2004,2.94,3.06,2.89,3.00,64559
05-17-2004,2.95,2.95,2.85,2.89,26005
05-18-2004,2.91,2.96,2.87,2.89,40516
05-19-2004,2.93,2.96,2.86,2.93,51955
05-20-2004,2.93,2.98,2.93,2.93,38123
05-21-2004,2.92,2.93,2.92,2.93,9038
05-24-2004,2.89,2.97,2.89,2.93,100819
05-25-2004,2.93,2.98,2.86,2.93,172034
05-26-2004,2.85,2.99,2.85,2.97,37153
05-27-2004,2.96,2.98,2.92,2.92,24603
05-28-2004,2.91,2.95,2.91,2.95,11735
06-01-2004,2.93,3.02,2.93,3.02,87667
06-02-2004,3.02,3.02,2.94,2.96,125612
06-03-2004,2.96,3.03,2.93,2.95,74724
06-04-2004,2.93,3.00,2.89,2.95,116114
06-07-2004,2.92,2.92,2.81,2.90,28331
06-08-2004,2.93,2.95,2.84,2.93,67656
06-09-2004,2.94,3.02,2.91,3.00,204042
06-10-2004,3.02,3.02,2.97,2.99,44575
06-14-2004,3.01,3.06,2.97,2.99,176561
06-15-2004,3.04,3.04,2.91,2.97,97675
06-16-2004,3.00,3.04,2.99,3.00,24762
06-17-2004,2.99,2.99,2.91,2.91,262364
06-18-2004,2.93,2.93,2.81,2.86,81555
06-21-2004,2.84,2.84,2.77,2.80,245060
06-22-2004,2.83,2.92,2.80,2.89,112954
06-23-2004,2.91,2.93,2.82,2.90,200249
06-24-2004,2.86,2.86,2.66,2.77,432355
06-25-2004,2.76,2.82,2.73,2.76,46195
06-28-2004,2.80,2.80,2.76,2.76,266410
06-29-2004,2.76,2.78,2.72,2.72,111841
06-30-2004,2.73,2.85,2.73,2.83,188734
07-01-2004,2.83,2.85,2.75,2.81,104723
07-02-2004,2.78,2.78,2.75,2.76,106022
