Date,Open,High,Low,Close,Volume
05-21-2014,18.47,18.69,16.47,18.55,1945654
05-22-2014,18.38,19.46,18.38,19.27,1188551
05-23-2014,19.13,19.75,19.03,19.13,703114
05-27-2014,19.13,19.31,19.04,19.13,1298944
05-28-2014,19.00,19.44,19.00,19.13,2019505
05-29-2014,19.56,19.56,18.91,19.13,4228053
05-30-2014,19.12,19.50,19.01,19.13,563821
06-02-2014,19.39,19.56,19.13,19.31,440245
06-03-2014,19.43,20.72,19.43,20.20,797740
06-04-2014,20.47,21.06,19.79,20.74,1456476
06-05-2014,21.11,21.27,20.67,20.78,442254
06-06-2014,20.91,21.10,19.80,20.90,22548796
06-09-2014,20.55,20.91,19.49,20.74,15721811
06-10-2014,20.32,20.63,19.69,20.20,9376285
06-11-2014,19.77,20.42,19.77,20.27,5232364
06-12-2014,20.38,20.47,19.81,20.07,7636798
06-13-2014,19.64,20.71,19.45,20.60,18669548
06-16-2014,20.35,20.90,19.88,20.64,7225082
06-17-2014,20.47,20.69,20.26,20.30,4144315
06-18-2014,20.30,20.49,20.02,20.44,5385128
06-19-2014,20.39,20.82,20.32,20.73,3719483
06-20-2014,20.75,20.82,20.25,20.52,4729362
06-23-2014,20.41,20.95,20.39,20.80,2890420
06-24-2014,20.31,21.58,20.31,21.51,4014919
06-25-2014,21.18,22.15,21.18,21.74,3134805
06-26-2014,21.63,21.82,21.51,21.71,3281756
06-27-2014,21.58,21.88,21.47,21.58,12132797
06-30-2014,21.38,21.68,21.37,21.55,3972255
07-01-2014,21.48,21.61,21.44,21.52,2578138
07-02-2014,21.45,21.82,21.30,21.76,1804489
07-03-2014,21.76,21.84,21.61,21.79,456820
07-07-2014,21.64,21.89,21.57,21.79,1458072
07-08-2014,21.68,21.89,21.63,21.87,3189706
07-09-2014,21.90,22.33,21.71,22.16,3393609
07-10-2014,21.95,22.34,21.83,22.27,2413425
07-11-2014,22.21,22.39,22.17,22.38,1049793
07-14-2014,22.50,22.66,22.38,22.47,1152926
07-15-2014,22.37,22.68,22.12,22.59,1409657
07-16-2014,22.63,22.78,22.35,22.68,1461024
07-17-2014,22.56,22.92,22.32,22.35,1624084
07-18-2014,22.30,22.82,22.26,22.80,1268442
07-21-2014,22.70,22.82,22.47,22.78,784184
07-22-2014,22.79,22.99,22.47,22.50,1620636
07-23-2014,22.50,22.51,21.78,21.86,2015247
07-24-2014,21.79,21.88,21.60,21.71,1607464
07-25-2014,21.54,21.89,21.11,21.36,1995611
07-28-2014,21.46,21.92,21.33,21.77,1395278
07-29-2014,21.72,21.98,21.59,21.70,2076719
07-30-2014,21.83,22.15,21.74,21.87,1226772
07-31-2014,21.63,21.94,21.37,21.45,1554718
08-01-2014,21.43,21.50,21.17,21.38,2038184
08-04-2014,21.32,21.76,21.27,21.63,1042809
08-05-2014,21.98,22.47,21.30,21.69,1331896
08-06-2014,21.51,21.79,20.85,21.05,904219
08-07-2014,21.14,21.24,20.91,21.11,933966
08-08-2014,21.04,21.24,20.84,21.03,480530
08-11-2014,21.05,21.32,20.83,20.99,696000
08-12-2014,20.90,21.13,20.46,20.66,543989
08-13-2014,20.67,20.78,20.38,20.55,495133
08-14-2014,20.44,20.77,20.33,20.77,359112
08-15-2014,20.99,21.40,20.83,21.20,733902
08-18-2014,21.40,22.06,21.32,21.89,812899
08-19-2014,21.87,21.93,21.49,21.54,493897
08-20-2014,21.40,21.44,21.14,21.25,386708
08-21-2014,21.23,21.43,21.06,21.29,543420
08-22-2014,21.28,21.41,21.19,21.29,324548
08-25-2014,21.37,21.37,20.92,21.10,395826
08-26-2014,21.08,21.38,20.97,21.35,378027
08-27-2014,21.31,21.38,21.07,21.17,330734
08-28-2014,21.14,21.17,20.92,20.98,443671
08-29-2014,20.98,20.98,20.76,20.90,754019
09-02-2014,21.03,21.60,20.81,21.35,867072
09-03-2014,21.36,21.46,20.95,21.08,833534
09-04-2014,21.14,21.33,20.82,20.91,944298
09-05-2014,20.85,21.39,20.69,21.16,781638
09-08-2014,21.09,21.14,20.60,20.95,1049079
09-09-2014,20.87,21.05,20.63,21.03,569104
09-10-2014,20.97,21.21,20.79,21.18,451562
09-11-2014,21.19,21.58,20.89,21.44,995650
09-12-2014,21.32,21.46,21.00,21.19,560653
09-15-2014,21.22,21.32,20.90,21.23,631767
09-16-2014,21.15,21.48,20.99,21.13,746194
09-17-2014,21.11,21.42,20.97,21.28,561490
09-18-2014,21.38,21.72,21.22,21.35,695328
09-19-2014,21.40,21.95,21.11,21.15,2921709
09-22-2014,21.03,21.27,20.79,20.95,1298331
09-23-2014,20.83,20.98,20.72,20.78,1265987
09-24-2014,20.78,20.90,20.56,20.70,1121219
09-25-2014,20.62,20.65,20.01,20.10,906754
09-26-2014,20.09,20.43,19.96,20.39,631590
09-29-2014,20.14,20.93,20.10,20.90,1010089
09-30-2014,20.82,21.12,20.68,20.85,1198861
10-01-2014,20.83,20.83,20.40,20.63,1252055
10-02-2014,20.58,20.68,20.29,20.33,1078637
10-03-2014,20.52,20.52,20.17,20.24,948177
10-06-2014,20.32,20.38,20.10,20.17,575000
10-07-2014,20.01,20.23,19.79,20.01,1013797
10-08-2014,19.96,20.17,19.64,19.93,1024058
10-09-2014,19.86,19.98,19.02,19.03,1240341
10-10-2014,18.87,19.25,18.58,18.61,896709
10-13-2014,18.58,18.81,18.25,18.29,606869
10-14-2014,18.33,18.58,17.99,18.07,1252411
10-15-2014,17.82,18.07,16.91,17.79,1814356
10-16-2014,17.57,17.67,17.23,17.33,3258290
10-17-2014,17.50,17.93,17.26,17.27,2300860
10-20-2014,17.26,17.62,17.21,17.40,2776171
10-21-2014,17.50,18.49,17.48,18.15,2941627
10-22-2014,18.09,18.23,17.65,17.74,1410310
10-23-2014,17.92,18.42,17.80,18.14,1571200
10-24-2014,18.22,18.66,17.88,18.64,1112971
10-27-2014,18.56,19.21,18.47,19.18,945011
10-28-2014,19.27,19.42,19.12,19.26,860136
10-29-2014,19.23,19.61,19.22,19.57,866663
10-30-2014,19.52,19.99,19.44,19.93,1137218
10-31-2014,20.25,20.25,19.97,20.10,900170
11-03-2014,20.09,20.49,19.91,20.38,1515467
11-04-2014,19.77,19.83,18.62,18.97,2373475
11-05-2014,19.39,19.56,18.85,19.22,1668377
11-06-2014,19.22,19.56,19.10,19.22,1507450
11-07-2014,19.20,19.37,18.69,18.97,940998
11-10-2014,18.95,19.18,18.68,19.13,1311473
11-11-2014,19.09,19.57,19.00,19.40,1786833
11-12-2014,19.29,19.85,19.25,19.81,1192884
11-13-2014,19.79,19.92,19.56,19.73,1402744
11-14-2014,19.83,20.03,19.70,19.96,806249
11-17-2014,20.01,20.06,19.80,19.98,1216446
11-18-2014,20.02,20.10,19.83,20.02,825565
11-19-2014,20.02,20.46,19.72,20.27,769364
11-20-2014,20.11,20.41,20.02,20.22,765421
11-21-2014,20.39,20.64,20.18,20.46,920990
11-24-2014,20.42,21.46,20.42,21.22,1125753
11-25-2014,21.19,21.85,21.00,21.75,1912391
11-26-2014,21.64,21.73,21.24,21.47,819838
11-28-2014,21.41,21.76,21.41,21.48,514067
12-01-2014,21.43,21.89,21.23,21.48,957008
12-02-2014,21.47,22.14,21.47,22.05,1472779
12-03-2014,22.03,22.06,21.64,21.69,971503
12-04-2014,21.61,21.71,21.19,21.60,1005886
12-05-2014,21.43,21.84,21.41,21.48,1129399
12-08-2014,21.44,21.85,21.21,21.34,845021
12-09-2014,21.08,21.29,20.85,20.98,853746
12-10-2014,20.90,21.07,20.74,20.78,602481
12-11-2014,20.85,21.63,20.84,21.23,850842
12-12-2014,20.94,21.58,20.93,21.35,1070211
12-15-2014,21.39,21.64,20.93,21.35,856756
12-16-2014,21.20,21.40,20.66,20.68,920317
12-17-2014,20.78,22.04,20.69,21.89,1042248
12-18-2014,22.09,22.29,21.63,21.84,636531
12-19-2014,21.79,21.98,21.28,21.48,2132648
