Date,Open,High,Low,Close,Volume
07-11-2000,32.26,33.38,31.59,31.59,7434992
07-12-2000,31.82,32.15,31.70,32.15,1180581
07-13-2000,32.15,32.60,31.82,32.04,1677661
07-14-2000,32.04,32.26,31.82,32.04,892938
07-17-2000,31.48,31.59,30.58,30.58,1855905
07-18-2000,30.47,30.47,27.78,28.01,2637897
07-19-2000,29.58,29.91,29.35,29.69,542865
07-20-2000,30.25,31.03,30.14,30.92,514581
07-21-2000,31.59,31.93,31.48,31.93,567522
07-24-2000,31.93,32.26,31.70,31.70,362777
07-25-2000,31.59,31.82,31.37,31.59,263642
07-26-2000,31.14,31.26,30.47,30.47,176110
07-27-2000,30.58,30.58,30.02,30.02,170642
07-28-2000,30.25,30.58,30.14,30.14,150948
07-31-2000,30.14,30.25,30.02,30.02,123445
08-01-2000,30.58,30.70,30.47,30.58,85731
08-02-2000,30.92,31.37,30.70,31.37,103750
08-03-2000,30.70,30.92,30.70,30.81,74797
08-04-2000,30.70,31.37,30.70,31.37,106930
08-07-2000,31.14,31.26,30.70,30.70,227884
08-08-2000,30.25,30.36,29.91,30.02,299011
08-09-2000,30.02,30.02,29.69,29.91,380463
08-10-2000,29.91,30.02,29.69,30.02,303699
08-11-2000,29.91,30.02,29.91,30.02,192065
08-14-2000,29.46,29.58,28.57,29.13,618291
08-15-2000,28.23,28.23,27.45,27.78,201161
08-16-2000,27.45,27.67,27.45,27.67,148270
08-17-2000,26.89,27.11,26.44,26.89,336278
08-18-2000,27.11,27.34,27.11,27.11,69886
08-21-2000,26.78,26.78,25.32,25.77,171870
08-22-2000,25.77,26.55,25.54,25.54,119875
08-23-2000,25.65,25.99,25.32,25.77,175328
08-24-2000,25.54,25.54,24.98,25.09,279990
08-25-2000,24.65,24.65,23.30,23.97,355523
08-28-2000,23.97,25.09,23.97,25.09,57058
08-29-2000,24.65,24.65,23.64,23.64,131479
08-30-2000,24.20,24.31,23.86,24.09,660520
08-31-2000,24.09,24.31,23.97,24.09,109553
09-01-2000,24.20,25.32,24.20,25.32,597315
09-05-2000,25.43,25.88,25.43,25.77,87350
09-06-2000,25.77,25.77,25.09,25.54,206514
09-07-2000,24.53,24.65,24.31,24.53,129413
09-08-2000,24.20,24.20,23.64,23.64,72734
09-11-2000,23.30,23.41,23.08,23.08,96720
09-12-2000,23.30,24.31,23.30,23.75,184812
09-13-2000,23.41,23.53,23.30,23.41,29777
09-14-2000,22.97,23.97,22.97,23.86,135105
09-15-2000,23.86,23.86,23.53,23.75,70056
09-18-2000,21.73,22.41,21.51,21.51,151117
09-19-2000,21.73,22.07,21.51,21.96,124951
09-20-2000,22.85,23.08,22.18,22.52,290644
09-21-2000,22.29,22.29,21.06,21.06,278873
09-22-2000,19.49,19.49,18.15,18.15,479154
09-25-2000,18.93,18.93,17.81,17.81,333155
09-26-2000,18.82,18.82,17.92,18.15,1024261
09-27-2000,18.26,18.37,18.26,18.37,124448
09-28-2000,18.93,19.61,18.93,19.61,250644
09-29-2000,19.61,19.94,19.49,19.72,85731
10-02-2000,20.17,20.28,19.83,19.94,150781
10-03-2000,19.94,20.39,19.94,20.05,58173
10-04-2000,19.94,20.05,19.72,19.94,118589
10-05-2000,19.94,20.05,19.72,20.05,125230
10-06-2000,20.61,20.95,20.61,20.84,323670
10-09-2000,20.73,20.95,20.73,20.84,59566
10-10-2000,22.41,22.63,22.07,22.52,212820
10-11-2000,21.96,21.96,21.40,21.51,345039
10-12-2000,21.40,21.51,20.61,20.61,149385
10-13-2000,20.84,21.51,20.73,21.40,195467
10-16-2000,21.73,21.96,21.62,21.73,140906
10-17-2000,21.51,21.51,21.17,21.17,134939
10-18-2000,20.17,20.17,19.05,19.83,273795
10-19-2000,19.72,20.17,19.49,19.72,102524
10-20-2000,19.72,19.72,18.82,19.05,164004
10-23-2000,18.82,18.93,18.49,18.93,61297
10-24-2000,19.27,19.49,18.93,19.05,113125
10-25-2000,18.82,18.93,18.60,18.60,133875
10-26-2000,18.60,18.71,18.37,18.71,17612
10-27-2000,18.82,19.49,18.71,19.49,159708
10-30-2000,19.72,19.72,19.38,19.38,134827
10-31-2000,19.38,19.72,19.27,19.61,27768
11-01-2000,19.94,20.17,19.83,19.94,54102
11-02-2000,20.39,21.29,20.28,20.95,114128
11-03-2000,21.06,21.29,21.06,21.17,56888
11-06-2000,20.50,20.50,20.05,20.17,107992
11-07-2000,19.61,19.72,19.61,19.61,47794
11-08-2000,18.60,19.49,18.60,18.93,346709
11-09-2000,18.93,19.49,18.93,19.49,138283
11-10-2000,19.38,19.49,19.05,19.27,300740
11-13-2000,18.37,18.82,18.37,18.60,434409
11-14-2000,18.82,18.93,18.71,18.82,3553
11-15-2000,18.93,18.93,17.70,17.70,176666
11-16-2000,17.59,17.70,17.59,17.59,37923
11-17-2000,17.70,17.70,17.03,17.25,52539
11-20-2000,16.24,16.36,16.02,16.13,56054
11-21-2000,15.91,16.47,15.80,16.47,163111
11-22-2000,17.03,17.03,16.13,16.47,227045
11-24-2000,16.47,16.47,16.36,16.47,4451
11-27-2000,16.24,16.24,15.91,15.91,23638
11-28-2000,14.79,14.79,12.77,13.44,297731
11-29-2000,13.56,13.56,12.21,12.44,217169
11-30-2000,11.43,11.65,10.75,11.09,400491
12-01-2000,10.08,12.32,10.08,11.76,698681
12-04-2000,10.98,10.98,10.31,10.64,322332
12-05-2000,11.20,12.55,11.20,12.44,742643
12-06-2000,14.00,14.23,14.00,14.00,413152
12-07-2000,12.44,12.44,11.76,11.76,98953
12-08-2000,12.21,13.89,12.21,13.67,349111
12-11-2000,13.44,13.44,12.66,13.00,132648
12-12-2000,12.88,12.88,12.10,12.21,244952
12-13-2000,12.10,12.32,11.99,12.32,66316
12-14-2000,13.89,14.00,13.56,13.78,165344
12-15-2000,14.12,14.12,13.67,13.89,30165
12-18-2000,13.00,13.00,12.66,12.66,49919
12-19-2000,12.55,12.88,12.44,12.44,22691
12-20-2000,12.55,12.88,12.44,12.66,66653
12-21-2000,12.77,12.77,12.21,12.32,18619
12-22-2000,12.32,12.88,12.21,12.21,37084
12-26-2000,13.00,13.00,12.66,12.66,27321
12-27-2000,12.44,12.44,12.10,12.10,31059
12-28-2000,12.10,12.44,11.88,12.10,29385
12-29-2000,12.10,12.77,12.10,12.55,35132
01-02-2001,13.22,13.44,12.77,12.77,57280
01-03-2001,12.55,13.67,12.55,13.67,122275
01-04-2001,13.67,15.24,13.67,15.01,254436
01-05-2001,15.01,15.12,14.68,14.79,101296
01-08-2001,15.01,15.01,14.79,14.79,69777
01-09-2001,15.24,15.57,15.24,15.46,29886
01-10-2001,17.03,17.36,17.03,17.36,231396
01-11-2001,16.80,17.03,16.47,17.03,115805
01-12-2001,16.92,16.92,16.36,16.36,140794
01-16-2001,15.24,15.35,14.90,15.01,264534
01-17-2001,15.24,16.02,15.24,15.80,79485
01-18-2001,15.24,15.24,14.79,15.24,176725
01-19-2001,15.35,15.35,14.79,14.90,172150
01-22-2001,14.68,15.12,14.56,15.12,93820
01-23-2001,14.90,15.35,14.79,15.24,58617
01-24-2001,15.01,15.35,14.79,15.35,31672
01-25-2001,15.24,15.46,15.12,15.12,143753
01-26-2001,14.90,14.90,14.79,14.79,2886
01-29-2001,14.34,14.43,14.30,14.32,49357
01-30-2001,14.23,14.34,14.23,14.30,64252
01-31-2001,14.25,14.55,14.21,14.25,49580
02-01-2001,14.07,14.81,14.07,14.81,92091
02-02-2001,14.61,14.63,14.52,14.52,35631
02-05-2001,13.98,13.98,13.71,13.71,69163
02-06-2001,13.80,14.07,13.80,14.05,44561
02-07-2001,13.78,13.78,13.39,13.39,80097
02-08-2001,13.44,13.68,13.44,13.62,20741
02-09-2001,13.17,13.17,12.87,12.91,34907
02-12-2001,12.19,12.37,12.19,12.37,29831
02-13-2001,12.37,12.62,12.37,12.55,93989
02-14-2001,12.78,12.91,12.73,12.78,123781
02-15-2001,12.10,12.19,11.97,12.10,19789
02-16-2001,12.28,12.28,12.10,12.17,118259
02-20-2001,10.22,10.40,10.11,10.25,539126
02-21-2001,8.42,8.96,8.37,8.50,1013664
02-22-2001,7.44,8.05,7.42,7.65,914417
02-23-2001,7.53,7.53,7.08,7.44,1011491
02-26-2001,8.34,8.34,7.98,8.12,635811
02-27-2001,8.07,8.12,7.71,7.71,180627
02-28-2001,7.71,8.62,7.71,8.60,665823
03-01-2001,8.60,8.68,8.34,8.64,192902
03-02-2001,8.69,9.41,8.64,9.21,189219
03-05-2001,9.21,9.23,8.78,8.87,66205
03-06-2001,9.05,9.63,9.05,9.50,130921
03-07-2001,9.68,9.77,9.32,9.48,166846
03-08-2001,9.41,9.54,9.23,9.32,127852
03-09-2001,9.32,9.32,9.18,9.28,85062
03-12-2001,8.51,8.80,8.42,8.71,154185
03-13-2001,8.78,8.78,8.42,8.60,89412
03-14-2001,7.89,8.07,7.76,7.99,86680
03-15-2001,7.98,7.98,7.62,7.67,179347
