Date,Open,High,Low,Close,Volume
12-11-2014,49.02,50.06,49.02,49.67,1243268
12-12-2014,49.62,49.92,48.67,49.70,1054009
12-15-2014,49.47,50.06,49.07,49.57,271807
12-16-2014,48.60,49.17,48.36,48.36,272814
12-17-2014,49.67,49.67,48.42,49.07,285901
12-18-2014,50.01,50.94,49.92,50.56,828509
12-19-2014,50.02,51.36,50.01,51.36,400664
12-22-2014,51.30,51.57,51.06,51.57,26174
12-23-2014,51.82,51.82,51.41,51.51,76508
12-24-2014,51.05,51.45,51.05,51.43,25167
12-26-2014,51.88,52.34,51.72,52.22,39261
12-29-2014,52.33,52.91,52.19,52.55,938239
12-30-2014,52.28,52.31,51.01,52.29,192278
12-31-2014,51.77,53.64,51.77,52.64,231539
01-02-2015,52.55,54.17,52.08,53.64,82548
01-05-2015,52.62,52.62,51.89,52.07,143957
01-06-2015,52.21,52.47,51.55,51.74,129863
01-07-2015,52.78,54.44,52.65,53.31,304021
01-08-2015,53.44,55.86,53.44,55.10,909045
01-09-2015,55.65,55.81,55.32,55.64,194292
01-12-2015,56.07,56.07,55.33,55.81,124830
01-13-2015,56.14,56.35,55.80,55.80,761061
01-14-2015,55.86,56.12,55.12,56.03,507374
01-15-2015,56.10,56.55,55.43,55.51,491267
01-16-2015,55.32,55.57,54.73,55.34,1491921
01-20-2015,56.28,56.32,55.60,55.90,288921
01-21-2015,55.98,56.98,55.93,56.71,333215
01-22-2015,57.14,57.32,56.26,57.32,690592
01-23-2015,57.00,57.14,56.59,56.90,196305
01-26-2015,57.35,57.52,57.12,57.51,277847
01-27-2015,57.27,57.89,57.12,57.51,316102
01-28-2015,57.92,58.07,56.81,56.81,68455
01-29-2015,56.43,56.43,55.69,56.10,351336
01-30-2015,55.68,57.31,55.58,56.65,109729
02-02-2015,57.02,57.62,56.78,56.93,10066
02-03-2015,57.66,58.00,57.60,57.74,456032
02-04-2015,57.86,57.95,57.51,57.51,147984
02-05-2015,57.11,58.24,57.11,58.17,19127
02-06-2015,58.23,58.52,58.03,58.20,73488
02-09-2015,58.09,58.46,57.84,57.95,53354
02-10-2015,58.66,58.66,58.22,58.29,4026
02-11-2015,58.31,58.31,57.96,58.16,32214
02-12-2015,58.64,58.67,58.35,58.41,42281
02-13-2015,58.61,58.88,58.57,58.62,4026
02-17-2015,58.94,59.11,58.75,58.75,51341
02-18-2015,58.21,58.21,57.53,57.56,210399
02-19-2015,59.38,60.06,57.89,58.64,884884
02-20-2015,59.11,59.11,58.57,58.83,319122
02-23-2015,58.89,58.89,57.89,58.13,59394
02-24-2015,58.04,58.99,58.04,58.51,213419
02-25-2015,58.40,58.80,57.92,58.53,198318
02-26-2015,58.90,59.98,58.90,59.08,210399
02-27-2015,59.29,60.19,59.29,59.94,174158
03-02-2015,59.70,60.17,59.59,59.92,65435
03-03-2015,59.90,60.09,59.68,59.68,145970
03-04-2015,59.89,59.89,59.25,59.25,283887
03-05-2015,60.00,60.06,59.91,60.01,19127
03-06-2015,59.90,59.92,59.35,59.36,4026
03-09-2015,59.45,60.21,59.36,59.65,4026
03-10-2015,59.61,59.61,58.95,59.55,103689
03-11-2015,58.71,58.93,58.39,58.92,97649
03-12-2015,58.75,59.03,58.67,58.71,3020
03-13-2015,58.17,58.69,58.17,58.55,15100
03-16-2015,58.95,59.30,58.80,59.30,2013
03-17-2015,59.01,59.57,58.99,59.52,22147
03-18-2015,59.07,60.03,58.91,59.76,107716
03-19-2015,59.78,60.59,59.78,60.30,77515
03-20-2015,60.65,60.65,60.25,60.37,471133
03-23-2015,59.97,60.41,59.85,60.02,131877
03-24-2015,60.30,60.69,60.25,60.25,213419
03-25-2015,59.93,59.95,59.27,59.35,51341
03-26-2015,58.97,59.32,58.97,59.26,166104
03-27-2015,60.74,60.74,58.93,59.43,131877
03-30-2015,59.50,59.51,59.38,59.42,59394
03-31-2015,58.95,58.95,58.27,58.27,66441
04-01-2015,58.27,58.53,57.95,58.42,105702
04-02-2015,59.28,60.32,59.28,60.32,102682
04-06-2015,60.28,60.86,60.22,60.65,10066
04-07-2015,60.67,61.01,60.58,60.71,489253
04-08-2015,60.41,60.41,59.91,60.23,259727
04-09-2015,60.43,60.49,59.68,59.68,54361
04-10-2015,59.34,60.26,58.99,59.25,44294
04-13-2015,59.62,59.62,58.70,58.70,25167
04-14-2015,58.83,59.10,58.71,58.91,44294
04-15-2015,59.38,59.49,59.12,59.47,260733
04-16-2015,59.53,59.53,59.24,59.50,237579
04-17-2015,59.28,59.81,58.96,59.39,302008
04-20-2015,60.23,60.44,60.11,60.35,31207
04-21-2015,60.84,61.14,60.84,61.07,3020
04-22-2015,61.87,62.42,61.54,62.19,25167
04-23-2015,62.56,63.00,62.02,62.90,15100
04-24-2015,63.24,63.24,62.58,62.72,51341
04-27-2015,62.91,62.91,62.22,62.29,215432
04-28-2015,62.34,63.20,61.02,62.21,114763
04-29-2015,62.40,63.23,62.40,63.01,152010
04-30-2015,62.37,62.91,61.94,62.16,544621
05-01-2015,62.21,62.21,61.56,62.00,464086
05-04-2015,62.02,62.49,62.51,62.51,61408
05-05-2015,62.31,62.47,61.46,61.89,734887
05-06-2015,60.69,61.19,60.49,61.19,206372
05-07-2015,61.16,61.49,60.87,61.49,14093
05-08-2015,61.56,61.92,61.42,61.67,111743
05-11-2015,62.47,62.47,61.54,61.93,22147
05-12-2015,62.51,62.88,61.23,62.82,115769
05-13-2015,63.23,63.23,61.81,61.99,32214
05-14-2015,62.60,62.85,62.08,62.20,64428
05-15-2015,62.17,62.61,61.99,62.46,103689
05-18-2015,63.29,64.08,63.25,63.33,106709
05-19-2015,64.07,64.07,62.39,62.53,186238
05-20-2015,63.04,64.46,63.04,63.74,559722
05-21-2015,64.24,66.01,64.15,65.53,211405
05-22-2015,65.82,65.82,65.35,65.71,15100
05-26-2015,66.04,68.96,65.93,68.62,278854
05-27-2015,67.46,69.08,67.46,68.79,245633
05-28-2015,66.35,67.77,66.35,67.16,312075
05-29-2015,67.77,68.50,67.47,68.31,47314
06-01-2015,68.66,68.66,68.07,68.07,70468
06-02-2015,67.84,68.18,67.84,68.04,31207
06-03-2015,67.88,67.90,67.59,67.88,253687
06-04-2015,71.02,71.02,68.85,69.08,1708360
06-05-2015,68.74,70.67,68.74,70.16,1212060
06-08-2015,69.29,69.58,69.18,69.18,166104
06-09-2015,68.55,68.83,66.73,68.36,197312
06-10-2015,67.99,67.99,67.79,67.86,1006
06-11-2015,67.78,67.78,66.50,67.02,178184
06-12-2015,67.50,68.67,67.50,68.60,100669
06-15-2015,68.32,68.71,68.07,68.44,2013
06-16-2015,68.01,68.75,67.98,68.02,436905
06-17-2015,68.70,70.11,68.70,69.86,21140
06-18-2015,69.91,70.20,69.20,69.24,268787
06-19-2015,69.09,69.09,68.43,68.50,68455
