Date,Open,High,Low,Close,Volume
01-02-1992,7.59,7.59,7.43,7.43,144367
01-03-1992,7.47,7.55,7.35,7.43,99409
01-06-1992,7.43,7.47,7.23,7.35,204097
01-07-1992,7.39,7.39,7.27,7.35,126514
01-08-1992,7.31,7.71,7.31,7.63,262597
01-09-1992,7.71,7.71,7.47,7.51,190241
01-10-1992,7.43,7.55,7.43,7.51,99713
01-13-1992,7.47,7.51,7.43,7.47,117264
01-14-1992,7.55,7.63,7.43,7.47,137899
01-15-1992,7.47,7.59,7.43,7.51,155757
01-16-1992,7.47,7.55,7.39,7.55,141595
01-17-1992,7.59,7.79,7.59,7.59,443030
01-20-1992,7.67,7.67,7.47,7.47,186854
01-21-1992,7.51,7.63,7.47,7.59,204711
01-22-1992,7.63,7.67,7.55,7.67,175158
01-23-1992,7.67,7.96,6.98,7.79,561890
01-24-1992,7.84,8.00,7.55,7.96,495380
01-27-1992,7.92,8.08,7.79,7.79,301698
01-28-1992,7.84,7.88,7.67,7.79,196393
01-29-1992,7.75,7.79,7.59,7.59,153606
01-30-1992,7.59,7.71,7.55,7.63,108646
01-31-1992,7.63,7.71,7.39,7.39,189932
02-03-1992,7.39,7.63,7.39,7.63,188701
02-04-1992,7.63,7.63,7.43,7.47,163758
02-05-1992,7.47,7.47,7.35,7.43,135123
02-06-1992,7.43,7.63,7.31,7.55,233043
02-07-1992,7.59,7.63,7.47,7.63,183157
02-10-1992,7.63,7.92,7.63,7.84,765096
02-11-1992,7.75,7.92,7.75,7.84,447343
02-12-1992,7.79,8.04,7.75,7.96,197013
02-13-1992,7.96,7.96,7.88,7.96,293391
02-14-1992,7.96,8.12,7.84,8.00,224110
02-18-1992,8.12,8.12,7.79,7.88,273070
02-19-1992,7.88,8.12,7.88,8.08,212413
02-20-1992,8.16,8.20,7.96,8.12,465502
02-21-1992,8.08,8.20,7.88,8.20,348199
02-24-1992,8.12,8.20,8.04,8.20,220107
02-25-1992,8.20,8.20,8.00,8.12,249055
02-26-1992,8.08,8.16,8.00,8.04,180078
02-27-1992,8.12,8.20,8.00,8.20,150222
02-28-1992,8.12,8.36,8.04,8.16,165605
03-02-1992,8.16,8.20,8.00,8.04,103719
03-03-1992,8.12,8.12,7.88,8.04,104644
03-04-1992,7.96,8.04,7.84,7.92,128979
03-05-1992,7.88,8.04,7.84,8.04,98179
03-06-1992,7.96,8.08,7.96,8.08,137899
03-09-1992,8.08,8.08,7.88,8.04,105876
03-10-1992,8.04,8.04,7.84,7.84,197940
03-11-1992,7.79,8.00,7.79,7.96,185008
03-12-1992,7.96,8.08,7.88,7.88,202249
03-13-1992,8.00,8.00,7.88,7.88,143439
03-16-1992,7.79,7.96,7.63,7.79,134819
03-17-1992,7.79,7.88,7.71,7.75,174227
03-18-1992,7.71,7.79,7.55,7.71,210567
03-19-1992,7.75,7.79,7.63,7.71,120350
03-20-1992,7.75,7.75,7.63,7.71,154524
03-23-1992,7.71,7.75,7.59,7.71,66471
03-24-1992,7.67,7.75,7.67,7.75,92326
03-25-1992,7.67,7.79,7.63,7.75,83094
03-26-1992,7.79,7.88,7.71,7.84,112038
03-27-1992,7.88,7.88,7.79,7.84,51379
03-30-1992,7.79,7.92,7.79,7.88,65232
03-31-1992,7.88,7.92,7.79,7.84,105568
04-01-1992,7.79,7.88,7.67,7.79,168073
04-02-1992,7.75,7.79,7.71,7.71,143751
04-03-1992,7.71,7.71,7.67,7.67,84943
04-06-1992,7.67,7.71,7.35,7.47,132969
04-07-1992,7.47,7.47,7.23,7.39,109270
04-08-1992,7.31,7.39,6.98,7.10,195787
04-09-1992,7.19,7.27,7.19,7.23,148984
04-10-1992,7.31,7.47,7.27,7.31,174541
04-13-1992,7.39,7.47,7.35,7.43,113571
04-14-1992,7.51,7.59,7.47,7.51,150519
04-15-1992,7.47,7.59,7.43,7.47,171457
04-16-1992,7.47,7.63,7.43,7.43,160068
04-20-1992,7.43,7.43,7.14,7.14,227804
04-21-1992,7.23,7.35,7.23,7.35,121581
04-22-1992,7.47,7.63,7.43,7.63,137286
04-23-1992,7.59,7.59,7.39,7.55,200096
04-24-1992,7.19,7.23,7.10,7.23,112347
04-27-1992,7.31,7.35,6.98,7.23,46453
04-28-1992,7.14,7.35,7.10,7.35,94793
04-29-1992,7.39,7.43,7.23,7.31,56304
04-30-1992,7.31,7.39,7.14,7.31,42450
05-01-1992,7.39,7.39,7.23,7.23,32288
05-04-1992,7.27,7.31,7.19,7.19,86170
05-05-1992,7.23,7.23,7.14,7.23,54149
05-06-1992,7.23,7.23,7.06,7.19,85240
05-07-1992,7.10,7.19,7.06,7.10,36295
05-08-1992,7.06,7.14,7.02,7.06,97568
05-11-1992,7.10,7.14,7.02,7.14,128353
05-12-1992,7.14,7.19,7.06,7.14,131426
05-13-1992,7.14,7.14,7.02,7.10,103413
05-14-1992,7.02,7.14,7.02,7.10,80316
05-15-1992,7.14,7.27,7.14,7.23,67075
05-18-1992,7.23,7.43,7.23,7.43,49532
05-19-1992,7.39,7.39,7.23,7.27,63384
05-20-1992,7.31,7.35,7.19,7.31,56304
05-21-1992,7.35,7.39,7.14,7.27,108032
05-22-1992,7.31,7.31,7.23,7.31,22436
05-26-1992,7.31,7.31,7.19,7.27,65232
05-27-1992,7.31,7.43,7.23,7.39,55069
05-28-1992,7.43,7.47,7.39,7.47,61540
05-29-1992,7.43,7.47,7.39,7.47,86481
06-01-1992,7.39,7.47,7.35,7.39,69546
06-02-1992,7.31,7.43,7.31,7.43,76627
06-03-1992,7.47,7.51,7.31,7.31,67383
06-04-1992,7.39,7.43,7.23,7.23,52606
06-05-1992,7.35,7.39,7.31,7.31,41525
06-08-1992,7.35,7.43,7.31,7.35,48602
06-09-1992,7.31,7.47,7.31,7.43,35976
06-10-1992,7.43,7.47,7.39,7.47,48913
06-11-1992,7.51,7.55,7.43,7.47,70775
06-12-1992,7.47,7.51,7.39,7.51,26743
06-15-1992,7.51,7.59,7.47,7.59,69546
06-16-1992,7.63,7.67,7.51,7.55,75388
06-17-1992,7.55,7.55,7.47,7.55,54149
06-18-1992,7.47,7.55,7.43,7.51,58151
06-19-1992,7.51,7.63,7.47,7.55,51996
06-22-1992,7.51,7.63,7.47,7.47,38445
06-23-1992,7.39,7.55,7.39,7.47,52606
06-24-1992,7.47,7.63,7.43,7.63,37520
06-25-1992,7.55,7.63,7.47,7.47,43985
06-26-1992,7.55,7.63,7.51,7.55,49214
