Date,Open,High,Low,Close,Volume
01-02-1992,11.37,11.97,11.37,11.97,36559
01-03-1992,12.21,12.45,11.49,11.73,22458
01-06-1992,11.61,12.57,11.61,12.45,20786
01-07-1992,12.57,13.16,12.45,12.92,12116
01-08-1992,12.68,12.68,12.45,12.57,4804
01-09-1992,12.33,12.33,11.97,12.21,6789
01-10-1992,12.09,12.21,11.73,12.21,7729
01-13-1992,12.33,12.68,12.33,12.57,6998
01-14-1992,12.68,12.80,12.57,12.68,5013
01-15-1992,12.57,12.92,12.57,12.80,5118
01-16-1992,12.57,12.57,12.21,12.45,13265
01-17-1992,12.68,12.68,12.57,12.68,3238
01-20-1992,12.68,13.16,12.57,13.04,4282
01-21-1992,13.16,13.28,13.04,13.04,1462
01-22-1992,13.16,13.16,12.68,13.16,4178
01-23-1992,13.04,13.28,13.04,13.16,3551
01-24-1992,12.92,12.92,12.68,12.68,5640
01-27-1992,12.80,12.80,12.68,12.80,3864
01-28-1992,12.92,13.16,12.92,13.16,4491
01-29-1992,13.28,13.28,12.92,13.04,6162
01-30-1992,12.92,12.92,12.92,12.92,1566
01-31-1992,13.04,13.40,13.04,13.40,12430
02-03-1992,13.40,13.40,13.28,13.28,3864
02-04-1992,13.40,13.52,13.40,13.40,3551
02-05-1992,13.16,13.28,13.16,13.16,1984
02-06-1992,13.16,13.40,13.04,13.04,2402
02-07-1992,13.04,13.04,12.80,12.80,1880
02-10-1992,13.04,13.52,13.04,13.52,10967
02-11-1992,13.52,13.52,12.92,13.40,6162
02-12-1992,13.16,13.28,13.16,13.28,2298
02-13-1992,13.40,13.64,13.28,13.52,11176
02-14-1992,13.40,13.64,13.40,13.64,5849
02-18-1992,13.76,13.76,13.16,13.16,5849
02-19-1992,12.92,13.04,12.57,13.04,5954
02-20-1992,12.80,12.80,12.57,12.80,8565
02-21-1992,12.80,12.80,12.68,12.80,835
02-24-1992,12.80,12.80,12.57,12.80,6580
02-25-1992,12.68,12.68,12.45,12.45,3655
02-26-1992,12.45,12.45,12.45,12.45,4073
02-27-1992,12.33,12.33,11.97,11.97,6789
02-28-1992,11.97,11.97,11.25,11.49,9192
03-02-1992,11.49,11.85,11.37,11.85,3342
03-03-1992,11.97,12.09,11.85,12.09,1253
03-04-1992,12.21,12.57,11.97,12.57,7311
03-05-1992,12.57,12.68,12.57,12.68,6371
03-06-1992,12.68,13.28,12.68,13.28,17235
03-09-1992,13.04,13.16,13.04,13.04,1357
03-10-1992,12.92,12.92,12.68,12.68,1880
03-11-1992,12.68,12.92,12.68,12.92,2402
03-12-1992,12.92,13.28,12.92,13.16,1253
03-13-1992,13.04,13.16,13.04,13.16,626
03-16-1992,13.04,13.04,13.04,13.04,1357
03-17-1992,13.04,13.16,13.04,13.16,208
03-18-1992,13.16,13.40,13.16,13.28,9296
03-19-1992,13.40,13.40,13.16,13.16,4804
03-20-1992,13.16,13.28,13.16,13.28,2506
03-23-1992,13.28,13.28,13.04,13.28,2611
03-24-1992,13.16,13.28,13.16,13.16,1775
03-25-1992,13.04,13.04,12.80,12.80,1253
03-26-1992,12.68,12.68,12.45,12.45,1671
03-27-1992,12.45,12.45,11.73,11.73,2820
03-30-1992,11.85,11.97,11.85,11.85,3655
03-31-1992,11.97,11.97,11.97,11.97,1149
04-01-1992,11.85,11.85,11.73,11.73,15459
04-02-1992,11.73,11.73,11.49,11.61,1566
04-03-1992,11.61,11.73,11.61,11.73,313
04-06-1992,11.73,11.73,11.61,11.61,1671
04-07-1992,11.61,11.61,11.37,11.61,8669
04-08-1992,11.49,11.49,11.37,11.37,5431
04-09-1992,11.37,11.37,11.13,11.13,5222
04-10-1992,11.37,11.37,11.25,11.25,3342
04-13-1992,11.49,11.49,11.49,11.49,2298
04-14-1992,11.49,11.61,11.49,11.61,4596
04-15-1992,11.61,11.61,11.61,11.61,417
04-16-1992,11.49,11.73,11.49,11.73,835
04-20-1992,11.61,11.73,11.49,11.49,2193
04-21-1992,11.61,11.61,11.49,11.49,3551
04-22-1992,11.49,11.61,11.49,11.61,8774
04-23-1992,11.49,11.73,11.49,11.73,4491
04-24-1992,11.97,13.28,11.97,13.28,12639
04-27-1992,13.40,13.76,12.68,12.68,18384
04-28-1992,12.80,12.80,12.57,12.57,6476
04-29-1992,12.68,12.92,12.68,12.92,2820
04-30-1992,13.16,13.88,13.04,13.88,29561
05-01-1992,13.88,13.88,13.76,13.76,1357
05-04-1992,13.76,13.76,13.76,13.76,1357
05-05-1992,13.76,14.12,13.76,13.88,9192
05-06-1992,13.76,13.76,13.52,13.52,3760
05-07-1992,13.64,13.76,13.52,13.64,3029
05-08-1992,13.52,13.76,13.40,13.64,3551
05-11-1992,13.76,13.76,13.40,13.40,3133
05-12-1992,13.52,13.52,13.40,13.40,1149
05-13-1992,13.52,14.00,13.40,13.88,14728
05-14-1992,13.76,14.00,13.52,13.52,5745
05-15-1992,13.28,13.52,13.28,13.52,4596
