Date,Open,High,Low,Close,Volume
01-02-1990,0.921,0.928,0.898,0.928,0
01-03-1990,0.936,0.951,0.921,0.943,0
01-04-1990,0.943,0.967,0.921,0.967,0
01-05-1990,0.951,0.975,0.951,0.959,0
01-08-1990,0.959,0.975,0.959,0.967,0
01-09-1990,0.967,0.967,0.959,0.959,0
01-10-1990,0.955,0.967,0.951,0.951,0
01-11-1990,0.959,0.959,0.951,0.959,0
01-12-1990,0.959,0.959,0.928,0.939,0
01-15-1990,0.936,0.936,0.890,0.890,0
01-16-1990,0.882,0.898,0.874,0.890,0
01-17-1990,0.890,0.890,0.874,0.882,0
01-18-1990,0.859,0.866,0.843,0.859,0
01-19-1990,0.843,0.874,0.843,0.866,0
01-22-1990,0.866,0.866,0.851,0.851,0
01-23-1990,0.866,0.866,0.836,0.843,0
01-24-1990,0.812,0.812,0.773,0.773,0
01-25-1990,0.797,0.797,0.773,0.782,0
01-26-1990,0.782,0.797,0.782,0.797,0
01-29-1990,0.782,0.797,0.782,0.797,0
01-30-1990,0.782,0.789,0.782,0.789,0
01-31-1990,0.782,0.804,0.782,0.797,0
02-01-1990,0.804,0.808,0.804,0.804,0
02-02-1990,0.797,0.827,0.797,0.820,0
02-05-1990,0.812,0.827,0.812,0.827,0
02-06-1990,0.812,0.820,0.812,0.812,0
02-07-1990,0.812,0.827,0.812,0.812,0
02-08-1990,0.820,0.827,0.812,0.812,0
02-09-1990,0.827,0.827,0.812,0.812,0
02-12-1990,0.812,0.843,0.812,0.836,0
02-13-1990,0.827,0.843,0.827,0.843,0
02-14-1990,0.836,0.847,0.836,0.843,0
02-15-1990,0.851,0.851,0.836,0.851,0
02-16-1990,0.851,0.866,0.843,0.866,0
02-20-1990,0.882,0.882,0.859,0.859,0
02-21-1990,0.851,0.866,0.843,0.851,0
02-22-1990,0.843,0.859,0.843,0.859,0
02-23-1990,0.859,0.859,0.843,0.843,0
02-26-1990,0.859,0.859,0.859,0.859,0
02-27-1990,0.859,0.859,0.843,0.851,0
02-28-1990,0.851,0.866,0.851,0.866,0
03-01-1990,0.866,0.898,0.866,0.898,0
03-02-1990,0.890,0.890,0.874,0.882,0
03-05-1990,0.890,0.890,0.874,0.874,0
03-06-1990,0.890,0.905,0.882,0.905,0
03-07-1990,0.890,0.905,0.890,0.905,0
03-08-1990,0.905,0.905,0.890,0.898,0
03-09-1990,0.898,0.898,0.882,0.890,0
03-12-1990,0.890,0.890,0.874,0.890,0
03-13-1990,0.898,0.898,0.898,0.898,0
03-14-1990,0.882,0.898,0.882,0.882,0
03-15-1990,0.890,0.898,0.882,0.882,0
03-16-1990,0.902,0.902,0.895,0.902,0
03-19-1990,0.902,0.910,0.895,0.910,0
03-20-1990,0.910,0.910,0.895,0.910,0
03-21-1990,0.895,0.925,0.895,0.917,0
03-22-1990,0.934,0.934,0.917,0.934,0
03-23-1990,0.917,0.934,0.917,0.917,0
03-26-1990,0.917,0.917,0.917,0.917,0
03-27-1990,0.917,0.917,0.917,0.917,0
03-28-1990,0.917,0.934,0.917,0.934,0
03-29-1990,0.917,0.925,0.917,0.925,0
03-30-1990,0.934,0.934,0.910,0.929,0
04-02-1990,0.910,0.934,0.910,0.925,0
04-03-1990,0.910,0.925,0.902,0.914,0
04-04-1990,0.902,0.917,0.902,0.917,0
04-05-1990,0.910,0.910,0.902,0.902,0
04-06-1990,0.917,0.917,0.895,0.910,0
04-09-1990,0.895,0.895,0.855,0.863,0
04-10-1990,0.855,0.867,0.824,0.848,0
04-11-1990,0.824,0.832,0.801,0.817,0
04-12-1990,0.808,0.824,0.808,0.808,0
04-16-1990,0.808,0.808,0.716,0.747,0
04-17-1990,0.747,0.754,0.731,0.739,0
04-18-1990,0.754,0.762,0.739,0.758,0
04-19-1990,0.762,0.770,0.754,0.758,0
04-20-1990,0.778,0.778,0.762,0.778,0
04-23-1990,0.778,0.778,0.754,0.754,0
04-24-1990,0.754,0.778,0.754,0.778,0
04-25-1990,0.762,0.778,0.762,0.762,0
04-26-1990,0.778,0.778,0.754,0.770,0
04-27-1990,0.747,0.770,0.747,0.762,0
04-30-1990,0.747,0.766,0.747,0.762,0
05-01-1990,0.778,0.778,0.754,0.754,0
05-02-1990,0.778,0.785,0.762,0.785,0
05-03-1990,0.785,0.793,0.770,0.778,0
05-04-1990,0.773,0.785,0.762,0.762,0
05-07-1990,0.762,0.770,0.747,0.747,0
05-08-1990,0.762,0.762,0.747,0.747,0
05-09-1990,0.747,0.754,0.739,0.739,0
05-10-1990,0.731,0.754,0.731,0.739,0
05-11-1990,0.739,0.762,0.739,0.747,0
05-14-1990,0.770,0.793,0.762,0.778,0
05-15-1990,0.785,0.808,0.778,0.808,0
05-16-1990,0.793,0.832,0.793,0.817,0
05-17-1990,0.817,0.832,0.817,0.832,0
05-18-1990,0.832,0.855,0.824,0.848,0
05-21-1990,0.863,0.871,0.855,0.863,0
05-22-1990,0.871,0.886,0.863,0.863,0
05-23-1990,0.886,0.886,0.886,0.886,0
05-24-1990,0.886,0.925,0.879,0.910,0
05-25-1990,0.902,0.917,0.895,0.895,0
05-29-1990,0.910,0.910,0.886,0.886,0
05-30-1990,0.902,0.910,0.879,0.879,0
05-31-1990,0.883,0.895,0.863,0.879,0
06-01-1990,0.863,0.879,0.855,0.863,0
06-04-1990,0.871,0.871,0.855,0.871,0
06-05-1990,0.871,0.871,0.855,0.863,0
06-06-1990,0.855,0.871,0.848,0.855,0
06-07-1990,0.848,0.848,0.824,0.824,0
06-08-1990,0.824,0.824,0.793,0.824,0
06-11-1990,0.793,0.808,0.793,0.808,0
06-12-1990,0.808,0.832,0.801,0.832,0
06-13-1990,0.832,0.832,0.808,0.832,0
06-14-1990,0.832,0.832,0.832,0.832,0
06-15-1990,0.837,0.837,0.829,0.837,0
06-18-1990,0.821,0.837,0.821,0.821,0
06-19-1990,0.813,0.837,0.813,0.813,0
06-20-1990,0.813,0.825,0.813,0.813,0
06-21-1990,0.837,0.837,0.806,0.806,0
06-22-1990,0.817,0.821,0.806,0.806,0
06-25-1990,0.806,0.806,0.790,0.806,0
06-26-1990,0.806,0.813,0.790,0.790,0
06-27-1990,0.806,0.860,0.806,0.860,0
06-28-1990,0.868,0.891,0.860,0.884,0
06-29-1990,0.876,0.884,0.837,0.852,0
07-02-1990,0.845,0.852,0.837,0.837,0
07-03-1990,0.860,0.860,0.845,0.845,0
07-05-1990,0.837,0.837,0.837,0.837,0
07-06-1990,0.837,0.837,0.821,0.821,0
07-09-1990,0.821,0.837,0.798,0.802,0
07-10-1990,0.813,0.813,0.798,0.813,0
07-11-1990,0.798,0.798,0.798,0.798,0
07-12-1990,0.813,0.813,0.798,0.813,0
07-13-1990,0.798,0.821,0.798,0.821,0
07-16-1990,0.813,0.829,0.813,0.829,0
07-17-1990,0.829,0.829,0.821,0.829,0
07-18-1990,0.829,0.829,0.813,0.813,0
07-19-1990,0.813,0.829,0.813,0.829,0
07-20-1990,0.821,0.829,0.821,0.829,0
07-23-1990,0.813,0.829,0.813,0.813,0
07-24-1990,0.813,0.829,0.813,0.829,0
07-25-1990,0.821,0.821,0.821,0.821,0
07-26-1990,0.829,0.829,0.813,0.813,0
07-27-1990,0.813,0.829,0.813,0.829,0
07-30-1990,0.813,0.821,0.813,0.817,0
07-31-1990,0.821,0.821,0.813,0.813,0
08-01-1990,0.813,0.821,0.813,0.821,0
08-02-1990,0.821,0.821,0.813,0.813,0
08-03-1990,0.813,0.813,0.790,0.790,0
08-06-1990,0.798,0.798,0.771,0.790,0
08-07-1990,0.790,0.790,0.766,0.766,0
08-08-1990,0.766,0.790,0.766,0.771,0
08-10-1990,0.782,0.782,0.766,0.766,0
08-13-1990,0.766,0.774,0.759,0.774,0
08-14-1990,0.766,0.766,0.712,0.727,0
08-15-1990,0.727,0.743,0.727,0.727,0
08-16-1990,0.727,0.743,0.720,0.724,0
08-17-1990,0.720,0.727,0.712,0.712,0
08-20-1990,0.712,0.712,0.712,0.712,0
08-21-1990,0.712,0.727,0.712,0.712,0
08-22-1990,0.712,0.712,0.680,0.680,0
08-23-1990,0.688,0.704,0.657,0.657,0
08-24-1990,0.657,0.672,0.649,0.672,0
08-27-1990,0.680,0.688,0.672,0.677,0
08-28-1990,0.672,0.688,0.672,0.677,0
08-29-1990,0.688,0.704,0.680,0.704,0
08-30-1990,0.704,0.704,0.688,0.688,0
08-31-1990,0.688,0.688,0.665,0.665,0
09-04-1990,0.672,0.672,0.657,0.657,0
09-05-1990,0.657,0.665,0.657,0.665,0
09-06-1990,0.657,0.672,0.657,0.657,0
09-07-1990,0.657,0.672,0.653,0.657,0
09-10-1990,0.657,0.657,0.657,0.657,0
09-11-1990,0.669,0.669,0.657,0.657,0
09-12-1990,0.657,0.657,0.618,0.618,0
09-13-1990,0.634,0.641,0.626,0.634,0
09-14-1990,0.641,0.641,0.626,0.634,0
09-17-1990,0.626,0.626,0.626,0.626,0
09-18-1990,0.641,0.641,0.641,0.641,0
09-19-1990,0.629,0.629,0.626,0.626,0
09-20-1990,0.626,0.626,0.622,0.622,0
09-21-1990,0.618,0.634,0.618,0.634,0
09-24-1990,0.630,0.630,0.614,0.630,0
09-25-1990,0.630,0.638,0.623,0.623,0
09-26-1990,0.638,0.638,0.623,0.623,0
09-27-1990,0.630,0.638,0.623,0.623,0
09-28-1990,0.623,0.646,0.614,0.646,0
10-01-1990,0.630,0.630,0.614,0.614,0
10-02-1990,0.646,0.646,0.646,0.646,0
10-03-1990,0.614,0.646,0.614,0.630,0
10-04-1990,0.614,0.646,0.614,0.646,0
10-05-1990,0.614,0.630,0.614,0.614,0
10-08-1990,0.607,0.610,0.599,0.603,0
10-09-1990,0.599,0.614,0.536,0.559,0
10-10-1990,0.559,0.559,0.536,0.552,0
10-11-1990,0.552,0.552,0.520,0.520,0
10-12-1990,0.512,0.528,0.512,0.520,0
10-15-1990,0.520,0.520,0.488,0.504,0
10-16-1990,0.488,0.488,0.457,0.465,0
10-17-1990,0.449,0.465,0.449,0.453,0
10-18-1990,0.461,0.504,0.457,0.496,0
10-19-1990,0.504,0.512,0.496,0.496,0
10-22-1990,0.496,0.528,0.496,0.528,0
10-23-1990,0.512,0.520,0.512,0.520,0
10-24-1990,0.528,0.528,0.524,0.524,0
10-25-1990,0.528,0.528,0.504,0.504,0
10-26-1990,0.504,0.528,0.504,0.528,0
10-29-1990,0.528,0.528,0.504,0.504,0
10-30-1990,0.504,0.512,0.504,0.504,0
10-31-1990,0.512,0.512,0.504,0.512,0
11-01-1990,0.512,0.512,0.496,0.496,0
11-02-1990,0.512,0.532,0.504,0.532,0
11-05-1990,0.536,0.544,0.536,0.544,0
11-06-1990,0.512,0.544,0.512,0.520,0
11-07-1990,0.544,0.544,0.520,0.520,0
11-08-1990,0.528,0.536,0.512,0.520,0
11-09-1990,0.512,0.536,0.512,0.528,0
11-12-1990,0.536,0.536,0.520,0.536,0
11-13-1990,0.544,0.599,0.544,0.595,0
11-14-1990,0.614,0.614,0.591,0.591,0
11-15-1990,0.583,0.591,0.567,0.567,0
11-16-1990,0.591,0.591,0.567,0.567,0
11-19-1990,0.591,0.591,0.567,0.567,0
11-20-1990,0.583,0.591,0.567,0.591,0
11-21-1990,0.591,0.591,0.567,0.591,0
11-23-1990,0.591,0.591,0.567,0.591,0
