Date,Open,High,Low,Close,Volume
02-18-1994,1.32,1.33,1.21,1.32,0
02-22-1994,1.30,1.33,1.26,1.32,0
02-23-1994,1.29,1.32,1.26,1.27,0
02-24-1994,1.27,1.27,1.22,1.22,0
02-25-1994,1.26,1.27,1.22,1.26,0
02-28-1994,1.25,1.27,1.25,1.25,0
03-01-1994,1.27,1.27,1.24,1.26,0
03-02-1994,1.26,1.26,1.22,1.25,0
03-03-1994,1.26,1.26,1.23,1.26,0
03-04-1994,1.23,1.38,1.23,1.38,0
03-07-1994,1.38,1.42,1.36,1.41,0
03-08-1994,1.41,1.41,1.36,1.39,0
03-09-1994,1.36,1.41,1.36,1.41,0
03-10-1994,1.36,1.41,1.35,1.35,0
03-11-1994,1.35,1.38,1.33,1.38,0
03-14-1994,1.38,1.38,1.33,1.37,0
03-15-1994,1.37,1.37,1.29,1.29,0
03-16-1994,1.29,1.33,1.29,1.32,0
03-17-1994,1.33,1.36,1.31,1.36,0
03-18-1994,1.36,1.41,1.35,1.38,0
03-21-1994,1.38,1.43,1.38,1.43,0
03-22-1994,1.42,1.46,1.42,1.45,0
03-23-1994,1.42,1.46,1.42,1.46,0
03-24-1994,1.46,1.46,1.39,1.43,0
03-25-1994,1.38,1.38,1.38,1.38,0
03-28-1994,1.38,1.42,1.35,1.35,0
03-29-1994,1.34,1.36,1.34,1.34,0
03-30-1994,1.33,1.36,1.32,1.36,0
03-31-1994,1.31,1.34,1.26,1.34,0
04-04-1994,1.32,1.33,1.27,1.27,0
04-05-1994,1.32,1.36,1.31,1.35,0
04-06-1994,1.36,1.36,1.36,1.36,0
04-07-1994,1.32,1.36,1.32,1.36,0
04-08-1994,1.32,1.32,1.32,1.32,0
04-11-1994,1.33,1.36,1.32,1.36,0
04-12-1994,1.34,1.34,1.34,1.34,0
04-13-1994,1.33,1.34,1.32,1.32,0
04-14-1994,1.35,1.35,1.31,1.35,0
04-15-1994,1.32,1.35,1.32,1.35,0
04-18-1994,1.34,1.39,1.32,1.32,0
04-19-1994,1.35,1.35,1.30,1.30,0
04-20-1994,1.34,1.34,1.34,1.34,0
04-21-1994,1.35,1.35,1.31,1.35,0
04-22-1994,1.30,1.34,1.27,1.32,0
04-25-1994,1.32,1.32,1.27,1.27,0
04-26-1994,1.26,1.28,1.26,1.27,0
04-28-1994,1.26,1.33,1.26,1.30,0
04-29-1994,1.33,1.41,1.33,1.41,0
05-02-1994,1.41,1.41,1.35,1.41,0
05-03-1994,1.36,1.38,1.36,1.38,0
05-04-1994,1.36,1.38,1.36,1.37,0
05-05-1994,1.35,1.39,1.35,1.37,0
05-06-1994,1.35,1.39,1.35,1.37,0
05-09-1994,1.35,1.36,1.35,1.35,0
05-10-1994,1.38,1.38,1.29,1.34,0
05-11-1994,1.33,1.33,1.32,1.32,0
05-12-1994,1.35,1.36,1.35,1.36,0
05-13-1994,1.34,1.34,1.34,1.34,0
05-16-1994,1.34,1.36,1.34,1.34,0
05-17-1994,1.33,1.38,1.33,1.38,0
05-18-1994,1.34,1.34,1.32,1.33,0
05-19-1994,1.34,1.34,1.32,1.32,0
05-20-1994,1.35,1.35,1.35,1.35,0
05-23-1994,1.32,1.34,1.32,1.34,0
05-24-1994,1.32,1.35,1.32,1.35,0
05-25-1994,1.32,1.32,1.32,1.32,0
05-26-1994,1.35,1.38,1.35,1.35,0
05-27-1994,1.33,1.38,1.33,1.35,0
05-31-1994,1.36,1.39,1.33,1.39,0
06-01-1994,1.41,1.45,1.36,1.39,0
06-02-1994,1.39,1.45,1.39,1.45,0
06-03-1994,1.39,1.46,1.39,1.45,0
06-06-1994,1.47,1.51,1.47,1.51,0
06-07-1994,1.49,1.51,1.46,1.47,0
06-08-1994,1.43,1.46,1.42,1.42,0
06-09-1994,1.45,1.45,1.41,1.41,0
06-10-1994,1.45,1.45,1.41,1.41,0
06-13-1994,1.45,1.46,1.45,1.45,0
06-14-1994,1.46,1.46,1.42,1.46,0
06-15-1994,1.46,1.46,1.42,1.45,0
06-16-1994,1.46,1.46,1.42,1.42,0
06-17-1994,1.45,1.45,1.45,1.45,0
06-20-1994,1.41,1.43,1.39,1.43,0
06-21-1994,1.41,1.41,1.41,1.41,0
06-22-1994,1.41,1.41,1.41,1.41,0
06-23-1994,1.43,1.43,1.39,1.39,0
06-24-1994,1.42,1.44,1.41,1.41,0
06-27-1994,1.43,1.44,1.41,1.41,0
06-28-1994,1.45,1.45,1.45,1.45,0
06-29-1994,1.45,1.45,1.45,1.45,0
06-30-1994,1.43,1.46,1.42,1.46,0
07-01-1994,1.49,1.49,1.45,1.46,0
07-05-1994,1.45,1.45,1.45,1.45,0
07-06-1994,1.45,1.46,1.42,1.42,0
07-07-1994,1.44,1.45,1.43,1.43,0
07-08-1994,1.46,1.51,1.45,1.46,0
07-11-1994,1.46,1.46,1.46,1.46,0
07-12-1994,1.46,1.46,1.46,1.46,0
07-13-1994,1.51,1.55,1.51,1.51,0
07-14-1994,1.53,1.56,1.52,1.52,0
07-15-1994,1.56,1.58,1.54,1.54,0
07-18-1994,1.58,1.64,1.58,1.60,0
07-19-1994,1.62,1.65,1.59,1.64,0
07-20-1994,1.65,1.65,1.54,1.57,0
07-21-1994,1.53,1.55,1.53,1.55,0
