Date,Open,High,Low,Close,Volume
06-12-2014,19.98,20.08,19.53,19.60,5634293
06-13-2014,19.61,19.71,19.35,19.55,564061
06-16-2014,19.35,19.91,19.35,19.62,253776
06-17-2014,19.59,21.23,19.59,20.56,553981
06-18-2014,20.56,22.09,20.39,21.09,534516
06-19-2014,21.01,21.86,20.61,21.32,453126
06-20-2014,21.29,21.91,21.23,21.73,337801
06-23-2014,21.90,22.25,21.21,21.25,163278
06-24-2014,21.16,21.88,21.16,21.47,86210
06-25-2014,21.38,22.20,20.80,21.68,120943
06-26-2014,21.50,21.76,20.71,21.39,176654
06-27-2014,21.09,21.27,20.37,20.99,199688
06-30-2014,20.90,21.46,19.75,20.13,326975
07-01-2014,20.18,20.31,19.64,19.77,190765
07-02-2014,19.84,20.32,19.57,20.06,308132
07-03-2014,20.03,20.23,19.94,20.14,34260
07-07-2014,20.26,20.26,19.78,20.00,80032
07-08-2014,19.85,20.30,19.54,19.90,83301
07-09-2014,19.87,21.08,19.87,20.52,103149
07-10-2014,20.19,20.85,19.96,20.58,94766
07-11-2014,20.72,20.81,20.47,20.54,138393
07-14-2014,20.51,20.51,19.57,19.80,124870
07-15-2014,19.75,20.70,19.22,19.31,110515
07-16-2014,19.35,20.74,18.93,18.96,130590
07-17-2014,18.92,19.55,18.92,19.08,136996
07-18-2014,19.06,19.64,19.06,19.32,48096
07-21-2014,19.35,19.64,19.11,19.19,108700
07-22-2014,19.26,19.59,18.64,19.19,484467
07-23-2014,19.21,19.27,17.84,18.19,546959
07-24-2014,18.24,18.63,18.06,18.26,312760
07-25-2014,18.27,18.68,18.11,18.14,128084
07-28-2014,18.33,18.33,17.04,17.36,95356
07-29-2014,17.41,17.64,16.45,16.48,235353
07-30-2014,16.52,16.84,15.15,15.95,306952
07-31-2014,15.70,16.56,15.58,16.13,80257
08-01-2014,16.01,16.37,15.74,16.20,91048
08-04-2014,16.17,16.34,15.73,16.14,88346
08-05-2014,16.10,16.25,15.71,16.01,169241
08-06-2014,16.09,16.14,15.46,15.99,507059
08-07-2014,15.84,16.87,15.84,16.39,111801
08-08-2014,16.35,17.40,16.28,17.21,18369
08-11-2014,17.13,17.59,16.96,17.29,37964
08-12-2014,17.20,17.59,16.94,17.56,110898
08-13-2014,17.58,18.31,17.56,18.08,106588
08-14-2014,18.12,18.79,17.97,18.70,97451
08-15-2014,18.86,19.60,18.45,18.56,85745
08-18-2014,18.80,19.45,18.67,19.20,65735
08-19-2014,19.35,19.40,19.13,19.29,84405
08-20-2014,19.42,19.42,19.03,19.18,181110
08-21-2014,19.16,19.26,18.74,19.13,168492
08-22-2014,19.16,19.27,19.04,19.15,97206
08-25-2014,19.33,19.40,19.21,19.26,23952
08-26-2014,19.35,19.35,19.01,19.10,123318
08-27-2014,19.07,19.16,18.87,18.97,204322
08-28-2014,18.97,19.11,18.78,19.01,125541
