Date,Open,High,Low,Close,Volume
10-26-1994,210.00,221.25,210.00,210.00,216993
10-27-1994,211.88,217.50,208.13,210.94,39480
10-28-1994,217.50,225.00,210.00,213.75,33193
10-31-1994,213.75,225.00,210.00,210.00,13933
11-01-1994,210.00,217.50,210.00,217.50,21800
11-02-1994,210.00,217.50,210.00,217.50,10080
11-03-1994,217.50,225.00,217.50,217.50,43633
11-04-1994,217.50,225.00,217.50,217.50,6200
11-07-1994,217.50,225.00,213.75,221.25,8593
11-08-1994,213.75,221.25,213.75,213.75,5840
11-09-1994,213.75,221.25,210.00,210.00,15006
11-10-1994,210.00,217.50,210.00,210.00,6393
11-11-1994,217.50,217.50,210.00,210.94,2360
11-14-1994,210.00,213.75,210.00,210.00,10646
11-15-1994,210.00,210.00,202.50,210.00,43380
11-16-1994,202.50,210.00,202.50,202.50,3200
11-17-1994,202.50,210.00,202.50,202.50,786
11-18-1994,202.50,210.00,202.50,206.25,2460
11-21-1994,210.00,211.88,206.25,208.13,5746
11-22-1994,211.88,211.88,206.25,206.25,1206
11-23-1994,206.25,211.88,206.25,206.25,3653
11-25-1994,210.00,210.00,202.50,202.50,2220
11-28-1994,202.50,202.50,198.75,198.75,680
11-29-1994,198.75,202.50,198.75,198.75,693
11-30-1994,198.75,202.50,198.75,198.75,526
12-01-1994,198.75,201.56,198.75,201.56,713
12-02-1994,204.38,204.38,198.75,199.69,766
12-05-1994,198.75,202.50,198.75,202.50,200
12-06-1994,200.63,204.38,198.75,198.75,1593
12-07-1994,198.75,204.38,198.75,202.50,1466
12-08-1994,195.00,200.63,172.50,172.50,6960
12-09-1994,170.63,174.38,168.75,168.75,266
12-12-1994,178.13,178.13,168.75,170.63,7820
12-13-1994,174.38,174.38,168.75,168.75,480
12-14-1994,178.13,178.13,168.75,168.75,4400
12-15-1994,168.75,172.50,168.75,168.75,413
12-16-1994,178.13,178.13,168.75,174.38,786
12-19-1994,168.75,168.75,150.00,159.38,1633
12-20-1994,159.38,165.00,150.00,157.50,5926
12-21-1994,155.63,165.00,153.75,163.13,31280
12-22-1994,172.50,180.00,170.63,172.50,35260
12-23-1994,180.00,180.00,172.50,172.50,11460
12-27-1994,172.50,174.38,172.50,172.50,1280
12-28-1994,172.50,180.00,165.00,165.00,1800
12-29-1994,165.00,170.63,161.25,161.25,900
12-30-1994,161.25,174.38,159.38,165.00,4713
01-03-1995,165.00,165.00,157.50,161.25,3133
01-04-1995,161.25,161.25,153.75,161.25,3746
01-05-1995,155.63,161.25,153.75,161.25,1586
01-06-1995,159.38,161.25,153.75,153.75,720
01-09-1995,157.50,161.25,153.75,161.25,21766
01-10-1995,161.25,166.88,157.50,165.00,4260
01-11-1995,168.75,187.50,168.75,180.00,6600
01-12-1995,180.00,180.00,174.38,180.00,320
01-13-1995,177.19,180.00,174.38,174.38,993
01-16-1995,174.38,198.75,174.38,191.25,14460
01-17-1995,198.75,200.63,191.25,200.63,5133
01-18-1995,200.63,217.50,195.00,217.50,6213
01-19-1995,211.88,215.63,210.00,213.75,13586
01-20-1995,210.00,213.75,202.50,208.13,6993
01-23-1995,204.38,210.00,202.50,210.00,3040
01-24-1995,210.00,213.75,206.25,213.75,9866
01-25-1995,211.88,215.63,206.25,210.00,2493
01-26-1995,208.13,210.00,206.25,206.25,2840
01-27-1995,210.00,215.63,206.25,215.63,3233
01-30-1995,215.63,215.63,204.38,204.38,2000
01-31-1995,206.25,213.75,204.38,206.25,2920
02-01-1995,208.13,213.75,206.25,206.25,2146
02-02-1995,217.50,217.50,206.25,206.25,720
02-03-1995,206.25,215.63,206.25,206.25,313
02-06-1995,206.25,215.63,206.25,215.63,3346
02-07-1995,213.75,213.75,202.50,204.38,1680
02-08-1995,202.50,208.13,198.75,202.50,1446
02-09-1995,198.75,202.50,195.00,196.88,3160
02-10-1995,210.00,221.25,198.75,219.38,10300
02-13-1995,210.00,219.38,210.00,219.38,953
02-14-1995,219.38,219.38,213.75,219.38,2206
02-15-1995,223.13,243.75,221.25,225.00,9986
02-16-1995,232.50,253.13,217.50,240.00,15900
02-17-1995,248.44,266.25,240.00,260.63,19740
02-21-1995,262.50,273.75,251.25,262.50,7940
02-22-1995,273.75,277.50,249.38,262.50,20113
02-23-1995,270.00,270.00,256.88,256.88,10500
02-24-1995,255.00,264.38,251.25,258.75,3166
02-27-1995,255.00,255.00,247.50,255.00,1486
02-28-1995,253.13,258.75,247.50,258.75,2206
03-01-1995,255.00,258.75,251.25,258.75,3853
03-02-1995,258.75,258.75,255.00,255.00,1773
