Date,Open,High,Low,Close,Volume
10-18-2000,8.79,8.99,8.58,8.95,101017
10-19-2000,8.97,9.02,8.95,9.02,110880
10-20-2000,9.08,9.79,9.08,9.34,226697
10-23-2000,9.40,9.70,9.38,9.70,102391
10-24-2000,9.75,9.77,9.68,9.68,48990
10-25-2000,9.61,9.61,9.36,9.54,58301
10-26-2000,9.50,9.50,9.43,9.43,25984
10-27-2000,9.40,9.56,9.38,9.40,122102
10-30-2000,9.43,9.47,9.29,9.34,575829
10-31-2000,9.24,9.31,9.18,9.27,2509860
11-01-2000,9.27,9.31,9.11,9.13,184256
11-02-2000,9.08,9.08,8.95,9.04,362243
11-03-2000,9.04,9.04,8.86,9.04,336234
11-06-2000,9.04,9.11,8.95,9.02,266136
11-07-2000,9.02,9.02,8.92,8.92,66242
11-08-2000,8.88,8.88,8.76,8.81,74178
11-09-2000,8.74,8.86,8.67,8.86,111151
11-10-2000,8.90,8.90,8.83,8.90,249154
11-13-2000,8.86,8.86,8.67,8.76,19688
11-14-2000,8.79,8.88,8.76,8.81,120460
11-15-2000,8.79,8.79,8.72,8.76,67887
11-16-2000,8.81,8.81,8.63,8.72,155236
11-17-2000,8.72,8.72,8.51,8.58,555833
11-20-2000,8.65,8.65,8.54,8.58,50910
11-21-2000,8.67,8.81,8.67,8.67,232179
11-22-2000,8.54,8.70,8.54,8.65,50081
11-24-2000,8.67,8.72,8.61,8.72,114435
11-27-2000,8.76,8.88,8.63,8.67,2194962
11-28-2000,8.72,8.72,8.58,8.58,1597746
11-29-2000,8.58,8.61,8.58,8.58,1687014
11-30-2000,8.61,8.67,8.58,8.63,148386
12-01-2000,8.63,8.63,8.49,8.49,58577
12-04-2000,8.54,8.61,8.54,8.58,532569
12-05-2000,8.61,8.61,8.49,8.58,594450
12-06-2000,8.58,8.67,8.56,8.61,45706
12-07-2000,8.58,8.65,8.56,8.56,1656346
12-08-2000,8.61,8.74,8.54,8.74,5335735
12-11-2000,8.81,8.92,8.79,8.86,69254
12-12-2000,8.88,8.97,8.81,8.90,116077
12-13-2000,8.95,9.06,8.88,9.02,61311
12-14-2000,9.02,9.11,8.97,9.08,36121
12-15-2000,9.08,9.27,9.08,9.22,23521
