Date,Open,High,Low,Close,Volume
03-27-2014,13.00,13.00,13.00,13.00,0
03-28-2014,13.00,14.35,11.77,13.98,9464966
03-31-2014,14.49,14.82,13.61,13.65,560944
04-01-2014,13.65,14.15,13.65,14.06,467276
04-02-2014,14.10,15.61,13.93,15.61,592094
04-03-2014,15.85,15.89,13.27,14.15,485209
04-04-2014,13.89,14.19,13.00,13.06,415345
04-07-2014,13.05,13.39,12.83,12.99,213587
04-08-2014,13.24,13.28,12.86,13.01,118982
04-09-2014,13.31,13.31,12.67,12.97,140498
04-10-2014,12.89,13.19,12.52,13.08,165133
04-11-2014,13.27,13.27,12.57,12.94,214023
04-14-2014,13.30,13.30,12.82,12.85,221498
04-15-2014,13.40,13.40,12.00,12.60,401587
04-16-2014,12.02,12.74,12.02,12.52,163841
04-17-2014,12.40,13.19,12.28,13.06,82241
04-21-2014,13.30,13.30,12.95,13.10,71834
04-22-2014,13.34,14.65,13.34,14.17,633712
04-23-2014,14.33,14.86,14.17,14.40,137018
04-24-2014,14.52,14.77,14.20,14.70,95306
04-25-2014,14.71,14.95,14.30,14.86,100146
04-28-2014,14.67,15.51,14.38,15.02,258602
04-29-2014,14.97,15.34,14.51,14.98,214812
04-30-2014,15.20,15.25,14.53,14.92,96851
05-01-2014,14.80,15.39,14.79,15.34,107258
05-02-2014,15.39,15.75,15.07,15.18,169053
05-05-2014,14.97,15.33,14.96,15.15,113268
05-06-2014,15.00,15.49,14.50,14.85,185292
05-07-2014,15.09,15.74,12.33,12.50,423872
05-08-2014,12.95,13.36,12.02,12.09,214930
05-09-2014,12.09,12.85,10.52,10.93,257211
05-12-2014,10.76,11.21,10.60,10.77,388179
05-13-2014,10.75,13.73,10.75,13.35,603640
05-14-2014,13.23,14.29,13.00,13.67,286084
05-15-2014,13.68,13.68,13.15,13.46,120809
05-16-2014,13.21,13.72,13.16,13.50,78690
05-19-2014,13.65,13.75,13.47,13.55,109896
05-20-2014,13.45,13.64,13.15,13.40,96685
05-21-2014,13.44,13.74,13.38,13.58,67785
05-22-2014,13.54,13.70,13.30,13.34,135237
05-23-2014,13.37,13.51,13.17,13.28,109740
05-27-2014,13.29,13.79,13.27,13.63,84113
05-28-2014,13.59,14.26,13.55,13.59,95542
05-29-2014,13.71,14.45,13.54,14.24,68825
05-30-2014,13.98,14.54,13.98,14.44,91589
06-02-2014,14.39,14.70,14.30,14.63,73829
06-03-2014,14.34,14.41,13.67,13.85,91598
06-04-2014,13.89,13.89,13.14,13.20,160875
06-05-2014,13.30,14.00,13.05,13.72,85500
06-06-2014,13.67,14.04,13.65,14.04,92253
06-09-2014,14.10,14.27,13.64,13.71,84639
06-10-2014,13.66,13.83,13.03,13.19,163635
06-11-2014,13.38,14.14,13.20,14.09,122522
06-12-2014,14.24,14.24,13.63,13.96,158719
06-13-2014,13.93,14.23,13.75,14.01,64864
06-16-2014,14.00,14.40,13.86,13.95,103843
06-17-2014,13.97,14.69,13.91,14.61,140599
06-18-2014,14.57,14.60,14.12,14.56,169467
06-19-2014,14.60,14.79,14.25,14.79,81759
06-20-2014,14.83,15.89,14.64,15.35,546456
06-23-2014,15.31,16.75,15.31,16.62,207522
06-24-2014,16.65,17.58,16.40,16.61,565657
06-25-2014,16.64,16.82,16.29,16.64,191801
06-26-2014,16.63,16.84,16.32,16.46,219542
06-27-2014,16.46,16.77,15.44,15.47,1493205
06-30-2014,15.70,16.91,15.25,16.81,230551
07-01-2014,16.95,16.95,15.81,16.08,128573
07-02-2014,16.02,17.33,16.02,16.65,207573
07-03-2014,16.65,17.01,16.33,16.60,59432
07-07-2014,16.61,16.66,15.60,15.64,107607
07-08-2014,15.70,15.86,14.39,14.77,367072
07-09-2014,14.76,14.76,13.78,14.13,252507
07-10-2014,13.74,14.36,13.40,14.31,237090
07-11-2014,14.33,14.69,14.10,14.45,155475
07-14-2014,14.58,14.78,14.30,14.50,109605
07-15-2014,14.46,14.50,14.03,14.13,145270
07-16-2014,14.25,14.25,13.85,13.96,134541
07-17-2014,13.89,13.89,13.25,13.50,185417
07-18-2014,13.40,13.59,13.36,13.50,130427
07-21-2014,13.46,13.52,13.07,13.32,180582
07-22-2014,13.40,13.73,13.32,13.65,80928
07-23-2014,13.72,13.90,13.64,13.72,68094
07-24-2014,13.66,13.73,13.50,13.56,86894
07-25-2014,13.76,14.43,13.53,14.37,154514
07-28-2014,14.43,14.55,14.03,14.28,114842
07-29-2014,14.39,14.58,14.09,14.37,91060
07-30-2014,14.55,14.55,14.24,14.41,71306
07-31-2014,14.22,14.26,13.96,14.06,104717
08-01-2014,14.10,14.10,13.51,13.71,92033
08-04-2014,13.72,14.05,13.71,13.82,87327
08-05-2014,13.70,13.98,13.10,13.64,296172
08-06-2014,13.52,14.30,13.27,14.21,229729
08-07-2014,14.53,16.70,14.09,16.54,703441
08-08-2014,16.60,17.17,16.06,17.08,155982
08-11-2014,15.94,16.87,15.92,16.82,227744
08-12-2014,16.80,16.80,16.10,16.34,223122
08-13-2014,16.34,17.00,16.03,16.81,113000
08-14-2014,16.84,18.46,16.41,18.04,358069
08-15-2014,18.29,18.29,17.01,17.87,82663
08-18-2014,18.00,18.30,17.90,18.28,96333
08-19-2014,18.28,18.81,17.91,18.57,117226
08-20-2014,18.41,19.36,17.95,19.21,131213
08-21-2014,19.33,19.47,18.80,19.40,99584
08-22-2014,19.41,19.72,19.36,19.48,101438
08-25-2014,19.69,20.20,19.09,19.94,152153
08-26-2014,20.05,20.14,19.16,19.50,245472
08-27-2014,19.45,19.47,18.74,18.75,73574
08-28-2014,18.75,19.00,18.43,18.56,63856
08-29-2014,18.62,19.00,18.32,18.90,74640
09-02-2014,18.98,18.98,18.35,18.55,112003
09-03-2014,18.59,18.75,17.93,18.03,81417
09-04-2014,18.09,18.24,17.13,17.30,98184
09-05-2014,17.25,17.38,16.40,16.47,151514
09-08-2014,16.41,16.90,16.17,16.55,225852
09-09-2014,16.57,16.77,16.07,16.10,49138
09-10-2014,16.15,16.59,15.76,15.79,107445
09-11-2014,15.76,15.91,15.42,15.52,80020
09-12-2014,15.60,15.90,15.52,15.61,129631
09-15-2014,15.56,16.00,15.54,15.79,131770
09-16-2014,15.72,15.72,15.19,15.37,96269
09-17-2014,15.25,16.32,15.25,15.94,126773
09-18-2014,16.07,16.51,15.33,15.40,58776
09-19-2014,15.43,15.91,15.34,15.37,107882
09-22-2014,15.22,15.38,15.00,15.19,62190
09-23-2014,15.13,15.52,14.72,14.93,130483
09-24-2014,14.85,14.96,14.67,14.80,138797
09-25-2014,14.70,15.41,14.70,15.21,118952
09-26-2014,15.18,15.61,14.83,14.92,313144
09-29-2014,15.00,15.89,15.00,15.62,281106
09-30-2014,15.71,16.22,15.21,15.59,298950
10-01-2014,15.53,16.20,15.06,15.16,202502
10-02-2014,15.23,15.30,14.91,15.04,93048
10-03-2014,15.11,15.63,14.97,15.54,140650
10-06-2014,15.57,15.62,15.36,15.37,38726
10-07-2014,15.22,15.57,15.22,15.50,71118
10-08-2014,15.40,16.20,15.40,16.16,184348
10-09-2014,16.10,16.10,15.60,16.06,220720
