Date,Open,High,Low,Close,Volume
03-03-1999,4.12,4.17,4.12,4.17,0
03-04-1999,4.02,4.12,4.02,4.12,0
03-05-1999,4.02,4.02,4.02,4.02,0
03-08-1999,4.12,4.12,4.12,4.12,0
03-09-1999,4.12,4.12,4.12,4.12,0
03-10-1999,4.12,4.12,4.12,4.12,0
03-11-1999,3.97,3.97,3.97,3.97,0
03-12-1999,4.12,4.12,4.12,4.12,0
03-15-1999,4.12,4.12,4.12,4.12,0
03-16-1999,4.12,4.12,4.12,4.12,0
03-17-1999,4.12,4.12,4.12,4.12,0
03-18-1999,4.12,4.12,4.12,4.12,0
03-19-1999,3.97,3.97,3.97,3.97,0
03-22-1999,3.97,3.97,3.97,3.97,0
03-23-1999,3.97,3.97,3.97,3.97,0
03-24-1999,3.97,3.97,3.97,3.97,0
03-25-1999,3.97,3.97,3.97,3.97,0
03-26-1999,4.02,4.02,4.02,4.02,0
03-29-1999,4.02,4.02,4.02,4.02,0
03-30-1999,4.03,4.07,4.03,4.07,0
03-31-1999,4.02,4.02,4.02,4.02,0
04-01-1999,4.27,4.27,4.27,4.27,0
04-05-1999,4.21,4.21,4.21,4.21,7636
04-06-1999,4.21,4.21,4.21,4.21,922
04-07-1999,4.21,4.21,4.21,4.21,11464
04-08-1999,4.27,4.27,4.27,4.27,17231
04-09-1999,4.27,4.27,4.21,4.21,5713
04-12-1999,4.21,4.21,4.21,4.21,0
04-13-1999,4.21,4.37,4.21,4.37,10509
04-14-1999,4.37,4.37,4.37,4.37,0
04-15-1999,4.37,4.37,4.37,4.37,0
04-16-1999,4.37,4.37,4.37,4.37,0
04-19-1999,4.21,4.21,4.21,4.21,1879
04-20-1999,4.21,4.21,4.21,4.21,0
04-21-1999,4.21,4.21,4.21,4.21,0
04-22-1999,4.21,4.21,4.21,4.21,0
04-23-1999,4.21,4.21,4.21,4.21,0
04-26-1999,4.35,4.35,4.35,4.35,1879
04-27-1999,4.21,4.21,4.17,4.17,4757
04-28-1999,4.17,4.17,4.17,4.17,3797
04-29-1999,4.27,4.27,4.17,4.21,22987
04-30-1999,4.24,4.24,4.24,4.24,14354
05-03-1999,4.17,4.27,4.17,4.27,21072
05-04-1999,4.27,4.27,4.27,4.27,4757
05-05-1999,4.27,4.27,4.27,4.27,0
05-06-1999,4.27,4.27,4.27,4.27,922
05-07-1999,4.27,4.27,4.27,4.27,0
05-10-1999,4.27,4.27,4.27,4.27,9549
05-11-1999,4.27,4.27,4.27,4.27,0
05-12-1999,4.21,4.21,4.21,4.21,1879
05-13-1999,4.21,4.21,4.21,4.21,0
05-14-1999,4.21,4.21,4.21,4.21,0
05-17-1999,4.21,4.21,4.21,4.21,4757
05-18-1999,4.21,4.21,4.21,4.21,1879
05-19-1999,4.21,4.21,4.21,4.21,0
05-20-1999,4.21,4.21,4.21,4.21,0
05-21-1999,4.21,4.27,4.21,4.27,15316
05-24-1999,4.27,4.27,4.27,4.27,0
05-25-1999,4.17,4.17,4.06,4.06,24907
05-26-1999,4.27,4.27,4.27,4.27,1879
05-27-1999,4.17,4.17,4.17,4.17,1879
05-28-1999,4.24,4.27,4.21,4.21,21072
06-01-1999,4.21,4.27,4.21,4.21,6678
06-02-1999,4.27,4.27,4.27,4.27,25871
06-03-1999,4.21,4.21,4.21,4.21,9549
06-04-1999,4.27,4.27,4.27,4.27,4757
06-07-1999,4.19,4.19,4.19,4.19,5713
06-08-1999,4.27,4.27,4.27,4.27,4757
