Date,Open,High,Low,Close,Volume
03-25-2004,7.01,7.97,7.00,7.50,2764005
03-26-2004,7.55,7.55,7.17,7.45,475528
03-29-2004,7.45,7.70,7.25,7.25,119190
03-30-2004,7.22,7.45,7.15,7.30,205237
03-31-2004,7.30,7.65,7.05,7.25,581330
04-01-2004,7.32,7.45,7.25,7.25,129000
04-02-2004,7.29,7.89,7.29,7.52,209280
04-05-2004,7.50,7.88,7.35,7.79,77205
04-06-2004,7.65,7.75,7.50,7.75,22000
04-07-2004,7.70,8.20,7.70,7.93,54018
04-08-2004,7.98,8.10,7.85,8.02,97000
04-12-2004,8.10,8.23,8.00,8.00,40265
04-13-2004,8.11,8.49,8.05,8.30,87941
04-14-2004,8.26,8.45,8.16,8.25,40200
04-15-2004,8.11,8.37,8.11,8.14,22020
04-16-2004,8.24,8.24,7.89,7.89,9664
04-19-2004,8.14,8.25,7.89,8.10,237470
04-20-2004,8.15,8.25,7.90,8.04,6308
04-21-2004,7.90,8.14,7.76,8.02,21100
04-22-2004,7.90,8.00,7.69,8.00,23655
04-23-2004,7.84,7.91,7.35,7.75,168132
04-26-2004,7.80,8.03,7.55,7.75,13309
04-27-2004,7.70,7.95,7.36,7.95,16933
04-28-2004,7.60,8.01,7.47,7.90,20100
04-29-2004,7.75,7.90,7.52,7.52,10758
04-30-2004,7.67,7.90,7.40,7.45,51976
05-03-2004,7.40,8.85,7.40,7.64,91245
05-04-2004,8.10,8.15,7.65,7.85,80151
05-05-2004,8.05,8.15,7.80,7.90,120622
05-06-2004,8.00,8.00,7.75,7.95,24725
05-07-2004,7.70,8.15,7.65,8.00,293353
05-10-2004,8.16,8.16,7.80,7.82,170025
05-11-2004,7.70,8.20,7.70,8.10,165827
05-12-2004,8.00,8.15,7.83,8.00,22610
05-13-2004,7.92,7.95,7.86,7.86,169800
05-14-2004,7.85,7.85,7.70,7.70,10300
05-17-2004,7.70,7.73,7.47,7.47,12200
05-18-2004,7.52,7.85,7.52,7.84,20500
05-19-2004,7.80,7.91,7.74,7.90,21252
05-20-2004,7.73,7.85,7.50,7.68,7088
05-21-2004,7.67,7.70,7.33,7.42,50800
05-24-2004,7.45,7.60,7.28,7.37,14900
05-25-2004,7.40,7.50,7.25,7.50,22602
05-26-2004,7.48,7.50,7.25,7.26,22324
05-27-2004,7.48,7.50,7.43,7.43,11800
05-28-2004,7.45,7.84,7.45,7.84,9700
06-01-2004,7.68,7.86,7.61,7.86,5282
06-02-2004,7.76,7.86,7.57,7.80,9764
06-03-2004,7.88,7.88,7.59,7.70,9600
06-04-2004,7.88,7.88,7.47,7.47,122304
06-07-2004,7.46,7.80,7.25,7.44,8900
06-08-2004,7.78,7.80,7.27,7.76,1507
06-09-2004,7.50,7.50,7.32,7.32,4947
06-10-2004,7.49,7.59,7.42,7.59,8300
06-14-2004,7.30,7.74,7.30,7.74,6270
06-15-2004,7.45,7.63,7.30,7.56,2125
06-16-2004,7.40,7.50,7.40,7.40,995
06-17-2004,7.35,7.40,7.28,7.30,106155
06-18-2004,7.41,7.41,7.30,7.32,2915
06-21-2004,7.26,7.36,7.26,7.26,40787
06-22-2004,7.25,8.22,7.25,8.20,21189
06-23-2004,7.75,8.41,7.75,8.14,23570
06-24-2004,8.10,8.20,8.00,8.00,17519
06-25-2004,7.94,8.10,7.55,7.88,7841
06-28-2004,7.68,7.68,7.20,7.50,146713
06-29-2004,7.33,7.70,7.25,7.30,93077
06-30-2004,7.30,7.35,7.22,7.31,40084
07-01-2004,7.30,7.62,7.17,7.26,15829
07-02-2004,7.40,7.70,7.40,7.41,28690
07-06-2004,7.50,7.50,7.20,7.49,80600
07-07-2004,7.37,7.44,7.18,7.21,98769
07-08-2004,7.50,7.50,7.10,7.10,53326
07-09-2004,7.39,7.39,7.11,7.13,5300
07-12-2004,7.10,7.24,6.85,6.86,51747
07-13-2004,6.90,6.95,6.61,6.75,35900
07-14-2004,6.75,6.75,6.39,6.42,18300
07-15-2004,6.45,6.45,5.35,5.84,125796
07-16-2004,6.07,6.10,5.86,6.02,37705
07-19-2004,6.38,6.71,6.03,6.16,161249
07-20-2004,6.16,6.35,5.93,6.29,53302
07-21-2004,6.04,6.40,6.04,6.17,21100
07-22-2004,6.00,6.29,5.64,6.00,38880
07-23-2004,6.17,6.34,5.90,6.34,79360
07-26-2004,6.15,6.25,6.00,6.03,6457
07-27-2004,6.12,6.30,5.86,6.22,36749
07-28-2004,6.41,6.50,6.05,6.39,64540
07-29-2004,6.52,6.80,6.19,6.68,101880
07-30-2004,6.75,6.75,6.40,6.73,33186
08-02-2004,6.79,6.79,6.27,6.60,28650
08-03-2004,6.50,6.70,6.35,6.45,25700
08-04-2004,6.35,6.44,6.33,6.35,9710
08-05-2004,6.72,6.77,6.30,6.31,5100
08-06-2004,6.28,6.45,6.10,6.40,4600
08-09-2004,6.17,6.19,5.98,6.11,36600
08-10-2004,6.00,6.10,5.91,6.09,29130
08-11-2004,6.09,6.16,5.91,6.02,32246
08-12-2004,5.96,6.02,5.95,6.00,26980
08-13-2004,5.99,6.16,5.94,6.01,29200
08-16-2004,6.00,6.04,5.90,5.95,35279
08-17-2004,6.00,6.02,5.91,5.91,40500
08-18-2004,6.00,6.15,5.94,5.98,29550
08-19-2004,5.90,6.08,5.89,5.89,26838
08-20-2004,5.88,6.14,5.88,5.97,26100
08-23-2004,5.90,5.92,5.82,5.86,24491
08-24-2004,5.85,5.90,5.65,5.70,67456
08-25-2004,5.68,5.83,5.58,5.71,48520
08-26-2004,5.60,5.70,5.16,5.50,25500
08-27-2004,5.35,5.60,5.30,5.45,71590
08-30-2004,5.47,5.49,5.15,5.36,13214
08-31-2004,5.21,5.37,5.15,5.19,27752
09-01-2004,5.26,5.39,5.15,5.24,12900
09-02-2004,5.21,5.39,5.20,5.20,12995
09-03-2004,5.20,5.30,5.14,5.15,75300
09-07-2004,5.13,5.22,5.05,5.08,37714
09-08-2004,5.08,5.12,5.02,5.11,36980
09-09-2004,5.15,5.18,4.90,5.10,145471
09-10-2004,5.10,5.15,4.98,5.06,35600
09-13-2004,4.70,4.75,4.25,4.40,285572
09-14-2004,4.50,4.50,4.36,4.40,215000
09-15-2004,4.35,4.50,4.34,4.35,69953
09-16-2004,4.53,4.53,4.36,4.36,40446
09-17-2004,4.40,4.48,4.31,4.43,19728
09-20-2004,4.50,4.53,4.33,4.37,19700
09-21-2004,4.40,4.48,4.40,4.43,23300
09-22-2004,4.50,4.55,4.42,4.50,16900
09-23-2004,4.50,4.50,4.45,4.45,12300
09-24-2004,4.43,4.50,4.38,4.46,343247
09-27-2004,4.38,4.43,4.37,4.40,6400
09-28-2004,4.30,4.36,4.10,4.25,154999
09-29-2004,4.29,4.29,4.15,4.16,12300
09-30-2004,4.10,4.31,4.10,4.30,220100
10-01-2004,4.30,4.38,4.15,4.26,229074
10-04-2004,4.26,4.63,4.26,4.46,67998
10-05-2004,4.61,4.63,4.52,4.63,48683
10-06-2004,4.65,4.75,4.40,4.68,21290
