Date,Open,High,Low,Close,Volume
04-02-1998,9.11,9.11,8.43,9.03,728751
04-03-1998,9.20,9.29,8.94,9.11,308749
04-06-1998,9.29,9.63,9.11,9.29,108714
04-07-1998,9.46,9.72,9.29,9.54,79631
04-08-1998,9.54,10.06,9.29,9.97,78613
04-09-1998,10.32,10.32,9.63,9.97,117577
04-13-1998,10.40,10.40,10.15,10.32,74836
04-14-1998,10.40,10.66,10.15,10.66,41977
04-15-1998,10.66,11.52,10.49,11.01,56375
04-16-1998,11.01,11.31,10.40,10.40,44164
04-17-1998,10.83,10.92,10.32,10.40,35146
04-20-1998,10.75,11.52,10.58,11.52,69895
04-21-1998,11.52,11.52,10.15,11.01,133861
04-22-1998,11.01,11.52,11.01,11.01,20754
04-23-1998,11.09,11.09,10.70,10.88,31803
04-24-1998,10.92,10.92,10.75,10.92,21919
04-27-1998,11.18,11.18,10.66,10.66,8829
04-28-1998,11.18,11.18,10.66,10.92,18138
04-29-1998,11.18,11.18,10.83,11.18,16833
04-30-1998,11.18,11.18,11.01,11.01,1710
05-01-1998,10.92,11.01,10.66,10.66,7669
05-04-1998,11.09,11.09,10.75,10.92,8246
05-05-1998,10.92,10.92,10.75,10.75,9268
05-06-1998,10.92,10.92,10.75,10.75,3889
05-07-1998,10.75,10.75,10.49,10.49,5198
05-08-1998,10.66,10.66,10.58,10.58,2586
05-11-1998,10.58,10.66,10.58,10.66,3304
05-12-1998,10.66,10.66,10.66,10.66,401
05-13-1998,10.66,10.66,10.32,10.66,8688
05-14-1998,10.49,10.49,10.49,10.49,1710
05-15-1998,10.49,10.66,10.49,10.49,7959
05-18-1998,10.58,10.58,10.15,10.32,7234
05-19-1998,10.15,10.40,10.15,10.23,1710
05-20-1998,10.27,10.27,9.89,10.06,4909
05-21-1998,10.32,10.32,9.97,9.97,2730
05-22-1998,9.97,9.97,9.97,9.97,0
05-26-1998,9.97,9.97,9.80,9.89,2730
05-27-1998,9.80,10.23,9.80,10.15,8829
05-28-1998,9.63,9.80,9.29,9.63,20904
05-29-1998,9.80,9.89,9.80,9.89,700
06-01-1998,9.46,9.80,9.29,9.54,19297
06-02-1998,9.63,9.63,9.63,9.63,549
06-03-1998,9.29,9.63,9.29,9.29,6947
06-04-1998,9.11,9.63,9.11,9.63,11310
06-05-1998,9.91,9.91,9.63,9.63,6655
06-08-1998,9.63,10.23,9.63,9.72,19014
06-09-1998,10.32,10.32,9.72,10.32,12614
06-10-1998,10.32,10.32,10.06,10.06,4477
06-11-1998,10.15,10.15,10.15,10.15,1421
06-12-1998,10.15,10.15,10.15,10.15,1278
06-15-1998,10.15,10.15,9.80,9.80,2436
06-16-1998,10.15,10.15,9.29,9.29,5198
06-17-1998,9.89,9.89,9.89,9.89,401
06-18-1998,9.89,9.89,9.89,9.89,10869
06-19-1998,9.89,9.89,9.89,9.89,0
06-22-1998,9.89,9.89,9.89,9.89,0
06-23-1998,9.63,9.80,9.63,9.80,4180
06-24-1998,9.89,9.89,9.20,9.63,2436
06-25-1998,9.80,9.80,9.80,9.80,700
06-26-1998,9.80,9.89,9.80,9.89,2436
06-29-1998,9.89,9.89,9.89,9.89,0
06-30-1998,9.63,9.80,9.63,9.63,3889
07-01-1998,9.63,9.89,9.46,9.89,9566
07-02-1998,9.46,9.80,9.29,9.29,4040
07-06-1998,9.54,9.54,9.20,9.20,3304
07-07-1998,9.89,9.89,9.20,9.63,5490
07-08-1998,9.63,9.63,9.63,9.63,255
07-09-1998,9.63,9.63,8.86,8.86,7959
07-10-1998,8.77,9.03,8.77,8.77,7377
07-13-1998,8.94,8.94,8.77,8.77,1278
07-14-1998,9.03,9.03,8.77,8.77,8246
07-15-1998,9.03,9.29,8.77,9.11,6222
07-16-1998,9.72,9.72,9.20,9.29,1421
