Date,Open,High,Low,Close,Volume
01-15-2015,24.65,24.76,24.15,24.38,0
01-16-2015,24.70,25.47,24.70,25.42,0
01-20-2015,25.40,25.42,24.54,24.98,0
01-21-2015,25.24,26.42,25.01,25.81,0
01-22-2015,25.89,26.81,25.75,26.71,0
01-23-2015,26.69,27.04,26.60,26.61,0
01-26-2015,26.78,27.16,26.58,27.13,0
01-27-2015,26.74,27.12,26.62,26.78,0
01-28-2015,26.86,26.98,25.85,25.86,0
01-29-2015,26.06,26.60,25.95,26.48,0
01-30-2015,25.80,26.28,25.67,25.75,0
02-02-2015,26.16,26.70,25.67,26.65,0
02-03-2015,26.81,27.82,26.81,27.57,0
02-04-2015,27.40,28.16,27.40,27.81,0
02-05-2015,27.99,28.36,27.87,28.23,0
02-06-2015,28.53,29.08,28.46,28.62,0
02-09-2015,27.78,28.10,27.70,27.85,0
02-10-2015,28.41,28.48,28.11,28.36,0
02-11-2015,28.02,28.11,27.73,27.97,0
02-12-2015,28.36,28.83,28.06,28.80,0
02-13-2015,28.94,29.08,28.71,28.90,0
02-17-2015,28.32,28.58,28.11,28.49,0
02-18-2015,28.46,28.62,28.02,28.08,0
02-19-2015,27.89,27.98,27.56,27.75,0
02-20-2015,27.59,28.12,27.36,28.10,0
02-23-2015,28.04,28.09,27.82,28.08,0
02-24-2015,28.13,28.43,28.09,28.30,0
02-25-2015,28.36,28.51,28.20,28.41,0
02-26-2015,28.61,28.78,28.45,28.73,0
02-27-2015,28.54,28.66,28.30,28.31,0
03-02-2015,28.25,28.55,28.15,28.55,0
03-03-2015,28.59,28.78,28.44,28.70,0
03-04-2015,28.71,28.77,28.48,28.62,0
03-05-2015,28.43,28.60,28.20,28.56,0
03-06-2015,29.29,30.05,29.19,29.31,0
03-09-2015,29.72,30.03,29.69,29.92,0
03-10-2015,30.22,30.23,29.50,29.50,0
03-11-2015,29.69,29.87,29.43,29.60,0
03-12-2015,29.82,30.16,29.58,30.14,0
03-13-2015,30.63,30.70,30.15,30.47,0
03-16-2015,29.36,29.89,29.23,29.79,0
03-17-2015,29.72,30.01,29.50,29.97,0
03-18-2015,29.76,30.20,29.58,29.91,0
03-19-2015,28.86,28.86,28.31,28.52,0
03-20-2015,28.31,28.73,28.14,28.54,0
03-23-2015,28.16,28.32,27.96,27.97,0
03-24-2015,27.60,27.69,27.24,27.24,0
03-25-2015,27.49,27.56,26.81,26.82,0
03-26-2015,26.53,26.75,26.05,26.54,0
03-27-2015,27.20,27.22,26.87,27.02,0
03-30-2015,27.54,28.44,27.53,28.21,0
03-31-2015,28.28,28.63,28.16,28.47,0
04-01-2015,28.15,28.21,27.75,28.10,0
04-02-2015,28.09,28.46,28.01,28.32,0
04-06-2015,27.05,27.55,26.91,27.34,0
04-07-2015,27.14,27.30,26.96,27.12,0
04-08-2015,27.23,27.46,27.17,27.28,0
04-09-2015,27.14,27.43,26.99,27.41,0
04-10-2015,27.40,27.64,27.22,27.63,0
04-13-2015,27.40,27.75,27.26,27.66,0
04-14-2015,27.32,27.55,26.87,27.07,0
04-15-2015,26.50,27.23,26.44,26.80,0
04-16-2015,26.25,26.25,25.43,25.83,0
04-17-2015,26.31,26.40,25.81,26.11,0
04-20-2015,25.91,26.11,25.80,25.95,0
04-21-2015,26.20,26.29,25.79,25.83,0
04-22-2015,25.98,26.23,25.58,26.12,0
04-23-2015,26.54,26.85,26.39,26.68,0
04-24-2015,26.10,26.28,25.93,26.16,0
04-27-2015,26.59,26.77,26.30,26.32,0
04-28-2015,26.16,26.54,26.01,26.46,0
04-29-2015,26.34,26.83,26.34,26.61,0
04-30-2015,27.01,27.24,26.68,26.94,0
05-01-2015,26.83,27.01,26.60,26.74,0
05-04-2015,26.90,27.39,26.81,27.35,0
05-05-2015,27.02,27.43,26.91,26.92,0
05-06-2015,27.33,27.33,26.56,26.81,0
05-07-2015,27.38,27.51,27.12,27.39,0
