Date,Open,High,Low,Close,Volume
03-03-2000,123.00,219.00,123.00,204.38,4286333
03-06-2000,186.00,219.00,182.58,202.88,688500
03-07-2000,199.50,201.75,187.50,192.00,382466
03-08-2000,189.00,190.88,171.00,180.75,632566
03-09-2000,176.63,183.38,168.75,183.38,329166
03-10-2000,178.13,187.88,175.69,182.25,339166
03-13-2000,157.88,171.38,157.50,162.75,422566
03-14-2000,159.00,163.50,136.13,138.00,443466
03-15-2000,137.81,163.13,137.63,160.88,409433
03-16-2000,164.25,180.00,160.13,175.13,227866
03-17-2000,176.25,180.00,165.00,165.75,125400
03-20-2000,165.75,168.00,144.00,147.38,191833
03-21-2000,150.19,168.19,150.00,162.00,224033
03-22-2000,168.00,180.38,168.00,176.25,156800
03-23-2000,175.31,183.00,174.00,175.13,226200
03-24-2000,183.00,210.00,183.00,206.25,292666
03-27-2000,208.50,230.25,208.50,215.63,260833
03-28-2000,226.31,275.63,219.00,262.50,514533
03-29-2000,264.77,280.50,225.75,246.94,453833
03-30-2000,243.56,269.25,228.00,244.50,330833
03-31-2000,251.25,256.50,233.63,234.19,270333
04-03-2000,232.13,232.88,207.00,208.50,195500
04-04-2000,209.63,211.13,131.63,165.38,388966
04-05-2000,158.25,202.50,148.50,178.50,141766
04-06-2000,186.00,200.63,180.75,183.38,90533
04-07-2000,185.25,201.00,184.69,198.75,53666
04-10-2000,199.13,199.13,191.63,192.38,84733
04-11-2000,190.88,190.88,172.88,174.00,67533
04-12-2000,173.63,174.38,152.63,157.50,114366
04-13-2000,160.88,163.50,150.00,150.00,111033
04-14-2000,147.75,147.75,88.13,90.38,245533
04-17-2000,93.00,99.00,82.88,91.88,269266
04-18-2000,96.94,117.75,94.13,111.00,155533
04-19-2000,130.03,134.63,112.69,117.00,154266
04-20-2000,118.88,123.00,112.50,115.88,110800
04-24-2000,116.63,116.63,108.75,112.50,65333
04-25-2000,115.88,120.75,113.25,116.63,67200
04-26-2000,126.00,149.25,119.63,141.75,246333
04-27-2000,120.00,150.00,120.00,150.00,122866
04-28-2000,153.56,158.63,135.00,142.50,142900
05-01-2000,137.44,142.13,137.25,139.50,64800
05-02-2000,132.38,137.95,129.75,130.88,57000
05-03-2000,129.00,130.13,118.88,129.38,70300
05-04-2000,126.47,142.50,124.13,127.13,72833
05-05-2000,129.38,138.00,127.50,132.75,28066
05-08-2000,129.75,134.25,126.00,130.50,17566
05-09-2000,133.13,133.13,123.00,123.00,44633
05-10-2000,124.13,124.50,115.50,116.25,25966
05-11-2000,119.06,124.13,114.75,117.00,24133
05-12-2000,122.25,124.13,109.50,109.50,36966
05-15-2000,108.00,108.75,100.50,106.69,51566
05-16-2000,111.00,129.75,110.63,127.50,86833
05-17-2000,121.50,137.63,116.25,137.63,50433
05-18-2000,135.00,143.63,132.00,132.19,66366
05-19-2000,131.25,132.00,118.50,124.88,43066
05-22-2000,120.38,124.50,117.00,120.38,107133
05-23-2000,120.00,120.00,117.00,118.13,111100
05-24-2000,116.25,117.00,102.38,108.00,112166
05-25-2000,116.25,120.00,110.63,113.25,338166
05-26-2000,114.75,114.75,99.75,100.88,71700
05-30-2000,106.50,109.13,102.00,105.75,90133
05-31-2000,108.28,118.50,107.63,114.75,102700
06-01-2000,81.75,84.00,54.77,62.06,3569066
06-02-2000,66.56,66.56,60.19,63.56,1071700
06-05-2000,66.56,68.44,63.19,63.75,453433
06-06-2000,64.50,64.69,59.06,59.25,367366
06-07-2000,60.19,60.75,56.63,57.75,220366
06-08-2000,60.00,60.19,55.88,56.63,198300
06-09-2000,58.31,58.50,54.75,56.25,202433
06-12-2000,57.19,57.38,54.38,55.69,150666
06-13-2000,54.56,55.31,50.25,54.19,226633
06-14-2000,55.88,64.31,55.88,60.75,732833
06-15-2000,62.63,63.38,57.75,58.88,318933
06-16-2000,62.06,62.25,58.50,60.38,120600
06-19-2000,60.00,61.50,58.88,61.50,92566
06-20-2000,61.69,62.25,57.00,60.19,107066
06-21-2000,60.75,65.06,59.81,63.38,194366
06-22-2000,66.19,74.63,64.13,69.00,330133
06-23-2000,73.69,76.88,72.00,72.94,335933
06-26-2000,75.19,75.75,69.00,69.19,147500
06-27-2000,70.69,71.06,65.25,66.00,98133
06-28-2000,66.00,68.63,65.25,66.75,78633
06-29-2000,67.22,69.75,66.38,69.38,79933
06-30-2000,85.50,99.00,84.00,91.13,992233
07-03-2000,92.25,92.63,88.50,90.00,105233
