Date,Open,High,Low,Close,Volume
11-24-2015,22.06,22.11,22.00,22.05,514522
11-25-2015,22.05,22.10,22.04,22.09,391262
11-27-2015,22.11,22.14,22.08,22.10,283833
11-30-2015,22.13,22.15,22.10,22.14,630995
12-01-2015,22.16,22.24,22.13,22.23,509998
12-02-2015,22.21,22.27,22.21,22.24,298534
12-03-2015,22.24,22.26,22.09,22.11,339245
12-04-2015,22.11,22.14,22.07,22.12,191105
12-07-2015,22.13,22.14,22.07,22.09,173013
12-08-2015,22.09,22.10,22.04,22.08,115340
12-09-2015,22.07,22.11,22.04,22.05,143610
12-10-2015,22.06,22.06,22.03,22.05,97247
12-11-2015,22.13,22.13,21.93,21.95,150396
12-14-2015,21.94,21.94,21.32,21.43,245385
12-15-2015,21.54,21.60,21.37,21.38,208069
12-16-2015,21.49,21.78,21.49,21.70,124387
12-17-2015,21.78,21.98,21.77,21.82,141350
12-18-2015,21.86,21.94,21.82,21.92,82547
12-21-2015,21.98,22.05,21.98,22.01,92724
12-22-2015,22.02,22.02,21.90,21.94,96117
12-23-2015,22.01,22.02,21.93,21.98,82547
12-24-2015,21.99,22.05,21.99,22.05,14696
12-28-2015,22.05,22.11,22.00,22.10,65584
12-29-2015,22.11,22.14,22.08,22.11,134564
12-30-2015,22.08,22.14,22.05,22.14,88200
12-31-2015,22.15,22.24,22.14,22.20,79152
01-04-2016,22.04,22.14,21.87,22.13,124387
01-05-2016,22.20,22.23,22.11,22.15,225031
01-06-2016,22.15,22.19,22.08,22.11,96117
01-07-2016,22.04,22.11,21.99,22.05,93855
01-08-2016,22.10,22.21,22.05,22.19,104034
01-11-2016,22.14,22.19,22.06,22.10,106294
01-12-2016,22.15,22.15,21.96,22.00,88200
01-13-2016,22.02,22.07,21.95,22.02,116472
01-14-2016,21.94,22.08,21.93,22.02,53144
01-15-2016,22.02,22.08,21.92,22.00,186583
01-19-2016,22.04,22.09,21.97,22.09,125519
01-20-2016,22.02,22.02,21.59,21.93,106294
01-21-2016,21.93,22.06,21.67,22.01,113011
01-22-2016,22.04,22.11,21.93,22.00,95249
01-25-2016,22.03,22.04,21.80,21.91,69292
01-26-2016,21.93,22.02,21.87,21.93,67586
01-27-2016,21.92,22.07,21.91,22.07,62180
01-28-2016,22.11,22.16,22.02,22.11,158297
01-29-2016,22.14,22.19,22.02,22.14,115329
02-01-2016,22.11,22.19,22.02,22.14,70079
02-02-2016,22.11,22.19,22.11,22.19,38089
02-03-2016,22.12,22.18,22.08,22.16,75115
02-04-2016,22.11,22.13,21.99,22.06,77523
02-05-2016,22.06,22.10,22.02,22.04,33597
02-08-2016,22.07,22.07,21.90,21.96,43065
02-09-2016,21.89,21.95,21.74,21.87,26620
02-10-2016,21.95,22.05,21.87,22.02,36608
02-11-2016,21.95,22.02,21.62,21.96,76592
02-12-2016,22.05,22.05,21.55,21.75,47053
02-16-2016,21.98,22.05,21.89,22.02,40525
02-17-2016,22.10,22.11,21.98,21.99,51566
02-18-2016,21.98,22.08,21.98,22.06,44386
02-19-2016,22.08,22.08,21.85,22.05,41025
02-22-2016,22.05,22.10,22.01,22.02,50398
02-23-2016,22.03,22.06,21.90,21.93,55068
02-24-2016,22.01,22.14,21.96,22.10,117743
02-25-2016,22.18,22.28,22.13,22.25,80322
02-26-2016,22.26,22.37,22.16,22.37,47458
02-29-2016,22.40,22.40,22.17,22.22,134911
03-01-2016,22.26,22.34,22.25,22.28,111913
03-02-2016,22.29,22.33,22.15,22.23,106750
03-03-2016,22.26,22.26,22.17,22.19,62487
03-04-2016,22.22,22.26,22.19,22.23,30555
03-07-2016,22.27,22.27,22.12,22.17,83510
03-08-2016,22.18,22.24,22.15,22.21,37242
03-09-2016,22.24,22.32,22.23,22.29,60677
03-10-2016,22.37,22.37,22.29,22.35,72710
03-11-2016,22.35,22.48,22.34,22.48,57591
03-14-2016,22.49,22.49,22.37,22.43,55359
03-15-2016,22.42,22.47,22.38,22.43,105471
03-16-2016,22.44,22.55,22.44,22.54,50990
03-17-2016,22.54,22.63,22.53,22.57,89350
03-18-2016,22.55,22.64,22.55,22.61,65212
03-21-2016,22.62,22.63,22.61,22.63,78398
03-22-2016,22.63,22.63,22.56,22.63,62908
03-23-2016,22.63,22.63,22.59,22.62,46569
03-24-2016,22.61,22.63,22.57,22.63,85553
03-28-2016,22.64,22.64,22.59,22.64,70147
03-29-2016,22.65,22.65,22.57,22.62,89079
03-30-2016,22.64,22.66,22.63,22.66,85432
03-31-2016,22.67,22.73,22.66,22.69,74893
04-01-2016,22.71,22.73,22.69,22.72,80257
04-04-2016,22.72,22.73,22.62,22.69,39604
04-05-2016,22.71,22.72,22.64,22.65,42050
04-06-2016,22.64,22.68,22.51,22.55,90992
04-07-2016,22.61,22.65,22.52,22.58,64289
04-08-2016,22.63,22.66,22.58,22.63,29932
04-11-2016,22.63,22.69,22.63,22.68,49921
04-12-2016,22.68,22.69,22.66,22.68,57800
04-13-2016,22.68,22.69,22.63,22.69,46618
04-14-2016,22.69,22.69,22.66,22.69,49327
04-15-2016,22.69,22.69,22.62,22.68,71789
04-18-2016,22.68,22.69,22.62,22.67,61617
04-19-2016,22.67,22.78,22.66,22.71,115880
04-20-2016,22.72,22.88,22.72,22.81,109962
04-21-2016,22.90,22.90,22.78,22.88,62135
04-22-2016,22.87,22.93,22.78,22.90,49652
04-25-2016,22.94,22.94,22.75,22.87,44977
04-26-2016,22.85,22.91,22.79,22.84,42985
04-27-2016,22.90,23.00,22.85,22.99,76033
04-28-2016,22.97,23.00,22.91,22.94,93593
04-29-2016,22.97,23.00,22.89,23.00,73027
05-02-2016,23.00,23.04,22.95,23.04,65482
05-03-2016,23.04,23.04,22.91,23.01,49726
05-04-2016,23.05,23.23,23.01,23.06,62131
05-05-2016,23.12,23.15,23.02,23.12,47583
05-06-2016,23.16,23.16,23.00,23.02,101873
05-09-2016,23.08,23.15,23.05,23.13,75970
05-10-2016,23.11,23.19,23.11,23.18,36722
05-11-2016,23.18,23.25,23.10,23.15,49355
05-12-2016,23.23,23.27,23.14,23.22,41667
05-13-2016,23.23,23.35,23.23,23.31,57820
05-16-2016,23.29,23.37,23.28,23.32,62059
05-17-2016,23.38,23.43,23.32,23.36,66552
05-18-2016,23.36,23.42,23.27,23.32,117229
05-19-2016,23.32,23.32,23.05,23.27,78769
