Date,Open,High,Low,Close,Volume
01-02-1990,1.04,1.04,1.03,1.04,0
01-03-1990,1.04,1.07,1.04,1.05,0
01-04-1990,1.05,1.06,1.05,1.05,0
01-05-1990,1.05,1.05,1.02,1.03,0
01-08-1990,1.08,1.08,1.05,1.05,0
01-09-1990,1.05,1.06,1.04,1.05,0
01-10-1990,1.04,1.04,1.02,1.04,0
01-11-1990,1.04,1.05,1.04,1.05,0
01-12-1990,1.05,1.05,0.99,1.00,0
01-15-1990,0.998,1.009,0.992,0.992,0
01-16-1990,1.00,1.00,1.00,1.00,0
01-17-1990,1.01,1.02,1.00,1.00,0
01-18-1990,0.983,1.001,0.977,0.983,0
01-19-1990,0.986,0.992,0.986,0.992,0
01-22-1990,0.998,0.998,0.980,0.992,0
01-23-1990,0.99,1.00,0.99,1.00,0
01-24-1990,0.980,0.992,0.967,0.992,0
01-25-1990,0.992,0.992,0.986,0.992,0
01-26-1990,0.986,0.986,0.962,0.974,0
01-29-1990,0.983,0.995,0.977,0.983,0
01-30-1990,0.995,1.001,0.983,0.983,0
01-31-1990,0.99,1.00,0.99,1.00,0
02-01-1990,0.989,0.989,0.983,0.983,0
02-02-1990,0.986,0.998,0.986,0.992,0
02-05-1990,1.00,1.01,1.00,1.00,0
02-06-1990,1.01,1.04,1.01,1.04,0
02-07-1990,1.02,1.06,1.01,1.05,0
02-08-1990,1.06,1.07,1.06,1.06,0
02-09-1990,1.06,1.06,1.05,1.05,0
02-12-1990,1.05,1.06,1.05,1.05,0
02-13-1990,1.05,1.06,1.05,1.05,0
02-14-1990,1.05,1.05,1.04,1.04,0
02-15-1990,1.03,1.04,1.03,1.04,0
02-16-1990,1.02,1.04,1.02,1.04,0
02-20-1990,1.03,1.03,1.02,1.03,0
02-21-1990,1.02,1.02,1.01,1.02,0
02-22-1990,1.02,1.03,1.02,1.03,0
02-23-1990,1.02,1.02,1.01,1.02,0
02-26-1990,1.03,1.04,1.02,1.04,0
02-27-1990,1.04,1.06,1.04,1.04,0
02-28-1990,1.06,1.13,1.06,1.12,0
03-01-1990,1.11,1.17,1.11,1.15,0
03-02-1990,1.15,1.19,1.13,1.13,0
03-05-1990,1.15,1.16,1.11,1.12,0
03-06-1990,1.11,1.12,1.11,1.12,0
03-07-1990,1.11,1.12,1.11,1.12,0
03-08-1990,1.13,1.18,1.13,1.17,0
03-09-1990,1.17,1.17,1.14,1.15,0
03-12-1990,1.14,1.17,1.14,1.17,0
03-13-1990,1.16,1.17,1.15,1.17,0
03-14-1990,1.18,1.18,1.17,1.18,0
03-15-1990,1.18,1.18,1.17,1.18,0
03-16-1990,1.18,1.23,1.18,1.21,0
03-19-1990,1.22,1.25,1.20,1.25,0
03-20-1990,1.25,1.25,1.22,1.22,0
03-21-1990,1.23,1.23,1.22,1.22,0
03-22-1990,1.22,1.22,1.19,1.19,0
03-23-1990,1.20,1.20,1.18,1.19,0
03-26-1990,1.14,1.19,1.14,1.19,0
03-27-1990,1.19,1.20,1.18,1.19,0
03-28-1990,1.19,1.23,1.19,1.22,0
03-29-1990,1.23,1.26,1.22,1.23,0
03-30-1990,1.23,1.23,1.19,1.20,0
04-02-1990,1.18,1.19,1.16,1.19,0
04-03-1990,1.19,1.20,1.19,1.20,0
04-04-1990,1.20,1.22,1.19,1.22,0
04-05-1990,1.23,1.26,1.21,1.25,0
04-06-1990,1.24,1.26,1.20,1.21,0
04-09-1990,1.24,1.25,1.22,1.24,0
04-10-1990,1.23,1.23,1.21,1.21,0
04-11-1990,1.20,1.20,1.18,1.19,0
04-12-1990,1.20,1.20,1.19,1.20,0
04-16-1990,1.19,1.20,1.19,1.20,0
04-17-1990,1.20,1.20,1.16,1.20,0
04-18-1990,1.19,1.20,1.17,1.17,0
04-19-1990,1.18,1.18,1.14,1.15,0
04-20-1990,1.14,1.15,1.13,1.15,0
04-23-1990,1.14,1.14,1.11,1.12,0
04-24-1990,1.12,1.14,1.12,1.12,0
04-25-1990,1.13,1.15,1.13,1.15,0
04-26-1990,1.16,1.16,1.14,1.15,0
04-27-1990,1.16,1.16,1.14,1.16,0
04-30-1990,1.15,1.17,1.15,1.16,0
05-01-1990,1.16,1.16,1.14,1.15,0
05-02-1990,1.15,1.20,1.15,1.20,0
05-03-1990,1.18,1.20,1.18,1.19,0
05-04-1990,1.18,1.19,1.18,1.19,0
05-07-1990,1.19,1.21,1.18,1.20,0
05-08-1990,1.21,1.21,1.19,1.20,0
05-09-1990,1.20,1.21,1.20,1.20,0
05-10-1990,1.21,1.21,1.20,1.20,0
05-11-1990,1.20,1.23,1.19,1.21,0
05-14-1990,1.22,1.29,1.20,1.26,0
05-15-1990,1.25,1.30,1.25,1.28,0
05-16-1990,1.28,1.30,1.25,1.30,0
05-17-1990,1.31,1.33,1.30,1.32,0
05-18-1990,1.32,1.33,1.31,1.32,0
05-21-1990,1.32,1.32,1.30,1.31,0
05-22-1990,1.31,1.34,1.30,1.30,0
05-23-1990,1.30,1.31,1.29,1.31,0
05-24-1990,1.30,1.32,1.29,1.31,0
05-25-1990,1.30,1.33,1.30,1.33,0
05-29-1990,1.33,1.36,1.33,1.35,0
05-30-1990,1.36,1.36,1.32,1.34,0
05-31-1990,1.33,1.33,1.32,1.32,0
06-01-1990,1.32,1.33,1.32,1.32,0
06-04-1990,1.32,1.35,1.32,1.35,0
06-05-1990,1.35,1.36,1.34,1.35,0
06-06-1990,1.35,1.37,1.34,1.37,0
06-07-1990,1.38,1.40,1.37,1.37,0
06-08-1990,1.37,1.37,1.34,1.35,0
06-11-1990,1.34,1.35,1.33,1.35,0
06-12-1990,1.36,1.36,1.35,1.35,0
06-13-1990,1.36,1.36,1.34,1.35,0
06-14-1990,1.34,1.35,1.34,1.34,0
06-15-1990,1.33,1.35,1.32,1.34,0
06-18-1990,1.34,1.34,1.33,1.34,0
06-19-1990,1.34,1.34,1.33,1.34,0
06-20-1990,1.35,1.35,1.34,1.35,0
06-21-1990,1.35,1.36,1.35,1.35,0
06-22-1990,1.35,1.36,1.35,1.35,0
06-25-1990,1.35,1.37,1.34,1.35,0
06-26-1990,1.35,1.37,1.35,1.35,0
06-27-1990,1.35,1.36,1.35,1.35,0
06-28-1990,1.35,1.35,1.35,1.35,0
06-29-1990,1.35,1.35,1.35,1.35,0
07-02-1990,1.35,1.36,1.34,1.35,0
07-03-1990,1.36,1.37,1.35,1.37,0
07-05-1990,1.37,1.37,1.35,1.35,0
07-06-1990,1.35,1.36,1.35,1.35,0
07-09-1990,1.36,1.38,1.36,1.38,0
07-10-1990,1.38,1.43,1.38,1.42,0
07-11-1990,1.42,1.45,1.42,1.45,0
07-12-1990,1.45,1.51,1.45,1.51,0
07-13-1990,1.50,1.52,1.48,1.49,0
07-16-1990,1.49,1.49,1.46,1.48,0
07-17-1990,1.48,1.52,1.48,1.51,0
07-18-1990,1.50,1.51,1.47,1.48,0
07-19-1990,1.48,1.48,1.46,1.47,0
07-20-1990,1.47,1.49,1.47,1.48,0
07-23-1990,1.46,1.47,1.40,1.47,0
07-24-1990,1.45,1.48,1.45,1.48,0
07-25-1990,1.47,1.53,1.47,1.53,0
07-26-1990,1.54,1.55,1.53,1.53,0
07-27-1990,1.54,1.59,1.53,1.59,0
07-30-1990,1.57,1.60,1.57,1.59,0
07-31-1990,1.58,1.64,1.58,1.61,0
08-01-1990,1.63,1.69,1.62,1.68,0
08-02-1990,1.65,1.68,1.62,1.65,0
08-03-1990,1.65,1.65,1.51,1.60,0
08-06-1990,1.53,1.53,1.48,1.51,0
08-07-1990,1.53,1.54,1.49,1.51,0
08-08-1990,1.52,1.53,1.50,1.53,0
08-09-1990,1.54,1.55,1.53,1.55,0
08-10-1990,1.55,1.55,1.50,1.54,0
08-13-1990,1.53,1.60,1.52,1.60,0
08-14-1990,1.59,1.63,1.59,1.63,0
08-15-1990,1.63,1.64,1.60,1.62,0
08-16-1990,1.60,1.60,1.57,1.59,0
08-17-1990,1.56,1.56,1.51,1.55,0
08-20-1990,1.54,1.54,1.51,1.51,0
08-21-1990,1.51,1.51,1.40,1.47,0
08-22-1990,1.47,1.47,1.44,1.44,0
08-23-1990,1.43,1.43,1.37,1.42,0
08-24-1990,1.41,1.45,1.40,1.45,0
08-27-1990,1.47,1.49,1.45,1.49,0
08-28-1990,1.49,1.49,1.46,1.47,0
08-29-1990,1.47,1.50,1.46,1.48,0
08-30-1990,1.49,1.49,1.47,1.48,0
08-31-1990,1.48,1.52,1.48,1.51,0
09-04-1990,1.50,1.53,1.49,1.53,0
09-05-1990,1.53,1.53,1.51,1.51,0
09-06-1990,1.50,1.50,1.48,1.48,0
09-07-1990,1.49,1.51,1.48,1.51,0
09-10-1990,1.52,1.52,1.48,1.49,0
09-11-1990,1.50,1.53,1.50,1.53,0
09-12-1990,1.54,1.54,1.51,1.51,0
09-13-1990,1.51,1.52,1.49,1.51,0
09-14-1990,1.50,1.50,1.49,1.49,0
09-17-1990,1.48,1.51,1.48,1.49,0
09-18-1990,1.49,1.52,1.48,1.51,0
09-19-1990,1.51,1.51,1.50,1.51,0
09-20-1990,1.50,1.50,1.48,1.48,0
09-21-1990,1.48,1.49,1.48,1.49,0
09-24-1990,1.48,1.49,1.46,1.47,0
09-25-1990,1.48,1.51,1.48,1.51,0
09-26-1990,1.52,1.52,1.49,1.51,0
09-27-1990,1.52,1.52,1.49,1.49,0
09-28-1990,1.47,1.47,1.43,1.43,0
10-01-1990,1.45,1.47,1.44,1.46,0
10-02-1990,1.50,1.50,1.48,1.48,0
10-03-1990,1.48,1.48,1.46,1.47,0
10-04-1990,1.46,1.47,1.45,1.46,0
10-05-1990,1.44,1.51,1.43,1.51,0
10-08-1990,1.51,1.53,1.51,1.51,0
10-09-1990,1.52,1.52,1.48,1.48,0
10-10-1990,1.47,1.47,1.40,1.41,0
10-11-1990,1.42,1.42,1.35,1.35,0
10-12-1990,1.36,1.39,1.34,1.35,0
10-15-1990,1.35,1.37,1.35,1.35,0
10-16-1990,1.35,1.35,1.35,1.35,0
10-17-1990,1.35,1.35,1.34,1.34,0
10-18-1990,1.34,1.37,1.34,1.35,0
10-19-1990,1.36,1.36,1.35,1.35,0
10-22-1990,1.36,1.36,1.35,1.36,0
10-23-1990,1.37,1.37,1.35,1.35,0
10-24-1990,1.35,1.35,1.34,1.35,0
10-25-1990,1.35,1.35,1.33,1.34,0
10-26-1990,1.33,1.33,1.27,1.27,0
10-29-1990,1.26,1.26,1.22,1.22,0
10-30-1990,1.20,1.22,1.16,1.22,0
10-31-1990,1.22,1.22,1.22,1.22,0
11-01-1990,1.22,1.25,1.22,1.24,0
11-02-1990,1.24,1.26,1.24,1.26,0
11-05-1990,1.25,1.33,1.25,1.32,0
11-06-1990,1.33,1.37,1.32,1.35,0
11-07-1990,1.35,1.35,1.34,1.35,0
11-08-1990,1.33,1.35,1.33,1.35,0
11-09-1990,1.36,1.41,1.35,1.40,0
11-12-1990,1.39,1.46,1.38,1.45,0
11-13-1990,1.55,1.55,1.47,1.48,0
11-14-1990,1.49,1.54,1.48,1.52,0
11-15-1990,1.52,1.52,1.51,1.51,0
11-16-1990,1.51,1.51,1.50,1.50,0
11-19-1990,1.49,1.50,1.47,1.48,0
11-20-1990,1.47,1.47,1.43,1.43,0
11-21-1990,1.44,1.44,1.42,1.43,0
11-23-1990,1.45,1.46,1.45,1.45,0
11-26-1990,1.44,1.44,1.42,1.43,0
11-27-1990,1.45,1.48,1.45,1.47,0
11-28-1990,1.47,1.53,1.47,1.51,0
11-29-1990,1.50,1.59,1.50,1.51,0
11-30-1990,1.53,1.58,1.52,1.56,0
12-03-1990,1.61,1.64,1.60,1.64,0
12-04-1990,1.63,1.63,1.55,1.56,0
12-05-1990,1.55,1.58,1.53,1.58,0
12-06-1990,1.60,1.60,1.56,1.56,0
12-07-1990,1.56,1.57,1.52,1.52,0
12-10-1990,1.53,1.55,1.53,1.55,0
12-11-1990,1.53,1.57,1.53,1.56,0
12-12-1990,1.56,1.59,1.56,1.59,0
12-13-1990,1.59,1.59,1.57,1.58,0
12-14-1990,1.55,1.55,1.53,1.54,0
12-17-1990,1.53,1.53,1.48,1.50,0
12-18-1990,1.49,1.50,1.46,1.49,0
12-19-1990,1.50,1.51,1.49,1.51,0
12-20-1990,1.47,1.53,1.46,1.51,0
12-21-1990,1.51,1.53,1.51,1.51,0
12-24-1990,1.50,1.50,1.47,1.50,0
12-26-1990,1.51,1.53,1.51,1.52,0
12-27-1990,1.51,1.52,1.51,1.51,0
12-28-1990,1.51,1.51,1.50,1.50,0
12-31-1990,1.50,1.50,1.49,1.49,0
01-02-1991,1.47,1.48,1.47,1.48,0
01-03-1991,1.48,1.51,1.48,1.50,0
01-04-1991,1.51,1.52,1.50,1.51,0
01-07-1991,1.50,1.52,1.48,1.48,0
01-08-1991,1.47,1.49,1.47,1.49,0
01-09-1991,1.50,1.50,1.48,1.48,0
01-10-1991,1.48,1.48,1.48,1.48,0
01-11-1991,1.48,1.49,1.48,1.48,0
01-14-1991,1.46,1.46,1.45,1.45,0
01-15-1991,1.47,1.48,1.46,1.47,0
01-16-1991,1.47,1.49,1.47,1.49,0
01-17-1991,1.52,1.57,1.52,1.57,0
01-18-1991,1.58,1.64,1.58,1.64,0
01-21-1991,1.67,1.75,1.66,1.75,0
01-22-1991,1.78,1.81,1.71,1.73,0
01-23-1991,1.73,1.77,1.72,1.75,0
01-24-1991,1.75,1.85,1.75,1.83,0
01-25-1991,1.83,1.83,1.75,1.77,0
01-28-1991,1.77,1.83,1.77,1.80,0
01-29-1991,1.80,1.90,1.80,1.86,0
01-30-1991,1.87,1.91,1.86,1.87,0
01-31-1991,1.86,1.90,1.86,1.90,0
02-01-1991,1.91,1.91,1.88,1.91,0
02-04-1991,1.90,1.96,1.90,1.93,0
02-05-1991,1.90,1.97,1.90,1.97,0
02-06-1991,1.93,1.94,1.90,1.91,0
02-07-1991,1.92,1.93,1.89,1.90,0
02-08-1991,1.91,1.92,1.89,1.89,0
02-11-1991,1.90,1.98,1.89,1.97,0
02-12-1991,1.97,1.99,1.95,1.95,0
02-13-1991,1.96,1.97,1.96,1.97,0
02-14-1991,1.98,2.00,1.98,1.98,0
02-15-1991,1.98,2.02,1.98,2.01,0
02-19-1991,2.00,2.05,2.00,2.01,0
02-20-1991,1.99,2.02,1.99,2.02,0
02-21-1991,2.02,2.02,1.98,1.99,0
02-22-1991,1.99,2.00,1.98,1.99,0
02-25-1991,2.00,2.00,1.99,1.99,0
02-26-1991,1.98,1.98,1.96,1.96,0
02-27-1991,1.94,1.96,1.94,1.96,0
02-28-1991,1.96,1.98,1.95,1.96,0
03-01-1991,1.97,1.98,1.95,1.97,0
03-04-1991,1.97,1.97,1.96,1.97,0
03-05-1991,1.96,2.07,1.96,2.07,0
03-06-1991,2.07,2.08,2.05,2.08,0
03-07-1991,2.08,2.09,2.07,2.09,0
03-08-1991,2.08,2.10,2.08,2.08,0
03-11-1991,2.07,2.07,2.00,2.01,0
03-12-1991,2.00,2.03,2.00,2.03,0
03-13-1991,2.00,2.03,2.00,2.03,0
03-14-1991,2.04,2.11,2.04,2.09,0
03-15-1991,2.10,2.10,2.06,2.06,0
03-18-1991,2.06,2.06,2.04,2.04,0
03-19-1991,2.03,2.03,2.01,2.03,0
03-20-1991,2.03,2.03,2.02,2.03,0
03-21-1991,2.03,2.05,2.03,2.05,0
03-22-1991,2.06,2.11,2.05,2.11,0
03-25-1991,2.10,2.19,2.08,2.19,0
03-26-1991,2.21,2.24,2.19,2.23,0
03-27-1991,2.22,2.25,2.22,2.22,0
03-28-1991,2.21,2.29,2.21,2.26,0
04-01-1991,2.25,2.27,2.20,2.20,0
04-02-1991,2.20,2.25,2.20,2.25,0
04-03-1991,2.26,2.28,2.25,2.28,0
04-04-1991,2.29,2.32,2.28,2.31,0
04-05-1991,2.31,2.37,2.31,2.31,0
04-08-1991,2.30,2.32,2.30,2.31,0
04-09-1991,2.30,2.30,2.28,2.28,0
04-10-1991,2.27,2.30,2.25,2.27,0
04-11-1991,2.28,2.30,2.28,2.29,0
04-12-1991,2.29,2.35,2.29,2.35,0
04-15-1991,2.37,2.37,2.32,2.33,0
04-16-1991,2.34,2.44,2.34,2.44,0
04-17-1991,2.43,2.43,2.38,2.39,0
04-18-1991,2.39,2.40,2.37,2.37,0
04-19-1991,2.34,2.36,2.33,2.34,0
04-22-1991,2.34,2.40,2.26,2.28,0
04-23-1991,2.26,2.30,2.26,2.27,0
04-24-1991,2.29,2.43,2.29,2.41,0
04-25-1991,2.46,2.47,2.42,2.44,0
04-26-1991,2.42,2.42,2.38,2.39,0
04-29-1991,2.38,2.39,2.37,2.37,0
04-30-1991,2.39,2.40,2.32,2.35,0
05-01-1991,2.34,2.34,2.30,2.32,0
05-02-1991,2.32,2.32,2.29,2.29,0
05-03-1991,2.28,2.30,2.27,2.29,0
