Date,Open,High,Low,Close,Volume
03-27-2012,16.00,16.00,16.00,16.00,0
03-28-2012,24.00,24.48,21.03,21.03,7165788
03-29-2012,20.66,24.91,20.20,24.91,384620
03-30-2012,24.46,24.48,22.71,23.40,153382
04-02-2012,23.06,23.25,21.50,23.00,110098
04-03-2012,22.65,22.97,21.93,22.10,80717
04-04-2012,21.55,21.85,21.06,21.10,248274
04-05-2012,21.00,23.50,20.73,21.65,108174
04-09-2012,21.41,21.92,21.00,21.41,27703
04-10-2012,21.09,22.14,20.85,21.10,91823
04-11-2012,21.10,21.46,21.00,21.09,31754
04-12-2012,21.00,21.91,20.94,21.64,78758
04-13-2012,21.53,22.65,21.00,21.18,28633
04-16-2012,21.48,22.62,21.48,22.26,84655
04-17-2012,22.32,22.45,22.10,22.30,67047
04-18-2012,22.36,22.49,22.10,22.13,90541
04-19-2012,22.33,22.33,22.13,22.30,55690
04-20-2012,22.20,24.20,21.93,21.93,162669
04-23-2012,22.22,22.65,20.70,21.08,125535
04-24-2012,21.11,21.29,20.98,21.00,20017
04-25-2012,21.33,22.23,21.00,21.11,21405
04-26-2012,21.12,22.14,21.00,21.03,26490
04-27-2012,21.22,21.73,20.95,21.50,125758
04-30-2012,21.62,22.16,21.45,22.15,20352
05-01-2012,21.99,22.63,21.69,21.99,67492
05-02-2012,21.71,22.08,21.50,21.59,57838
05-03-2012,21.46,23.22,21.46,21.92,80125
05-04-2012,21.66,21.77,21.50,21.73,20302
05-07-2012,21.55,23.22,21.00,23.07,129893
05-08-2012,23.03,23.03,21.89,22.13,90843
05-09-2012,21.76,22.13,21.49,21.85,30844
05-10-2012,21.97,23.58,21.97,23.35,301202
05-11-2012,23.20,26.00,22.88,25.16,221638
05-14-2012,24.99,25.99,24.55,25.62,121739
05-15-2012,25.83,25.83,24.86,25.01,56108
05-16-2012,25.21,25.92,24.97,25.15,37811
05-17-2012,25.30,25.89,25.06,25.44,78446
05-18-2012,25.52,25.52,23.53,24.05,103696
05-21-2012,23.92,25.00,23.76,24.12,48354
05-22-2012,24.20,24.50,23.90,24.01,99762
05-23-2012,23.89,25.09,23.89,24.98,79067
05-24-2012,25.08,25.49,24.37,24.92,42727
05-25-2012,24.95,25.28,24.70,25.05,39390
05-29-2012,25.31,25.79,24.80,25.77,125625
05-30-2012,25.41,25.79,24.02,24.33,98601
05-31-2012,24.63,24.66,23.80,24.15,85781
06-01-2012,23.72,23.89,23.11,23.23,55189
06-04-2012,23.25,23.25,21.66,22.70,156027
06-05-2012,22.65,23.17,22.50,23.11,70071
06-06-2012,23.10,23.44,22.84,23.26,45813
06-07-2012,23.44,24.83,23.17,24.20,55638
06-08-2012,24.37,24.64,23.24,24.30,59855
06-11-2012,24.88,24.88,23.84,24.10,77725
06-12-2012,24.01,24.33,23.62,24.12,49500
06-13-2012,24.08,24.38,23.70,24.26,44720
06-14-2012,24.28,25.74,23.93,25.30,50537
06-15-2012,25.50,25.86,24.05,24.11,126082
06-18-2012,24.00,26.26,23.63,24.90,137737
06-19-2012,25.04,25.36,24.36,25.04,123080
06-20-2012,25.18,25.18,24.40,24.82,30468
06-21-2012,24.82,24.99,24.50,24.89,82573
06-22-2012,25.00,25.33,24.23,24.73,844088
06-25-2012,24.56,24.86,24.24,24.75,47549
06-26-2012,24.79,28.15,24.79,27.01,194752
06-27-2012,26.68,27.46,25.68,25.92,100564
06-28-2012,25.85,27.04,25.85,26.79,43376
06-29-2012,27.25,27.25,26.57,26.79,41671
07-02-2012,26.78,27.97,26.50,27.97,19370
07-03-2012,27.86,28.23,27.72,27.86,36683
07-05-2012,27.74,27.86,27.20,27.54,19746
07-06-2012,27.25,27.25,26.49,26.84,27218
07-09-2012,26.80,26.80,24.17,24.90,95829
07-10-2012,24.95,25.88,24.95,25.72,42171
07-11-2012,25.71,26.46,25.71,26.30,46290
07-12-2012,26.14,26.38,25.63,26.21,16327
07-13-2012,26.40,27.42,26.25,27.38,24031
07-16-2012,27.19,27.27,26.90,27.16,13613
07-17-2012,27.46,28.86,27.39,28.16,67190
07-18-2012,28.16,28.16,27.73,28.06,30179
07-19-2012,28.24,28.36,26.97,27.90,48512
07-20-2012,27.65,28.07,27.01,27.09,62908
