Date,Open,High,Low,Close,Volume
04-01-2015,12.00,12.50,11.90,12.05,219000
04-02-2015,12.20,12.21,11.60,11.62,83000
04-06-2015,12.20,12.30,12.00,12.00,338000
04-07-2015,12.25,12.25,11.70,11.70,128000
04-08-2015,11.82,12.00,11.47,11.75,118000
04-09-2015,12.01,12.01,11.82,11.85,53000
04-10-2015,11.80,11.89,11.56,11.89,49000
04-13-2015,12.01,12.01,11.50,11.64,16000
04-14-2015,11.75,11.85,11.65,11.80,43000
04-15-2015,11.93,11.93,11.51,11.70,72000
04-16-2015,11.62,11.80,11.62,11.75,93000
04-17-2015,11.50,11.88,11.50,11.88,125000
04-20-2015,11.60,11.75,11.47,11.47,73000
04-21-2015,11.76,11.95,11.40,11.57,47000
04-22-2015,11.59,11.60,11.26,11.60,28000
04-23-2015,11.58,11.59,11.30,11.49,17000
04-24-2015,11.33,11.55,11.05,11.26,332000
04-27-2015,11.05,11.60,11.05,11.42,252000
04-28-2015,11.30,11.60,11.05,11.28,144000
04-29-2015,11.29,11.40,11.20,11.22,6000
04-30-2015,11.25,11.48,10.98,11.13,60000
05-01-2015,11.30,11.30,10.98,11.26,26000
05-04-2015,11.20,11.20,11.00,11.09,6000
05-05-2015,11.05,11.14,10.90,10.99,22000
05-06-2015,10.68,11.24,10.65,10.90,290000
05-07-2015,10.90,11.04,10.80,10.80,11000
05-08-2015,10.79,11.25,10.79,10.80,5000
05-11-2015,10.55,10.85,10.44,10.77,22000
05-12-2015,10.72,10.72,10.49,10.68,14000
05-13-2015,10.57,10.74,10.44,10.60,23000
05-14-2015,10.09,10.75,10.09,10.75,190000
05-15-2015,10.65,10.65,10.26,10.50,24000
05-18-2015,10.48,11.03,9.52,11.00,395000
05-19-2015,11.25,11.25,10.31,10.49,33000
05-20-2015,10.32,10.95,10.26,10.50,27000
05-21-2015,10.33,10.59,10.33,10.53,57000
05-22-2015,10.67,11.12,10.50,10.85,41000
05-26-2015,11.30,11.34,10.40,10.55,53000
05-27-2015,11.39,11.39,10.40,11.08,688000
05-28-2015,11.16,11.18,10.95,11.05,52000
05-29-2015,11.00,11.20,11.00,11.20,102000
06-01-2015,11.00,11.25,10.92,11.23,43000
06-02-2015,11.08,11.40,11.08,11.30,177000
06-03-2015,11.25,11.39,11.03,11.12,225000
06-04-2015,11.11,11.87,11.10,11.80,917335
06-05-2015,12.00,12.00,11.51,11.75,63659
06-08-2015,11.75,11.78,11.25,11.65,89641
06-09-2015,11.82,12.17,11.50,11.88,144646
06-10-2015,11.97,12.35,11.67,11.87,224921
06-11-2015,11.99,12.25,11.86,12.13,164777
06-12-2015,12.06,12.25,11.88,12.04,44323
06-15-2015,12.21,12.34,11.92,12.02,177911
06-16-2015,12.10,12.10,11.91,12.02,83628
06-17-2015,12.10,12.10,11.95,12.00,20071
06-18-2015,12.08,12.50,11.98,12.47,173077
06-19-2015,12.45,12.50,12.37,12.43,148204
06-22-2015,12.50,12.70,12.30,12.52,141948
06-23-2015,12.50,12.90,12.50,12.61,81770
06-24-2015,12.64,12.75,12.58,12.67,156511
06-25-2015,12.77,13.07,12.65,12.85,1095677
06-26-2015,13.03,13.03,12.24,12.75,215390
06-29-2015,12.65,12.74,12.50,12.61,56034
06-30-2015,12.55,12.99,12.49,12.61,160027
07-01-2015,12.75,12.75,12.50,12.67,93206
07-02-2015,12.70,12.99,12.61,12.87,102891
07-06-2015,12.82,12.95,12.64,12.65,133421
07-07-2015,12.71,12.75,12.29,12.65,76701
