Date,Open,High,Low,Close,Volume
01-02-1992,22.80,22.80,22.47,22.55,47090
01-03-1992,22.38,22.38,22.05,22.22,78850
01-06-1992,22.05,22.38,22.05,22.38,37100
01-07-1992,22.22,22.22,21.71,21.71,14437
01-08-1992,21.46,21.96,21.46,21.96,117024
01-09-1992,21.80,22.63,21.80,22.63,69755
01-10-1992,22.63,22.89,22.55,22.89,33968
01-13-1992,22.80,23.72,22.80,23.56,49178
01-14-1992,23.47,24.48,23.47,24.31,295508
01-15-1992,24.23,24.31,24.06,24.14,162802
01-16-1992,24.06,24.23,24.06,24.14,170703
01-17-1992,24.14,24.48,24.14,24.31,91972
01-20-1992,24.31,24.40,24.23,24.31,113146
01-21-1992,24.14,24.31,23.89,23.89,10411
01-22-1992,23.89,24.06,23.89,23.98,3257
01-23-1992,24.06,24.06,23.56,23.56,10558
01-24-1992,23.47,23.47,23.22,23.22,15631
01-27-1992,23.31,23.31,22.72,22.89,177116
01-28-1992,22.80,22.84,22.72,22.72,61109
01-29-1992,22.63,22.72,22.47,22.55,27706
01-30-1992,22.72,22.89,22.63,22.89,14733
01-31-1992,22.80,22.80,22.80,22.80,6979
02-03-1992,22.80,22.80,22.55,22.63,13839
02-04-1992,22.47,22.47,20.96,21.63,1316464
02-05-1992,21.55,21.55,21.04,21.38,20848
02-06-1992,21.21,21.55,21.21,21.55,83921
02-07-1992,21.46,21.55,21.29,21.46,80043
02-10-1992,21.55,21.63,21.55,21.63,4446
02-11-1992,21.46,21.63,21.46,21.63,12643
02-12-1992,21.71,24.14,21.71,24.14,483833
02-13-1992,23.98,23.98,23.31,23.39,50366
02-14-1992,23.22,23.22,22.72,22.80,142670
02-18-1992,22.80,22.80,22.63,22.72,55443
02-19-1992,22.55,22.63,22.30,22.55,14437
02-20-1992,22.55,22.55,22.38,22.55,6236
02-21-1992,22.38,22.63,22.38,22.47,32033
02-24-1992,22.30,22.38,22.13,22.30,44106
02-25-1992,22.13,22.22,21.96,22.22,57531
02-26-1992,22.05,22.30,22.05,22.30,138940
02-27-1992,22.13,22.38,22.13,22.30,86010
02-28-1992,22.38,22.38,22.22,22.30,44705
03-02-1992,22.22,22.22,22.13,22.22,16374
03-03-1992,22.38,22.38,22.05,22.05,51118
03-04-1992,22.13,22.22,22.05,22.13,92272
03-05-1992,21.96,21.96,21.88,21.96,53652
03-06-1992,21.96,22.22,21.96,22.13,95401
03-09-1992,22.30,22.80,22.22,22.72,29795
03-10-1992,22.55,22.80,22.38,22.38,104498
03-11-1992,22.30,22.47,22.05,22.13,114340
03-12-1992,22.30,22.38,21.88,22.05,71694
03-13-1992,22.22,22.22,22.13,22.22,24426
03-16-1992,22.30,22.30,22.13,22.22,24575
03-17-1992,22.30,22.47,22.13,22.47,85712
03-18-1992,22.47,22.72,22.30,22.47,25469
03-19-1992,22.63,22.63,22.47,22.63,22637
03-20-1992,22.80,22.97,22.63,22.89,42619
03-23-1992,22.89,23.81,22.89,23.31,40982
03-24-1992,23.14,23.14,22.89,23.05,46046
03-25-1992,22.97,23.39,22.97,23.39,44258
03-26-1992,23.56,23.72,23.47,23.72,47687
03-27-1992,23.64,23.81,23.39,23.39,43065
03-30-1992,23.31,23.72,23.31,23.72,65428
03-31-1992,23.72,24.14,23.56,24.14,120303
04-01-1992,23.98,23.98,23.89,23.89,23232
04-02-1992,23.64,23.64,23.56,23.56,94957
04-03-1992,23.47,23.64,23.47,23.64,48134
04-06-1992,23.64,23.72,23.47,23.56,57229
04-07-1992,23.72,23.72,23.39,23.39,21744
04-08-1992,23.22,23.22,22.89,22.97,7132
04-09-1992,23.05,23.39,22.97,22.97,7132
04-10-1992,22.80,22.80,22.72,22.80,60658
04-13-1992,22.80,22.80,22.55,22.55,3847
04-14-1992,22.38,22.80,22.38,22.72,91678
04-15-1992,22.80,23.14,22.72,23.14,76167
04-16-1992,23.22,23.22,22.80,22.97,229899
04-20-1992,23.05,23.22,22.80,22.89,98980
04-21-1992,22.89,22.97,22.89,22.97,5638
04-22-1992,23.05,23.05,22.89,22.89,30539
04-23-1992,22.89,23.05,22.89,23.05,18312
04-24-1992,22.97,23.05,22.63,22.63,131636
04-27-1992,22.47,23.05,22.38,23.05,63046
04-28-1992,23.05,23.22,22.97,23.14,140730
04-29-1992,23.31,23.64,23.31,23.64,74227
04-30-1992,23.72,23.81,23.47,23.81,33819
05-01-1992,23.64,23.81,23.64,23.81,8473
