Date,Open,High,Low,Close,Volume
06-18-2014,27.00,51.00,27.00,39.50,167503
06-19-2014,38.07,41.00,35.15,36.57,51466
06-20-2014,36.50,37.14,34.38,35.76,115920
06-23-2014,36.00,36.50,35.55,36.10,18920
06-24-2014,36.50,37.75,35.59,36.50,56901
06-25-2014,37.25,37.89,36.01,36.50,166379
06-26-2014,36.99,37.97,36.99,37.50,76271
06-27-2014,37.60,37.60,37.25,37.40,24634
06-30-2014,38.00,38.00,37.05,37.05,87017
07-01-2014,37.50,38.95,37.06,37.60,1447325
07-02-2014,37.20,37.50,35.73,35.95,745446
07-03-2014,35.36,35.36,31.94,32.50,967190
07-07-2014,32.00,34.50,32.00,33.95,865646
07-08-2014,34.01,35.75,34.00,35.04,757148
07-09-2014,34.45,35.98,34.00,35.46,797635
07-10-2014,34.90,38.15,34.23,37.83,753011
07-11-2014,36.50,39.32,35.81,38.46,408211
07-14-2014,38.65,39.39,37.42,38.28,545321
07-15-2014,38.30,39.38,38.00,38.72,757827
07-16-2014,38.12,38.88,38.12,38.48,432011
07-17-2014,38.74,38.87,38.09,38.75,215286
07-18-2014,37.66,39.56,37.66,38.00,232044
07-21-2014,37.00,38.07,37.00,37.40,356744
07-22-2014,37.52,38.35,37.25,37.60,144830
07-23-2014,37.53,38.49,37.26,38.40,274022
07-24-2014,37.87,38.97,37.30,38.65,144389
07-25-2014,38.30,38.77,37.49,38.49,116985
07-28-2014,38.64,38.96,38.00,38.85,109074
07-29-2014,38.75,40.72,38.24,40.29,162593
07-30-2014,40.30,40.30,38.06,39.15,162304
07-31-2014,38.56,40.34,37.87,39.92,272770
08-01-2014,39.95,39.95,37.96,38.23,95127
08-04-2014,38.17,38.75,37.00,38.33,116291
08-05-2014,38.89,38.89,37.62,37.90,165990
08-06-2014,37.70,38.66,37.52,38.53,207748
08-07-2014,38.33,38.92,38.04,38.65,112916
08-08-2014,38.46,38.86,38.27,38.57,83871
08-11-2014,40.85,45.41,40.85,44.99,239751
08-12-2014,46.35,53.21,45.87,49.41,624025
08-13-2014,49.49,49.65,43.88,45.79,244437
08-14-2014,45.28,45.28,44.06,44.44,74049
08-15-2014,44.00,45.49,44.00,44.54,68205
08-18-2014,44.41,45.98,44.41,45.90,62176
08-19-2014,46.99,47.10,44.22,44.57,67590
08-20-2014,44.86,45.00,44.39,44.85,42530
08-21-2014,45.00,45.00,44.39,44.76,75504
08-22-2014,44.32,44.93,44.32,44.50,32070
08-25-2014,44.28,44.98,43.91,44.70,67100
08-26-2014,44.47,45.05,44.41,44.93,61094
08-27-2014,45.00,45.02,44.44,44.94,84933
08-28-2014,44.60,45.83,44.56,45.39,87784
08-29-2014,45.58,45.58,44.50,44.52,63143
09-02-2014,44.47,44.91,44.15,44.74,31760
09-03-2014,44.80,46.00,44.20,46.00,75351
09-04-2014,45.44,46.04,45.10,45.95,191392
09-05-2014,45.75,46.43,45.75,46.22,30897
09-08-2014,46.44,46.44,45.46,46.25,80996
09-09-2014,46.22,46.70,45.80,46.28,56087
09-10-2014,46.46,46.60,46.04,46.23,31540
09-11-2014,46.30,46.36,45.10,45.99,92493
09-12-2014,45.74,46.04,45.52,46.00,27100
09-15-2014,45.81,46.02,45.45,45.73,25185
09-16-2014,45.64,46.11,45.30,46.09,51712
09-17-2014,45.66,45.95,45.29,45.68,33226
09-18-2014,45.51,45.99,45.17,45.50,144446
09-19-2014,45.71,46.69,45.05,46.44,160324
09-22-2014,46.15,46.30,44.75,45.19,177287
09-23-2014,44.77,45.38,44.57,45.15,52456
09-24-2014,45.36,47.42,44.58,46.27,77167
09-25-2014,46.49,46.97,45.22,45.97,73060
09-26-2014,46.09,48.39,45.77,48.38,81803
09-29-2014,47.00,50.56,47.00,50.22,62086
09-30-2014,50.02,50.81,49.65,50.06,103329
10-01-2014,49.90,50.82,49.55,50.18,83232
10-02-2014,49.93,50.08,48.34,48.74,75826
10-03-2014,48.60,48.97,46.72,47.10,74735
10-06-2014,47.16,47.32,45.66,45.97,66540
10-07-2014,45.98,45.98,44.40,44.70,87006
10-08-2014,44.55,44.73,43.16,44.30,96117
10-09-2014,43.86,44.05,40.93,42.37,160609
10-10-2014,42.25,44.09,41.77,43.87,76042
10-13-2014,44.23,45.06,43.77,44.38,44400
10-14-2014,44.08,45.10,44.08,44.40,110690
10-15-2014,44.50,44.90,42.74,44.75,110919
10-16-2014,44.93,48.42,43.66,48.42,91950
10-17-2014,48.08,48.69,47.71,48.35,74469
10-20-2014,48.12,48.67,46.66,47.79,34357
10-21-2014,48.03,48.34,46.55,46.81,32000
10-22-2014,46.68,47.84,46.68,47.44,30755
10-23-2014,47.46,47.68,46.90,47.27,16896
10-24-2014,47.00,47.32,45.00,45.31,31679
10-27-2014,45.27,46.35,44.41,45.90,55736
10-28-2014,45.78,47.29,45.28,45.98,53598
10-29-2014,46.02,46.22,43.84,44.64,42545
10-30-2014,44.70,45.37,44.21,44.65,29620
10-31-2014,44.64,45.26,44.46,45.11,33050
11-03-2014,44.67,46.00,44.57,45.98,21049
11-04-2014,45.71,47.43,45.71,47.30,32630
11-05-2014,47.30,47.55,46.08,47.09,26365
11-06-2014,47.09,47.38,46.69,46.82,37567
11-07-2014,46.52,47.35,46.17,47.32,42155
11-10-2014,46.96,48.83,46.75,48.83,37724
11-11-2014,48.60,51.03,48.47,50.11,83289
11-12-2014,50.36,50.36,48.17,48.24,30038
11-13-2014,48.02,48.02,44.42,46.24,75687
11-14-2014,46.53,46.54,45.02,46.15,40911
11-17-2014,45.99,47.59,45.68,47.59,41863
11-18-2014,47.60,48.65,47.60,48.39,23269
11-19-2014,48.54,51.38,48.54,51.12,126941
11-20-2014,51.28,51.84,49.51,51.53,64770
11-21-2014,51.12,52.23,49.90,50.09,46035
11-24-2014,49.89,50.72,49.74,50.57,22872
11-25-2014,50.11,50.98,49.20,50.94,42374
11-26-2014,50.56,52.00,49.49,49.90,32343
11-28-2014,49.70,50.43,49.70,50.25,20638
12-01-2014,49.91,50.73,48.64,48.64,51148
12-02-2014,48.64,50.29,48.37,48.98,51227
12-03-2014,48.73,50.87,48.73,50.47,120885
12-04-2014,50.00,52.00,49.00,49.85,134766
12-05-2014,49.76,50.45,48.00,48.32,52252
12-08-2014,48.50,49.39,47.74,49.00,60631
12-09-2014,49.09,50.50,46.99,49.88,79134
12-10-2014,49.49,49.76,46.11,47.00,94489
12-11-2014,46.80,48.52,46.80,48.00,44383
12-12-2014,48.21,48.28,47.74,47.95,50073
12-15-2014,48.06,48.41,46.96,47.91,73706
12-16-2014,47.50,48.83,47.06,48.53,77450
12-17-2014,48.53,49.00,47.44,48.90,40465
12-18-2014,49.00,50.03,48.01,49.70,41698
12-19-2014,49.55,50.72,48.50,50.33,125213
12-22-2014,50.08,51.51,49.88,51.05,76144
12-23-2014,50.91,50.91,49.28,50.06,54902
12-24-2014,50.47,51.81,49.52,50.15,71459
12-26-2014,49.89,51.50,49.89,51.16,66716
12-29-2014,50.76,51.50,50.64,51.01,59971
12-30-2014,51.00,51.53,50.74,50.96,47272
12-31-2014,50.87,51.90,50.75,51.87,77089
01-02-2015,51.77,54.37,50.33,54.11,98840
01-05-2015,53.67,53.67,51.44,51.59,65513
01-06-2015,51.60,51.60,49.03,49.65,92577
01-07-2015,50.14,50.83,49.27,49.79,51848
01-08-2015,50.26,50.26,49.10,49.43,141941
01-09-2015,49.44,49.78,49.14,49.41,96414
01-12-2015,49.39,50.59,49.08,49.08,72829
01-13-2015,49.48,50.41,49.16,49.82,44554
01-14-2015,49.20,49.82,48.61,49.51,85055
01-15-2015,49.49,49.90,48.68,49.63,70751
01-16-2015,49.31,49.81,48.76,48.80,51039
01-20-2015,49.00,49.01,47.12,47.59,74803
01-21-2015,47.43,49.67,47.43,49.67,46085
01-22-2015,49.54,50.70,48.45,50.43,36132
01-23-2015,50.49,50.91,49.59,49.85,56277
01-26-2015,49.52,51.77,49.52,51.50,54515
01-27-2015,50.98,51.50,50.04,50.36,62247
01-28-2015,50.30,50.30,48.70,49.19,39701
01-29-2015,49.06,50.20,48.46,48.92,65415
01-30-2015,48.77,51.28,48.50,50.87,93839
02-02-2015,51.15,52.30,51.05,52.12,62617
02-03-2015,52.21,52.80,51.16,52.48,57462
02-04-2015,52.07,53.04,51.45,52.69,47306
02-05-2015,52.51,53.60,52.31,53.11,52652
02-06-2015,53.12,53.74,50.42,51.31,53902
02-09-2015,51.09,54.50,51.09,52.87,50813
02-10-2015,52.90,52.90,51.12,52.25,39157
02-11-2015,52.15,53.51,52.15,52.53,54666
02-12-2015,52.66,53.62,52.35,53.40,48586
02-13-2015,53.34,53.83,52.15,52.58,42402
02-17-2015,52.50,52.50,50.85,51.46,44357
02-18-2015,51.17,52.44,51.00,52.10,44322
02-19-2015,52.08,52.99,50.97,50.99,38776
02-20-2015,50.85,52.57,50.50,52.35,38929
02-23-2015,51.97,52.18,50.58,50.87,42940
02-24-2015,50.56,51.89,50.56,51.31,35879
02-25-2015,51.60,51.60,50.55,50.71,34759
02-26-2015,50.62,51.18,49.05,49.49,35430
02-27-2015,49.50,50.98,49.50,50.65,36593
03-02-2015,50.48,51.74,50.06,51.67,38645
03-03-2015,51.50,52.39,50.69,51.84,48791
03-04-2015,51.92,51.92,50.28,51.29,58245
03-05-2015,51.00,51.00,49.82,50.22,82536
03-06-2015,50.00,51.45,49.68,50.05,58434
03-09-2015,49.90,50.10,47.01,47.22,68720
03-10-2015,46.96,47.75,46.46,47.12,88617
03-11-2015,46.90,49.24,46.90,48.68,85086
03-12-2015,49.14,50.08,48.19,49.10,46859
03-13-2015,48.62,49.42,47.37,47.83,74317
03-16-2015,47.91,49.35,47.70,48.05,64651
03-17-2015,47.80,48.56,47.32,48.09,43577
