Date,Open,High,Low,Close,Volume
04-16-2014,17.00,17.00,17.00,17.00,0
04-17-2014,16.27,24.48,16.26,20.24,32755336
04-21-2014,21.61,24.17,21.16,22.61,13441610
04-22-2014,24.00,24.24,22.64,23.15,10471459
04-23-2014,23.30,23.35,20.20,21.41,7595013
04-24-2014,22.10,22.13,20.12,20.44,4985207
04-25-2014,20.20,20.33,19.08,19.21,4235976
04-28-2014,19.58,19.70,17.13,17.51,7798994
04-29-2014,17.50,18.73,17.43,18.30,3032778
04-30-2014,17.50,19.80,17.28,19.56,4111420
05-01-2014,19.51,20.66,19.23,20.22,2864325
05-02-2014,20.56,20.56,19.88,20.03,1145405
05-05-2014,19.57,20.20,19.12,19.75,1101077
05-06-2014,20.05,20.10,18.28,18.57,1731891
05-07-2014,18.80,18.89,17.51,17.55,2267451
05-08-2014,17.95,18.30,17.70,17.97,1457556
05-09-2014,18.16,18.17,17.38,17.86,992666
05-12-2014,18.22,19.65,18.22,19.52,2130409
05-13-2014,19.87,20.25,19.54,20.06,2360912
05-14-2014,20.15,20.20,19.50,19.55,1018695
05-15-2014,19.50,19.88,18.70,19.72,845134
05-16-2014,19.74,20.18,19.28,19.75,949684
05-19-2014,19.80,19.98,19.41,19.55,648982
05-20-2014,18.93,19.34,18.50,19.07,947027
05-21-2014,19.01,20.25,19.00,20.25,1541054
05-22-2014,18.74,18.80,17.82,18.05,3836488
05-23-2014,18.15,18.49,18.01,18.07,1037830
05-27-2014,18.46,18.46,17.87,17.95,1026391
05-28-2014,18.29,18.85,17.91,18.37,1643860
05-29-2014,18.59,19.49,18.45,19.15,1936561
05-30-2014,19.32,19.38,18.40,18.52,970752
06-02-2014,18.56,18.61,18.07,18.35,439725
06-03-2014,18.30,18.48,18.06,18.32,379184
06-04-2014,18.13,19.15,18.09,18.78,898763
06-05-2014,19.09,19.23,18.68,18.96,817408
06-06-2014,19.13,19.35,18.51,18.54,547694
06-09-2014,18.62,18.95,18.50,18.65,587701
06-10-2014,19.00,19.96,18.80,18.91,2639449
06-11-2014,18.98,19.70,18.90,19.21,1061930
06-12-2014,19.36,20.60,18.80,18.94,2986210
