Date,Open,High,Low,Close,Volume
06-30-2004,19.30,19.30,19.30,19.30,0
07-01-2004,19.30,20.19,18.50,19.53,5127600
07-02-2004,19.48,20.84,19.15,20.45,571800
07-06-2004,20.35,20.40,19.90,20.00,277300
07-07-2004,19.95,20.30,19.90,20.10,312300
07-08-2004,20.00,20.64,20.00,20.25,159200
07-09-2004,20.20,20.26,20.05,20.26,43200
07-12-2004,20.20,20.64,20.00,20.55,130500
07-13-2004,20.50,20.70,20.05,20.17,175500
07-14-2004,20.05,20.15,19.44,19.48,130400
07-15-2004,19.48,19.78,19.47,19.60,169400
07-16-2004,19.59,19.70,19.15,19.67,106900
07-19-2004,19.67,19.75,19.10,19.35,39800
07-20-2004,19.30,19.30,18.75,19.25,184800
07-21-2004,19.25,19.30,19.19,19.20,223600
07-22-2004,19.25,19.70,19.20,19.70,81200
07-23-2004,19.65,20.00,19.65,19.80,65800
07-26-2004,19.75,19.90,19.75,19.77,66700
07-27-2004,19.70,19.70,19.37,19.50,187700
07-28-2004,19.35,19.35,19.05,19.35,72700
07-29-2004,19.35,19.70,19.34,19.70,39900
07-30-2004,19.65,19.65,19.50,19.61,32400
08-02-2004,19.50,19.60,19.00,19.01,87400
08-03-2004,19.00,19.16,19.00,19.05,81000
08-04-2004,19.10,19.10,19.00,19.08,138600
08-05-2004,19.05,19.14,19.01,19.10,21400
08-06-2004,19.10,19.12,19.00,19.02,135400
08-09-2004,19.00,19.01,18.30,18.48,84400
08-10-2004,18.51,18.55,17.30,17.92,194500
08-11-2004,17.90,18.15,17.59,17.91,360200
08-12-2004,18.70,19.10,18.45,18.67,128500
08-13-2004,19.21,19.42,18.85,19.02,39700
08-16-2004,18.97,19.25,18.97,19.13,23000
08-17-2004,19.08,19.10,18.60,18.60,108600
08-18-2004,18.90,19.25,18.87,19.16,48500
08-19-2004,19.14,19.15,18.91,18.98,17300
08-20-2004,18.88,19.05,18.80,18.81,17300
08-23-2004,18.71,18.80,18.40,18.50,230500
08-24-2004,18.50,18.55,17.85,18.05,27600
08-25-2004,18.10,18.21,18.00,18.21,12900
08-26-2004,18.25,18.27,18.19,18.20,9800
08-27-2004,18.20,18.22,18.10,18.20,11700
08-30-2004,18.15,18.30,18.15,18.20,29000
08-31-2004,18.35,18.35,18.10,18.25,92000
09-01-2004,18.50,18.53,18.41,18.42,75600
09-02-2004,18.85,18.85,18.52,18.65,62700
09-03-2004,18.90,18.90,18.55,18.60,75500
09-07-2004,18.60,18.85,18.57,18.80,38500
09-08-2004,19.05,19.20,18.95,19.00,90800
09-09-2004,19.00,19.26,18.79,19.12,55300
09-10-2004,19.12,19.99,19.12,19.86,74600
09-13-2004,19.88,20.40,19.88,20.36,156800
09-14-2004,20.50,20.80,20.40,20.77,65500
09-15-2004,20.87,20.93,20.47,20.80,107200
09-16-2004,20.70,20.80,20.34,20.54,50700
09-17-2004,20.58,20.58,19.96,20.07,29200
09-20-2004,20.17,20.46,20.17,20.40,44700
09-21-2004,20.40,20.55,20.40,20.54,63200
09-22-2004,20.49,20.79,20.30,20.60,33200
09-23-2004,20.55,20.55,19.68,19.82,82800
09-24-2004,19.84,19.93,19.05,19.30,139400
09-27-2004,19.35,19.52,19.20,19.40,63900
09-28-2004,19.32,19.32,18.41,19.00,119500
09-29-2004,19.12,19.37,18.99,19.37,198500
09-30-2004,19.32,19.77,18.85,18.95,459000
10-01-2004,19.05,19.18,18.85,19.17,152100
10-04-2004,19.18,20.19,19.18,20.08,123700
10-05-2004,20.04,20.12,19.95,19.95,69700
10-06-2004,19.80,20.32,19.66,20.30,48200
10-07-2004,20.35,20.35,19.95,20.06,21200
10-08-2004,20.00,20.15,19.95,20.00,125900
10-11-2004,19.95,20.12,19.93,20.00,87400
