Date,Open,High,Low,Close,Volume
11-01-2005,10.00,10.00,10.00,10.00,0
11-02-2005,10.02,10.14,10.00,10.01,5024020
11-03-2005,10.09,10.09,10.00,10.01,802393
11-04-2005,10.00,10.25,10.00,10.07,601134
11-07-2005,10.07,10.48,10.06,10.48,83882
11-08-2005,10.50,10.50,10.17,10.25,160224
11-09-2005,10.20,10.40,10.00,10.08,221000
11-10-2005,10.05,10.12,10.00,10.00,408400
11-11-2005,10.00,10.05,9.90,9.90,1134610
11-14-2005,9.86,9.86,9.16,9.16,134550
11-15-2005,9.23,9.40,9.10,9.12,59010
11-16-2005,9.30,9.30,8.80,8.81,200090
11-17-2005,8.80,8.96,8.56,8.78,136102
11-18-2005,8.70,9.24,8.68,9.05,198846
11-21-2005,9.25,9.25,8.80,8.94,21000
11-22-2005,8.80,9.60,8.80,9.28,188704
11-23-2005,9.16,9.50,9.01,9.24,12187
11-25-2005,9.00,9.28,9.00,9.25,4602
11-28-2005,9.40,9.63,9.00,9.20,68100
11-29-2005,9.41,9.64,9.18,9.50,336191
11-30-2005,10.00,10.10,9.35,9.61,306698
12-01-2005,9.66,9.89,9.38,9.58,217006
12-02-2005,9.70,9.74,9.52,9.55,12224
12-05-2005,9.55,9.64,9.32,9.40,7773
12-06-2005,9.32,9.50,9.15,9.24,16879
12-07-2005,9.25,9.42,9.20,9.21,21600
12-08-2005,9.15,9.40,8.50,9.05,18391
12-09-2005,9.47,9.47,8.92,9.10,93480
12-12-2005,9.69,9.69,9.15,9.23,190844
12-13-2005,9.20,9.35,8.95,9.25,70835
12-14-2005,9.18,9.20,9.05,9.13,58400
12-15-2005,9.12,9.21,8.81,8.96,48922
12-16-2005,9.00,9.01,8.75,8.97,24334
12-19-2005,8.99,9.00,8.25,8.54,72172
12-20-2005,8.57,8.63,8.13,8.32,123538
12-21-2005,8.36,8.36,8.11,8.20,320995
12-22-2005,8.36,8.36,8.15,8.33,49286
