Date,Open,High,Low,Close,Volume
05-08-2008,10.07,10.07,10.07,10.07,0
05-09-2008,10.07,10.16,9.88,10.07,13728522
05-12-2008,10.00,10.19,9.98,10.08,1656012
05-13-2008,10.19,10.19,10.09,10.10,893497
05-14-2008,10.15,10.23,10.11,10.17,667494
05-15-2008,10.24,10.24,10.13,10.18,576032
05-16-2008,10.19,10.40,10.16,10.28,486589
05-19-2008,10.38,10.38,10.23,10.38,397027
05-20-2008,10.32,10.47,10.23,10.46,373385
05-21-2008,10.46,10.50,10.26,10.32,338865
05-22-2008,10.32,10.43,10.23,10.26,291333
05-23-2008,10.25,10.35,10.15,10.21,422422
05-27-2008,10.23,10.31,9.93,10.01,507860
05-28-2008,10.16,10.21,10.02,10.19,416484
05-29-2008,10.14,10.21,10.07,10.13,285817
05-30-2008,10.23,10.31,10.10,10.23,112456
06-02-2008,10.10,10.23,10.07,10.22,220295
06-03-2008,10.26,10.26,10.13,10.18,286340
06-04-2008,10.16,10.19,10.09,10.11,236523
06-05-2008,10.08,10.13,10.04,10.13,347638
06-06-2008,10.07,10.29,10.07,10.10,317455
06-09-2008,9.98,10.07,9.97,9.99,506364
06-10-2008,9.97,10.01,9.83,9.86,542615
06-11-2008,9.86,10.26,9.77,10.18,873005
06-12-2008,10.36,10.36,9.92,10.07,637244
06-13-2008,9.90,10.24,9.90,10.22,225237
06-16-2008,10.04,10.28,10.04,10.25,466826
06-17-2008,10.27,10.59,10.25,10.40,958544
06-18-2008,10.65,10.68,10.27,10.43,1133242
06-19-2008,10.62,10.62,10.32,10.53,392775
06-20-2008,10.64,10.64,10.26,10.32,618383
06-23-2008,10.20,10.62,10.20,10.50,855429
06-24-2008,10.59,10.62,10.41,10.44,312078
06-25-2008,10.41,10.51,9.92,10.40,609547
06-26-2008,10.37,10.37,10.10,10.18,180053
06-27-2008,10.07,10.44,9.99,10.38,265578
06-30-2008,10.45,10.45,10.14,10.29,196288
07-01-2008,10.19,10.41,10.16,10.35,176084
07-02-2008,10.21,10.35,10.15,10.23,179301
07-03-2008,10.13,10.21,9.93,9.96,85196
07-07-2008,10.01,10.03,9.19,9.57,570262
07-08-2008,9.36,9.58,8.65,9.25,960997
07-09-2008,9.44,9.57,9.18,9.33,290012
07-10-2008,9.31,9.76,9.08,9.44,209899
07-11-2008,9.29,9.43,9.16,9.43,122156
07-14-2008,9.49,9.71,9.28,9.41,184621
07-15-2008,9.47,9.47,9.18,9.33,346331
07-16-2008,9.31,9.33,9.20,9.29,299177
07-17-2008,9.43,9.85,9.16,9.24,668839
07-18-2008,9.28,9.49,9.17,9.40,390090
07-21-2008,9.49,9.91,9.45,9.84,447318
07-22-2008,9.81,10.07,9.78,9.84,329763
07-23-2008,9.88,9.99,9.66,9.85,299535
07-24-2008,9.77,9.77,9.43,9.46,162878
07-25-2008,9.55,9.86,9.40,9.68,296401
07-28-2008,9.69,9.92,9.58,9.73,120955
07-29-2008,9.83,9.83,9.61,9.73,99076
07-30-2008,9.65,9.93,9.65,9.87,109416
07-31-2008,9.84,9.96,9.52,9.68,242910
08-01-2008,9.71,9.76,9.54,9.72,89690
08-04-2008,9.58,9.80,9.31,9.38,140214
08-05-2008,9.34,9.37,8.95,9.00,582695
08-06-2008,8.95,9.16,8.95,9.00,320055
08-07-2008,9.06,9.22,8.95,9.01,230516
08-08-2008,8.95,9.16,8.91,8.96,264622
08-11-2008,8.88,9.00,8.71,8.83,436104
08-12-2008,8.95,9.03,8.58,8.64,925010
08-13-2008,8.63,8.77,8.32,8.60,964256
08-14-2008,8.66,8.90,8.63,8.68,1033628
08-15-2008,8.77,8.78,8.55,8.67,183001
08-18-2008,8.76,8.94,8.69,8.93,146496
08-19-2008,8.79,9.06,8.70,9.00,182835
08-20-2008,9.03,9.19,8.98,9.16,92513
08-21-2008,9.27,9.46,9.14,9.42,198402
08-22-2008,9.37,9.70,9.26,9.66,136593
08-25-2008,9.71,9.71,9.19,9.26,154580
08-26-2008,9.16,9.79,9.09,9.22,199573
08-27-2008,9.31,9.66,9.31,9.47,117885
08-28-2008,9.51,9.53,9.27,9.40,107667
08-29-2008,9.55,9.62,9.32,9.42,80252
09-02-2008,9.42,9.54,9.19,9.29,255349
