Date,Open,High,Low,Close,Volume
02-15-2005,18.00,18.00,18.00,18.00,0
02-16-2005,17.50,17.70,17.05,17.10,16649800
02-17-2005,17.28,17.35,16.90,17.25,3433300
02-18-2005,17.40,17.55,17.26,17.54,982900
02-22-2005,17.48,17.48,16.77,17.08,525900
02-23-2005,17.02,17.45,16.90,17.45,569600
02-24-2005,17.35,17.49,17.25,17.39,853900
02-25-2005,17.44,17.50,17.31,17.48,486500
02-28-2005,17.50,18.00,17.45,17.89,1157500
03-01-2005,17.89,17.89,17.50,17.84,521400
03-02-2005,17.82,18.15,17.61,18.05,949700
03-03-2005,18.00,18.04,17.76,17.81,495200
03-04-2005,17.83,17.95,17.71,17.85,438100
03-07-2005,17.94,17.95,17.58,17.70,268600
03-08-2005,17.69,17.79,17.65,17.70,78500
03-09-2005,17.78,17.78,17.40,17.50,305600
03-10-2005,17.50,17.51,17.10,17.51,311600
03-11-2005,17.53,17.75,17.48,17.61,114200
03-14-2005,17.58,17.65,17.41,17.55,176400
03-15-2005,17.55,17.58,17.30,17.45,102700
03-16-2005,17.38,17.38,17.21,17.25,194800
03-17-2005,17.17,17.25,16.75,17.05,357000
03-18-2005,17.02,17.24,16.61,17.12,718900
03-21-2005,17.17,17.59,17.12,17.59,181200
03-22-2005,17.59,17.69,17.30,17.60,353700
03-23-2005,17.55,17.75,17.40,17.49,441000
03-24-2005,17.45,17.74,17.45,17.63,637500
03-28-2005,18.00,18.01,17.65,17.90,712800
03-29-2005,17.80,17.95,17.76,17.80,810900
03-30-2005,17.80,17.89,17.53,17.72,250800
03-31-2005,17.72,17.72,16.70,17.10,2175100
04-01-2005,17.12,17.50,17.12,17.30,747300
04-04-2005,17.27,17.30,16.83,17.13,351200
04-05-2005,17.10,17.25,17.01,17.15,217800
04-06-2005,17.20,17.25,17.10,17.11,324500
04-07-2005,17.07,17.25,16.95,17.20,179400
04-08-2005,17.15,17.15,16.90,17.02,212100
04-11-2005,17.08,17.08,16.15,16.59,704900
04-12-2005,16.50,17.12,16.42,16.94,602400
04-13-2005,17.00,17.00,16.68,16.75,146600
04-14-2005,16.75,16.77,16.40,16.45,124000
04-15-2005,16.70,17.10,16.42,16.75,311500
04-18-2005,16.55,16.82,16.30,16.60,176500
04-19-2005,16.55,16.95,16.50,16.94,149500
04-20-2005,16.96,17.00,16.60,16.98,205300
04-21-2005,17.00,17.04,16.79,16.86,132600
04-22-2005,16.85,16.85,16.25,16.25,389500
04-25-2005,16.30,16.45,16.00,16.32,209900
04-26-2005,16.30,16.57,15.71,16.25,336900
04-27-2005,16.25,16.90,16.17,16.89,570600
04-28-2005,16.83,16.97,16.65,16.85,150800
04-29-2005,16.86,16.89,16.70,16.70,173600
05-02-2005,16.60,16.66,15.72,15.98,513700
05-03-2005,15.95,16.20,15.40,15.61,251500
05-04-2005,15.80,15.94,15.47,15.57,328900
05-05-2005,15.60,15.89,15.38,15.61,217900
05-06-2005,15.80,15.99,15.55,15.76,335500
05-09-2005,15.80,15.90,15.70,15.90,163400
05-10-2005,15.98,15.98,15.70,15.85,217100
05-11-2005,15.86,15.89,15.52,15.76,191500
05-12-2005,15.86,15.90,15.70,15.75,92900
05-13-2005,15.81,15.84,15.52,15.72,177500
05-16-2005,15.65,15.80,15.25,15.51,175500
05-17-2005,15.61,15.89,15.35,15.74,229900
05-18-2005,15.81,16.13,15.62,15.93,158400
05-19-2005,16.00,16.25,15.95,16.05,230400
05-20-2005,16.08,16.14,15.94,16.01,568900
05-23-2005,15.60,15.88,15.60,15.85,425500
05-24-2005,15.89,15.90,15.79,15.85,656100
05-25-2005,15.85,16.04,15.80,16.00,296200
05-26-2005,16.25,16.44,16.20,16.30,165100
05-27-2005,16.39,16.39,16.20,16.20,47100
05-31-2005,16.24,16.24,16.00,16.01,158300
06-01-2005,16.00,16.40,16.00,16.27,440500
06-02-2005,16.23,16.31,16.10,16.30,199200
06-03-2005,16.20,16.40,16.20,16.22,298200
06-06-2005,16.21,16.50,16.15,16.30,291700
06-07-2005,16.23,16.47,16.23,16.35,405800
06-08-2005,16.28,16.42,16.20,16.29,235600
06-09-2005,16.27,16.50,15.85,16.35,236700
06-10-2005,16.32,16.45,16.26,16.27,83500
06-13-2005,16.25,16.55,16.25,16.47,49000
06-14-2005,16.45,16.98,16.44,16.98,70900
06-15-2005,17.00,17.26,16.98,17.26,212800
06-16-2005,17.24,17.40,17.15,17.38,88200
06-17-2005,17.99,18.20,17.51,18.20,696600
06-20-2005,18.20,18.43,18.10,18.38,253900
06-21-2005,18.34,18.49,18.26,18.49,278400
06-22-2005,18.42,18.50,18.04,18.40,157400
06-23-2005,18.40,18.40,17.92,18.00,196700
06-24-2005,17.93,17.93,17.07,17.46,439100
06-27-2005,17.50,17.90,17.27,17.90,239600
06-28-2005,17.90,18.25,17.90,18.20,235000
06-29-2005,18.20,18.56,18.20,18.52,325000
06-30-2005,18.78,18.88,18.20,18.47,246200
07-01-2005,18.50,18.86,18.40,18.79,162800
07-05-2005,18.80,19.08,18.69,19.04,172700
07-06-2005,19.04,19.48,18.85,19.11,264300
07-07-2005,19.12,19.37,18.85,19.14,157300
07-08-2005,19.14,19.15,18.76,19.15,138700
07-11-2005,19.25,19.50,19.17,19.40,212600
07-12-2005,19.40,19.98,19.35,19.98,374100
07-13-2005,20.10,20.70,20.09,20.15,221600
07-14-2005,20.50,20.60,19.80,20.20,112700
07-15-2005,20.20,20.61,19.88,20.52,117300
07-18-2005,20.49,20.65,19.71,19.83,93600
