Date,Open,High,Low,Close,Volume
02-25-2004,8.38,8.44,8.38,8.38,587119
02-26-2004,8.39,8.39,8.38,8.39,168789
02-27-2004,8.39,8.46,8.38,8.43,254687
03-01-2004,8.44,8.44,8.40,8.40,214426
03-02-2004,8.42,8.42,8.38,8.39,126034
03-03-2004,8.38,8.41,8.38,8.40,185627
03-04-2004,8.41,8.48,8.40,8.48,256476
03-05-2004,8.58,8.66,8.52,8.54,182757
03-08-2004,8.58,8.63,8.52,8.57,150364
03-09-2004,8.53,8.66,8.53,8.58,266841
03-10-2004,8.63,8.65,8.55,8.65,215321
03-11-2004,8.65,8.65,8.56,8.60,148582
03-12-2004,8.61,8.63,8.58,8.61,128176
03-15-2004,8.61,8.63,8.54,8.57,140167
03-16-2004,8.61,8.61,8.57,8.59,127826
03-17-2004,8.61,8.63,8.58,8.63,170059
03-18-2004,8.63,8.63,8.58,8.60,122278
03-19-2004,8.61,8.63,8.58,8.59,78453
03-22-2004,8.63,8.63,8.53,8.55,146084
03-23-2004,8.68,8.68,8.53,8.63,223188
03-24-2004,8.66,8.66,8.52,8.61,131059
03-25-2004,8.65,8.65,8.50,8.55,186694
03-26-2004,8.53,8.55,8.43,8.52,156450
03-29-2004,8.47,8.47,8.38,8.42,164868
03-30-2004,8.42,8.44,8.38,8.40,183824
03-31-2004,8.43,8.55,8.40,8.47,87204
04-01-2004,8.44,8.52,8.41,8.47,156629
04-02-2004,8.52,8.52,8.42,8.47,141971
04-05-2004,8.46,8.49,8.40,8.42,91329
04-06-2004,8.38,8.49,8.38,8.46,455607
04-07-2004,8.50,8.58,8.45,8.48,164516
04-08-2004,8.52,8.55,8.47,8.55,157707
04-12-2004,8.55,8.55,8.50,8.52,95439
04-13-2004,8.51,8.51,8.43,8.47,194209
04-14-2004,8.44,8.52,8.38,8.47,213349
04-15-2004,8.46,8.49,8.34,8.36,180789
04-16-2004,8.39,8.47,8.27,8.33,122637
04-19-2004,8.33,8.41,8.31,8.41,164516
04-20-2004,8.42,8.43,8.36,8.43,150205
04-21-2004,8.44,8.44,8.22,8.38,412308
04-22-2004,8.41,8.41,8.30,8.30,115651
04-23-2004,8.30,8.37,8.28,8.36,116384
04-26-2004,8.37,8.37,8.08,8.08,262380
04-27-2004,8.05,8.05,7.84,7.99,311221
04-28-2004,7.98,7.99,7.77,7.99,402112
04-29-2004,8.02,8.02,7.80,7.84,134088
04-30-2004,7.90,7.99,7.77,7.85,138919
05-03-2004,7.71,7.81,7.65,7.76,230347
05-04-2004,7.66,7.80,7.60,7.80,235715
05-05-2004,7.81,7.88,7.77,7.81,247174
05-06-2004,7.78,7.82,7.70,7.74,152700
05-07-2004,7.71,7.74,7.35,7.49,201005
05-10-2004,7.35,7.35,7.07,7.15,476001
05-11-2004,7.24,7.46,7.07,7.27,295108
05-12-2004,7.14,7.29,6.95,7.24,418754
05-13-2004,7.28,7.42,7.22,7.29,192602
05-14-2004,7.34,7.57,7.33,7.49,120854
05-17-2004,7.55,7.71,7.30,7.38,176490
05-18-2004,7.29,7.40,7.24,7.37,233030
05-19-2004,7.38,7.41,7.21,7.38,304598
05-20-2004,7.32,7.37,7.27,7.33,256650
05-21-2004,7.38,7.46,7.36,7.42,137842
05-24-2004,7.39,7.48,7.27,7.29,229623
05-25-2004,7.31,7.49,7.31,7.37,367410
05-26-2004,7.38,7.43,7.32,7.34,219256
05-27-2004,7.34,7.35,7.24,7.31,348435
05-28-2004,7.42,7.42,7.27,7.32,134452
06-01-2004,7.32,7.63,7.27,7.38,397109
06-02-2004,7.44,7.45,7.30,7.36,155196
06-03-2004,7.41,7.41,7.21,7.29,153950
06-04-2004,7.27,7.33,7.23,7.29,221405
06-07-2004,7.20,7.35,7.18,7.19,327312
06-08-2004,7.25,7.26,7.15,7.17,253250
06-09-2004,7.16,7.31,7.15,7.21,217465
06-10-2004,7.22,7.27,7.17,7.23,234811
06-14-2004,7.17,7.17,6.95,7.02,358991
06-15-2004,7.01,7.06,6.95,6.95,362210
06-16-2004,6.98,7.01,6.91,6.95,342531
06-17-2004,6.90,6.98,6.89,6.93,331792
06-18-2004,6.89,6.92,6.83,6.85,351302
06-21-2004,6.84,6.90,6.80,6.85,463481
06-22-2004,6.87,6.93,6.80,6.80,568688
06-23-2004,6.87,6.89,6.80,6.85,418754
06-24-2004,6.82,6.92,6.82,6.87,444335
06-25-2004,6.89,6.94,6.84,6.93,315872
06-28-2004,6.95,6.95,6.81,6.86,265240
06-29-2004,6.84,6.85,6.67,6.75,469563
06-30-2004,6.72,6.89,6.71,6.82,457218
07-01-2004,6.87,6.99,6.82,6.98,309783
07-02-2004,7.01,7.15,6.96,7.04,261836
07-06-2004,7.04,7.14,6.95,6.99,293869
07-07-2004,6.99,7.15,6.96,7.00,310332
07-08-2004,7.00,7.10,7.00,7.06,214239
07-09-2004,7.06,7.19,7.04,7.19,226943
07-12-2004,7.11,7.24,7.08,7.13,301195
07-13-2004,7.06,7.18,7.00,7.05,212637
07-14-2004,7.04,7.05,6.85,6.91,281163
07-15-2004,6.85,6.90,6.80,6.84,309247
07-16-2004,6.85,6.92,6.85,6.91,347189
07-19-2004,6.89,7.01,6.88,6.93,293686
07-20-2004,6.93,6.95,6.86,6.86,279553
07-21-2004,6.86,6.92,6.84,6.91,274187
07-22-2004,6.89,6.92,6.84,6.88,287596
07-23-2004,6.85,6.89,6.80,6.86,281881
07-26-2004,6.86,6.93,6.83,6.87,217465
07-27-2004,6.90,6.97,6.87,6.87,408905
07-28-2004,6.88,6.94,6.86,6.86,303001
07-29-2004,6.91,6.93,6.86,6.89,185987
07-30-2004,6.94,7.10,6.90,6.99,275253
08-02-2004,7.15,7.15,7.05,7.14,345927
08-03-2004,7.15,7.22,7.10,7.10,238209
08-04-2004,7.15,7.21,7.10,7.13,228386
08-05-2004,7.17,7.27,7.16,7.26,290458
08-06-2004,7.27,7.35,7.23,7.24,158059
08-09-2004,7.27,7.29,7.24,7.25,136062
08-10-2004,7.30,7.31,7.13,7.16,263448
08-11-2004,7.09,7.10,7.00,7.06,347002
08-12-2004,7.03,7.15,6.99,7.11,330723
08-13-2004,7.17,7.17,7.08,7.13,182039
08-16-2004,7.15,7.21,7.10,7.13,424119
08-17-2004,7.11,7.18,7.10,7.18,290458
08-18-2004,7.17,7.24,7.16,7.19,288141
08-19-2004,7.17,7.22,7.16,7.19,184726
08-20-2004,7.17,7.23,7.17,7.19,223188
08-23-2004,7.24,7.27,7.19,7.26,238571
08-24-2004,7.25,7.28,7.14,7.20,388693
08-25-2004,7.22,7.26,7.17,7.25,211565
08-26-2004,7.26,7.28,7.20,7.28,248954
08-27-2004,7.29,7.35,7.27,7.33,239476
08-30-2004,7.33,7.33,7.21,7.23,224988
08-31-2004,7.28,7.29,7.22,7.29,197419
09-01-2004,7.27,7.34,7.25,7.29,211738
09-02-2004,7.32,7.34,7.27,7.33,261123
09-03-2004,7.34,7.36,7.27,7.32,172561
09-07-2004,7.32,7.35,7.28,7.35,230706
09-08-2004,7.31,7.35,7.27,7.31,202433
09-09-2004,7.32,7.35,7.24,7.25,197068
09-10-2004,7.27,7.36,7.25,7.36,210317
09-13-2004,7.31,7.32,7.24,7.27,214426
09-14-2004,7.30,7.30,7.21,7.27,237329
09-15-2004,7.27,7.29,7.22,7.29,165576
09-16-2004,7.29,7.29,7.22,7.27,197254
09-17-2004,7.32,7.32,7.24,7.28,188653
09-20-2004,7.30,7.31,7.24,7.27,225163
09-21-2004,7.24,7.29,7.17,7.21,266490
09-22-2004,7.19,7.26,7.14,7.14,254146
09-23-2004,7.18,7.19,7.06,7.11,300664
09-24-2004,7.14,7.18,7.07,7.17,205665
09-27-2004,7.18,7.29,7.15,7.17,280633
09-28-2004,7.19,7.24,7.17,7.22,308173
09-29-2004,7.23,7.27,7.17,7.26,285630
09-30-2004,7.27,7.28,7.23,7.28,276510
10-01-2004,7.26,7.32,7.26,7.27,232501
10-04-2004,7.24,7.29,7.17,7.28,251642
10-05-2004,7.28,7.29,7.20,7.29,235715
10-06-2004,7.29,7.32,7.25,7.28,230347
10-07-2004,7.27,7.29,7.21,7.23,202433
10-08-2004,7.24,7.31,7.24,7.28,209770
10-11-2004,7.28,7.29,7.24,7.27,121025
10-12-2004,7.27,7.34,7.25,7.32,432879
10-13-2004,7.27,7.33,7.26,7.30,309076
10-14-2004,7.28,7.34,7.27,7.27,222110
10-15-2004,7.28,7.31,7.24,7.26,161105
10-18-2004,7.24,7.31,7.23,7.30,237329
10-19-2004,7.25,7.31,7.24,7.26,217652
10-20-2004,7.27,7.28,7.19,7.23,366323
10-21-2004,7.23,7.24,7.20,7.20,351649
10-22-2004,7.19,7.21,7.17,7.20,376708
10-25-2004,7.20,7.22,7.18,7.20,298875
10-26-2004,7.19,7.23,7.16,7.23,279379
10-27-2004,7.23,7.25,7.14,7.18,311937
10-28-2004,7.16,7.21,7.14,7.20,210126
10-29-2004,7.20,7.23,7.19,7.19,192242
11-01-2004,7.17,7.22,7.15,7.20,266312
11-02-2004,7.20,7.23,7.15,7.19,369903
11-03-2004,7.19,7.23,7.17,7.23,386013
11-04-2004,7.23,7.31,7.20,7.30,311937
11-05-2004,7.28,7.31,7.17,7.24,295478
11-08-2004,7.20,7.24,7.13,7.13,454538
11-09-2004,7.13,7.17,7.08,7.12,513936
11-10-2004,7.10,7.13,7.05,7.11,390482
11-11-2004,7.08,7.15,7.07,7.12,365255
11-12-2004,7.13,7.20,7.09,7.15,342531
11-15-2004,7.13,7.20,7.08,7.18,391559
11-16-2004,7.20,7.21,7.13,7.17,428232
11-17-2004,7.15,7.22,7.11,7.15,594449
11-18-2004,7.15,7.24,7.14,7.21,509819
11-19-2004,7.22,7.25,7.16,7.22,402832
11-22-2004,7.22,7.29,7.17,7.20,571540
11-23-2004,7.20,7.24,7.19,7.23,494442
11-24-2004,7.24,7.25,7.19,7.25,338590
11-26-2004,7.25,7.26,7.24,7.24,80059
11-29-2004,7.23,7.25,7.14,7.16,504446
11-30-2004,7.18,7.23,7.14,7.17,583888
12-01-2004,7.17,7.26,7.16,7.24,562784
12-02-2004,7.26,7.28,7.24,7.27,557950
12-03-2004,7.25,7.32,7.25,7.32,398710
12-06-2004,7.32,7.40,7.29,7.33,406410
12-07-2004,7.35,7.41,7.33,7.40,420721
12-08-2004,7.38,7.40,7.32,7.37,479046
12-09-2004,7.37,7.43,7.33,7.40,424300
12-10-2004,7.38,7.51,7.29,7.46,759952
12-13-2004,7.31,7.31,7.18,7.22,500337
12-14-2004,7.19,7.24,7.16,7.21,423584
12-15-2004,7.21,7.22,7.15,7.17,541126
12-16-2004,7.19,7.24,7.15,7.15,574768
12-17-2004,7.15,7.19,7.10,7.18,545784
12-20-2004,7.19,7.21,7.13,7.16,407127
12-21-2004,7.17,7.22,7.14,7.20,496576
12-22-2004,7.18,7.20,7.10,7.15,833306
12-23-2004,7.14,7.17,7.11,7.15,465094
12-27-2004,7.15,7.16,7.08,7.13,623977
12-28-2004,7.09,7.13,7.07,7.10,821502
12-29-2004,7.11,7.18,7.10,7.12,560996
12-30-2004,7.15,7.16,7.11,7.14,472970
12-31-2004,7.18,7.19,7.12,7.17,703770
01-03-2005,7.18,7.29,7.16,7.27,448272
01-04-2005,7.29,7.38,7.25,7.38,580315
