Date,Open,High,Low,Close,Volume
11-19-2003,8.20,8.20,8.20,8.20,0
11-20-2003,8.20,8.43,8.13,8.14,14761800
11-21-2003,8.13,8.20,8.10,8.15,1784200
11-24-2003,8.14,8.25,8.13,8.25,833000
11-25-2003,8.23,8.27,8.13,8.14,344800
11-26-2003,8.10,8.27,8.07,8.20,382600
11-28-2003,8.18,8.31,8.16,8.31,194200
12-01-2003,8.27,8.36,8.20,8.35,534400
12-02-2003,8.31,8.38,8.22,8.38,337800
12-03-2003,8.43,8.60,8.35,8.38,811600
12-04-2003,8.40,8.47,8.34,8.46,448800
12-05-2003,8.45,8.50,8.38,8.50,1085000
12-08-2003,8.50,8.61,8.45,8.60,496800
12-09-2003,8.65,8.68,8.48,8.49,339800
12-10-2003,8.48,8.65,8.48,8.57,672000
12-11-2003,8.52,8.63,8.45,8.56,173400
12-12-2003,8.63,8.94,8.60,8.77,579000
12-15-2003,8.85,8.90,8.65,8.70,602000
12-16-2003,8.65,8.74,8.63,8.69,165200
12-17-2003,8.69,8.80,8.65,8.73,278600
12-18-2003,8.69,9.01,8.65,8.88,907600
12-19-2003,8.88,8.96,8.77,8.82,184600
12-22-2003,8.88,8.88,8.73,8.76,167200
12-23-2003,8.77,8.77,8.50,8.55,171800
12-24-2003,8.52,8.68,8.52,8.65,163000
12-26-2003,8.63,9.05,8.63,9.00,392800
12-29-2003,9.13,9.18,8.91,8.99,354600
12-30-2003,8.99,9.02,8.84,8.93,335200
12-31-2003,8.93,9.27,8.93,9.20,831800
01-02-2004,9.32,9.63,9.28,9.42,783400
01-05-2004,9.48,9.50,9.23,9.27,632800
01-06-2004,9.31,9.69,9.31,9.63,1077000
01-07-2004,9.63,9.63,9.42,9.47,286200
01-08-2004,9.51,9.57,9.43,9.53,228600
01-09-2004,9.60,9.73,9.57,9.63,449400
01-12-2004,9.75,9.75,9.50,9.56,160800
01-13-2004,9.70,10.10,9.64,10.05,673400
01-14-2004,10.05,10.11,9.86,9.95,526600
01-15-2004,10.05,10.06,9.82,9.91,359400
01-16-2004,9.93,9.93,9.63,9.64,371600
01-20-2004,9.70,9.88,9.61,9.85,549200
01-21-2004,9.77,9.86,9.65,9.82,440000
01-22-2004,10.00,10.00,9.52,9.83,561800
01-23-2004,9.83,9.88,9.77,9.85,355200
01-26-2004,9.81,10.11,9.81,10.01,411000
01-27-2004,10.10,10.13,9.95,10.01,204600
01-28-2004,10.02,10.02,9.74,9.74,221800
01-29-2004,9.86,9.90,9.60,9.65,181400
01-30-2004,9.70,9.75,9.60,9.62,374000
02-02-2004,9.93,9.98,9.74,9.93,665400
02-03-2004,9.95,9.98,9.82,9.93,248200
02-04-2004,9.93,9.95,9.74,9.75,416000
02-05-2004,9.75,9.77,9.62,9.71,302000
02-06-2004,9.65,9.68,9.54,9.60,397600
02-09-2004,9.65,9.74,9.63,9.71,351400
02-10-2004,9.69,10.13,9.66,10.10,189800
02-11-2004,10.11,10.12,9.93,10.02,513200
02-12-2004,10.10,10.33,10.03,10.30,358400
02-13-2004,10.30,10.38,10.20,10.32,332000
02-17-2004,10.50,10.50,10.28,10.38,183400
02-18-2004,10.48,10.63,10.37,10.48,317600
02-19-2004,10.52,10.60,10.43,10.45,317400
02-20-2004,10.52,10.56,10.45,10.45,177400
02-23-2004,10.45,10.60,10.45,10.52,238400
02-24-2004,10.57,10.72,10.52,10.59,325800
02-25-2004,10.68,10.71,10.52,10.57,274800
02-26-2004,10.52,10.61,10.41,10.50,1287600
02-27-2004,10.50,10.50,10.43,10.45,458200
03-01-2004,10.45,10.52,10.43,10.50,733400
03-02-2004,10.50,10.50,10.36,10.38,1488600
03-03-2004,10.38,10.71,10.35,10.58,285800
03-04-2004,10.58,10.88,10.52,10.86,313400
03-05-2004,10.85,11.18,10.77,11.12,615800
03-08-2004,11.13,11.36,11.10,11.28,535200
03-09-2004,11.30,11.45,11.25,11.27,303600
03-10-2004,11.28,11.43,11.15,11.15,268000
03-11-2004,11.13,11.13,10.84,10.99,546800
03-12-2004,11.10,11.34,11.10,11.32,463400
03-15-2004,11.40,11.44,11.30,11.32,265800
03-16-2004,11.35,11.40,10.88,11.00,237000
03-17-2004,11.06,11.35,11.01,11.14,254400
03-18-2004,11.09,11.40,11.01,11.40,226200
03-19-2004,11.43,11.43,11.25,11.34,131200
03-22-2004,11.22,11.31,10.96,10.98,387800
03-23-2004,11.05,11.50,11.05,11.35,273000
03-24-2004,11.41,11.43,11.13,11.25,296400
03-25-2004,11.25,11.27,11.05,11.23,269800
03-26-2004,11.20,11.35,11.16,11.28,69800
03-29-2004,11.29,11.43,11.29,11.40,220200
03-30-2004,11.43,11.78,11.40,11.75,374400
03-31-2004,11.78,11.97,11.63,11.80,349400
04-01-2004,12.00,12.00,11.63,11.85,230400
04-02-2004,11.85,12.05,11.80,12.05,138400
04-05-2004,12.16,12.18,11.65,11.65,201400
04-06-2004,11.65,11.80,11.65,11.78,355200
04-07-2004,11.81,12.08,11.81,12.08,535200
04-08-2004,12.15,12.38,12.15,12.31,408200
04-12-2004,12.44,12.48,12.25,12.36,273400
04-13-2004,12.25,12.42,12.23,12.35,280800
04-14-2004,12.38,12.45,12.30,12.42,123600
04-15-2004,12.40,13.25,12.40,12.80,372400
04-16-2004,12.75,13.15,12.65,13.13,287200
04-19-2004,13.25,13.80,13.16,13.60,533400
04-20-2004,13.60,13.60,13.31,13.48,245000
04-21-2004,13.35,13.36,12.26,12.51,803000
04-22-2004,12.50,12.97,12.50,12.90,296800
04-23-2004,12.95,12.95,12.68,12.74,122200
04-26-2004,12.79,12.80,12.48,12.49,452200
04-27-2004,12.50,13.18,12.50,13.00,233000
04-28-2004,13.03,13.10,12.73,12.74,204400
04-29-2004,12.74,12.88,12.38,12.52,327200
04-30-2004,12.52,12.75,12.52,12.68,129400
05-03-2004,12.68,13.11,12.68,13.09,211600
05-04-2004,13.19,13.50,13.16,13.48,396000
05-05-2004,13.48,13.49,13.29,13.45,197200
05-06-2004,13.43,13.63,13.34,13.40,302200
05-07-2004,13.35,13.36,12.86,12.95,219400
05-10-2004,12.13,12.20,10.75,11.59,989800
05-11-2004,11.70,12.08,11.65,12.05,381400
05-12-2004,12.02,12.18,11.89,12.06,141400
05-13-2004,12.02,12.17,11.63,11.71,233200
05-14-2004,11.80,12.24,11.80,12.15,218200
05-17-2004,12.15,12.15,11.85,11.90,262400
05-18-2004,11.95,11.98,11.38,11.53,247200
05-19-2004,11.50,11.93,11.48,11.79,353400
05-20-2004,11.75,11.75,11.56,11.57,189000
05-21-2004,11.51,11.65,11.15,11.35,292000
05-24-2004,11.30,11.40,11.22,11.39,423400
05-25-2004,11.39,11.80,11.39,11.73,103200
05-26-2004,11.77,11.84,11.70,11.83,145800
05-27-2004,11.82,11.82,11.65,11.68,113000
05-28-2004,11.55,11.76,11.45,11.73,181200
06-01-2004,11.80,12.15,11.80,11.99,222400
06-02-2004,12.12,12.23,12.03,12.07,248800
06-03-2004,12.08,12.11,11.94,12.01,200800
06-04-2004,12.06,12.09,11.95,12.01,146200
06-07-2004,11.99,12.11,11.88,12.10,211200
06-08-2004,12.18,12.19,11.94,12.01,151600
06-09-2004,12.01,12.02,11.88,11.90,219400
06-10-2004,11.95,12.13,11.95,12.12,117200
06-14-2004,12.14,12.25,11.89,12.15,201600
06-15-2004,12.19,12.38,12.19,12.32,172000
06-16-2004,12.38,12.85,12.38,12.78,149800
06-17-2004,12.73,13.10,12.70,12.98,155000
06-18-2004,13.00,13.39,13.00,13.28,181800
06-21-2004,13.35,13.47,13.16,13.19,91000
06-22-2004,13.19,13.36,12.81,13.20,258600
06-23-2004,13.21,13.38,13.12,13.35,152400
06-24-2004,13.32,13.36,13.13,13.35,203600
06-25-2004,13.00,13.07,12.72,12.99,2170600
06-28-2004,13.00,13.00,12.45,12.52,553800
06-29-2004,12.50,12.72,12.43,12.45,336600
06-30-2004,12.48,12.69,12.48,12.57,191800
07-01-2004,12.57,12.58,12.43,12.47,190200
07-02-2004,12.42,12.55,12.26,12.48,153400
07-06-2004,12.51,12.63,12.50,12.60,237200
07-07-2004,12.60,12.65,12.52,12.54,118400
07-08-2004,12.55,12.59,12.50,12.50,164000
07-09-2004,12.51,12.67,12.47,12.64,198800
07-12-2004,12.64,12.65,12.50,12.55,207400
07-13-2004,12.57,12.60,12.40,12.50,202200
07-14-2004,12.49,12.68,12.47,12.56,190800
07-15-2004,12.55,13.02,12.52,12.93,424000
07-16-2004,12.93,12.97,12.81,12.89,415800
07-19-2004,12.90,13.00,12.85,12.98,332800
07-20-2004,13.02,13.20,12.88,12.91,232600
07-21-2004,12.95,12.95,12.52,12.52,140000
07-22-2004,12.59,12.66,12.43,12.65,163000
07-23-2004,12.61,12.65,12.46,12.49,133800
07-26-2004,12.52,12.63,12.42,12.48,307000
07-27-2004,12.50,12.52,11.90,11.98,793200
07-28-2004,12.02,12.34,11.40,11.62,1334600
07-29-2004,11.60,11.99,11.52,11.99,459800
07-30-2004,12.03,12.30,11.84,11.84,436000
08-02-2004,12.02,12.07,11.76,12.00,435800
08-03-2004,12.20,12.24,12.00,12.06,274800
08-04-2004,12.25,12.29,11.86,11.88,383000
08-05-2004,11.98,11.98,11.55,11.66,332400
08-06-2004,11.67,11.67,11.36,11.38,395400
08-09-2004,11.30,11.52,11.27,11.35,401600
08-10-2004,11.43,11.52,11.38,11.40,207400
08-11-2004,11.40,11.52,11.32,11.40,143400
08-12-2004,11.38,11.40,11.24,11.27,113000
08-13-2004,11.25,11.59,11.20,11.35,190000
08-16-2004,11.45,11.56,11.27,11.33,230000
08-17-2004,11.29,11.32,10.93,10.95,591000
08-18-2004,10.96,11.53,10.94,11.48,328200
08-19-2004,11.60,11.84,11.60,11.75,373400
08-20-2004,11.81,12.00,11.77,11.81,297000
08-23-2004,11.85,11.86,11.40,11.51,353400
08-24-2004,11.53,11.63,11.27,11.40,157000
08-25-2004,11.43,11.57,11.43,11.55,124400
08-26-2004,11.55,11.76,11.54,11.73,132400
08-27-2004,11.71,11.77,11.66,11.77,161800
08-30-2004,11.77,11.89,11.65,11.70,193800
08-31-2004,11.65,11.89,11.65,11.81,145800
09-01-2004,11.82,12.30,11.82,12.23,158800
09-02-2004,12.25,13.19,12.25,12.98,750400
09-03-2004,12.99,13.29,12.80,13.21,327200
09-07-2004,13.20,13.41,12.95,13.39,470000
09-08-2004,13.39,13.60,13.31,13.59,308000
09-09-2004,13.55,14.05,13.48,13.81,451200
09-10-2004,13.91,14.34,13.91,14.20,526200
09-13-2004,14.40,14.57,14.31,14.51,352000
09-14-2004,14.51,14.75,14.51,14.65,453400
09-15-2004,14.70,14.90,14.69,14.75,312000
09-16-2004,14.77,14.89,14.70,14.89,337400
09-17-2004,14.90,14.90,14.43,14.44,286800
09-20-2004,14.36,14.85,14.36,14.77,191800
09-21-2004,14.80,15.52,14.80,15.32,316600
09-22-2004,15.32,15.32,14.89,15.00,196400
09-23-2004,15.00,15.12,14.85,14.99,184000
09-24-2004,14.99,15.19,14.91,14.92,242400
09-27-2004,15.00,15.32,14.98,15.14,233600
09-28-2004,15.20,15.60,15.20,15.50,193800
09-29-2004,15.50,15.52,15.05,15.18,313200
09-30-2004,15.20,15.20,15.13,15.20,332800
10-01-2004,15.15,15.77,15.15,15.25,464200
10-04-2004,15.50,15.52,15.31,15.37,366000
10-05-2004,15.50,15.72,15.47,15.49,199000
10-06-2004,15.46,16.55,15.46,16.34,329000
10-07-2004,16.45,17.11,16.38,16.39,647600
10-08-2004,16.45,16.77,15.88,15.99,329800
10-11-2004,16.42,16.42,16.01,16.15,204400
10-12-2004,16.08,16.40,16.06,16.06,173600
10-13-2004,15.75,15.80,14.73,14.93,924800
10-14-2004,14.93,15.43,14.85,15.17,562200
10-15-2004,15.11,15.27,15.07,15.19,256800
10-18-2004,15.25,15.48,14.86,14.90,922200
10-19-2004,14.80,14.90,14.63,14.64,341800
10-20-2004,14.77,15.27,14.75,15.16,203200
10-21-2004,15.12,15.86,15.10,15.86,320200
10-22-2004,15.90,16.41,15.86,16.08,405000
10-25-2004,16.11,16.22,15.43,15.50,597000
10-26-2004,15.50,15.64,15.37,15.50,414000
10-27-2004,15.65,15.86,14.92,15.05,525000
10-28-2004,15.01,15.01,14.50,14.77,485800
10-29-2004,14.70,15.02,14.70,14.84,208400
11-01-2004,14.88,15.29,14.78,14.85,496600
11-02-2004,14.88,14.93,14.55,14.56,333800
11-03-2004,14.70,15.00,14.63,14.93,241200
11-04-2004,14.90,15.19,14.85,15.03,264600
11-05-2004,14.99,15.38,14.64,14.75,403600
11-08-2004,14.70,14.79,14.05,14.13,775800
11-09-2004,14.07,14.79,13.76,14.65,529400
11-10-2004,14.69,15.19,14.65,15.16,315600
11-11-2004,15.16,15.16,14.65,14.90,521800
11-12-2004,14.88,15.19,14.85,15.09,191000
11-15-2004,15.08,15.08,14.60,14.73,649200
11-16-2004,14.80,14.93,14.50,14.51,690200
11-17-2004,14.70,14.75,14.51,14.56,6233600
11-18-2004,14.53,14.59,14.51,14.52,2007000
11-19-2004,14.53,14.84,14.51,14.77,1704400
11-22-2004,14.90,15.26,14.88,15.23,999200
11-23-2004,15.20,15.50,15.13,15.24,959000
11-24-2004,15.15,15.80,15.09,15.75,755800
11-26-2004,15.77,16.00,15.73,15.85,206400
11-29-2004,15.85,16.61,15.85,16.41,1197600
11-30-2004,16.38,17.08,16.33,17.02,1489200
12-01-2004,17.02,17.02,15.93,16.06,1229200
12-02-2004,15.88,15.93,14.60,15.16,1650400
12-03-2004,15.03,15.57,14.94,15.52,738400
12-06-2004,15.58,15.65,15.27,15.47,446800
12-07-2004,15.47,15.48,14.88,15.02,946400
12-08-2004,15.02,15.32,14.40,15.03,1009400
12-09-2004,15.03,15.33,14.77,15.32,674400
12-10-2004,15.45,15.50,15.00,15.05,566000
12-13-2004,15.07,15.30,15.07,15.25,254000
12-14-2004,15.28,15.53,15.26,15.46,216600
12-15-2004,15.50,15.73,15.26,15.68,545800
12-16-2004,15.84,15.84,15.19,15.20,511800
12-17-2004,15.25,15.45,15.23,15.40,435600
12-20-2004,15.25,15.40,14.86,15.31,466200
12-21-2004,15.31,15.58,15.20,15.47,340000
12-22-2004,15.55,15.57,14.95,15.19,384800
12-23-2004,15.27,15.30,15.05,15.07,240200
12-27-2004,15.07,15.07,14.68,14.89,452400
12-28-2004,14.89,15.10,14.88,15.10,205000
12-29-2004,15.11,15.36,15.00,15.15,292200
12-30-2004,15.13,15.25,15.05,15.11,131800
12-31-2004,15.11,15.19,15.00,15.13,233800
01-03-2005,15.13,15.13,14.20,14.45,872800
01-04-2005,14.68,14.74,14.34,14.43,1183000
01-05-2005,14.43,14.43,13.88,14.29,900000
01-06-2005,14.39,14.88,14.38,14.68,735800
01-07-2005,14.85,14.85,14.32,14.50,817200
01-10-2005,14.85,15.05,14.69,14.80,486600
01-11-2005,14.80,14.83,14.52,14.76,403400
01-12-2005,14.81,15.25,14.64,15.25,547600
01-13-2005,15.31,15.68,15.30,15.43,461800
01-14-2005,15.43,15.68,15.32,15.65,526800
01-18-2005,16.20,16.62,15.70,16.25,1238000
01-19-2005,16.25,16.70,16.17,16.44,948400
01-20-2005,16.38,16.59,15.95,16.44,683400
01-21-2005,16.55,17.25,16.52,16.90,958600
01-24-2005,16.90,17.17,16.88,17.00,642600
01-25-2005,17.09,17.23,16.83,16.91,487800
01-26-2005,16.98,17.07,16.85,17.05,366600
01-27-2005,17.15,17.43,17.08,17.28,599800
01-28-2005,17.28,17.35,16.60,17.20,396200
01-31-2005,17.20,17.47,16.67,17.46,511600
02-01-2005,17.46,17.87,17.39,17.84,536800
02-02-2005,17.84,18.20,17.77,18.19,371200
02-03-2005,18.19,18.19,17.83,18.03,709200
02-04-2005,18.03,18.29,17.95,18.16,480200
02-07-2005,18.16,18.17,17.65,17.88,251400
02-08-2005,17.88,18.19,17.76,18.17,202800
02-09-2005,18.17,18.24,17.77,18.15,590000
02-10-2005,18.23,18.98,18.20,18.83,662400
02-11-2005,18.92,19.17,18.67,19.05,774200
02-14-2005,19.17,19.34,19.08,19.25,376000
02-15-2005,19.30,19.51,19.07,19.25,307800
02-16-2005,19.25,19.92,19.22,19.85,442600
02-17-2005,19.98,20.08,19.35,19.38,335000
02-18-2005,19.45,19.75,19.32,19.50,582000
02-22-2005,19.75,20.08,19.66,19.75,544600
02-23-2005,19.75,20.11,19.64,19.70,438200
02-24-2005,19.83,20.27,19.73,20.22,501200
02-25-2005,20.33,20.87,20.23,20.85,731600
02-28-2005,21.38,21.90,20.67,21.15,756000
03-01-2005,21.00,21.12,19.30,20.00,1835000
03-02-2005,19.95,20.65,19.95,20.40,774200
03-03-2005,20.75,22.05,20.74,21.73,1013800
03-04-2005,21.92,23.15,21.72,22.35,797000
03-07-2005,22.35,22.35,21.68,22.00,510200
03-08-2005,21.95,22.40,21.95,22.06,414200
03-09-2005,22.11,22.72,21.97,22.06,727200
03-10-2005,22.06,22.06,20.14,21.14,1216600
03-11-2005,21.01,21.56,20.95,21.25,421800
03-14-2005,21.34,21.55,20.72,21.25,548000
03-15-2005,21.35,21.67,21.25,21.54,1121200
03-16-2005,21.58,22.00,21.43,21.83,751800
03-17-2005,22.02,22.50,22.02,22.31,494200
03-18-2005,22.45,22.48,21.91,22.17,872800
03-21-2005,22.17,22.17,21.24,21.50,470600
03-22-2005,21.52,21.67,20.88,20.95,666800
03-23-2005,20.88,20.88,19.63,19.81,648000
03-24-2005,19.88,20.47,19.88,20.05,485800
03-28-2005,19.98,20.00,19.60,19.99,398600
03-29-2005,20.08,20.41,19.50,19.56,740800
03-30-2005,19.54,19.90,19.38,19.78,580200
03-31-2005,19.98,20.63,19.98,20.39,459000
04-01-2005,20.98,21.24,20.76,21.16,770200
04-04-2005,21.41,21.60,20.77,20.90,504400
04-05-2005,20.90,21.02,20.39,20.50,381600
04-06-2005,20.50,20.70,20.17,20.35,586200
04-07-2005,20.51,20.67,20.07,20.25,330600
04-08-2005,20.23,20.23,19.70,19.78,464800
04-11-2005,19.63,19.63,17.67,18.13,2680000
04-12-2005,18.02,18.27,17.52,17.55,1145000
04-13-2005,17.48,17.48,16.57,16.73,1566400
04-14-2005,16.88,16.94,16.30,16.40,1273400
04-15-2005,16.50,16.53,15.85,15.93,793600
04-18-2005,15.75,16.42,15.49,16.17,1519600
04-19-2005,16.45,17.38,16.42,17.17,962600
04-20-2005,17.29,17.42,16.31,16.32,960000
04-21-2005,16.44,17.35,16.41,17.30,542600
04-22-2005,17.40,17.50,16.38,16.85,1101200
04-25-2005,16.77,17.13,16.25,16.25,1347800
04-26-2005,16.95,16.95,16.43,16.52,1699200
04-27-2005,16.53,16.53,15.73,16.08,1039600
04-28-2005,15.77,15.85,15.00,15.18,1356000
04-29-2005,15.40,15.60,15.00,15.14,929600
05-02-2005,15.02,15.48,14.75,15.41,888200
05-03-2005,15.41,15.41,14.94,14.97,1610800
05-04-2005,14.95,15.22,14.65,15.19,1181200
05-05-2005,15.32,15.68,15.20,15.56,933400
05-06-2005,15.81,15.95,15.64,15.75,814000
05-09-2005,15.82,16.06,15.77,16.05,432600
05-10-2005,16.07,16.07,15.76,15.76,1290000
05-11-2005,15.76,15.89,15.50,15.69,864200
05-12-2005,15.69,15.70,14.64,14.69,1216400
05-13-2005,14.73,14.90,14.50,14.57,711600
05-16-2005,14.45,14.68,14.10,14.60,1266200
05-17-2005,15.13,15.52,14.94,15.48,1449000
05-18-2005,15.73,15.91,15.43,15.77,1018000
05-19-2005,16.17,16.17,15.82,16.05,655800
05-20-2005,16.15,16.19,15.91,15.97,417200
05-23-2005,16.01,16.35,15.88,16.17,392800
05-24-2005,16.17,16.17,15.98,16.02,461200
05-25-2005,16.00,16.52,15.95,16.42,873400
05-26-2005,16.43,16.57,16.24,16.53,460000
05-27-2005,16.65,17.08,16.60,17.07,416600
05-31-2005,17.00,17.31,16.75,17.29,601000
06-01-2005,17.34,17.77,17.34,17.48,646400
06-02-2005,17.50,17.59,17.26,17.41,438800
06-03-2005,17.44,17.69,17.28,17.43,381400
06-06-2005,17.51,17.70,17.40,17.70,341600
06-07-2005,17.67,17.77,17.27,17.33,573400
06-08-2005,17.30,17.82,17.27,17.67,552600
06-09-2005,17.70,18.25,17.64,18.25,615800
06-10-2005,18.33,18.67,18.28,18.56,648200
06-13-2005,18.56,19.20,18.46,19.17,682600
06-14-2005,19.17,19.40,19.10,19.27,593400
06-15-2005,19.30,19.35,18.73,18.99,685400
06-16-2005,19.00,19.09,18.88,18.97,826200
06-17-2005,19.02,19.28,18.98,19.05,1062000
06-20-2005,19.08,19.39,19.08,19.31,433000
06-21-2005,19.30,19.33,18.90,18.95,595800
06-22-2005,18.98,19.05,18.65,19.00,530600
06-23-2005,19.01,19.56,18.73,18.73,637600
06-24-2005,18.45,18.45,17.51,18.26,2083400
06-27-2005,18.32,19.10,18.32,18.93,986200
06-28-2005,18.93,18.93,18.13,18.38,2195400
06-29-2005,18.30,18.50,18.13,18.28,970000
06-30-2005,18.23,18.46,18.10,18.16,465000
07-01-2005,18.20,19.09,18.19,19.03,801800
07-05-2005,19.13,19.59,19.06,19.49,632400
07-06-2005,19.59,19.75,19.15,19.40,466800
07-07-2005,19.15,19.87,19.15,19.75,332000
07-08-2005,19.88,20.06,19.50,19.66,461600
07-11-2005,19.60,19.84,19.27,19.51,552000
07-12-2005,19.55,20.20,19.55,20.00,442200
07-13-2005,19.98,20.15,19.64,19.83,339200
07-14-2005,19.94,20.18,19.02,19.18,449200
07-15-2005,19.25,19.62,18.90,19.04,440200
07-18-2005,19.00,19.00,18.59,18.67,315800
07-19-2005,18.77,19.34,18.73,19.32,347200
07-20-2005,19.33,19.35,18.80,19.25,218200
07-21-2005,19.19,19.27,18.80,19.10,387800
07-22-2005,19.23,19.60,19.23,19.60,500000
07-25-2005,19.50,19.91,19.33,19.65,403400
07-26-2005,19.70,19.98,19.50,19.96,531200
07-27-2005,19.95,20.45,19.73,19.91,1354600
07-28-2005,19.98,20.23,19.69,20.00,623000
07-29-2005,20.00,20.04,19.85,19.98,548200
08-01-2005,20.02,20.76,20.02,20.76,646800
08-02-2005,20.86,21.59,20.86,21.54,782000
08-03-2005,21.63,21.75,21.30,21.43,566000
08-04-2005,21.36,21.57,21.31,21.39,329200
08-05-2005,21.42,21.42,20.69,21.15,367800
08-08-2005,21.48,21.67,21.10,21.10,374800
08-09-2005,21.17,21.31,20.98,21.27,489800
08-10-2005,21.42,21.72,21.26,21.36,406400
08-11-2005,21.58,21.76,21.38,21.73,272200
08-12-2005,21.75,21.77,21.27,21.60,440000
08-15-2005,21.60,21.70,21.47,21.67,316800
08-16-2005,21.62,21.62,20.88,20.88,447000
08-17-2005,20.75,20.85,19.78,19.91,591600
08-18-2005,19.73,19.83,19.41,19.65,681200
08-19-2005,19.88,20.10,19.80,20.00,468400
08-22-2005,20.08,20.34,19.83,20.00,638800
08-23-2005,20.05,20.15,19.70,20.01,521400
08-24-2005,20.04,20.40,20.04,20.28,337400
08-25-2005,20.44,20.59,20.34,20.58,397000
08-26-2005,20.50,20.56,19.91,20.23,445000
08-29-2005,20.50,20.65,20.09,20.30,497600
08-30-2005,20.33,21.07,20.33,21.00,515800
08-31-2005,21.13,22.02,21.13,21.66,846200
09-01-2005,21.78,22.34,21.66,21.89,546000
09-02-2005,21.82,21.82,21.20,21.30,434800
09-06-2005,21.35,21.61,21.07,21.58,496000
09-07-2005,21.50,21.84,21.38,21.58,723400
09-08-2005,21.63,21.80,21.38,21.42,708600
09-09-2005,21.60,21.70,21.50,21.64,836400
09-12-2005,21.59,21.74,21.42,21.61,355200
09-13-2005,21.63,21.73,21.50,21.58,442600
09-14-2005,21.70,21.84,21.50,21.59,476000
09-15-2005,21.66,21.83,21.38,21.43,472800
09-16-2005,21.48,21.51,21.33,21.45,1088800
09-19-2005,21.46,22.14,21.46,21.77,708800
09-20-2005,21.76,22.02,21.52,21.60,808600
09-21-2005,21.61,22.77,21.61,22.43,672000
09-22-2005,22.56,22.92,22.27,22.51,1212000
09-23-2005,22.39,22.44,21.65,22.07,778200
09-26-2005,22.00,22.73,21.70,22.69,567800
09-27-2005,22.58,22.88,22.35,22.83,448800
09-28-2005,23.08,23.08,22.40,22.55,1461000
09-29-2005,22.05,22.10,21.80,21.80,7359400
09-30-2005,21.88,22.02,21.87,21.92,1891000
10-03-2005,21.95,22.19,21.81,22.02,797200
10-04-2005,21.85,22.00,21.00,21.02,1768800
10-05-2005,21.05,21.16,19.42,19.83,1226200
10-06-2005,19.83,19.87,18.80,19.27,1793400
10-07-2005,19.52,20.15,19.52,20.05,900600
10-10-2005,20.03,20.05,19.52,19.85,884000
10-11-2005,19.98,20.34,19.85,20.02,1259200
10-12-2005,19.97,20.30,19.46,19.73,1668200
10-13-2005,19.68,19.68,18.40,18.90,1712200
10-14-2005,19.00,19.44,18.73,19.42,875600
10-17-2005,20.00,20.17,19.66,20.16,974600
10-18-2005,20.16,20.46,19.81,20.15,2317200
10-19-2005,20.15,20.15,19.24,19.95,1365000
10-20-2005,19.90,19.93,18.53,18.58,1193600
10-21-2005,18.59,18.95,18.39,18.62,1087400
10-24-2005,18.62,19.39,18.42,19.30,743600
10-25-2005,19.48,20.25,19.36,20.13,917800
10-26-2005,20.58,20.98,20.06,20.11,929200
10-27-2005,20.21,20.33,19.49,19.65,1034600
10-28-2005,19.64,20.13,19.51,19.80,1060200
10-31-2005,19.92,20.27,19.80,20.27,1711000
11-01-2005,20.33,20.94,20.13,20.62,1060000
11-02-2005,20.59,21.41,20.59,21.38,803600
11-03-2005,21.63,21.72,21.35,21.56,670200
11-04-2005,21.43,21.44,20.88,21.02,707600
11-07-2005,20.90,20.91,20.39,20.55,602000
11-08-2005,20.47,21.04,20.26,21.02,567600
11-09-2005,20.97,21.44,20.73,21.03,855200
11-10-2005,20.94,20.94,19.92,20.42,837600
11-11-2005,20.35,20.68,20.22,20.40,441800
11-14-2005,20.58,20.80,20.08,20.20,590000
11-15-2005,20.22,20.59,20.02,20.15,683600
11-16-2005,20.23,21.13,20.14,21.13,576800
11-17-2005,21.24,21.40,20.71,20.75,653400
11-18-2005,20.88,20.95,20.65,20.95,373600
11-21-2005,21.00,21.50,20.90,21.50,337200
11-22-2005,21.63,22.02,21.50,21.88,796000
11-23-2005,21.75,21.75,21.37,21.42,720200
11-25-2005,21.42,21.63,21.33,21.55,229400
11-28-2005,21.42,21.42,20.20,20.49,883600
11-29-2005,20.77,20.94,20.64,20.91,609200
11-30-2005,20.84,21.05,20.66,20.73,487400
12-01-2005,20.84,21.19,20.82,21.16,521600
12-02-2005,21.23,21.33,20.86,21.27,343200
12-05-2005,21.47,21.55,21.11,21.27,514000
12-06-2005,21.27,21.75,21.23,21.74,658400
12-07-2005,21.83,21.92,21.42,21.44,491600
12-08-2005,21.49,22.00,21.47,22.00,548400
12-09-2005,21.98,22.00,21.63,21.96,450000
12-12-2005,22.21,22.34,21.89,22.06,480400
12-13-2005,22.18,22.45,22.14,22.17,663800
12-14-2005,22.22,22.22,21.79,22.10,586200
12-15-2005,22.07,22.07,21.18,21.50,980800
