Date,Open,High,Low,Close,Volume
11-18-2009,11.84,11.84,11.84,11.84,0
11-19-2009,11.51,11.51,11.51,11.51,0
11-20-2009,11.53,11.53,11.53,11.53,0
11-23-2009,11.65,11.65,11.65,11.65,0
11-24-2009,11.79,11.79,11.79,11.79,0
11-25-2009,11.93,11.93,11.93,11.93,0
11-27-2009,11.60,11.60,11.60,11.60,0
11-30-2009,11.55,11.55,11.55,11.55,0
12-01-2009,11.72,11.72,11.72,11.72,0
12-02-2009,11.72,11.72,11.72,11.72,0
12-03-2009,11.59,11.59,11.59,11.59,0
12-04-2009,11.47,11.47,11.47,11.47,0
12-07-2009,11.47,11.47,11.47,11.47,0
12-08-2009,11.29,11.29,11.29,11.29,0
12-09-2009,11.30,11.30,11.30,11.30,0
12-10-2009,11.46,11.46,11.46,11.46,0
12-11-2009,11.44,11.44,11.44,11.44,0
12-14-2009,11.87,11.87,11.87,11.87,0
12-15-2009,12.03,12.03,12.03,12.03,0
12-16-2009,12.13,12.13,12.13,12.13,0
12-17-2009,12.04,12.04,12.04,12.04,0
12-18-2009,12.08,12.08,12.08,12.08,0
12-21-2009,12.25,12.25,12.25,12.25,0
12-22-2009,12.33,12.33,12.33,12.33,0
12-23-2009,12.41,12.41,12.41,12.41,0
12-24-2009,12.48,12.48,12.48,12.48,0
12-28-2009,12.41,12.41,12.41,12.41,0
12-29-2009,12.45,12.45,12.45,12.45,0
12-30-2009,12.44,12.44,12.44,12.44,0
12-31-2009,12.31,12.31,12.31,12.31,0
01-04-2010,12.62,12.62,12.62,12.62,0
01-05-2010,12.78,12.78,12.78,12.78,0
01-06-2010,13.20,13.20,13.20,13.20,0
01-07-2010,13.10,13.10,13.10,13.10,0
01-08-2010,13.21,13.21,13.21,13.21,0
01-11-2010,13.13,13.13,13.13,13.13,0
01-12-2010,12.74,12.74,12.74,12.74,0
01-13-2010,12.75,12.75,12.75,12.75,0
01-14-2010,12.68,12.68,12.68,12.68,0
01-15-2010,12.48,12.48,12.48,12.48,0
01-19-2010,13.49,13.49,13.49,13.49,0
01-20-2010,13.52,13.52,13.52,13.52,0
01-21-2010,13.21,13.21,13.21,13.21,0
01-22-2010,12.92,12.92,12.92,12.92,0
01-25-2010,13.25,13.25,13.25,13.25,0
01-26-2010,12.96,12.96,12.96,12.96,0
01-27-2010,12.84,12.84,12.84,12.84,0
01-28-2010,12.68,12.68,12.68,12.68,0
01-29-2010,12.17,12.17,12.17,12.17,0
02-01-2010,12.55,12.55,12.55,12.55,0
02-02-2010,12.83,12.83,12.83,12.83,0
02-03-2010,12.65,12.65,12.65,12.65,0
02-04-2010,11.96,11.96,11.96,11.96,0
02-05-2010,11.84,11.84,11.84,11.84,0
02-08-2010,11.98,11.98,11.98,11.98,0
02-09-2010,12.30,12.30,12.30,12.30,0
02-10-2010,12.36,12.36,12.36,12.36,0
02-11-2010,12.67,12.67,12.67,12.67,0
02-12-2010,12.64,12.64,12.64,12.64,0
02-16-2010,13.07,13.07,13.07,13.07,0
02-17-2010,13.08,13.08,13.08,13.08,0
02-18-2010,12.95,12.95,12.95,12.95,0
02-19-2010,12.99,12.99,12.99,12.99,0
02-22-2010,12.61,12.61,12.61,12.61,0
02-23-2010,12.40,12.40,12.40,12.40,0
02-24-2010,12.62,12.62,12.62,12.62,0
02-25-2010,12.69,12.69,12.69,12.69,0
02-26-2010,12.58,12.58,12.58,12.58,0
03-01-2010,12.89,12.89,12.89,12.89,0
03-02-2010,13.02,13.02,13.02,13.02,0
03-03-2010,13.20,13.20,13.20,13.20,0
03-04-2010,13.17,13.17,13.17,13.17,0
03-05-2010,13.51,13.51,13.51,13.51,0
03-08-2010,13.35,13.35,13.35,13.35,0
03-09-2010,13.32,13.32,13.32,13.32,0
03-10-2010,13.34,13.34,13.34,13.34,0
03-11-2010,13.39,13.39,13.39,13.39,0
03-12-2010,13.43,13.43,13.43,13.43,0
03-15-2010,13.32,13.32,13.32,13.32,0
03-16-2010,13.57,13.57,13.57,13.57,0
03-17-2010,13.56,13.56,13.56,13.56,0
03-18-2010,13.40,13.40,13.40,13.40,0
03-19-2010,13.23,13.23,13.23,13.23,0
03-22-2010,13.21,13.21,13.21,13.21,0
03-23-2010,13.40,13.40,13.40,13.40,0
03-24-2010,13.42,13.42,13.42,13.42,0
03-25-2010,13.32,13.32,13.32,13.32,0
03-26-2010,13.35,13.35,13.35,13.35,0
03-29-2010,13.49,13.49,13.49,13.49,0
03-30-2010,13.58,13.58,13.58,13.58,0
03-31-2010,13.56,13.56,13.56,13.56,0
04-01-2010,13.72,13.72,13.72,13.72,0
04-05-2010,13.99,13.99,13.99,13.99,0
04-06-2010,14.14,14.14,14.14,14.14,0
04-07-2010,13.93,13.93,13.93,13.93,0
04-08-2010,14.05,14.05,14.05,14.05,0
04-09-2010,14.16,14.16,14.16,14.16,0
04-12-2010,14.22,14.22,14.22,14.22,0
04-13-2010,14.08,14.08,14.08,14.08,0
04-14-2010,14.21,14.21,14.21,14.21,0
04-15-2010,14.22,14.22,14.22,14.22,0
04-16-2010,13.84,13.84,13.84,13.84,0
04-19-2010,13.89,13.89,13.89,13.89,0
04-20-2010,14.04,14.04,14.04,14.04,0
04-21-2010,13.90,13.90,13.90,13.90,0
04-22-2010,13.94,13.94,13.94,13.94,0
04-23-2010,14.38,14.38,14.38,14.38,0
04-26-2010,14.36,14.36,14.36,14.36,0
04-27-2010,13.81,13.81,13.81,13.81,0
04-28-2010,13.90,13.90,13.90,13.90,0
04-29-2010,13.95,13.95,13.95,13.95,0
04-30-2010,13.86,13.86,13.86,13.86,0
05-03-2010,14.16,14.16,14.16,14.16,0
05-04-2010,13.69,13.69,13.69,13.69,0
05-05-2010,13.04,13.04,13.04,13.04,0
05-06-2010,12.36,12.36,12.36,12.36,0
05-07-2010,11.93,11.93,11.93,11.93,0
05-10-2010,12.61,12.61,12.61,12.61,0
05-11-2010,12.80,12.80,12.80,12.80,0
05-12-2010,13.15,13.15,13.15,13.15,0
05-13-2010,13.06,13.06,13.06,13.06,0
05-14-2010,12.70,12.70,12.70,12.70,0
05-17-2010,12.41,12.41,12.41,12.41,0
05-18-2010,12.23,12.23,12.23,12.23,0
05-19-2010,11.86,11.86,11.86,11.86,0
05-20-2010,11.22,11.22,11.22,11.22,0
05-21-2010,11.39,11.39,11.39,11.39,0
05-24-2010,11.16,11.16,11.16,11.16,0
05-25-2010,11.23,11.23,11.23,11.23,0
05-26-2010,11.32,11.32,11.32,11.32,0
05-27-2010,11.81,11.81,11.81,11.81,0
05-28-2010,11.59,11.59,11.59,11.59,0
06-01-2010,11.09,11.09,11.09,11.09,0
06-02-2010,11.44,11.44,11.44,11.44,0
06-03-2010,11.80,11.80,11.80,11.80,0
06-04-2010,11.29,11.29,11.29,11.29,0
06-07-2010,11.04,11.04,11.04,11.04,0
06-08-2010,11.29,11.29,11.29,11.29,0
06-09-2010,11.33,11.33,11.33,11.33,0
06-10-2010,11.79,11.79,11.79,11.79,0
06-11-2010,11.83,11.83,11.83,11.83,0
06-14-2010,11.78,11.78,11.78,11.78,0
06-15-2010,12.45,12.45,12.45,12.45,0
06-16-2010,12.35,12.35,12.35,12.35,0
06-17-2010,12.45,12.45,12.45,12.45,0
06-18-2010,12.66,12.66,12.66,12.66,0
06-21-2010,12.51,12.51,12.51,12.51,0
06-22-2010,11.98,11.98,11.98,11.98,0
06-23-2010,11.91,11.91,11.91,11.91,0
06-24-2010,11.69,11.69,11.69,11.69,0
06-25-2010,11.71,11.71,11.71,11.71,0
06-28-2010,11.48,11.48,11.48,11.48,0
06-29-2010,10.94,10.94,10.94,10.94,0
06-30-2010,10.80,10.80,10.80,10.80,0
07-01-2010,10.58,10.58,10.58,10.58,0
07-02-2010,10.44,10.44,10.44,10.44,0
07-06-2010,10.53,10.53,10.53,10.53,0
07-07-2010,11.10,11.10,11.10,11.10,0
07-08-2010,11.29,11.29,11.29,11.29,0
07-09-2010,11.30,11.30,11.30,11.30,0
07-12-2010,11.36,11.36,11.36,11.36,0
07-13-2010,11.50,11.50,11.50,11.50,0
07-14-2010,11.40,11.40,11.40,11.40,0
07-15-2010,11.39,11.39,11.39,11.39,0
