Date,Open,High,Low,Close,Volume
03-17-1992,2.33,2.33,2.31,2.31,0
03-18-1992,2.33,2.33,2.30,2.30,0
03-19-1992,2.32,2.32,2.30,2.30,0
03-20-1992,2.30,2.31,2.30,2.31,0
03-23-1992,2.32,2.35,2.32,2.34,0
03-24-1992,2.33,2.35,2.33,2.33,0
03-25-1992,2.32,2.33,2.31,2.33,0
03-26-1992,2.33,2.34,2.33,2.33,0
03-27-1992,2.32,2.32,2.30,2.31,0
03-30-1992,2.30,2.30,2.28,2.29,0
03-31-1992,2.28,2.37,2.28,2.36,0
04-01-1992,2.37,2.38,2.36,2.36,0
04-02-1992,2.38,2.38,2.35,2.35,0
04-03-1992,2.34,2.34,2.33,2.33,0
04-06-1992,2.34,2.34,2.31,2.33,0
04-07-1992,2.33,2.33,2.29,2.30,0
04-08-1992,2.30,2.35,2.29,2.31,0
04-09-1992,2.34,2.34,2.33,2.34,0
04-10-1992,2.35,2.35,2.32,2.34,0
04-13-1992,2.34,2.34,2.33,2.34,0
04-14-1992,2.34,2.34,2.33,2.33,0
04-15-1992,2.33,2.34,2.32,2.34,0
04-16-1992,2.35,2.35,2.33,2.35,0
04-20-1992,2.34,2.35,2.34,2.35,0
04-21-1992,2.36,2.36,2.34,2.34,0
04-22-1992,2.34,2.35,2.33,2.33,0
04-23-1992,2.34,2.34,2.29,2.30,0
04-24-1992,2.29,2.30,2.26,2.26,0
04-27-1992,2.24,2.24,2.10,2.11,0
04-28-1992,2.11,2.11,2.04,2.06,0
04-29-1992,2.09,2.11,2.08,2.11,0
04-30-1992,2.11,2.18,2.11,2.18,0
05-01-1992,2.17,2.19,2.17,2.19,0
05-04-1992,2.19,2.21,2.17,2.17,0
05-05-1992,2.16,2.16,2.13,2.15,0
05-06-1992,2.16,2.17,2.14,2.14,0
05-07-1992,2.14,2.18,2.14,2.14,0
05-08-1992,2.16,2.17,2.14,2.14,0
05-11-1992,2.16,2.22,2.15,2.22,0
05-12-1992,2.22,2.27,2.22,2.27,0
05-13-1992,2.28,2.31,2.25,2.27,0
05-14-1992,2.28,2.32,2.28,2.31,0
05-15-1992,2.31,2.31,2.27,2.29,0
05-18-1992,2.30,2.33,2.28,2.28,0
05-19-1992,2.32,2.36,2.32,2.35,0
05-20-1992,2.35,2.41,2.35,2.41,0
05-21-1992,2.40,2.41,2.37,2.39,0
05-22-1992,2.37,2.40,2.37,2.39,0
05-26-1992,2.39,2.40,2.37,2.39,0
05-27-1992,2.38,2.39,2.36,2.36,0
05-28-1992,2.37,2.38,2.35,2.37,0
05-29-1992,2.39,2.41,2.36,2.41,0
06-01-1992,2.38,2.43,2.38,2.38,0
06-02-1992,2.36,2.39,2.36,2.39,0
06-03-1992,2.40,2.40,2.34,2.36,0
06-04-1992,2.36,2.36,2.33,2.33,0
06-05-1992,2.35,2.36,2.31,2.35,0
06-08-1992,2.33,2.41,2.33,2.41,0
06-09-1992,2.44,2.49,2.44,2.49,0
06-10-1992,2.48,2.51,2.46,2.46,0
06-11-1992,2.47,2.47,2.38,2.43,0
06-12-1992,2.46,2.47,2.46,2.47,0
06-15-1992,2.47,2.47,2.40,2.42,0
06-16-1992,2.44,2.45,2.42,2.42,0
06-17-1992,2.44,2.44,2.40,2.42,0
06-18-1992,2.42,2.44,2.40,2.42,0
06-19-1992,2.40,2.42,2.40,2.42,0
06-22-1992,2.40,2.42,2.38,2.40,0
06-23-1992,2.39,2.39,2.37,2.39,0
06-24-1992,2.37,2.38,2.37,2.37,0
06-25-1992,2.37,2.40,2.37,2.40,0
06-26-1992,2.40,2.40,2.37,2.39,0
06-29-1992,2.38,2.40,2.37,2.37,0
06-30-1992,2.37,2.40,2.37,2.37,0
07-01-1992,2.38,2.42,2.38,2.40,0
07-02-1992,2.42,2.42,2.38,2.42,0
07-06-1992,2.42,2.42,2.40,2.42,0
07-07-1992,2.40,2.42,2.37,2.40,0
07-08-1992,2.42,2.42,2.38,2.42,0
07-09-1992,2.40,2.40,2.37,2.40,0
07-10-1992,2.39,2.40,2.37,2.39,0
07-13-1992,2.40,2.42,2.38,2.40,0
07-14-1992,2.38,2.40,2.38,2.40,0
07-15-1992,2.40,2.42,2.40,2.42,0
07-16-1992,2.42,2.42,2.40,2.40,0
07-17-1992,2.42,2.42,2.40,2.42,0
07-20-1992,2.42,2.43,2.40,2.43,0
07-21-1992,2.44,2.44,2.42,2.42,0
07-22-1992,2.42,2.42,2.38,2.40,0
07-23-1992,2.40,2.40,2.38,2.40,0
07-24-1992,2.39,2.40,2.39,2.39,0
07-27-1992,2.40,2.40,2.37,2.39,0
07-28-1992,2.38,2.40,2.37,2.40,0
07-29-1992,2.40,2.42,2.40,2.42,0
07-30-1992,2.42,2.42,2.40,2.40,0
07-31-1992,2.40,2.43,2.40,2.43,0
08-03-1992,2.44,2.44,2.38,2.40,0
08-04-1992,2.40,2.42,2.38,2.42,0
08-05-1992,2.42,2.42,2.40,2.42,0
08-06-1992,2.42,2.42,2.40,2.42,0
08-07-1992,2.40,2.40,2.38,2.40,0
08-10-1992,2.40,2.44,2.40,2.42,0
08-11-1992,2.44,2.44,2.40,2.42,0
08-12-1992,2.42,2.43,2.42,2.43,0
08-13-1992,2.44,2.46,2.42,2.46,0
08-14-1992,2.45,2.49,2.45,2.49,0
08-17-1992,2.47,2.49,2.46,2.47,0
08-18-1992,2.47,2.49,2.44,2.49,0
08-19-1992,2.47,2.53,2.46,2.47,0
08-20-1992,2.49,2.49,2.47,2.47,0
08-21-1992,2.51,2.51,2.46,2.46,0
08-24-1992,2.47,2.47,2.46,2.47,0
08-25-1992,2.45,2.49,2.45,2.49,0
08-26-1992,2.49,2.51,2.45,2.49,0
08-27-1992,2.51,2.54,2.51,2.51,0
08-28-1992,2.52,2.52,2.49,2.52,0
08-31-1992,2.52,2.52,2.49,2.51,0
09-01-1992,2.49,2.51,2.45,2.51,0
09-02-1992,2.52,2.52,2.51,2.51,0
09-03-1992,2.52,2.54,2.51,2.51,0
09-04-1992,2.52,2.52,2.51,2.52,0
09-08-1992,2.51,2.52,2.49,2.51,0
09-09-1992,2.49,2.51,2.49,2.49,0
09-10-1992,2.56,2.58,2.55,2.55,0
09-11-1992,2.57,2.60,2.55,2.60,0
09-14-1992,2.59,2.68,2.59,2.64,0
09-15-1992,2.65,2.65,2.62,2.62,0
09-16-1992,2.62,2.68,2.60,2.66,0
09-17-1992,2.68,2.73,2.66,2.73,0
09-18-1992,2.73,2.73,2.66,2.67,0
09-21-1992,2.67,2.71,2.66,2.67,0
09-22-1992,2.66,2.69,2.60,2.60,0
09-23-1992,2.59,2.60,2.57,2.59,0
09-24-1992,2.57,2.60,2.57,2.60,0
09-25-1992,2.62,2.62,2.58,2.62,0
09-28-1992,2.58,2.62,2.57,2.60,0
09-29-1992,2.58,2.64,2.58,2.62,0
09-30-1992,2.64,2.82,2.64,2.82,0
10-01-1992,2.84,2.84,2.73,2.73,0
10-02-1992,2.73,2.77,2.71,2.73,0
10-05-1992,2.77,2.77,2.70,2.70,0
10-06-1992,2.71,2.73,2.71,2.71,0
10-07-1992,2.73,2.79,2.71,2.73,0
10-08-1992,2.75,2.76,2.75,2.75,0
10-09-1992,2.73,2.75,2.71,2.73,0
10-12-1992,2.73,2.77,2.73,2.77,0
10-13-1992,2.77,2.77,2.75,2.77,0
10-14-1992,2.78,2.78,2.75,2.75,0
10-15-1992,2.75,2.79,2.75,2.77,0
10-16-1992,2.77,2.77,2.75,2.77,0
10-19-1992,2.75,2.79,2.75,2.77,0
10-20-1992,2.79,2.79,2.77,2.77,0
10-21-1992,2.77,2.77,2.75,2.77,0
10-22-1992,2.77,2.77,2.73,2.77,0
10-23-1992,2.76,2.78,2.73,2.75,0
10-26-1992,2.77,2.77,2.75,2.77,0
10-27-1992,2.75,2.84,2.75,2.84,0
10-28-1992,2.84,2.87,2.82,2.82,0
10-29-1992,2.80,2.89,2.80,2.88,0
10-30-1992,2.88,2.89,2.84,2.86,0
11-02-1992,2.89,2.89,2.84,2.88,0
11-03-1992,2.89,3.10,2.88,2.93,0
11-04-1992,2.93,2.93,2.88,2.89,0
11-05-1992,2.95,3.02,2.95,2.95,0
11-06-1992,3.00,3.00,2.89,2.95,0
11-09-1992,2.93,2.93,2.88,2.93,0
11-10-1992,2.93,2.97,2.91,2.91,0
11-11-1992,2.93,2.99,2.92,2.97,0
11-12-1992,2.93,2.93,2.88,2.91,0
11-13-1992,2.91,2.91,2.90,2.91,0
11-16-1992,2.91,2.95,2.89,2.93,0
11-17-1992,2.93,2.97,2.91,2.95,0
11-18-1992,2.95,2.97,2.91,2.93,0
11-19-1992,2.93,2.95,2.88,2.91,0
11-20-1992,2.89,2.91,2.86,2.89,0
11-23-1992,2.88,2.93,2.88,2.91,0
11-24-1992,2.89,2.89,2.84,2.88,0
11-25-1992,2.90,2.93,2.88,2.91,0
11-27-1992,2.93,2.93,2.90,2.91,0
11-30-1992,2.91,2.95,2.90,2.91,0
12-01-1992,2.91,2.95,2.91,2.93,0
12-02-1992,2.93,2.97,2.91,2.95,0
12-03-1992,2.95,2.99,2.95,2.99,0
12-04-1992,2.99,3.01,2.97,2.99,0
12-07-1992,3.00,3.00,2.93,2.93,0
12-08-1992,2.93,2.95,2.89,2.93,0
12-09-1992,2.93,2.93,2.90,2.91,0
12-10-1992,2.97,2.99,2.96,2.96,0
12-11-1992,2.96,3.00,2.96,3.00,0
12-14-1992,2.97,2.97,2.71,2.86,0
12-15-1992,2.84,2.84,2.77,2.80,0
12-16-1992,2.80,2.82,2.78,2.80,0
12-17-1992,2.82,2.82,2.75,2.80,0
12-18-1992,2.79,2.88,2.79,2.88,0
12-21-1992,2.88,2.90,2.82,2.84,0
12-22-1992,2.82,2.84,2.80,2.84,0
12-23-1992,2.83,2.85,2.75,2.79,0
12-24-1992,2.79,2.79,2.77,2.79,0
12-28-1992,2.80,2.86,2.80,2.86,0
12-29-1992,2.85,2.90,2.83,2.88,0
12-30-1992,2.90,2.91,2.86,2.91,0
12-31-1992,2.92,3.01,2.90,3.01,0
01-04-1993,2.99,3.01,2.95,2.97,0
01-05-1993,2.97,2.97,2.88,2.91,0
01-06-1993,2.92,2.94,2.86,2.88,0
01-07-1993,2.90,2.91,2.82,2.86,0
01-08-1993,2.85,2.86,2.81,2.83,0
01-11-1993,2.82,2.91,2.82,2.91,0
01-12-1993,2.93,2.95,2.91,2.91,0
01-13-1993,2.92,3.01,2.92,3.00,0
01-14-1993,3.01,3.03,2.96,3.00,0
01-15-1993,3.03,3.11,3.03,3.11,0
01-18-1993,3.12,3.14,3.10,3.14,0
01-19-1993,3.16,3.20,3.14,3.20,0
01-20-1993,3.20,3.20,3.14,3.14,0
01-21-1993,3.16,3.16,3.11,3.12,0
01-22-1993,3.08,3.14,3.07,3.14,0
01-25-1993,3.12,3.18,3.08,3.08,0
01-26-1993,3.11,3.14,3.05,3.05,0
01-27-1993,3.01,3.07,3.01,3.05,0
01-28-1993,3.07,3.08,3.03,3.08,0
01-29-1993,3.09,3.12,3.07,3.12,0
02-01-1993,3.11,3.20,3.11,3.18,0
02-02-1993,3.18,3.24,3.14,3.20,0
02-03-1993,3.22,3.27,3.20,3.20,0
02-04-1993,3.24,3.26,3.14,3.18,0
02-05-1993,3.16,3.33,3.16,3.16,0
02-08-1993,3.16,3.20,3.12,3.18,0
02-09-1993,3.18,3.18,3.10,3.14,0
02-10-1993,3.15,3.16,3.13,3.16,0
02-11-1993,3.18,3.20,3.15,3.16,0
02-12-1993,3.14,3.22,3.14,3.18,0
02-16-1993,3.09,3.14,3.09,3.11,0
02-17-1993,3.13,3.14,3.07,3.11,0
02-18-1993,3.10,3.14,3.08,3.08,0
02-19-1993,3.09,3.28,3.09,3.28,0
02-22-1993,3.26,3.42,3.24,3.40,0
02-23-1993,3.39,3.52,3.35,3.40,0
02-24-1993,3.38,3.46,3.31,3.42,0
02-25-1993,3.38,3.40,3.33,3.36,0
02-26-1993,3.36,3.36,3.31,3.36,0
03-01-1993,3.35,3.39,3.33,3.35,0
03-02-1993,3.33,3.35,3.29,3.31,0
03-03-1993,3.31,3.33,3.30,3.33,0
03-04-1993,3.29,3.33,3.29,3.31,0
03-05-1993,3.30,3.33,3.30,3.33,0
03-08-1993,3.27,3.33,3.25,3.31,0
03-09-1993,3.28,3.35,3.28,3.33,0
03-10-1993,3.35,3.45,3.35,3.45,0
03-11-1993,3.51,3.57,3.51,3.51,0
03-12-1993,3.53,3.53,3.47,3.51,0
03-15-1993,3.51,3.53,3.49,3.53,0
03-16-1993,3.53,3.57,3.51,3.57,0
03-17-1993,3.53,3.57,3.51,3.53,0
03-18-1993,3.56,3.58,3.52,3.58,0
03-19-1993,3.59,3.66,3.53,3.66,0
03-22-1993,3.70,3.80,3.66,3.70,0
03-23-1993,3.70,3.70,3.60,3.62,0
03-24-1993,3.62,3.64,3.53,3.53,0
03-25-1993,3.49,3.55,3.45,3.53,0
03-26-1993,3.57,3.58,3.55,3.57,0
03-29-1993,3.55,3.55,3.49,3.49,0
03-30-1993,3.47,3.49,3.43,3.47,0
03-31-1993,3.46,3.51,3.46,3.49,0
