Date,Open,High,Low,Close,Volume
03-27-2013,7.65,7.87,7.61,7.86,0
03-28-2013,5.84,6.04,5.82,5.98,0
04-01-2013,4.78,4.89,4.64,4.89,0
04-02-2013,4.85,5.04,4.81,4.96,0
04-03-2013,4.25,4.30,4.04,4.14,0
04-04-2013,4.22,4.49,4.18,4.43,0
04-05-2013,3.89,4.18,3.69,4.16,0
04-08-2013,4.33,4.59,4.16,4.58,0
04-09-2013,4.81,4.81,4.42,4.49,0
04-10-2013,5.08,5.21,4.98,5.16,0
04-11-2013,5.43,5.75,5.43,5.63,0
04-12-2013,5.53,5.62,5.43,5.60,0
04-15-2013,5.22,5.29,4.66,4.70,0
04-16-2013,4.73,5.11,4.53,5.05,0
04-17-2013,4.80,4.88,4.37,4.74,0
04-18-2013,4.74,4.79,4.54,4.72,0
04-19-2013,4.72,5.08,4.49,5.05,0
04-22-2013,5.11,5.11,4.81,5.01,0
04-23-2013,5.37,5.46,5.21,5.33,0
04-24-2013,5.45,5.76,5.35,5.75,0
04-25-2013,6.00,6.13,5.59,6.09,0
04-26-2013,6.07,6.31,6.05,6.30,0
04-29-2013,6.12,6.39,6.09,6.39,0
04-30-2013,6.29,6.60,6.29,6.56,0
05-01-2013,6.86,7.38,6.73,7.06,0
05-02-2013,6.91,7.28,6.91,7.17,0
05-03-2013,7.44,7.72,7.37,7.63,0
05-06-2013,7.56,7.75,7.52,7.71,0
05-07-2013,7.30,7.46,7.21,7.32,0
05-08-2013,7.41,7.58,7.30,7.52,0
05-09-2013,7.72,7.73,7.40,7.45,0
05-10-2013,7.55,7.62,7.36,7.42,0
05-13-2013,7.82,7.84,7.56,7.63,0
05-14-2013,7.56,7.67,7.42,7.47,0
05-15-2013,6.38,6.52,6.19,6.43,0
05-16-2013,6.34,6.47,5.74,5.92,0
05-17-2013,5.92,6.14,5.86,5.98,0
05-20-2013,6.02,6.17,5.96,6.06,0
05-21-2013,6.11,6.34,6.11,6.23,0
05-22-2013,6.67,6.92,5.61,5.75,0
05-23-2013,5.75,5.77,5.12,5.26,0
05-24-2013,5.17,5.27,4.80,5.17,0
05-28-2013,5.23,5.31,4.45,4.64,0
05-29-2013,4.41,4.45,3.59,3.90,0
05-30-2013,4.02,4.26,3.73,3.80,0
05-31-2013,3.92,4.29,3.83,4.13,0
06-03-2013,4.15,4.46,3.95,4.36,0
06-04-2013,5.02,5.02,4.72,4.85,0
06-05-2013,5.03,5.22,4.82,4.94,0
06-06-2013,4.40,5.28,4.40,5.27,0
06-07-2013,5.32,5.42,4.83,5.16,0
06-10-2013,4.44,4.60,4.18,4.53,0
06-11-2013,4.16,4.36,3.98,3.98,0
06-12-2013,3.88,3.88,3.07,3.13,0
06-13-2013,3.20,3.81,3.20,3.60,0
06-14-2013,3.67,4.07,3.51,3.71,0
06-17-2013,4.07,4.22,3.74,3.96,0
06-18-2013,3.66,3.89,3.46,3.71,0
06-19-2013,3.83,3.84,2.75,2.86,0
06-20-2013,2.67,2.67,1.33,1.45,0
06-21-2013,1.85,2.02,1.49,1.87,0
06-24-2013,2.01,2.72,1.57,2.19,0
06-25-2013,2.38,2.84,2.18,2.63,0
06-26-2013,3.26,3.64,3.24,3.48,0
06-27-2013,3.21,3.74,3.21,3.74,0
06-28-2013,3.89,4.01,3.53,3.83,0
07-01-2013,3.94,4.05,3.62,3.68,0
07-02-2013,3.35,3.85,3.35,3.83,0
07-03-2013,3.94,4.08,3.66,3.94,0
07-05-2013,3.92,3.97,3.43,3.87,0
07-08-2013,3.92,4.36,3.92,4.21,0
07-09-2013,3.60,3.81,3.58,3.77,0
07-10-2013,3.37,3.38,3.07,3.20,0
07-11-2013,4.47,4.85,4.47,4.75,0
07-12-2013,5.02,5.22,4.70,4.82,0
07-15-2013,4.53,4.92,4.48,4.69,0
07-16-2013,4.24,4.39,4.08,4.09,0
07-17-2013,4.18,4.39,4.13,4.33,0
07-18-2013,4.11,4.35,4.01,4.35,0
07-19-2013,4.03,4.08,3.80,4.02,0
07-22-2013,3.82,3.95,3.63,3.76,0
07-23-2013,3.74,3.84,3.44,3.59,0
07-24-2013,3.93,3.93,2.81,3.10,0
07-25-2013,2.90,3.11,2.79,3.02,0
07-26-2013,3.09,3.37,2.91,3.34,0
07-29-2013,3.51,3.68,3.38,3.44,0
07-30-2013,3.45,3.55,3.00,3.36,0
07-31-2013,3.53,3.57,2.83,3.10,0
08-01-2013,3.30,3.70,2.77,3.40,0
08-02-2013,3.00,3.15,2.71,2.80,0
08-05-2013,2.94,3.07,2.72,2.84,0
08-06-2013,2.64,2.84,2.46,2.52,0
08-07-2013,2.85,2.90,2.59,2.74,0
08-08-2013,2.89,2.89,2.63,2.84,0
08-09-2013,2.76,3.26,2.71,3.03,0
08-12-2013,2.37,2.37,1.96,2.20,0
08-13-2013,2.15,2.25,1.75,1.88,0
08-14-2013,1.73,1.89,1.60,1.65,0
08-15-2013,1.12,1.25,0.80,1.15,0
08-16-2013,1.202,1.219,0.587,0.587,0
08-19-2013,0.5542,0.6265,0.0052,0.0301,0
08-20-2013,-0.104,0.436,-0.138,0.361,0
08-21-2013,0.2065,0.4978,-0.2342,0.0903,0
08-22-2013,0.061,0.186,-0.164,0.102,0
08-23-2013,-0.561,-0.419,-0.735,-0.461,0
08-26-2013,-0.582,-0.582,-0.898,-0.765,0
08-27-2013,-0.048,0.069,-0.256,-0.198,0
08-28-2013,-0.460,-0.260,-0.668,-0.493,0
08-29-2013,-0.444,-0.269,-0.585,-0.294,0
08-30-2013,-0.095,0.013,-0.577,-0.544,0
09-03-2013,-0.65,-0.65,-1.79,-1.53,0
09-04-2013,-1.85,-1.55,-2.01,-1.59,0
09-05-2013,-1.47,-1.32,-1.93,-1.90,0
09-06-2013,-1.53,-1.20,-1.63,-1.43,0
09-09-2013,-1.386,-1.000,-1.874,-1.000,0
