Date,Open,High,Low,Close,Volume
12-11-2007,9.91,9.91,9.91,9.91,0
12-12-2007,11.68,12.74,9.91,11.89,15819226
12-13-2007,11.49,12.73,10.82,11.78,3521654
12-14-2007,11.68,11.96,10.55,10.90,1858401
12-17-2007,10.45,10.97,9.12,9.67,1489033
12-18-2007,9.84,10.12,9.13,9.48,1377616
12-19-2007,9.51,9.73,8.99,8.99,1197455
12-20-2007,8.99,10.62,8.49,9.98,1059167
12-21-2007,10.19,10.73,9.84,10.19,1269535
12-24-2007,10.19,10.65,9.91,10.40,155818
12-26-2007,10.40,10.48,9.94,10.07,663302
12-27-2007,10.04,10.09,9.65,9.73,180402
12-28-2007,9.73,10.23,9.41,10.12,336163
12-31-2007,10.26,10.52,9.91,10.07,488925
01-02-2008,10.07,10.41,9.82,9.99,232254
01-03-2008,10.26,10.38,9.98,10.02,353189
01-04-2008,9.91,9.91,9.56,9.56,291023
01-07-2008,9.56,9.73,9.28,9.52,234547
01-08-2008,9.54,9.73,9.22,9.41,308999
01-09-2008,9.32,9.56,8.68,9.01,493945
01-10-2008,8.68,9.16,8.46,8.60,474861
01-11-2008,8.61,8.67,7.98,8.07,534514
01-14-2008,8.02,8.14,7.09,7.57,669290
01-15-2008,7.57,7.57,6.44,6.58,672587
01-16-2008,6.48,7.20,6.47,7.01,646983
01-17-2008,7.15,7.42,6.34,6.41,903664
01-18-2008,6.49,6.87,6.18,6.20,665351
01-22-2008,5.49,6.27,5.49,5.88,819153
01-23-2008,5.90,6.65,5.68,6.38,559728
01-24-2008,6.45,6.94,6.41,6.65,504809
01-25-2008,6.74,7.36,6.74,7.33,323917
01-28-2008,7.32,8.32,7.08,8.10,723222
01-29-2008,8.22,9.12,8.17,8.98,615595
01-30-2008,9.04,9.53,9.02,9.27,827418
01-31-2008,8.85,9.34,8.62,9.17,264951
02-01-2008,9.21,9.81,9.13,9.66,497429
02-04-2008,9.86,9.86,8.96,9.29,403172
02-05-2008,9.20,9.22,8.67,8.85,192903
02-06-2008,9.06,9.06,8.61,8.78,317869
02-07-2008,8.73,9.08,8.64,9.07,126432
02-08-2008,9.19,9.56,9.09,9.20,182380
02-11-2008,9.56,9.56,9.10,9.17,257257
02-12-2008,9.38,9.38,8.97,9.20,290176
02-13-2008,9.51,9.51,9.20,9.41,223493
02-14-2008,9.48,9.48,9.11,9.19,159670
02-15-2008,9.19,9.20,8.03,8.39,309632
02-19-2008,8.44,8.49,7.64,8.07,470955
02-20-2008,8.06,8.06,7.61,7.78,284030
02-21-2008,8.05,8.48,7.78,8.07,426513
02-22-2008,8.00,8.74,8.00,8.74,230186
02-25-2008,8.95,9.19,8.67,8.74,246916
02-26-2008,8.71,8.85,8.20,8.39,220381
02-27-2008,8.41,8.56,8.25,8.54,82492
02-28-2008,8.59,8.88,8.46,8.57,239163
02-29-2008,8.51,8.85,8.47,8.71,114555
03-03-2008,8.61,8.85,8.00,8.25,398400
03-04-2008,7.23,7.79,6.27,6.31,2235058
03-05-2008,6.37,6.69,5.49,5.80,926871
03-06-2008,6.15,6.37,5.74,6.26,744947
03-07-2008,6.02,7.54,5.85,7.02,768270
03-10-2008,6.59,6.92,5.84,6.00,328247
03-11-2008,6.14,6.54,5.66,5.95,377848
03-12-2008,5.95,6.02,5.66,5.90,195318
03-13-2008,5.86,5.86,5.53,5.70,192445
03-14-2008,5.80,5.87,5.52,5.74,1251876
03-17-2008,5.65,5.65,4.88,4.99,889300
03-18-2008,5.03,5.10,4.91,4.97,399035
03-19-2008,4.95,5.08,4.49,4.60,738704
03-20-2008,4.74,5.18,4.74,4.92,676158
03-24-2008,4.94,5.29,4.78,5.05,434158
03-25-2008,5.01,5.19,4.80,4.88,258686
03-26-2008,4.88,4.88,4.64,4.71,585965
03-27-2008,4.83,5.27,4.76,5.10,359695
03-28-2008,5.17,5.66,4.96,5.49,634159
03-31-2008,5.78,5.94,5.46,5.94,479094
04-01-2008,6.02,6.09,5.66,5.98,245313
04-02-2008,6.31,6.51,5.87,6.37,385190
