Date,Open,High,Low,Close,Volume
12-02-1999,13.25,21.00,12.50,15.00,10794000
12-03-1999,15.81,17.50,15.50,15.69,1534700
12-06-1999,15.56,15.75,13.00,14.06,884800
12-07-1999,14.13,14.19,12.06,12.88,759600
12-08-1999,12.50,13.88,12.50,13.44,669300
12-09-1999,12.75,13.00,12.06,12.31,371600
12-10-1999,12.34,12.38,11.00,11.00,480800
12-13-1999,11.00,11.75,10.50,11.00,401300
12-14-1999,11.13,11.38,10.75,10.75,400800
12-15-1999,10.69,11.00,9.25,9.50,910900
12-16-1999,9.50,10.00,9.25,9.25,488500
12-17-1999,9.50,10.25,9.38,10.00,491300
12-20-1999,10.00,10.38,9.50,9.56,327200
12-21-1999,9.63,9.88,9.44,9.88,493800
12-22-1999,9.94,10.75,9.75,10.25,716700
12-23-1999,10.50,10.50,9.63,9.63,199700
12-27-1999,9.25,10.13,9.13,9.63,621200
12-28-1999,9.63,10.13,9.63,10.00,338900
12-29-1999,10.06,10.25,9.13,9.44,264900
12-30-1999,9.63,9.75,8.75,9.13,413900
12-31-1999,8.78,9.00,8.06,8.44,383100
01-03-2000,9.19,10.88,9.00,10.75,829300
01-04-2000,10.50,11.00,9.88,10.50,468000
01-05-2000,11.31,12.50,11.00,11.56,1421400
01-06-2000,11.94,12.13,11.50,11.63,656100
01-07-2000,12.00,12.06,11.06,11.31,281300
01-10-2000,11.31,11.50,9.88,10.63,243100
01-11-2000,10.50,10.88,9.50,9.75,267900
01-12-2000,9.81,10.13,9.50,10.13,161500
01-13-2000,10.13,10.19,9.50,9.81,90900
01-14-2000,9.75,9.88,9.38,9.56,272700
01-18-2000,9.50,9.88,8.63,9.38,196800
01-19-2000,9.25,9.44,8.75,8.94,187500
01-20-2000,8.88,9.06,8.63,8.75,98100
01-21-2000,8.88,9.00,8.31,8.44,123900
01-24-2000,8.88,8.88,8.25,8.63,126100
01-25-2000,8.63,8.63,6.88,7.13,672000
01-26-2000,7.25,7.75,7.00,7.19,387200
01-27-2000,7.28,8.63,6.69,7.69,496600
01-28-2000,8.25,9.06,7.03,7.38,546000
01-31-2000,7.75,7.94,6.75,7.00,267300
02-01-2000,7.06,7.25,6.75,7.00,180800
02-02-2000,6.94,8.00,6.75,7.50,345200
02-03-2000,8.00,8.69,7.69,8.31,469900
02-04-2000,8.69,9.00,7.13,7.88,432700
02-07-2000,8.00,8.50,7.88,7.88,258300
02-08-2000,8.00,8.25,7.81,8.06,213600
02-09-2000,8.13,8.38,8.00,8.00,239700
02-10-2000,8.00,8.13,7.75,7.88,149200
02-11-2000,7.88,8.75,7.50,8.75,371400
02-14-2000,8.94,9.38,7.81,7.88,479200
02-15-2000,7.75,8.25,7.75,7.88,81700
02-16-2000,7.75,8.00,7.06,7.22,260200
02-17-2000,7.31,7.63,7.19,7.31,128600
02-18-2000,7.31,7.44,7.13,7.19,62100
02-22-2000,7.13,7.25,6.75,6.88,96700
02-23-2000,6.94,7.31,6.63,7.13,101000
02-24-2000,7.00,7.06,6.50,6.63,153000
02-25-2000,6.50,6.63,6.25,6.31,153000
02-28-2000,6.22,6.88,6.00,6.25,156800
02-29-2000,6.25,6.63,6.13,6.25,91400
03-01-2000,6.31,6.56,6.00,6.19,111300
03-02-2000,6.00,6.25,6.00,6.25,81700
03-03-2000,6.25,6.31,6.00,6.06,82300
03-06-2000,6.03,6.06,5.50,5.63,244600
03-07-2000,5.63,6.25,5.50,5.69,236600
03-08-2000,5.94,5.94,5.00,5.63,66700
03-09-2000,5.56,6.19,5.50,6.19,122200
03-10-2000,6.03,6.88,5.89,6.38,132400
03-13-2000,6.75,7.13,6.50,7.00,185000
03-14-2000,7.13,7.44,6.94,7.00,145800
