Date,Open,High,Low,Close,Volume
05-16-2005,195.76,197.39,195.60,195.76,241457
05-17-2005,195.76,195.92,185.16,190.05,95013
05-18-2005,190.05,190.87,186.79,190.05,9213
05-19-2005,189.24,191.36,188.26,190.22,6436
05-20-2005,190.05,193.31,190.05,191.68,11603
05-23-2005,190.87,193.64,187.61,192.34,14190
05-24-2005,190.87,193.80,188.42,190.87,5510
05-25-2005,190.87,192.99,190.87,192.50,3947
05-26-2005,191.68,195.43,191.68,194.94,2120
05-27-2005,194.62,196.58,193.80,194.78,5853
05-31-2005,193.15,196.90,190.87,194.94,4744
06-01-2005,194.94,196.90,193.31,195.11,8802
06-02-2005,193.48,196.74,192.17,196.74,5271
06-03-2005,195.76,196.74,193.64,195.76,3359
06-06-2005,194.13,197.39,192.50,196.58,6687
06-07-2005,195.11,197.39,194.62,196.58,6515
06-08-2005,194.94,197.23,194.94,196.58,7153
06-09-2005,194.94,198.04,194.13,196.58,4413
06-10-2005,196.58,196.58,193.31,195.76,1746
06-13-2005,194.13,196.41,194.13,196.09,3138
06-14-2005,195.76,195.76,194.13,195.76,1176
06-15-2005,195.43,196.41,193.31,194.94,4560
06-16-2005,194.13,196.25,193.31,195.43,2917
06-17-2005,194.94,194.94,188.42,193.64,6295
06-20-2005,192.99,196.41,190.87,195.92,5780
06-21-2005,195.76,195.76,193.31,195.76,3788
06-22-2005,195.43,195.43,185.97,191.68,5866
06-23-2005,190.87,190.87,185.97,189.56,2371
06-24-2005,187.93,193.64,183.53,183.53,36546
06-27-2005,183.53,197.39,183.53,192.17,22545
06-28-2005,190.54,196.09,190.54,195.76,5718
06-29-2005,196.58,198.70,194.94,195.60,12143
06-30-2005,194.94,196.58,193.31,193.31,9985
07-01-2005,197.39,197.39,194.94,195.92,15220
07-05-2005,195.92,198.21,195.76,197.88,17132
07-06-2005,196.74,198.86,194.94,197.88,5093
07-07-2005,198.70,198.86,196.09,198.70,6160
07-08-2005,198.70,199.68,196.09,199.02,9813
07-11-2005,199.84,203.43,196.58,203.10,10782
07-12-2005,203.10,203.59,200.65,202.29,8066
07-13-2005,200.98,203.10,200.65,201.63,4517
07-14-2005,202.29,202.29,199.35,200.17,5872
07-15-2005,199.02,201.72,198.21,200.82,5767
07-18-2005,200.65,201.63,197.55,199.84,5884
07-19-2005,199.02,201.48,197.72,199.51,9580
07-20-2005,199.02,203.10,198.53,202.78,6521
07-21-2005,202.78,203.92,201.31,203.43,12425
07-22-2005,203.10,205.55,200.98,205.22,9029
07-25-2005,204.57,207.18,200.98,206.04,7717
07-26-2005,204.73,206.85,202.29,206.85,2457
07-27-2005,205.55,206.37,201.14,202.29,3775
07-28-2005,202.45,204.90,201.63,204.73,2053
07-29-2005,204.73,206.37,201.48,203.10,1495
08-01-2005,202.29,204.73,197.39,200.49,2237
08-02-2005,200.49,200.65,196.90,197.39,1237
08-03-2005,197.06,197.23,195.76,195.76,1182
08-04-2005,195.76,197.23,195.76,196.25,1354
08-05-2005,197.39,197.39,195.76,196.58,2261
08-08-2005,197.39,199.02,194.13,194.13,1814
08-09-2005,195.43,195.76,194.13,194.46,3168
08-10-2005,194.94,195.60,192.50,193.15,2506
08-11-2005,193.15,195.76,192.82,195.76,1366
08-12-2005,192.50,194.13,190.87,192.50,2476
08-15-2005,191.68,195.76,191.68,195.76,1532
08-16-2005,196.58,197.39,194.13,194.78,1967
08-17-2005,194.13,198.04,193.31,197.88,3683
08-18-2005,197.39,198.70,195.76,197.55,3818
08-19-2005,197.39,198.86,196.74,197.39,4413
08-22-2005,196.58,197.88,195.27,197.23,1869
08-23-2005,197.23,198.21,195.76,197.39,2525
08-24-2005,196.74,199.02,195.76,198.21,1814
08-25-2005,197.88,199.19,197.23,199.19,2543
08-26-2005,197.39,198.21,194.13,194.46,2837
08-29-2005,194.13,198.04,194.13,196.25,13810
08-30-2005,197.06,199.84,196.25,199.51,1391
08-31-2005,198.28,201.57,198.11,201.57,1938
09-01-2005,201.57,202.06,199.10,201.07,1269
09-02-2005,200.74,200.74,196.14,197.29,1427
09-06-2005,197.29,197.95,195.81,197.46,1464
09-07-2005,196.63,196.63,193.34,193.84,2916
09-08-2005,193.34,193.67,191.70,193.67,2254
09-09-2005,194.17,194.33,192.52,194.33,558
09-12-2005,193.34,196.30,192.68,195.81,777
09-13-2005,195.81,195.81,193.34,193.51,1798
09-14-2005,193.34,194.17,189.39,190.05,2236
