Date,Open,High,Low,Close,Volume
10-08-2007,211275.00,211275.00,202575.00,203400.00,105
10-09-2007,204150.00,206400.00,202725.00,203175.00,112
10-10-2007,202500.00,203475.00,200175.00,200550.00,133
10-11-2007,200775.00,203775.00,199800.00,202200.00,169
10-12-2007,202200.00,203550.00,200250.00,200625.00,78
10-15-2007,200625.00,202725.00,198750.00,199200.00,106
10-16-2007,198225.00,201000.00,193125.00,193875.00,184
10-17-2007,194850.00,197400.00,189525.00,193575.00,172
10-18-2007,191700.00,193575.00,188400.00,189300.00,242
10-19-2007,188325.00,194400.00,188250.00,192225.00,273
10-22-2007,189900.00,205350.00,189900.00,201150.00,305
10-23-2007,207375.00,211125.00,199200.00,202200.00,276
10-24-2007,201750.00,204675.00,192000.00,200025.00,206
10-25-2007,198825.00,202125.00,192525.00,194700.00,168
10-26-2007,189825.00,205125.00,189600.00,204450.00,436
10-29-2007,202575.00,205950.00,197550.00,198375.00,231
10-30-2007,198150.00,199200.00,189225.00,189300.00,308
10-31-2007,189750.00,191100.00,183750.00,184350.00,304
11-01-2007,182475.00,183225.00,173400.00,174300.00,305
11-02-2007,174750.00,175875.00,170625.00,172800.00,291
11-05-2007,171675.00,178425.00,170325.00,173550.00,212
11-06-2007,174450.00,175275.00,165825.00,166575.00,232
11-07-2007,166575.00,166725.00,154875.00,156075.00,289
11-08-2007,157725.00,159000.00,151950.00,158550.00,311
11-09-2007,156975.00,159900.00,154050.00,158325.00,269
11-12-2007,159375.00,161100.00,152400.00,152850.00,250
11-13-2007,153600.00,165075.00,153375.00,164100.00,233
11-14-2007,164925.00,169875.00,159075.00,160050.00,281
11-15-2007,158250.00,158775.00,150075.00,150825.00,230
11-16-2007,149250.00,149625.00,130425.00,131925.00,795
11-19-2007,133425.00,133425.00,124425.00,131700.00,608
11-20-2007,131250.00,132900.00,122550.00,126225.00,324
11-21-2007,122850.00,128550.00,119025.00,123975.00,371
11-23-2007,124950.00,126075.00,123225.00,124875.00,94
11-26-2007,131325.00,133725.00,126600.00,126750.00,457
11-27-2007,125250.00,128400.00,123975.00,127500.00,400
11-28-2007,129000.00,133275.00,128625.00,132675.00,385
11-29-2007,132150.00,132300.00,127200.00,130350.00,273
11-30-2007,133350.00,135900.00,132000.00,132825.00,233
12-03-2007,133200.00,133395.00,127725.00,127950.00,230
12-04-2007,126675.00,129225.00,124950.00,127650.00,225
12-05-2007,129975.00,134175.00,129075.00,134175.00,240
12-06-2007,133800.00,143625.00,133050.00,143400.00,312
12-07-2007,143400.00,148125.00,143400.00,146850.00,242
12-10-2007,147000.00,153075.00,147000.00,151950.00,226
12-11-2007,152925.00,157350.00,144525.00,144750.00,358
12-12-2007,148350.00,155025.00,140250.00,142500.00,404
12-13-2007,141075.00,143100.00,137700.00,138600.00,296
12-14-2007,139350.00,139950.00,132450.00,132525.00,303
12-17-2007,131775.00,135000.00,130200.00,130800.00,175
12-18-2007,132075.00,132450.00,128250.00,130875.00,167
12-19-2007,130125.00,133425.00,128400.00,131175.00,118
12-20-2007,132000.00,132075.00,124875.00,127950.00,261
12-21-2007,132750.00,133125.00,125625.00,127875.00,377
12-24-2007,127875.00,133500.00,127650.00,133425.00,89
12-26-2007,130875.00,132075.00,127125.00,128925.00,133
12-27-2007,127575.00,130650.00,127500.00,127650.00,149
12-28-2007,128400.00,130500.00,126750.00,130050.00,206
12-31-2007,128100.00,130050.00,126450.00,128175.00,272
01-02-2008,125700.00,126975.00,114975.00,115725.00,603
01-03-2008,111375.00,113850.00,103275.00,103650.00,765
01-04-2008,96375.00,97200.00,88275.00,94650.00,970
01-07-2008,95850.00,105900.00,95250.00,105525.00,647
01-08-2008,105075.00,109875.00,99675.00,101550.00,612
01-09-2008,100575.00,108225.00,99525.00,107175.00,474
01-10-2008,106650.00,110025.00,104775.00,107775.00,441
01-11-2008,106275.00,107475.00,103125.00,104025.00,317
01-14-2008,106275.00,112500.00,105975.00,111450.00,261
01-15-2008,110999.25,110999.25,103125.00,105525.00,298
01-16-2008,104550.00,111975.00,103875.00,110550.00,290
01-17-2008,112650.00,118650.00,112050.00,112800.00,322
01-18-2008,113400.00,115125.00,110175.00,112800.00,319
01-22-2008,107250.00,118875.00,103875.00,114600.00,433
01-23-2008,115725.00,146925.00,111750.00,140400.00,858
01-24-2008,141675.00,141750.00,131625.00,135000.00,514
01-25-2008,138975.00,148500.00,138975.00,141450.00,664
01-28-2008,118350.00,130200.00,115950.00,120600.00,1194
01-29-2008,121050.00,122625.00,115950.00,121725.00,588
01-30-2008,121275.00,132600.00,120225.00,129900.00,451
01-31-2008,128250.00,142875.00,126750.00,137325.00,403
02-01-2008,137550.00,138825.00,131325.00,134700.00,272
02-04-2008,133875.00,138675.00,128250.00,133875.00,274
02-05-2008,131850.00,147975.00,129825.00,139650.00,406
02-06-2008,139050.00,139725.00,130650.00,130950.00,262
02-07-2008,129600.00,136800.00,127950.00,131775.00,346
02-08-2008,133050.00,133050.00,123000.00,125625.00,323
02-11-2008,124875.00,129825.00,120675.00,127275.00,207
02-12-2008,127500.00,132075.00,126450.00,128325.00,154
02-13-2008,129900.00,131250.00,123525.00,128025.00,181
02-14-2008,132225.00,136800.00,128625.00,129000.00,254
02-15-2008,128550.00,128550.00,123000.00,126750.00,156
02-19-2008,128325.00,129450.00,123900.00,127575.00,155
02-20-2008,126750.00,128325.00,124275.00,126075.00,234
02-21-2008,127650.00,129675.00,118875.00,119925.00,267
02-22-2008,120000.00,120750.00,111900.00,115350.00,361
02-25-2008,115575.00,118950.00,111150.75,118500.00,245
02-26-2008,117825.00,122925.00,116625.00,122100.00,157
02-27-2008,120825.00,123000.00,115125.00,115350.00,200
02-28-2008,114525.00,117675.00,112050.00,112500.00,219
02-29-2008,112050.00,112800.00,102750.00,103200.00,344
03-03-2008,103725.00,105525.00,98850.00,104925.00,217
03-04-2008,104025.00,111375.00,100650.00,110100.00,331
03-05-2008,110550.00,112800.00,106725.00,108225.00,198
03-06-2008,107850.00,109125.00,104175.00,104550.00,186
03-07-2008,103425.00,107775.00,101625.00,105525.00,228
03-10-2008,105450.00,105750.00,98775.00,99300.00,194
03-11-2008,102750.00,109050.00,100500.00,106500.00,256
