Date,Open,High,Low,Close,Volume
07-19-2011,6.24,6.24,6.24,6.24,0
07-20-2011,18.71,18.71,10.13,11.15,18750360
07-21-2011,11.96,12.16,10.29,10.35,3135677
07-22-2011,10.37,10.99,10.29,10.69,1208282
07-25-2011,10.60,11.16,10.60,11.10,854979
07-26-2011,11.36,11.41,10.84,11.36,952345
07-27-2011,11.36,11.36,10.37,10.47,813038
07-28-2011,10.55,10.90,10.52,10.57,513239
07-29-2011,10.13,10.29,9.95,10.05,533143
08-01-2011,10.28,10.28,9.41,9.42,414160
08-02-2011,9.45,9.45,8.45,8.53,1058277
08-03-2011,8.68,8.92,8.54,8.88,634698
08-04-2011,8.97,9.25,8.81,8.86,737775
08-05-2011,9.01,9.12,7.83,8.78,667484
08-08-2011,8.00,8.42,7.87,8.14,771328
08-09-2011,8.11,8.80,8.11,8.72,501390
08-10-2011,8.61,8.73,8.37,8.54,195226
08-11-2011,8.72,8.83,8.34,8.42,274952
08-12-2011,8.54,8.59,8.24,8.31,350445
08-15-2011,8.41,8.41,7.87,7.96,397925
08-16-2011,7.85,7.95,7.36,7.52,527528
08-17-2011,7.49,7.56,7.43,7.53,190730
08-18-2011,7.45,7.67,7.31,7.48,218372
08-19-2011,7.33,7.65,7.33,7.55,427404
08-22-2011,7.72,7.72,7.45,7.47,283598
08-23-2011,7.52,7.66,7.35,7.63,213546
08-24-2011,7.64,8.40,7.64,8.19,548962
08-25-2011,8.45,10.64,8.45,9.43,1900304
08-26-2011,9.69,9.98,8.75,9.79,1033967
08-29-2011,10.06,10.54,9.75,10.30,921214
08-30-2011,10.44,11.37,10.24,10.95,1975515
08-31-2011,11.30,11.75,11.00,11.59,1326348
09-01-2011,11.71,11.85,11.29,11.51,672095
09-02-2011,11.09,11.23,10.81,10.90,549517
09-06-2011,10.23,10.81,9.99,10.68,450865
09-07-2011,10.96,11.38,10.71,11.25,406586
09-08-2011,11.23,11.26,10.81,11.14,191461
09-09-2011,10.85,11.58,10.74,11.52,544091
09-12-2011,11.38,11.69,11.08,11.62,573199
09-13-2011,11.69,11.69,11.23,11.69,281956
09-14-2011,11.68,11.68,10.76,10.76,833295
09-15-2011,10.84,10.84,9.48,9.62,849691
09-16-2011,9.65,9.65,8.89,9.10,774384
09-19-2011,8.89,9.33,8.89,8.97,291538
09-20-2011,8.97,9.30,8.33,8.35,395359
09-21-2011,8.33,8.82,8.20,8.66,334178
09-22-2011,8.87,8.87,8.38,8.73,379540
09-23-2011,8.87,8.87,8.35,8.38,279034
09-26-2011,8.42,8.73,7.83,8.25,332651
09-27-2011,8.39,8.79,8.27,8.73,277784
09-28-2011,9.14,9.14,8.61,8.83,471712
09-29-2011,9.05,9.14,8.22,8.78,371552
09-30-2011,8.73,8.81,8.11,8.53,1827062
10-03-2011,8.40,8.71,7.96,8.06,439882
10-04-2011,7.96,8.05,7.73,7.95,481441
10-05-2011,7.91,7.95,7.74,7.95,205135
10-06-2011,7.92,8.15,7.74,8.06,219011
10-07-2011,8.04,8.25,7.80,7.87,161090
10-10-2011,8.07,8.17,7.92,8.17,277130
10-11-2011,8.10,8.27,7.83,8.18,103529
10-12-2011,8.17,8.27,7.87,7.95,304720
10-13-2011,7.83,8.03,7.80,7.87,154882
10-14-2011,8.03,8.67,7.86,8.64,315995
10-17-2011,8.61,8.64,7.84,8.23,229853
10-18-2011,8.32,9.03,8.20,9.00,416116
10-19-2011,8.92,9.30,8.26,8.32,306439
10-20-2011,8.29,8.36,8.21,8.30,136899
10-21-2011,8.47,8.89,8.22,8.43,218446
10-24-2011,8.45,8.83,8.11,8.57,520567
10-25-2011,8.58,8.62,8.25,8.43,207874
10-26-2011,8.56,9.12,8.18,9.05,332946
10-27-2011,9.36,9.93,9.12,9.60,404636
10-28-2011,9.60,9.82,9.36,9.51,185282
10-31-2011,9.36,9.53,9.04,9.26,62486
11-01-2011,8.91,9.02,8.19,8.30,381711
11-02-2011,8.61,8.70,8.27,8.56,307007
11-03-2011,9.62,10.42,8.97,9.43,1810457
11-04-2011,9.37,10.44,9.29,10.18,434975
