Date,Open,High,Low,Close,Volume
01-02-1990,3.94,4.13,3.82,4.13,0
01-03-1990,4.07,4.13,3.94,4.00,0
01-04-1990,4.00,4.07,3.88,3.94,0
01-05-1990,3.82,3.82,3.69,3.82,0
01-08-1990,3.82,3.82,3.75,3.82,0
01-09-1990,3.82,3.88,3.75,3.88,0
01-10-1990,3.82,3.88,3.82,3.82,0
01-11-1990,3.82,3.88,3.82,3.88,0
01-12-1990,3.75,3.82,3.69,3.75,0
01-15-1990,3.69,3.75,3.63,3.63,0
01-16-1990,3.63,3.94,3.57,3.94,0
01-17-1990,3.82,3.88,3.75,3.82,0
01-18-1990,3.75,3.88,3.75,3.82,0
01-19-1990,3.82,3.88,3.75,3.75,0
01-22-1990,3.75,3.88,3.75,3.75,0
01-23-1990,3.75,3.88,3.69,3.69,0
01-24-1990,3.63,3.88,3.57,3.82,0
01-25-1990,3.82,3.88,3.75,3.82,0
01-26-1990,3.75,3.88,3.69,3.69,0
01-29-1990,3.69,3.75,3.69,3.69,0
01-30-1990,3.75,3.75,3.57,3.63,0
01-31-1990,3.63,3.75,3.63,3.63,0
02-01-1990,3.63,3.69,3.57,3.63,0
02-02-1990,3.63,3.63,3.50,3.50,0
02-05-1990,3.50,3.57,3.44,3.57,0
02-06-1990,3.50,3.63,3.44,3.50,0
02-07-1990,3.50,3.69,3.44,3.69,0
02-08-1990,3.63,3.69,3.63,3.69,0
02-09-1990,3.63,3.69,3.63,3.63,0
02-12-1990,3.63,3.69,3.50,3.50,0
02-13-1990,3.50,3.63,3.50,3.57,0
02-14-1990,3.57,3.63,3.57,3.57,0
02-15-1990,3.57,3.63,3.57,3.57,0
02-16-1990,3.57,3.63,3.57,3.63,0
02-20-1990,3.57,3.63,3.57,3.57,0
02-21-1990,3.57,3.75,3.50,3.75,0
02-22-1990,3.75,3.94,3.75,3.88,0
02-23-1990,3.88,3.94,3.82,3.88,0
02-26-1990,3.88,4.13,3.88,4.07,0
02-27-1990,4.25,4.38,4.19,4.32,0
02-28-1990,4.32,4.38,4.13,4.13,0
03-01-1990,4.13,4.38,4.13,4.38,0
03-02-1990,4.38,4.57,4.38,4.50,0
03-05-1990,4.50,4.63,4.38,4.63,0
03-06-1990,4.69,4.69,4.57,4.57,0
03-07-1990,4.63,4.69,4.50,4.50,0
03-08-1990,4.50,4.57,4.44,4.50,0
03-09-1990,4.44,4.57,4.44,4.50,0
03-12-1990,4.44,4.50,4.44,4.44,0
03-13-1990,4.44,4.50,4.38,4.44,0
03-14-1990,4.44,4.57,4.44,4.57,0
03-15-1990,4.57,4.57,4.44,4.50,0
03-16-1990,4.57,4.69,4.50,4.63,0
03-19-1990,4.63,4.88,4.57,4.82,0
03-20-1990,4.88,4.88,4.50,4.50,0
03-21-1990,4.63,4.88,4.63,4.75,0
03-22-1990,4.69,4.88,4.63,4.82,0
03-23-1990,4.94,5.07,4.94,4.94,0
03-26-1990,5.00,5.00,4.82,4.82,0
03-27-1990,4.82,4.94,4.75,4.88,0
03-28-1990,4.82,4.82,4.75,4.75,0
03-29-1990,4.75,4.82,4.63,4.69,0
03-30-1990,4.63,4.63,4.50,4.57,0
04-02-1990,4.44,4.69,4.44,4.69,0
04-03-1990,4.69,4.75,4.63,4.63,0
04-04-1990,4.57,4.69,4.57,4.57,0
04-05-1990,4.57,4.63,4.50,4.50,0
04-06-1990,4.57,4.63,4.44,4.44,0
04-09-1990,4.50,4.57,4.19,4.25,0
04-10-1990,4.25,4.38,4.19,4.38,0
04-11-1990,4.38,4.50,4.38,4.44,0
04-12-1990,4.44,4.50,4.38,4.44,0
04-16-1990,4.44,4.44,4.13,4.32,0
04-17-1990,4.32,4.50,4.25,4.44,0
04-18-1990,4.50,4.50,4.38,4.38,0
04-19-1990,4.44,4.44,4.32,4.32,0
04-20-1990,4.32,4.38,4.25,4.32,0
04-23-1990,4.32,4.32,4.13,4.19,0
04-24-1990,4.25,4.25,4.07,4.19,0
04-25-1990,4.13,4.25,4.07,4.19,0
04-26-1990,4.19,4.32,4.19,4.32,0
