Date,Open,High,Low,Close,Volume
06-20-1996,3.00,3.13,2.94,2.97,12638800
06-21-1996,3.03,3.09,3.00,3.00,1881200
06-24-1996,3.06,3.22,3.00,3.22,1606000
06-25-1996,3.22,3.28,3.16,3.16,1895600
06-26-1996,3.19,3.19,3.13,3.16,399200
06-27-1996,3.19,3.34,3.16,3.25,348400
06-28-1996,3.25,3.34,3.25,3.28,157200
07-01-1996,3.31,3.31,3.22,3.22,117200
07-02-1996,3.22,3.25,3.22,3.25,85600
07-03-1996,3.19,3.41,3.19,3.41,370400
07-05-1996,3.31,3.31,3.22,3.25,238800
07-08-1996,3.19,3.28,3.19,3.28,55200
07-09-1996,3.28,3.31,3.19,3.27,613600
07-10-1996,3.25,3.28,3.19,3.28,184000
07-11-1996,3.25,3.28,3.09,3.13,367600
07-12-1996,3.09,3.13,3.06,3.09,54800
07-15-1996,3.03,3.09,2.94,2.97,158800
07-16-1996,2.97,3.00,2.72,2.72,190800
07-17-1996,2.78,3.09,2.75,3.03,117600
07-18-1996,3.03,3.19,3.03,3.19,127600
07-19-1996,3.22,3.22,3.16,3.22,30800
07-22-1996,3.16,3.22,3.13,3.19,177600
07-23-1996,3.19,3.22,3.09,3.09,83200
07-24-1996,3.09,3.13,2.97,3.13,46400
07-25-1996,3.09,3.13,3.09,3.09,25600
07-26-1996,3.09,3.13,3.09,3.09,159600
07-29-1996,3.06,3.08,3.06,3.06,27200
07-30-1996,3.06,3.06,2.94,2.94,145200
07-31-1996,2.91,2.97,2.91,2.91,118800
08-01-1996,3.00,3.00,2.91,2.91,15600
08-02-1996,3.00,3.13,3.00,3.13,134400
08-05-1996,3.06,3.13,3.06,3.13,60400
08-06-1996,3.13,3.19,3.09,3.19,152000
08-07-1996,3.22,3.28,3.13,3.22,180400
08-08-1996,3.22,3.34,3.22,3.31,136800
08-09-1996,3.31,3.34,3.28,3.34,233200
08-12-1996,3.38,3.38,3.31,3.38,179600
08-13-1996,3.28,3.34,3.25,3.34,93200
08-14-1996,3.34,3.34,3.28,3.28,131200
08-15-1996,3.25,3.28,3.19,3.28,36400
08-16-1996,3.25,3.25,3.19,3.23,40400
08-19-1996,3.25,3.28,3.09,3.09,92000
08-20-1996,3.13,3.13,3.03,3.03,32800
08-21-1996,3.03,3.06,2.88,2.88,60400
08-22-1996,2.91,2.91,2.81,2.84,421600
08-23-1996,2.78,2.88,2.75,2.78,102000
08-26-1996,2.72,2.75,2.72,2.72,44800
08-27-1996,2.75,2.75,2.63,2.75,153600
08-28-1996,2.63,2.81,2.63,2.81,28400
08-29-1996,2.69,2.81,2.69,2.81,23600
08-30-1996,2.81,2.88,2.75,2.84,297200
09-03-1996,2.75,2.75,2.75,2.75,11200
09-04-1996,2.84,2.91,2.81,2.81,767600
09-05-1996,2.81,2.81,2.69,2.78,332000
09-06-1996,2.75,2.75,2.69,2.69,31600
09-09-1996,2.75,2.75,2.66,2.75,80000
09-10-1996,2.66,2.69,2.66,2.69,123600
09-11-1996,2.75,2.75,2.56,2.72,609200
09-12-1996,2.59,2.66,2.59,2.66,74000
09-13-1996,2.59,2.78,2.59,2.75,628400
09-16-1996,2.78,2.88,2.75,2.78,315200
09-17-1996,2.81,3.09,2.81,3.06,590000
09-18-1996,3.06,3.09,3.00,3.00,167200
09-19-1996,3.03,3.06,3.00,3.00,156000
09-20-1996,3.09,3.09,3.00,3.00,36000
09-23-1996,3.00,3.00,2.84,2.91,216800
09-24-1996,2.84,2.94,2.81,2.81,57600
09-25-1996,2.81,2.94,2.81,2.81,8400
09-26-1996,2.94,2.94,2.81,2.84,548000
09-27-1996,2.91,2.94,2.84,2.94,304800
09-30-1996,2.88,2.94,2.88,2.91,44000
10-01-1996,2.88,2.94,2.88,2.88,90400
10-02-1996,2.94,3.00,2.88,2.94,20000
10-03-1996,3.00,3.16,3.00,3.16,152000
10-04-1996,3.19,3.28,3.19,3.19,38000
10-07-1996,3.31,3.31,3.19,3.28,90400
10-08-1996,3.25,3.31,3.25,3.31,51200
10-09-1996,3.31,3.31,3.25,3.28,57600
10-10-1996,3.25,3.30,3.25,3.25,220800
10-11-1996,3.34,3.56,3.25,3.44,226400
10-14-1996,3.56,3.56,3.44,3.53,298400
10-15-1996,3.50,3.78,3.50,3.75,142800
10-16-1996,3.72,3.78,3.72,3.77,208800
10-17-1996,3.84,3.84,3.75,3.84,250000
10-18-1996,3.78,3.84,3.78,3.78,276400
10-21-1996,3.88,3.88,3.72,3.72,277600
10-22-1996,3.63,3.72,3.34,3.44,146800
10-23-1996,3.34,3.44,3.16,3.19,105200
10-24-1996,3.19,3.19,3.13,3.13,10800
10-25-1996,3.19,3.25,3.13,3.25,121600
10-28-1996,3.25,3.28,3.25,3.28,381200
10-29-1996,3.25,3.25,3.13,3.25,122400
10-30-1996,3.16,3.19,3.00,3.00,82000
10-31-1996,3.00,3.06,2.94,3.06,44800
11-01-1996,3.03,3.06,3.00,3.00,40000
11-04-1996,3.09,3.09,3.00,3.03,45200
11-05-1996,3.09,3.09,3.02,3.09,364800
11-06-1996,3.09,3.19,3.06,3.13,304400
11-07-1996,3.19,3.19,3.13,3.13,60800
11-08-1996,3.19,3.19,3.09,3.09,32800
11-11-1996,3.06,3.13,3.06,3.13,6800
11-12-1996,3.13,3.13,3.00,3.03,18800
11-13-1996,3.00,3.06,3.00,3.05,137600
11-14-1996,3.03,3.03,3.00,3.00,69200
11-15-1996,2.97,3.00,2.97,3.00,8400
11-18-1996,3.00,3.00,3.00,3.00,400
11-19-1996,3.00,3.00,2.94,2.94,85600
11-20-1996,2.97,2.97,2.97,2.97,55600
11-21-1996,3.00,3.00,2.88,2.88,28400
11-22-1996,2.97,2.97,2.88,2.88,6800
11-25-1996,2.97,2.97,2.84,2.84,63600
11-26-1996,2.88,2.91,2.84,2.84,217200
11-27-1996,2.84,2.91,2.84,2.91,71600
11-29-1996,2.91,2.91,2.91,2.91,0
12-02-1996,2.84,2.91,2.84,2.91,9200
12-03-1996,2.84,2.91,2.84,2.91,4400
12-04-1996,2.84,2.91,2.81,2.81,102800
12-05-1996,2.81,2.91,2.81,2.81,3200
12-06-1996,2.84,2.84,2.78,2.78,12400
12-09-1996,2.78,2.78,2.75,2.75,1600
12-10-1996,2.75,3.03,2.75,2.91,78400
12-11-1996,2.97,3.19,2.91,3.19,58400
12-12-1996,3.09,3.19,3.06,3.19,7600
12-13-1996,3.06,3.19,3.06,3.19,15600
12-16-1996,3.16,3.16,3.16,3.16,47600
