Date,Open,High,Low,Close,Volume
07-17-2017,75.00,75.00,70.00,70.00,33982
07-18-2017,70.50,72.00,69.92,70.00,35719
07-19-2017,67.92,69.51,67.80,68.95,1805
07-20-2017,69.75,70.00,69.00,69.00,28390
07-21-2017,70.00,70.00,68.56,68.92,1562
07-24-2017,69.00,69.29,69.00,69.00,4650
07-25-2017,69.15,69.15,68.95,69.08,1362
07-26-2017,69.08,69.08,69.08,69.08,3
07-27-2017,69.25,69.25,68.00,68.00,12970
07-28-2017,67.26,67.26,67.26,67.26,101
07-31-2017,67.70,67.70,65.28,66.00,19028
08-01-2017,66.65,66.86,66.23,66.25,25564
08-02-2017,65.98,66.06,64.83,64.89,82656
08-03-2017,65.00,65.50,63.50,64.00,23075
08-04-2017,64.94,65.05,64.44,64.57,313768
08-07-2017,62.75,62.85,60.58,61.72,11208105
08-08-2017,61.06,61.50,56.59,56.90,4124459
08-09-2017,56.01,57.12,54.94,56.72,4514392
08-10-2017,56.55,59.49,56.00,58.50,3231812
08-11-2017,58.10,58.48,57.04,57.97,1751524
08-14-2017,57.42,58.53,57.00,57.36,2391833
08-15-2017,57.48,59.00,57.11,58.01,1815953
08-16-2017,57.51,58.72,56.97,57.50,3090574
08-17-2017,57.05,57.58,55.16,55.97,1922733
08-18-2017,55.69,57.92,55.18,57.45,2680992
08-21-2017,57.00,57.94,56.62,56.86,1482007
08-22-2017,56.92,57.80,56.57,57.21,1202553
08-23-2017,56.76,57.29,56.24,56.65,1272269
08-24-2017,56.39,56.64,55.11,55.32,1312191
08-25-2017,55.53,56.63,54.90,55.54,1080305
08-28-2017,55.78,55.97,55.16,55.34,720494
08-29-2017,55.25,55.87,54.77,55.76,1221183
08-30-2017,55.48,57.47,55.35,57.10,1200353
08-31-2017,57.06,57.40,56.21,57.07,1722761
09-01-2017,56.90,57.98,56.36,57.49,945958
09-05-2017,57.19,57.19,53.69,54.08,2855653
09-06-2017,54.33,54.59,52.94,53.18,1781390
09-07-2017,53.36,53.68,52.75,53.00,1359607
09-08-2017,53.00,54.59,52.95,54.54,1039377
09-11-2017,55.08,56.00,54.83,55.11,1125997
09-12-2017,55.11,55.98,54.53,55.19,1339437
09-13-2017,54.91,55.40,54.77,55.35,848884
09-14-2017,55.12,55.69,54.95,55.62,1115182
09-15-2017,55.50,56.59,55.24,56.56,1680274
09-18-2017,56.75,57.40,56.41,57.21,1086316
09-19-2017,57.09,57.31,56.77,56.93,989375
09-20-2017,56.55,57.54,56.50,57.49,723273
09-21-2017,57.28,58.06,57.15,57.68,655886
09-22-2017,57.06,58.55,56.81,58.35,903265
09-25-2017,57.80,58.94,57.45,58.68,924909
09-26-2017,58.99,60.84,58.50,60.64,946396
09-27-2017,60.68,61.92,60.28,61.29,1263464
09-28-2017,61.20,61.20,59.34,60.43,1219296
