Date,Open,High,Low,Close,Volume
06-14-2010,25.05,25.05,25.05,25.05,0
06-15-2010,28.33,29.15,27.90,28.06,19706368
06-16-2010,27.96,28.32,27.61,27.70,2499459
06-17-2010,27.94,28.05,26.99,27.21,1699322
06-18-2010,27.16,27.33,26.57,26.78,1310834
06-21-2010,27.34,28.50,26.78,27.67,1235256
06-22-2010,27.97,28.63,27.47,28.23,1167705
06-23-2010,28.50,28.93,27.64,28.92,1191787
06-24-2010,28.92,29.52,28.29,28.75,1853467
06-25-2010,28.76,28.80,27.70,27.70,741441
06-28-2010,28.04,28.54,27.43,28.31,831469
06-29-2010,27.85,27.90,27.01,27.43,720463
06-30-2010,27.63,28.20,27.33,28.11,465891
07-01-2010,27.85,28.07,25.91,26.18,1184615
07-02-2010,26.13,26.77,25.93,26.65,559973
07-06-2010,27.12,27.12,25.65,25.74,932252
07-07-2010,25.74,26.28,25.19,25.25,660652
07-08-2010,25.09,26.19,24.57,25.06,2521452
07-09-2010,25.24,25.33,24.75,25.02,519386
07-12-2010,24.83,24.91,23.03,23.15,1381649
07-13-2010,23.65,24.16,23.25,24.05,1016427
07-14-2010,24.07,24.07,23.43,23.61,428339
07-15-2010,23.49,23.53,22.54,22.89,743591
07-16-2010,22.68,23.45,22.64,22.84,820544
07-19-2010,23.26,23.26,22.51,22.88,354022
07-20-2010,22.66,23.06,22.46,22.52,567439
07-21-2010,22.55,23.39,22.55,22.98,989004
07-22-2010,23.23,23.84,23.10,23.35,373409
07-23-2010,23.22,23.48,23.00,23.45,270081
07-26-2010,23.32,23.44,22.55,22.89,730772
07-27-2010,22.81,23.88,22.67,23.48,622759
07-28-2010,23.36,23.51,22.95,23.45,151966
07-29-2010,23.32,23.50,22.71,23.03,342917
07-30-2010,22.86,23.48,22.73,22.97,254760
08-02-2010,23.44,23.86,23.04,23.79,412963
08-03-2010,23.61,23.86,23.45,23.53,294142
08-04-2010,23.58,23.75,23.02,23.07,477493
08-05-2010,22.68,22.68,20.94,21.42,1799417
08-06-2010,20.94,21.04,19.97,20.56,1414661
08-09-2010,20.73,20.89,20.32,20.70,505705
08-10-2010,20.63,20.63,19.86,19.86,459105
08-11-2010,19.74,20.01,19.33,19.82,670185
08-12-2010,19.81,20.34,19.61,20.13,596409
08-13-2010,19.95,20.18,19.69,19.86,372745
08-16-2010,19.68,20.05,19.63,19.68,220728
08-17-2010,19.75,19.99,19.40,19.97,381434
08-18-2010,19.76,20.02,19.43,19.96,418438
08-19-2010,20.24,20.43,19.69,19.86,758328
08-20-2010,19.79,19.87,19.54,19.75,378220
08-23-2010,19.67,20.04,19.67,19.86,323520
08-24-2010,19.43,19.58,18.35,18.82,882706
08-25-2010,18.39,18.85,18.35,18.72,280918
08-26-2010,18.79,19.24,18.35,18.38,247618
08-27-2010,18.45,18.50,17.49,18.03,438425
