Date,Open,High,Low,Close,Volume
03-26-1990,0.763,0.775,0.757,0.757,0
03-27-1990,0.755,0.761,0.755,0.761,0
03-28-1990,0.769,0.775,0.757,0.775,0
03-29-1990,0.776,0.782,0.764,0.770,0
03-30-1990,0.776,0.794,0.764,0.789,0
04-02-1990,0.768,0.780,0.768,0.780,0
04-03-1990,0.780,0.792,0.780,0.780,0
04-04-1990,0.786,0.792,0.780,0.780,0
04-05-1990,0.781,0.793,0.781,0.793,0
04-06-1990,0.792,0.792,0.780,0.780,0
04-09-1990,0.792,0.822,0.786,0.816,0
04-10-1990,0.810,0.816,0.810,0.816,0
04-11-1990,0.816,0.816,0.810,0.816,0
04-12-1990,0.820,0.826,0.814,0.826,0
04-16-1990,0.832,0.837,0.820,0.826,0
04-17-1990,0.824,0.830,0.812,0.812,0
04-18-1990,0.813,0.831,0.789,0.789,0
04-19-1990,0.798,0.798,0.780,0.780,0
04-20-1990,0.783,0.794,0.783,0.789,0
04-23-1990,0.776,0.789,0.771,0.789,0
04-24-1990,0.780,0.792,0.780,0.780,0
04-25-1990,0.794,0.794,0.770,0.770,0
04-26-1990,0.820,0.837,0.807,0.826,0
04-27-1990,0.830,0.842,0.818,0.830,0
04-30-1990,0.835,0.841,0.829,0.835,0
05-01-1990,0.841,0.841,0.829,0.835,0
05-02-1990,0.830,0.836,0.812,0.812,0
05-03-1990,0.812,0.818,0.806,0.812,0
05-04-1990,0.814,0.826,0.807,0.826,0
05-07-1990,0.814,0.844,0.814,0.844,0
05-08-1990,0.841,0.877,0.835,0.853,0
05-09-1990,0.859,0.871,0.853,0.871,0
05-10-1990,0.870,0.881,0.858,0.858,0
05-11-1990,0.877,0.896,0.872,0.890,0
05-14-1990,0.893,0.899,0.881,0.881,0
05-15-1990,0.873,0.885,0.867,0.885,0
05-16-1990,0.871,0.883,0.871,0.871,0
05-17-1990,0.885,0.885,0.873,0.885,0
05-18-1990,0.881,0.887,0.881,0.881,0
05-21-1990,0.877,0.896,0.877,0.890,0
05-22-1990,0.899,0.917,0.887,0.917,0
05-23-1990,0.921,0.933,0.908,0.908,0
05-24-1990,0.922,0.922,0.909,0.922,0
05-25-1990,0.911,0.924,0.911,0.917,0
05-29-1990,0.924,0.924,0.905,0.917,0
05-30-1990,0.924,0.924,0.905,0.917,0
05-31-1990,0.914,0.914,0.890,0.890,0
06-01-1990,0.893,0.936,0.893,0.936,0
06-04-1990,0.936,0.972,0.924,0.972,0
06-05-1990,0.957,0.969,0.945,0.963,0
06-06-1990,0.972,0.972,0.942,0.954,0
06-07-1990,0.958,0.958,0.952,0.958,0
06-08-1990,0.960,0.960,0.942,0.954,0
06-11-1990,0.951,1.000,0.940,1.000,0
06-12-1990,1.006,1.012,0.963,0.981,0
06-13-1990,0.989,0.995,0.970,0.977,0
06-14-1990,0.984,0.984,0.966,0.972,0
06-15-1990,0.960,0.979,0.960,0.972,0
06-18-1990,0.972,0.972,0.899,0.899,0
06-19-1990,0.910,0.940,0.910,0.940,0
06-20-1990,0.948,0.960,0.936,0.954,0
06-21-1990,0.951,0.963,0.945,0.963,0
06-22-1990,0.969,0.975,0.945,0.945,0
06-25-1990,0.952,0.958,0.946,0.958,0
06-26-1990,0.960,0.960,0.942,0.954,0
06-27-1990,0.954,0.954,0.936,0.954,0
06-28-1990,0.954,0.954,0.942,0.954,0
06-29-1990,0.954,0.954,0.929,0.936,0
07-02-1990,0.946,0.952,0.928,0.940,0
07-03-1990,0.936,0.947,0.924,0.936,0
07-05-1990,0.940,0.940,0.922,0.922,0
07-06-1990,0.922,0.927,0.904,0.904,0
07-09-1990,0.911,0.917,0.905,0.917,0
07-10-1990,0.914,0.926,0.896,0.926,0
07-11-1990,0.927,0.945,0.927,0.945,0
07-12-1990,0.946,0.946,0.922,0.922,0
07-13-1990,0.922,0.934,0.891,0.904,0
07-16-1990,0.905,0.917,0.893,0.899,0
07-17-1990,0.907,0.913,0.865,0.871,0
07-18-1990,0.871,0.877,0.835,0.835,0
07-19-1990,0.840,0.840,0.828,0.835,0
07-20-1990,0.848,0.860,0.836,0.848,0
07-23-1990,0.847,0.853,0.835,0.853,0
07-24-1990,0.862,0.899,0.862,0.881,0
07-25-1990,0.877,0.901,0.872,0.890,0
07-26-1990,0.899,0.923,0.893,0.899,0
07-27-1990,0.909,0.909,0.897,0.904,0
07-30-1990,0.901,0.901,0.890,0.890,0
07-31-1990,0.896,0.914,0.890,0.908,0
08-01-1990,0.898,0.958,0.898,0.958,0
08-02-1990,0.946,0.946,0.915,0.922,0
08-03-1990,0.923,0.929,0.869,0.899,0
08-06-1990,0.890,0.890,0.853,0.871,0
08-07-1990,0.891,0.897,0.848,0.848,0
08-08-1990,0.865,0.890,0.859,0.871,0
08-09-1990,0.885,0.885,0.867,0.885,0
08-10-1990,0.893,0.893,0.862,0.881,0
08-13-1990,0.865,0.890,0.865,0.890,0
08-14-1990,0.896,0.921,0.883,0.908,0
08-15-1990,0.908,0.908,0.902,0.908,0
08-16-1990,0.905,0.905,0.881,0.881,0
08-17-1990,0.882,0.882,0.870,0.876,0
08-20-1990,0.878,0.883,0.871,0.871,0
08-21-1990,0.870,0.870,0.858,0.858,0
08-22-1990,0.859,0.871,0.853,0.853,0
08-23-1990,0.846,0.846,0.821,0.821,0
08-24-1990,0.832,0.844,0.819,0.844,0
08-27-1990,0.857,0.882,0.857,0.876,0
08-28-1990,0.882,0.882,0.870,0.876,0
08-29-1990,0.880,0.917,0.880,0.917,0
08-30-1990,0.926,0.933,0.908,0.908,0
08-31-1990,0.902,0.914,0.902,0.908,0
09-04-1990,0.900,0.906,0.894,0.894,0
09-05-1990,0.906,0.906,0.888,0.894,0
09-06-1990,0.894,0.894,0.876,0.876,0
09-07-1990,0.881,0.887,0.875,0.881,0
09-10-1990,0.890,0.896,0.883,0.890,0
09-11-1990,0.896,0.896,0.890,0.890,0
09-12-1990,0.888,0.894,0.882,0.894,0
09-13-1990,0.888,0.894,0.882,0.894,0
09-14-1990,0.887,0.893,0.881,0.881,0
09-17-1990,0.876,0.876,0.870,0.876,0
09-18-1990,0.870,0.894,0.870,0.894,0
09-19-1990,0.893,0.893,0.862,0.862,0
09-20-1990,0.871,0.871,0.859,0.871,0
09-21-1990,0.875,0.875,0.856,0.862,0
09-24-1990,0.859,0.865,0.853,0.853,0
09-25-1990,0.853,0.865,0.853,0.853,0
09-26-1990,0.844,0.844,0.837,0.844,0
09-27-1990,0.847,0.871,0.847,0.871,0
09-28-1990,0.859,0.865,0.847,0.853,0
10-01-1990,0.847,0.865,0.835,0.835,0
10-02-1990,0.839,0.852,0.834,0.839,0
10-03-1990,0.846,0.846,0.839,0.839,0
10-04-1990,0.847,0.847,0.835,0.835,0
10-05-1990,0.828,0.835,0.822,0.835,0
10-08-1990,0.840,0.847,0.828,0.835,0
10-09-1990,0.826,0.826,0.807,0.807,0
10-10-1990,0.813,0.819,0.807,0.807,0
10-11-1990,0.811,0.811,0.761,0.761,0
10-12-1990,0.767,0.767,0.743,0.743,0
10-15-1990,0.748,0.766,0.748,0.748,0
10-16-1990,0.753,0.758,0.728,0.734,0
10-17-1990,0.737,0.761,0.737,0.761,0
10-18-1990,0.764,0.770,0.752,0.770,0
10-19-1990,0.789,0.819,0.789,0.807,0
10-22-1990,0.798,0.811,0.798,0.798,0
10-23-1990,0.804,0.804,0.780,0.780,0
10-24-1990,0.725,0.725,0.675,0.706,0
10-25-1990,0.705,0.741,0.705,0.711,0
10-26-1990,0.710,0.734,0.710,0.734,0
10-29-1990,0.735,0.735,0.723,0.729,0
10-30-1990,0.735,0.735,0.716,0.729,0
10-31-1990,0.729,0.729,0.723,0.729,0
11-01-1990,0.729,0.729,0.723,0.729,0
11-02-1990,0.737,0.761,0.737,0.761,0
11-05-1990,0.766,0.784,0.748,0.748,0
11-06-1990,0.746,0.758,0.746,0.752,0
11-07-1990,0.756,0.767,0.756,0.761,0
11-08-1990,0.760,0.766,0.760,0.766,0
11-09-1990,0.766,0.766,0.741,0.766,0
11-12-1990,0.772,0.779,0.766,0.766,0
11-13-1990,0.772,0.784,0.772,0.784,0
11-14-1990,0.784,0.784,0.779,0.784,0
11-15-1990,0.781,0.787,0.775,0.775,0
11-16-1990,0.767,0.780,0.761,0.780,0
11-19-1990,0.781,0.794,0.775,0.775,0
11-20-1990,0.772,0.779,0.760,0.766,0
11-21-1990,0.760,0.772,0.760,0.766,0
11-23-1990,0.773,0.785,0.773,0.780,0
11-26-1990,0.772,0.784,0.772,0.784,0
11-27-1990,0.792,0.816,0.780,0.816,0
11-28-1990,0.823,0.829,0.810,0.816,0
11-29-1990,0.824,0.830,0.817,0.830,0
11-30-1990,0.809,0.835,0.809,0.835,0
