Date,Open,High,Low,Close,Volume
10-05-2000,2.03,2.18,1.98,2.06,54919720
10-06-2000,2.07,2.11,1.91,1.99,9583088
10-09-2000,1.97,1.97,1.84,1.84,3400054
10-10-2000,1.83,1.93,1.83,1.86,2781954
10-11-2000,1.86,1.86,1.79,1.80,4571205
10-12-2000,1.78,1.78,1.62,1.71,5609266
10-13-2000,1.69,1.75,1.67,1.75,1965695
10-16-2000,1.75,1.78,1.74,1.76,1524047
10-17-2000,1.75,1.89,1.75,1.86,763990
10-18-2000,1.85,1.86,1.76,1.77,1715303
10-19-2000,1.78,1.79,1.72,1.73,1502366
10-20-2000,1.74,1.74,1.71,1.72,1312100
10-23-2000,1.72,1.72,1.70,1.70,1834582
10-24-2000,1.72,1.78,1.72,1.78,657522
10-25-2000,1.78,1.90,1.76,1.85,2050476
10-26-2000,1.84,1.84,1.79,1.84,416978
10-27-2000,1.86,1.99,1.84,1.98,492890
10-30-2000,1.96,2.18,1.95,2.18,913829
10-31-2000,2.28,2.46,2.28,2.37,4388829
11-01-2000,2.35,2.38,2.27,2.35,3616933
11-02-2000,2.36,2.45,2.35,2.42,1126769
11-03-2000,2.40,2.56,2.33,2.56,3254156
11-06-2000,2.56,2.56,2.43,2.44,834962
11-07-2000,2.43,2.43,2.35,2.41,1067618
11-08-2000,2.26,2.43,2.19,2.43,3568627
11-09-2000,2.43,2.46,2.37,2.43,1786278
11-10-2000,2.42,2.54,2.42,2.51,453455
11-13-2000,2.49,2.49,2.23,2.24,895102
11-14-2000,2.23,2.31,2.16,2.31,1233233
11-15-2000,2.32,2.36,2.28,2.33,907916
11-16-2000,2.32,2.33,2.32,2.33,89690
11-17-2000,2.35,2.37,2.31,2.37,336142
11-20-2000,2.36,2.36,2.23,2.31,326286
11-21-2000,2.30,2.31,2.29,2.29,878341
11-22-2000,2.31,2.33,2.28,2.33,497816
11-24-2000,2.33,2.33,2.33,2.33,298682
11-27-2000,2.36,2.42,2.33,2.41,1027200
11-28-2000,2.39,2.45,2.38,2.38,1553624
11-29-2000,2.36,2.36,2.23,2.26,157707
11-30-2000,2.23,2.24,2.21,2.24,847782
12-01-2000,2.22,2.23,2.18,2.23,513591
12-04-2000,2.22,2.35,2.22,2.35,1263798
12-05-2000,2.35,2.35,2.26,2.26,1349559
12-06-2000,2.24,2.35,2.24,2.34,503732
12-07-2000,2.36,2.49,2.36,2.43,542181
12-08-2000,2.46,2.61,2.44,2.57,523446
12-11-2000,2.57,2.64,2.56,2.62,326286
12-12-2000,2.57,2.61,2.52,2.53,579641
12-13-2000,2.52,2.52,2.43,2.43,399238
12-14-2000,2.43,2.43,2.04,2.14,2038646
12-15-2000,2.14,2.14,2.13,2.14,40402
12-18-2000,2.16,2.16,2.04,2.09,455430
12-19-2000,2.09,2.11,2.07,2.11,390363
12-20-2000,2.10,2.10,2.04,2.05,1033119
12-21-2000,2.07,2.13,2.05,2.13,803417
12-22-2000,2.13,2.28,2.13,2.27,285863
12-26-2000,2.28,2.43,2.28,2.38,335159
12-27-2000,2.43,2.54,2.43,2.54,500775
12-28-2000,2.54,2.90,2.54,2.87,1477715
12-29-2000,2.87,2.98,2.87,2.92,727513
01-02-2001,2.90,2.94,2.64,2.65,1481657
01-03-2001,2.64,2.66,2.61,2.64,600343
01-04-2001,2.64,2.64,2.53,2.54,1271680
01-05-2001,2.52,2.54,2.47,2.47,338116
01-08-2001,2.46,2.46,2.23,2.28,591470
01-09-2001,2.33,2.40,2.31,2.36,874399
01-10-2001,2.56,2.68,2.52,2.55,2482259
01-11-2001,2.56,2.78,2.56,2.76,936508
01-12-2001,2.74,2.79,2.70,2.70,712724
01-16-2001,2.68,2.92,2.68,2.88,332201
01-17-2001,2.88,3.09,2.87,2.94,1556580
01-18-2001,2.94,3.06,2.94,3.04,554993
01-19-2001,3.09,3.09,3.04,3.08,523446
01-22-2001,3.09,3.21,3.09,3.14,3099382
01-23-2001,3.25,3.30,3.13,3.14,2927848
01-24-2001,3.14,3.14,3.02,3.12,5122271
01-25-2001,3.11,3.12,3.06,3.07,6851394
01-26-2001,3.07,3.09,3.07,3.09,3625810
01-29-2001,3.11,3.19,3.09,3.14,1154368
01-30-2001,3.14,3.20,3.14,3.18,1931192
01-31-2001,3.20,3.45,3.20,3.42,4713161
02-01-2001,3.43,3.68,3.42,3.61,2924893
02-02-2001,3.69,3.90,3.64,3.65,4580078
02-05-2001,3.64,3.65,3.53,3.57,3273873
02-06-2001,3.55,3.57,3.45,3.46,4470652
02-07-2001,3.45,3.67,3.45,3.47,2266367
02-08-2001,3.47,3.48,3.40,3.43,3374422
02-09-2001,3.44,3.46,3.40,3.42,1054804
02-12-2001,3.42,3.42,3.30,3.33,538234
02-13-2001,3.33,3.42,3.33,3.33,813283
