Date,Open,High,Low,Close,Volume
03-26-1990,3.72,3.76,3.72,3.76,0
03-27-1990,3.72,3.77,3.72,3.75,0
03-28-1990,3.75,3.76,3.72,3.76,0
03-29-1990,3.76,3.76,3.76,3.76,0
03-30-1990,3.75,3.81,3.72,3.75,0
04-02-1990,3.81,3.81,3.76,3.76,0
04-03-1990,3.70,3.70,3.70,3.70,0
04-04-1990,3.69,3.77,3.47,3.55,0
04-05-1990,3.55,3.62,3.55,3.60,0
04-06-1990,3.61,3.63,3.57,3.63,0
04-09-1990,3.57,3.66,3.57,3.63,0
04-10-1990,3.58,3.66,3.58,3.66,0
04-11-1990,3.59,3.70,3.59,3.70,0
04-12-1990,3.68,3.68,3.65,3.68,0
04-16-1990,3.68,3.76,3.64,3.70,0
04-17-1990,3.75,3.75,3.68,3.68,0
04-18-1990,3.77,3.77,3.68,3.68,0
04-19-1990,3.77,3.77,3.68,3.68,0
04-20-1990,3.70,3.76,3.68,3.76,0
04-23-1990,3.77,3.77,3.67,3.67,0
04-24-1990,3.76,3.76,3.66,3.70,0
04-25-1990,3.66,3.66,3.66,3.66,0
04-26-1990,3.66,3.76,3.66,3.76,0
04-27-1990,3.66,3.77,3.66,3.75,0
04-30-1990,3.72,3.72,3.66,3.66,0
05-01-1990,3.75,3.75,3.66,3.75,0
05-02-1990,3.66,3.75,3.66,3.75,0
05-03-1990,3.74,3.76,3.68,3.76,0
05-04-1990,3.72,3.76,3.72,3.76,0
05-07-1990,3.76,3.76,3.68,3.76,0
05-08-1990,3.75,3.77,3.68,3.68,0
05-09-1990,3.74,3.76,3.74,3.76,0
05-10-1990,3.79,3.81,3.68,3.68,0
05-11-1990,3.68,3.81,3.68,3.81,0
05-14-1990,3.72,3.81,3.72,3.81,0
05-15-1990,3.75,3.81,3.75,3.81,0
05-16-1990,3.81,3.81,3.74,3.76,0
05-17-1990,3.86,3.86,3.77,3.86,0
05-18-1990,3.89,3.89,3.83,3.83,0
05-21-1990,3.90,3.90,3.81,3.88,0
05-22-1990,3.94,3.96,3.89,3.89,0
05-23-1990,3.96,4.02,3.92,4.02,0
05-24-1990,4.07,4.07,3.98,4.07,0
05-25-1990,4.01,4.03,3.99,3.99,0
05-29-1990,3.98,4.07,3.98,4.00,0
