Date,Open,High,Low,Close,Volume
10-31-1995,3.50,4.20,3.47,4.07,15479498
11-01-1995,3.90,3.95,3.88,3.90,3056498
11-02-1995,3.95,4.22,3.90,4.18,1185498
11-03-1995,4.18,4.22,3.85,4.00,1823498
11-06-1995,3.97,4.00,3.88,3.90,339498
11-07-1995,3.88,3.97,3.75,3.80,627498
11-08-1995,3.70,3.83,3.60,3.83,1213998
11-09-1995,3.83,4.07,3.83,4.05,831000
11-10-1995,4.07,4.15,4.05,4.10,458498
11-13-1995,4.13,4.20,4.10,4.15,251498
11-14-1995,4.18,4.20,4.13,4.15,365498
11-15-1995,4.13,4.13,4.05,4.10,593498
11-16-1995,4.10,4.13,4.07,4.10,426498
11-17-1995,4.10,4.15,4.10,4.15,80498
11-20-1995,4.20,4.30,4.20,4.30,253500
11-21-1995,4.30,4.35,4.30,4.30,706998
11-22-1995,4.28,4.43,4.28,4.40,235500
11-24-1995,4.47,4.53,4.45,4.53,29498
11-27-1995,4.50,4.93,4.50,4.85,189000
11-28-1995,4.95,5.35,4.95,5.32,700500
11-29-1995,5.30,5.85,5.28,5.60,1008000
11-30-1995,5.45,5.47,5.32,5.38,705498
12-01-1995,5.35,5.47,5.30,5.38,753998
12-04-1995,5.20,5.28,5.13,5.25,340998
12-05-1995,5.28,5.35,5.25,5.32,55500
12-06-1995,5.50,5.78,5.50,5.68,657998
12-07-1995,5.70,5.72,5.65,5.65,576498
12-08-1995,5.63,5.72,5.63,5.70,502500
12-11-1995,5.72,5.75,5.70,5.72,334998
12-12-1995,5.72,5.97,5.72,5.93,273998
12-13-1995,5.95,5.97,5.95,5.95,483998
12-14-1995,5.90,6.00,5.90,5.95,272498
12-15-1995,5.95,5.95,5.93,5.95,114498
12-18-1995,5.95,5.95,5.70,5.72,169998
12-19-1995,5.68,5.68,5.45,5.45,342498
12-20-1995,5.47,5.47,5.18,5.28,71498
12-21-1995,5.28,5.35,5.20,5.20,407498
12-22-1995,5.22,5.25,5.20,5.20,223998
12-26-1995,5.22,5.22,5.20,5.20,151998
12-27-1995,5.25,5.60,5.25,5.60,469500
12-28-1995,5.60,5.60,5.57,5.60,174998
12-29-1995,5.63,6.00,5.63,6.00,594998
01-02-1996,5.90,5.90,5.85,5.85,57000
01-03-1996,5.95,6.00,5.90,5.90,160500
01-04-1996,5.93,5.93,5.65,5.65,117498
01-05-1996,5.68,5.68,5.63,5.63,7500
01-08-1996,5.63,5.63,5.60,5.60,3998
01-09-1996,5.57,5.63,5.50,5.50,330000
01-10-1996,5.43,5.55,5.40,5.55,93000
01-11-1996,5.55,5.57,5.53,5.55,61998
01-12-1996,5.57,5.80,5.57,5.75,103500
01-15-1996,5.80,5.85,5.80,5.85,6498
01-16-1996,5.90,5.97,5.90,5.97,73500
01-17-1996,5.97,5.97,5.90,5.95,90998
01-18-1996,5.90,5.90,5.68,5.68,162498
01-19-1996,5.70,5.72,5.60,5.68,39000
01-22-1996,5.68,5.68,5.60,5.63,41498
01-23-1996,5.65,5.65,5.60,5.60,46500
01-24-1996,5.68,5.70,5.57,5.57,62498
01-25-1996,5.60,5.60,5.60,5.60,18000
01-26-1996,5.55,5.57,5.53,5.53,36000
01-29-1996,5.53,5.53,5.40,5.47,172998
01-30-1996,5.45,5.50,5.45,5.47,35498
01-31-1996,5.50,5.55,5.50,5.55,114498
02-01-1996,5.53,5.70,5.47,5.70,120000
02-02-1996,5.72,5.90,5.72,5.88,154998
02-05-1996,5.90,5.95,5.90,5.95,60498
02-06-1996,5.93,6.28,5.93,6.25,521498
02-07-1996,6.32,6.45,6.32,6.40,448500
02-08-1996,6.40,6.40,6.03,6.15,549998
02-09-1996,6.10,6.15,6.05,6.07,163998
02-12-1996,6.07,6.22,6.07,6.22,123998
02-13-1996,6.20,6.20,5.88,5.88,308498
02-14-1996,5.88,5.88,5.85,5.88,99998
02-15-1996,5.85,5.85,5.75,5.80,181500
02-16-1996,5.80,5.88,5.78,5.88,640998
02-20-1996,5.82,5.85,5.80,5.80,67500
02-21-1996,5.82,5.85,5.82,5.82,162998
02-22-1996,5.80,6.05,5.80,6.05,64500
02-23-1996,6.05,6.10,5.97,6.00,283500
02-26-1996,6.05,6.10,6.05,6.10,211500
02-27-1996,6.05,6.13,6.03,6.13,62498
02-28-1996,6.15,6.15,5.97,5.97,19500
02-29-1996,5.95,5.95,5.88,5.90,37500
03-01-1996,5.95,5.95,5.90,5.95,10500
03-04-1996,5.97,5.97,5.97,5.97,498
03-05-1996,6.00,6.00,5.93,6.00,66000
03-06-1996,6.00,6.00,5.93,5.93,303498
03-07-1996,5.93,6.07,5.93,6.07,72498
03-08-1996,6.03,6.03,5.95,6.00,126498
03-11-1996,5.95,5.95,5.85,5.90,138000
03-12-1996,5.93,5.93,5.88,5.88,69998
03-13-1996,5.90,5.93,5.88,5.93,326498
03-14-1996,5.93,5.95,5.93,5.95,204998
03-15-1996,5.95,5.95,5.88,5.93,18000
03-18-1996,5.97,6.05,5.95,5.95,66998
03-19-1996,5.95,5.97,5.90,5.95,435000
03-20-1996,5.95,5.95,5.90,5.93,82500
03-21-1996,5.90,5.93,5.88,5.88,333000
03-22-1996,5.90,5.90,5.82,5.82,51000
03-25-1996,5.80,5.97,5.80,5.97,148500
03-26-1996,6.00,6.15,6.00,6.13,213000
03-27-1996,6.15,6.20,6.05,6.18,319998
03-28-1996,6.15,6.25,6.15,6.20,201000
03-29-1996,6.20,6.22,6.13,6.22,169998
04-01-1996,6.20,6.65,6.20,6.57,240498
04-02-1996,6.57,6.57,6.53,6.55,39498
04-03-1996,6.60,6.72,6.57,6.63,217998
04-04-1996,6.65,7.05,6.65,7.00,11919000
04-08-1996,7.00,7.07,6.93,7.05,1440000
04-09-1996,7.20,7.20,7.05,7.10,1014498
04-10-1996,7.15,7.32,7.13,7.25,1008998
04-11-1996,7.30,7.30,7.13,7.13,933000
04-12-1996,7.13,7.13,7.03,7.07,288498
04-15-1996,7.07,7.10,7.05,7.07,57498
04-16-1996,7.10,7.15,7.10,7.15,654998
04-17-1996,7.18,7.28,7.18,7.25,562998
04-18-1996,7.28,7.28,7.05,7.07,251498
04-19-1996,7.07,7.13,7.03,7.10,430998
04-22-1996,7.10,7.25,7.10,7.20,342998
04-23-1996,7.25,7.65,7.25,7.63,787998
04-24-1996,7.65,8.07,7.65,8.07,444998
04-25-1996,8.05,8.10,7.95,7.95,935498
04-26-1996,7.82,7.90,7.82,7.88,417000
04-29-1996,7.80,7.80,7.55,7.60,213498
04-30-1996,7.63,7.65,7.43,7.65,666998
05-01-1996,7.68,7.72,7.63,7.70,259500
05-02-1996,7.75,7.75,7.22,7.28,1032000
05-03-1996,7.25,7.30,7.03,7.10,547998
05-06-1996,7.07,7.50,7.07,7.50,822000
05-07-1996,7.60,7.80,7.57,7.80,531000
05-08-1996,7.85,7.88,7.68,7.88,264000
05-09-1996,7.85,7.97,7.85,7.97,237000
05-10-1996,7.93,8.65,7.93,8.65,403998
05-13-1996,8.70,9.10,8.63,9.02,284498
05-14-1996,9.00,9.05,8.75,8.77,334500
05-15-1996,8.75,8.75,8.55,8.65,179498
05-16-1996,8.60,8.65,8.45,8.45,84998
05-17-1996,8.40,8.40,8.20,8.23,85998
05-20-1996,8.23,8.27,8.18,8.25,33998
05-21-1996,8.27,8.27,8.18,8.18,28998
05-22-1996,8.20,8.20,8.00,8.02,315498
05-23-1996,8.07,8.07,7.82,7.93,583500
05-24-1996,7.95,8.23,7.95,8.20,115998
05-28-1996,8.27,8.27,8.05,8.05,46998
05-29-1996,8.02,8.05,7.93,7.93,297000
05-30-1996,7.97,8.30,7.93,8.23,369000
05-31-1996,8.18,8.25,8.15,8.25,567498
06-03-1996,8.23,8.27,8.23,8.27,69998
06-04-1996,8.27,8.27,8.15,8.18,42998
06-05-1996,8.13,8.13,7.70,7.97,294498
06-06-1996,8.00,8.07,8.00,8.07,97998
06-07-1996,8.02,8.02,7.90,7.90,15000
06-10-1996,7.93,7.93,7.72,7.72,36998
06-11-1996,7.72,7.75,7.70,7.70,143498
06-12-1996,7.72,7.75,7.70,7.72,100500
06-13-1996,7.72,7.72,7.70,7.70,9998
06-14-1996,7.68,7.78,7.68,7.78,31998
06-17-1996,7.75,7.78,7.72,7.75,108998
06-18-1996,7.75,7.78,7.70,7.78,57000
06-19-1996,7.75,7.82,7.68,7.78,322998
06-20-1996,7.75,7.75,7.72,7.75,271500
06-21-1996,7.75,7.75,7.70,7.72,304500
06-24-1996,7.70,7.70,7.38,7.57,298500
06-25-1996,7.60,7.75,7.57,7.75,82998
06-26-1996,7.75,7.78,7.68,7.68,313998
06-27-1996,7.65,7.85,7.60,7.85,145500
06-28-1996,7.85,8.45,7.75,8.45,526500
07-01-1996,8.40,8.52,8.40,8.45,91500
07-02-1996,8.48,8.48,8.32,8.38,233498
07-03-1996,8.38,8.38,8.20,8.20,139500
07-05-1996,8.23,8.25,8.15,8.18,15998
07-08-1996,8.15,8.15,7.75,7.80,362498
07-09-1996,7.85,7.88,7.82,7.88,18498
07-10-1996,7.88,7.88,7.78,7.82,133998
07-11-1996,7.80,7.82,7.15,7.15,472500
07-12-1996,7.15,7.15,6.90,7.05,246498
07-15-1996,7.10,7.13,6.72,6.72,351498
07-16-1996,6.75,6.75,6.40,6.50,302498
07-17-1996,6.50,6.80,6.50,6.78,440498
07-18-1996,6.72,6.88,6.72,6.82,408998
07-19-1996,6.85,7.10,6.85,7.10,114998
07-22-1996,7.03,7.03,6.93,6.95,423998
07-23-1996,6.90,6.90,6.80,6.82,102998
07-24-1996,6.80,6.80,6.72,6.72,147998
07-25-1996,6.72,6.90,6.72,6.90,660998
07-26-1996,6.85,7.03,6.85,7.03,62498
07-29-1996,7.03,7.13,6.97,7.10,48498
07-30-1996,7.13,7.18,7.13,7.13,78498
07-31-1996,7.13,7.15,7.13,7.15,235500
08-01-1996,7.13,7.13,6.85,6.95,205998
08-02-1996,6.97,7.03,6.90,7.03,285998
08-05-1996,7.13,7.43,7.10,7.32,297498
08-06-1996,7.38,7.50,7.38,7.43,88998
08-07-1996,7.50,7.75,7.47,7.60,199500
08-08-1996,7.60,7.75,7.45,7.45,426998
08-09-1996,7.47,7.60,7.45,7.60,271500
08-12-1996,7.60,7.68,7.57,7.68,84000
08-13-1996,7.68,7.68,7.57,7.60,63498
08-14-1996,7.60,7.60,7.60,7.60,9998
08-15-1996,7.57,7.60,7.55,7.57,75000
08-16-1996,7.57,7.57,7.55,7.55,34998
08-19-1996,7.55,7.55,7.47,7.47,12998
08-20-1996,7.50,7.50,7.28,7.28,53498
08-21-1996,7.30,7.47,7.28,7.45,226500
08-22-1996,7.45,7.50,7.43,7.50,12998
08-23-1996,7.47,7.63,7.47,7.57,99998
08-26-1996,7.57,7.72,7.55,7.72,62498
08-27-1996,7.80,7.88,7.78,7.88,198998
08-28-1996,7.88,8.13,7.88,7.97,685500
