Date,Open,High,Low,Close,Volume
01-02-1992,2.36,2.36,2.30,2.35,1593600
01-03-1992,2.38,2.48,2.34,2.48,3515200
01-06-1992,2.48,2.56,2.46,2.55,2275200
01-07-1992,2.55,2.55,2.48,2.51,1100800
01-08-1992,2.47,2.68,2.46,2.68,3481600
01-09-1992,2.70,2.76,2.63,2.66,3004800
01-10-1992,2.63,2.69,2.48,2.59,3057600
01-13-1992,2.63,2.63,2.55,2.61,3216000
01-14-1992,2.63,2.67,2.61,2.64,1756800
01-15-1992,2.69,2.81,2.66,2.81,1950400
01-16-1992,2.78,2.86,2.72,2.81,4017600
01-17-1992,2.81,2.86,2.80,2.83,1430400
01-20-1992,2.80,2.91,2.67,2.75,5288000
01-21-1992,2.78,2.82,2.55,2.63,4345600
01-22-1992,2.65,2.73,2.63,2.67,1542400
01-23-1992,2.70,2.70,2.58,2.59,1438400
01-24-1992,2.61,2.70,2.58,2.63,1286400
01-27-1992,2.66,2.66,2.48,2.53,1510400
01-28-1992,2.58,2.58,2.47,2.53,1329600
01-29-1992,2.48,2.61,2.48,2.55,1592000
01-30-1992,2.57,2.59,2.53,2.59,1244800
01-31-1992,2.56,2.59,2.50,2.50,1385600
02-03-1992,2.53,2.64,2.48,2.59,2094400
02-04-1992,2.64,2.69,2.64,2.66,5860800
02-05-1992,2.69,2.75,2.64,2.69,8161600
02-06-1992,2.73,2.81,2.69,2.81,5963200
02-07-1992,2.81,2.81,2.77,2.78,2110400
02-10-1992,2.81,2.92,2.78,2.88,2924800
02-11-1992,2.86,2.98,2.83,2.98,2257600
02-12-1992,2.95,3.03,2.94,2.95,3174400
02-13-1992,2.95,3.03,2.95,2.95,5790400
02-14-1992,2.98,3.02,2.95,2.98,3300800
02-18-1992,2.95,3.00,2.89,2.94,4164800
02-19-1992,2.88,2.97,2.86,2.95,3062400
02-20-1992,3.03,3.09,2.95,3.07,2763200
02-21-1992,3.09,3.16,3.03,3.16,3563200
02-24-1992,3.16,3.23,3.16,3.20,3616000
