Date,Open,High,Low,Close,Volume
11-17-2010,28.26,28.26,28.26,28.26,0
11-18-2010,29.97,30.82,29.02,29.28,533738240
11-19-2010,29.24,29.54,28.35,29.34,125941312
11-22-2010,29.29,29.52,28.95,29.18,42801692
11-23-2010,29.07,29.11,28.42,28.47,36401772
11-24-2010,28.88,28.94,28.45,28.67,30524632
11-26-2010,28.61,28.95,28.44,28.94,14365733
11-29-2010,28.94,28.95,28.32,28.94,32438036
11-30-2010,28.71,29.33,28.57,29.29,67124680
12-01-2010,29.67,29.93,29.47,29.78,40445600
12-02-2010,29.90,29.95,29.55,29.70,27153006
12-03-2010,29.58,29.63,29.09,29.58,22650182
12-06-2010,29.52,29.78,29.47,29.52,13636039
12-07-2010,29.76,29.88,29.51,29.70,24317818
12-08-2010,29.64,29.74,29.40,29.50,14719152
12-09-2010,29.42,29.48,28.79,28.89,21490776
12-10-2010,28.99,29.11,28.71,28.95,13712216
12-13-2010,29.08,29.16,28.86,28.94,12880307
12-14-2010,28.88,29.05,28.64,29.02,17710996
12-15-2010,28.95,29.12,28.78,28.78,11891558
12-16-2010,28.75,28.99,28.74,28.78,11544693
12-17-2010,28.71,29.11,28.42,29.11,41669896
12-20-2010,29.04,29.16,28.89,28.91,14570277
12-21-2010,28.99,29.06,28.87,28.99,10524850
12-22-2010,28.87,29.93,28.71,29.90,24447514
12-23-2010,29.69,30.42,29.64,29.81,23974464
12-27-2010,29.47,29.88,29.28,29.63,8604855
12-28-2010,30.30,30.54,30.03,30.24,27435900
12-29-2010,30.37,31.08,30.18,30.84,24479618
12-30-2010,30.91,31.67,30.84,31.53,19830612
12-31-2010,31.55,31.65,31.31,31.56,7199481
01-03-2011,31.96,32.54,31.71,31.73,29050812
01-04-2011,31.77,32.53,31.41,32.45,37780528
01-05-2011,32.09,32.80,32.09,32.60,26280644
01-06-2011,32.74,33.81,32.60,33.31,45042592
01-07-2011,33.26,33.68,32.98,33.38,23241932
01-10-2011,33.69,33.70,32.92,33.02,21419772
01-11-2011,33.10,33.76,32.98,33.18,17351014
01-12-2011,33.35,33.71,32.86,33.07,19586136
01-13-2011,33.10,33.15,32.63,32.77,13264522
01-14-2011,32.69,32.94,32.57,32.71,6884121
01-18-2011,32.58,32.82,31.96,32.56,10414862
01-19-2011,32.35,32.48,31.91,32.03,14790878
01-20-2011,31.78,31.93,31.06,31.84,18504090
01-21-2011,31.97,32.41,31.53,31.89,11151220
01-24-2011,32.29,32.42,31.71,32.23,14250687
01-25-2011,32.41,32.96,32.29,32.88,14387090
01-26-2011,33.18,33.32,32.42,32.44,13471006
01-27-2011,32.71,33.35,32.56,33.11,16291187
01-28-2011,32.54,32.56,30.83,31.34,43367340
01-31-2011,31.59,31.73,30.73,31.25,16298777
02-01-2011,31.62,31.88,30.94,31.21,32806608
02-02-2011,31.22,31.31,30.47,30.55,20361508
02-03-2011,30.80,30.88,30.08,30.88,22600676
02-04-2011,31.04,31.45,30.73,31.33,12980392
02-07-2011,31.64,31.76,31.35,31.43,8560490
02-08-2011,31.66,31.73,31.17,31.59,7290650
02-09-2011,31.53,31.61,31.07,31.18,7473389
02-10-2011,30.97,31.37,30.42,30.72,13480389
02-11-2011,30.62,31.31,30.44,31.21,15786998
02-14-2011,31.30,31.31,30.37,31.07,8318326
02-15-2011,30.99,31.18,30.66,30.92,12071197
02-16-2011,30.92,31.55,30.84,31.47,10137748
02-17-2011,31.30,31.43,31.08,31.14,8715469
02-18-2011,31.19,31.48,31.15,31.26,7961359
02-22-2011,30.71,30.95,30.36,30.63,16276468
02-23-2011,30.70,30.77,28.94,29.62,32924558
02-24-2011,29.88,29.97,27.44,28.27,74216400
02-25-2011,28.83,29.29,28.30,28.47,33890224
02-28-2011,28.68,28.89,28.14,28.71,18552506
03-01-2011,28.85,28.90,27.77,28.21,31908204
03-02-2011,28.17,28.40,27.91,28.15,16707694
03-03-2011,28.28,28.40,27.96,28.28,20558732
03-04-2011,28.32,28.33,27.41,27.74,28310104
03-07-2011,27.70,27.83,26.99,27.14,17607980
03-08-2011,27.18,28.10,27.14,28.02,16949284
03-09-2011,28.03,28.05,27.49,27.62,13111169
03-10-2011,26.95,27.21,26.50,26.90,44766380
03-11-2011,26.76,27.45,26.75,27.34,16377605
03-14-2011,27.52,27.66,26.91,27.05,11651084
03-15-2011,26.53,27.82,26.25,27.70,25065518
03-16-2011,27.76,27.85,26.89,27.21,16524649
03-17-2011,27.56,27.74,26.83,26.92,12878824
03-18-2011,27.18,27.36,26.90,27.27,11516299
03-21-2011,27.61,27.66,26.74,26.78,15395149
03-22-2011,26.78,26.84,26.13,26.32,19832520
03-23-2011,26.20,26.78,25.86,26.68,26879352
03-24-2011,26.82,27.06,26.75,26.88,18372364
03-25-2011,26.96,27.14,26.62,26.95,17799932
03-28-2011,27.04,27.04,26.42,26.42,12033618
03-29-2011,26.48,26.69,26.27,26.63,11401447
03-30-2011,26.68,27.09,26.58,27.02,8942284
03-31-2011,26.89,27.02,26.55,26.57,10483030
04-01-2011,26.88,27.94,26.41,27.75,34898264
04-04-2011,27.83,28.02,27.57,27.74,14401445
04-05-2011,27.68,28.15,27.49,28.15,11804696
04-06-2011,28.26,28.50,27.85,28.15,9530063
04-07-2011,28.12,28.12,27.46,27.67,13131894
04-08-2011,27.74,28.04,26.82,26.99,18752646
04-11-2011,26.84,26.93,26.16,26.35,17723708
04-12-2011,26.03,26.84,25.77,26.67,22946536
04-13-2011,26.74,26.82,26.19,26.43,16095199
04-14-2011,26.25,26.43,25.99,26.19,10565666
04-15-2011,26.19,26.31,25.84,25.89,11542107
04-18-2011,25.74,25.98,25.60,25.66,14886583
04-19-2011,25.53,25.61,24.98,25.34,23259120
04-20-2011,25.48,26.01,25.19,25.63,25742464
04-21-2011,25.73,26.55,25.70,26.50,22110568
04-25-2011,26.55,26.71,25.96,26.66,18040964
04-26-2011,26.88,26.98,26.51,26.78,18322704
04-27-2011,26.95,27.22,26.78,27.21,17455116
04-28-2011,27.20,27.48,26.96,27.32,18464552
04-29-2011,27.39,27.90,27.32,27.48,16084105
05-02-2011,27.75,27.83,27.33,27.56,12863115
05-03-2011,27.73,28.43,27.71,28.25,34899472
05-04-2011,28.39,28.66,28.01,28.29,23932392
05-05-2011,27.45,27.98,26.96,27.42,31092276
05-06-2011,27.83,27.92,27.26,27.32,14951568
05-09-2011,27.18,27.46,26.85,26.88,12515011
05-10-2011,26.95,27.09,26.83,27.07,9159438
05-11-2011,27.03,27.28,26.64,26.80,10596418
05-12-2011,26.60,27.06,26.48,26.90,16502147
05-13-2011,26.94,27.01,26.42,26.60,12655880
05-16-2011,26.76,26.97,26.61,26.63,8516726
05-17-2011,26.60,26.87,26.40,26.63,13071002
05-18-2011,26.60,27.08,26.55,26.99,11621585
05-19-2011,27.00,27.22,26.81,26.95,11186939
05-20-2011,26.85,26.97,26.63,26.70,8437733
05-23-2011,26.27,26.68,26.12,26.51,10479982
05-24-2011,26.66,26.72,26.12,26.40,10252370
05-25-2011,26.17,26.87,26.12,26.78,16806698
05-26-2011,26.61,26.63,26.13,26.27,14301163
05-27-2011,26.35,26.96,26.19,26.78,10643799
05-31-2011,26.92,27.29,26.66,27.24,26788684
06-01-2011,27.14,27.14,25.82,25.89,22345584
06-02-2011,25.97,26.17,25.18,25.35,26212548
06-03-2011,25.07,25.31,24.75,24.94,25655252
06-06-2011,24.85,25.18,24.45,24.46,15667261
06-07-2011,24.74,24.87,24.31,24.64,17839564
06-08-2011,24.42,25.12,24.32,24.71,19308846
06-09-2011,25.00,25.33,24.76,25.22,15874951
06-10-2011,25.09,25.09,24.53,24.70,13703331
06-13-2011,24.75,24.90,24.22,24.48,11435156
06-14-2011,24.76,25.25,24.71,24.93,12785823
06-15-2011,24.64,24.93,24.52,24.79,13628427
06-16-2011,24.58,24.82,24.12,24.48,16442666
06-17-2011,24.60,24.88,24.46,24.83,19540582
06-20-2011,24.72,25.34,24.64,25.28,10554753
