Date,Open,High,Low,Close,Volume
01-02-1990,4.92,5.04,4.89,5.04,0
01-03-1990,5.01,5.01,4.94,4.95,0
01-04-1990,4.92,4.94,4.88,4.94,0
01-05-1990,4.92,4.95,4.92,4.95,0
01-08-1990,4.94,4.98,4.89,4.95,0
01-09-1990,4.96,4.96,4.74,4.82,0
01-10-1990,4.77,4.82,4.70,4.82,0
01-11-1990,4.81,4.92,4.81,4.86,0
01-12-1990,4.81,4.81,4.70,4.70,0
01-15-1990,4.67,4.70,4.66,4.69,0
01-16-1990,4.67,4.75,4.54,4.75,0
01-17-1990,4.71,4.71,4.55,4.63,0
01-18-1990,4.59,4.60,4.51,4.56,0
01-19-1990,4.57,4.58,4.54,4.54,0
01-22-1990,4.52,4.57,4.48,4.48,0
01-23-1990,4.49,4.58,4.49,4.58,0
01-24-1990,4.54,4.59,4.46,4.57,0
01-25-1990,4.59,4.59,4.49,4.50,0
01-26-1990,4.52,4.53,4.43,4.50,0
01-29-1990,4.48,4.49,4.42,4.48,0
01-30-1990,4.48,4.48,4.42,4.44,0
01-31-1990,4.47,4.50,4.45,4.50,0
02-01-1990,4.49,4.49,4.45,4.48,0
02-02-1990,4.49,4.52,4.46,4.50,0
02-05-1990,4.52,4.52,4.49,4.52,0
02-06-1990,4.49,4.54,4.49,4.54,0
02-07-1990,4.51,4.60,4.50,4.60,0
02-08-1990,4.59,4.69,4.59,4.66,0
02-09-1990,4.66,4.69,4.61,4.64,0
02-12-1990,4.63,4.63,4.54,4.56,0
02-13-1990,4.58,4.58,4.52,4.54,0
02-14-1990,4.56,4.57,4.51,4.56,0
02-15-1990,4.55,4.59,4.55,4.57,0
02-16-1990,4.58,4.58,4.48,4.52,0
02-20-1990,4.48,4.49,4.43,4.48,0
02-21-1990,4.43,4.48,4.41,4.48,0
02-22-1990,4.50,4.53,4.45,4.45,0
02-23-1990,4.45,4.47,4.42,4.44,0
02-26-1990,4.43,4.57,4.43,4.57,0
02-27-1990,4.57,4.60,4.52,4.52,0
02-28-1990,4.52,4.57,4.48,4.48,0
03-01-1990,4.51,4.53,4.47,4.50,0
03-02-1990,4.48,4.52,4.48,4.52,0
03-05-1990,4.51,4.52,4.42,4.46,0
03-06-1990,4.55,4.66,4.55,4.64,0
03-07-1990,4.63,4.69,4.57,4.57,0
03-08-1990,4.58,4.62,4.56,4.61,0
03-09-1990,4.62,4.67,4.60,4.65,0
03-12-1990,4.64,4.74,4.64,4.73,0
03-13-1990,4.74,4.74,4.67,4.71,0
03-14-1990,4.70,4.73,4.69,4.70,0
03-15-1990,4.72,4.81,4.70,4.76,0
03-16-1990,4.82,4.82,4.74,4.77,0
03-19-1990,4.74,4.79,4.68,4.79,0
03-20-1990,4.76,4.79,4.74,4.79,0
03-21-1990,4.78,4.79,4.75,4.76,0
03-22-1990,4.77,4.77,4.52,4.55,0
03-23-1990,4.58,4.63,4.54,4.58,0
03-26-1990,4.56,4.62,4.56,4.59,0
03-27-1990,4.61,4.70,4.61,4.70,0
03-28-1990,4.69,4.76,4.67,4.69,0
03-29-1990,4.68,4.68,4.62,4.65,0
03-30-1990,4.59,4.62,4.52,4.55,0
04-02-1990,4.51,4.58,4.49,4.58,0
04-03-1990,4.63,4.76,4.60,4.75,0
04-04-1990,4.74,4.74,4.63,4.65,0
04-05-1990,4.67,4.70,4.64,4.69,0
04-06-1990,4.68,4.68,4.62,4.67,0
04-09-1990,4.67,4.68,4.65,4.67,0
04-10-1990,4.65,4.76,4.64,4.73,0
04-11-1990,4.73,4.77,4.73,4.73,0
04-12-1990,4.75,4.79,4.73,4.76,0
04-16-1990,4.81,4.88,4.81,4.85,0
04-17-1990,4.81,4.88,4.78,4.87,0
04-18-1990,4.88,4.89,4.85,4.88,0
04-19-1990,4.85,4.88,4.79,4.79,0
04-20-1990,4.81,4.82,4.75,4.75,0
04-23-1990,4.76,4.83,4.74,4.82,0
04-24-1990,4.82,4.88,4.80,4.82,0
04-25-1990,4.83,4.85,4.79,4.82,0
04-26-1990,4.82,4.84,4.75,4.75,0
04-27-1990,4.78,4.81,4.70,4.70,0
04-30-1990,4.70,4.76,4.69,4.76,0
05-01-1990,4.79,4.85,4.78,4.85,0
05-02-1990,4.83,4.88,4.83,4.88,0
05-03-1990,4.88,4.93,4.87,4.91,0
