Date,Open,High,Low,Close,Volume
01-02-1990,10.24,10.24,10.08,10.19,0
01-03-1990,10.14,10.19,9.95,10.06,0
01-04-1990,10.06,10.06,9.79,9.87,0
01-05-1990,9.85,9.85,9.67,9.77,0
01-08-1990,9.74,10.01,9.72,9.96,0
01-09-1990,9.98,9.98,9.85,9.85,0
01-10-1990,9.88,9.88,9.61,9.77,0
01-11-1990,9.87,10.03,9.84,10.00,0
01-12-1990,9.98,9.98,9.75,9.77,0
01-15-1990,9.76,9.76,9.66,9.66,0
01-16-1990,9.40,9.64,9.38,9.61,0
01-17-1990,9.64,9.93,9.61,9.72,0
01-18-1990,9.66,9.79,9.61,9.72,0
01-19-1990,9.87,9.98,9.82,9.90,0
01-22-1990,9.93,10.01,9.59,9.61,0
01-23-1990,9.64,9.90,9.61,9.90,0
01-24-1990,9.67,9.77,9.56,9.74,0
01-25-1990,9.80,9.85,9.74,9.74,0
01-26-1990,9.72,9.83,9.69,9.80,0
01-29-1990,9.75,9.80,9.69,9.77,0
01-30-1990,9.77,9.80,9.64,9.74,0
01-31-1990,9.77,9.93,9.77,9.93,0
02-01-1990,9.90,9.95,9.82,9.87,0
02-02-1990,9.82,9.90,9.74,9.87,0
02-05-1990,9.90,9.90,9.74,9.74,0
02-06-1990,9.69,9.69,9.55,9.66,0
02-07-1990,9.64,9.80,9.56,9.77,0
02-08-1990,9.82,10.32,9.82,10.09,0
02-09-1990,10.24,10.55,10.19,10.19,0
02-12-1990,10.19,10.21,10.11,10.16,0
02-13-1990,10.16,10.16,9.95,9.97,0
02-14-1990,9.96,10.11,9.96,10.11,0
02-15-1990,10.11,10.45,10.11,10.45,0
02-16-1990,10.45,10.48,10.40,10.43,0
02-20-1990,10.37,10.56,10.24,10.56,0
02-21-1990,10.45,10.56,10.40,10.45,0
02-22-1990,10.45,10.45,10.16,10.19,0
02-23-1990,10.05,10.34,10.03,10.34,0
02-26-1990,10.32,10.48,10.30,10.45,0
02-27-1990,10.48,10.56,10.43,10.56,0
02-28-1990,10.53,10.66,10.53,10.56,0
03-01-1990,10.53,10.58,10.40,10.56,0
03-02-1990,10.53,10.61,10.53,10.56,0
03-05-1990,10.55,10.55,10.50,10.53,0
03-06-1990,10.56,10.61,10.43,10.61,0
03-07-1990,10.56,10.79,10.56,10.74,0
03-08-1990,10.72,10.74,10.32,10.45,0
03-09-1990,10.40,10.40,10.11,10.16,0
03-12-1990,10.13,10.21,10.08,10.16,0
03-13-1990,10.15,10.29,10.13,10.21,0
03-14-1990,10.13,10.23,10.13,10.23,0
03-15-1990,10.23,10.34,10.23,10.26,0
03-16-1990,10.36,10.36,10.28,10.31,0
03-19-1990,10.20,10.20,10.04,10.09,0
03-20-1990,10.05,10.05,9.86,9.86,0
03-21-1990,9.94,10.05,9.91,9.97,0
03-22-1990,9.94,10.02,9.70,9.84,0
03-23-1990,9.89,9.94,9.78,9.94,0
03-26-1990,9.91,9.99,9.91,9.97,0
03-27-1990,9.91,9.94,9.78,9.94,0
03-28-1990,9.99,10.10,9.96,9.99,0
03-29-1990,9.97,10.08,9.92,10.08,0
03-30-1990,10.07,10.10,9.99,10.02,0
04-02-1990,9.94,9.99,9.94,9.94,0
04-03-1990,9.97,10.05,9.97,10.05,0
04-04-1990,10.04,10.04,9.88,9.91,0
04-05-1990,9.91,9.93,9.83,9.88,0
04-06-1990,9.86,9.91,9.73,9.73,0
04-09-1990,9.67,9.75,9.52,9.57,0
04-10-1990,9.58,9.58,9.42,9.49,0
