Date,Open,High,Low,Close,Volume
01-02-1990,3.29,3.29,3.24,3.29,17746284
01-03-1990,3.29,3.29,3.23,3.24,19240968
01-04-1990,3.24,3.25,3.18,3.22,11627597
01-05-1990,3.22,3.26,3.19,3.20,12315618
01-08-1990,3.20,3.27,3.19,3.27,14923004
01-09-1990,3.27,3.28,3.22,3.24,11001253
01-10-1990,3.24,3.25,3.19,3.22,13145995
01-11-1990,3.22,3.25,3.21,3.22,9020216
01-12-1990,3.18,3.18,3.10,3.10,17691712
01-15-1990,3.10,3.11,3.05,3.05,11478129
01-16-1990,3.05,3.08,3.00,3.08,22735660
01-17-1990,3.08,3.08,3.04,3.06,13459174
01-18-1990,3.06,3.06,3.01,3.04,20130664
01-19-1990,3.05,3.07,3.05,3.06,15907598
01-22-1990,3.06,3.07,2.97,2.97,13696411
01-23-1990,2.97,3.01,2.93,2.99,15160257
01-24-1990,2.99,2.99,2.89,2.98,22778376
01-25-1990,2.98,2.99,2.87,2.90,16721367
01-26-1990,2.90,2.91,2.79,2.85,15224317
01-29-1990,2.85,2.89,2.81,2.88,10199336
01-30-1990,2.87,2.87,2.75,2.79,25511496
01-31-1990,2.81,2.90,2.81,2.90,18360768
02-01-1990,2.90,2.93,2.89,2.90,12676246
02-02-1990,2.90,2.97,2.89,2.92,13425957
02-05-1990,2.92,2.93,2.90,2.91,8657214
02-06-1990,2.91,2.92,2.89,2.90,10092571
02-07-1990,2.90,2.95,2.86,2.93,16173319
02-08-1990,2.93,2.96,2.90,2.92,12223098
02-09-1990,2.92,2.95,2.91,2.91,9452004
02-12-1990,2.91,2.91,2.87,2.89,11532692
02-13-1990,2.89,2.89,2.82,2.82,15936069
02-14-1990,2.82,2.86,2.82,2.83,10130537
02-15-1990,2.83,2.93,2.82,2.93,18078432
02-16-1990,2.93,2.95,2.89,2.89,26695378
02-20-1990,2.89,2.90,2.85,2.89,18427192
02-21-1990,2.89,2.91,2.85,2.89,13620500
02-22-1990,2.89,2.93,2.86,2.86,13323930
02-23-1990,2.86,2.90,2.85,2.87,11411702
02-26-1990,2.87,2.92,2.87,2.92,17369052
02-27-1990,2.92,2.95,2.92,2.95,12612184
02-28-1990,2.95,2.99,2.94,2.97,16353629
