Date,Open,High,Low,Close,Volume
01-02-1990,3.08,3.16,3.04,3.10,0
01-03-1990,3.08,3.10,2.98,3.00,0
01-04-1990,2.98,3.08,2.98,3.06,0
01-05-1990,3.06,3.06,2.98,3.04,0
01-08-1990,3.02,3.10,3.00,3.10,0
01-09-1990,3.10,3.10,3.02,3.02,0
01-10-1990,3.02,3.04,2.98,3.02,0
01-11-1990,3.04,3.08,3.04,3.04,0
01-12-1990,3.00,3.00,2.88,2.90,0
01-15-1990,2.84,2.84,2.75,2.77,0
01-16-1990,2.75,2.88,2.69,2.88,0
01-17-1990,2.84,2.87,2.81,2.83,0
01-18-1990,2.83,2.88,2.81,2.87,0
01-19-1990,2.87,3.00,2.84,2.84,0
01-22-1990,2.87,2.87,2.81,2.81,0
01-23-1990,2.83,2.83,2.73,2.75,0
01-24-1990,2.71,2.75,2.57,2.73,0
01-25-1990,2.73,2.75,2.67,2.71,0
01-26-1990,2.73,2.77,2.71,2.73,0
01-29-1990,2.75,2.77,2.73,2.75,0
01-30-1990,2.75,2.75,2.65,2.65,0
01-31-1990,2.67,2.71,2.65,2.69,0
02-01-1990,2.69,2.71,2.65,2.69,0
02-02-1990,2.69,2.75,2.67,2.73,0
02-05-1990,2.71,2.77,2.69,2.73,0
02-06-1990,2.71,2.73,2.69,2.71,0
02-07-1990,2.69,2.96,2.67,2.96,0
02-08-1990,2.94,2.96,2.88,2.88,0
02-09-1990,2.88,2.98,2.88,2.96,0
02-12-1990,2.96,3.06,2.94,3.04,0
02-13-1990,2.98,3.00,2.90,2.92,0
02-14-1990,2.90,2.96,2.87,2.92,0
02-15-1990,2.92,3.02,2.92,2.96,0
02-16-1990,3.00,3.02,2.92,2.92,0
02-20-1990,2.88,2.90,2.87,2.88,0
02-21-1990,2.81,2.87,2.81,2.84,0
02-22-1990,2.84,2.88,2.77,2.81,0
02-23-1990,2.75,2.83,2.75,2.77,0
02-26-1990,2.77,2.81,2.75,2.77,0
02-27-1990,2.77,2.84,2.75,2.84,0
02-28-1990,2.84,2.84,2.77,2.79,0
03-01-1990,2.77,2.81,2.75,2.81,0
03-02-1990,2.81,2.84,2.81,2.83,0
03-05-1990,2.81,2.83,2.79,2.81,0
03-06-1990,2.83,2.88,2.81,2.88,0
03-07-1990,2.87,2.90,2.84,2.84,0
03-08-1990,2.84,2.88,2.83,2.87,0
03-09-1990,2.84,2.90,2.84,2.90,0
03-12-1990,2.90,2.96,2.87,2.96,0
03-13-1990,2.92,2.94,2.88,2.90,0
03-14-1990,2.90,2.96,2.90,2.96,0
03-15-1990,2.96,3.04,2.96,3.04,0
03-16-1990,3.04,3.16,3.00,3.16,0
03-19-1990,3.12,3.25,3.06,3.25,0
03-20-1990,3.25,3.39,3.21,3.31,0
03-21-1990,3.31,3.33,3.29,3.31,0
03-22-1990,3.29,3.29,3.12,3.18,0
03-23-1990,3.20,3.20,3.10,3.10,0
03-26-1990,3.14,3.18,3.12,3.14,0
03-27-1990,3.12,3.14,3.08,3.12,0
03-28-1990,3.16,3.25,3.14,3.25,0
03-29-1990,3.25,3.29,3.24,3.27,0
03-30-1990,3.27,3.29,3.25,3.27,0
04-02-1990,3.29,3.29,3.12,3.24,0
04-03-1990,3.21,3.41,3.20,3.41,0
04-04-1990,3.39,3.49,3.39,3.45,0
04-05-1990,3.45,3.51,3.43,3.45,0
04-06-1990,3.45,3.49,3.41,3.43,0
04-09-1990,3.45,3.45,3.43,3.43,0
04-10-1990,3.45,3.45,3.35,3.35,0
04-11-1990,3.35,3.49,3.33,3.45,0
04-12-1990,3.43,3.47,3.41,3.43,0
04-16-1990,3.43,3.45,3.43,3.43,0
04-17-1990,3.41,3.45,3.39,3.43,0
04-18-1990,3.51,3.53,3.47,3.49,0
04-19-1990,3.43,3.55,3.43,3.49,0
04-20-1990,3.51,3.53,3.41,3.41,0
04-23-1990,3.41,3.41,3.35,3.35,0
04-24-1990,3.35,3.41,3.35,3.37,0
04-25-1990,3.37,3.37,3.25,3.25,0
04-26-1990,3.25,3.25,3.20,3.24,0
04-27-1990,3.21,3.24,2.96,3.06,0
04-30-1990,3.06,3.20,3.06,3.18,0
05-01-1990,3.25,3.45,3.21,3.33,0
05-02-1990,3.31,3.43,3.31,3.43,0
05-03-1990,3.43,3.49,3.41,3.49,0
05-04-1990,3.49,3.62,3.43,3.62,0
05-07-1990,3.61,3.64,3.59,3.62,0
05-08-1990,3.61,3.70,3.61,3.66,0
05-09-1990,3.76,3.82,3.70,3.74,0
05-10-1990,3.74,3.78,3.68,3.68,0
05-11-1990,3.74,3.92,3.72,3.88,0
05-14-1990,3.90,3.92,3.86,3.90,0
05-15-1990,3.88,3.94,3.86,3.88,0
05-16-1990,3.86,3.90,3.84,3.88,0
05-17-1990,3.82,3.84,3.80,3.82,0
05-18-1990,3.82,3.84,3.76,3.84,0
05-21-1990,3.84,3.99,3.82,3.99,0
05-22-1990,3.99,4.07,3.98,4.05,0
05-23-1990,4.07,4.11,3.99,4.01,0
05-24-1990,4.05,4.05,3.94,3.94,0
05-25-1990,3.92,3.92,3.84,3.86,0
05-29-1990,3.86,3.94,3.86,3.90,0
05-30-1990,4.05,4.05,3.86,3.86,0
05-31-1990,3.82,3.86,3.78,3.80,0
06-01-1990,3.82,3.94,3.82,3.94,0
06-04-1990,3.92,4.05,3.92,4.03,0
06-05-1990,4.09,4.09,3.98,4.03,0
06-06-1990,4.01,4.03,3.98,3.98,0
06-07-1990,3.98,4.01,3.88,3.90,0
06-08-1990,3.92,3.92,3.76,3.80,0
06-11-1990,3.77,3.90,3.73,3.84,0
06-12-1990,3.90,4.02,3.86,3.98,0
06-13-1990,4.06,4.12,3.98,4.08,0
06-14-1990,4.04,4.04,3.92,3.94,0
06-15-1990,3.90,3.92,3.78,3.78,0
06-18-1990,3.78,3.86,3.67,3.67,0
06-19-1990,3.75,3.81,3.67,3.81,0
06-20-1990,3.81,3.82,3.63,3.63,0
06-21-1990,3.67,3.86,3.67,3.82,0
06-22-1990,3.84,3.92,3.82,3.82,0
06-25-1990,3.86,3.88,3.82,3.82,0
06-26-1990,3.81,3.86,3.77,3.78,0
06-27-1990,3.78,3.81,3.75,3.75,0
06-28-1990,3.78,3.94,3.77,3.94,0
06-29-1990,3.94,3.96,3.73,3.81,0
07-02-1990,3.81,3.84,3.43,3.45,0
07-03-1990,3.37,3.61,3.37,3.51,0
07-05-1990,3.53,3.55,3.45,3.47,0
07-06-1990,3.47,3.53,3.45,3.51,0
07-09-1990,3.53,3.65,3.53,3.59,0
07-10-1990,3.55,3.55,3.41,3.41,0
07-11-1990,3.36,3.40,3.28,3.36,0
07-12-1990,3.43,3.59,3.43,3.59,0
07-13-1990,3.59,3.59,3.26,3.26,0
07-16-1990,3.32,3.55,3.32,3.55,0
07-17-1990,3.59,3.63,3.51,3.51,0
07-18-1990,3.47,3.47,3.32,3.40,0
07-19-1990,3.36,3.47,3.30,3.45,0
07-20-1990,3.47,3.49,3.28,3.28,0
07-23-1990,3.32,3.32,3.18,3.30,0
07-24-1990,3.30,3.32,3.18,3.30,0
07-25-1990,3.26,3.37,3.26,3.36,0
07-26-1990,3.36,3.45,3.32,3.43,0
07-27-1990,3.45,3.49,3.40,3.43,0
07-30-1990,3.41,3.43,3.30,3.30,0
07-31-1990,3.32,3.34,3.16,3.24,0
08-01-1990,3.24,3.37,3.24,3.32,0
08-02-1990,3.24,3.26,3.12,3.14,0
08-03-1990,3.12,3.12,2.67,2.81,0
08-06-1990,2.69,2.79,2.44,2.44,0
08-07-1990,2.52,2.58,2.44,2.58,0
08-08-1990,2.61,2.83,2.61,2.79,0
08-09-1990,2.81,2.97,2.81,2.93,0
08-10-1990,2.89,2.93,2.73,2.77,0
08-13-1990,2.67,2.75,2.63,2.71,0
08-14-1990,2.73,2.83,2.71,2.81,0
08-15-1990,2.89,2.93,2.83,2.83,0
08-16-1990,2.77,2.87,2.71,2.71,0
08-17-1990,2.71,2.73,2.60,2.67,0
08-20-1990,2.65,2.75,2.65,2.71,0
08-21-1990,2.67,2.67,2.56,2.58,0
08-22-1990,2.61,2.67,2.54,2.56,0
08-23-1990,2.46,2.56,2.42,2.46,0
08-24-1990,2.54,2.58,2.48,2.56,0
08-27-1990,2.69,2.81,2.67,2.77,0
