Date,Open,High,Low,Close,Volume
01-03-1994,18.87,18.87,18.51,18.66,136197
01-04-1994,18.61,18.66,18.30,18.35,1141324
01-05-1994,18.30,18.30,17.72,18.03,1121656
01-06-1994,18.03,18.24,18.03,18.14,862645
01-07-1994,18.09,18.09,17.82,17.88,249877
01-10-1994,17.88,18.61,17.88,18.56,748004
01-11-1994,18.51,18.51,18.24,18.51,507934
01-12-1994,18.61,19.07,18.45,19.07,697637
01-13-1994,19.39,20.12,19.28,19.75,1637775
01-14-1994,19.70,19.70,19.49,19.54,460206
01-17-1994,19.54,20.07,19.49,19.91,797168
01-18-1994,20.23,20.54,19.49,19.54,1656955
01-19-1994,19.60,19.60,19.23,19.23,271939
01-20-1994,19.18,19.23,19.07,19.07,373867
01-21-1994,19.02,19.02,18.66,18.72,164260
01-24-1994,18.72,18.72,18.30,18.35,930753
01-25-1994,18.35,18.40,18.03,18.24,791649
01-26-1994,18.24,18.61,18.24,18.35,853288
01-27-1994,18.35,18.35,18.03,18.30,360199
01-28-1994,18.19,18.24,18.14,18.19,115573
01-31-1994,18.19,18.19,17.93,18.19,652073
02-01-1994,18.35,19.13,18.35,19.13,1089765
02-02-1994,18.76,18.87,18.56,18.76,392576
02-03-1994,19.02,19.07,18.66,18.66,270267
02-04-1994,18.72,18.82,18.14,18.19,518724
02-07-1994,18.14,18.56,18.03,18.40,575326
02-08-1994,18.40,18.51,18.19,18.30,338374
02-09-1994,18.24,18.40,18.24,18.24,605786
02-10-1994,18.24,18.45,18.14,18.45,444137
02-11-1994,18.40,19.39,18.40,19.23,848975
02-14-1994,19.18,19.70,19.18,19.60,916847
02-15-1994,19.60,19.60,19.44,19.60,801247
02-16-1994,19.70,20.33,19.70,20.02,384901
02-17-1994,20.02,20.02,19.81,19.86,675339
02-18-1994,19.96,20.07,19.75,19.91,414640
02-22-1994,19.91,20.07,19.91,20.02,566695
02-23-1994,19.86,20.02,19.86,19.91,354682
02-24-1994,19.54,19.54,18.56,18.56,903893
02-25-1994,18.61,19.07,18.61,18.66,235492
02-28-1994,18.72,19.18,18.72,19.18,274102
03-01-1994,18.56,18.76,18.09,18.14,912527
03-02-1994,17.82,17.82,17.09,17.72,512970
03-03-1994,17.82,17.88,17.61,17.67,319429
03-04-1994,17.56,17.61,17.30,17.56,288488
03-07-1994,17.51,17.77,17.51,17.67,258271
03-08-1994,17.61,17.67,17.46,17.46,230694
03-09-1994,17.35,17.35,17.09,17.09,161625
03-10-1994,17.20,17.35,17.20,17.30,127325
03-11-1994,17.20,17.35,17.15,17.30,62331
03-14-1994,17.20,17.77,17.20,17.67,440065
03-15-1994,18.03,18.30,17.93,18.09,424473
03-16-1994,18.14,18.45,18.09,18.35,451333
03-17-1994,18.45,18.76,18.30,18.76,237885
03-18-1994,18.76,18.76,18.56,18.61,146274
03-21-1994,18.66,18.72,18.30,18.35,376989
03-22-1994,18.35,18.45,18.19,18.30,87270
03-23-1994,17.77,17.77,17.20,17.20,963370
03-24-1994,17.15,17.15,16.11,16.21,1511379
03-25-1994,16.32,16.47,16.21,16.37,573649
03-28-1994,16.68,16.84,16.47,16.73,857365
03-29-1994,16.73,16.84,16.52,16.63,637921
03-30-1994,16.63,16.63,16.21,16.21,497143
03-31-1994,16.16,16.47,16.05,16.47,229256
04-04-1994,16.11,16.16,15.95,15.95,376269
