Date,Open,High,Low,Close,Volume
01-02-1992,11.64,11.64,11.32,11.48,967801
01-03-1992,11.48,11.56,11.40,11.52,866695
01-06-1992,11.52,11.60,11.36,11.40,668604
01-07-1992,11.36,11.48,11.28,11.44,791024
01-08-1992,11.36,11.40,11.24,11.28,902298
01-09-1992,11.40,11.52,11.13,11.28,658113
01-10-1992,11.28,11.32,11.01,11.05,876549
01-13-1992,11.01,11.05,10.89,10.97,1288926
01-14-1992,11.01,11.09,10.93,11.09,1001497
01-15-1992,11.09,11.13,10.85,10.93,1255857
01-16-1992,10.85,10.97,10.81,10.93,960801
01-17-1992,10.93,10.97,10.73,10.77,1135679
01-20-1992,10.77,10.89,10.69,10.85,835533
01-21-1992,10.85,10.89,10.77,10.89,1657747
01-22-1992,10.89,11.01,10.89,11.01,1059053
01-23-1992,10.97,11.01,10.85,10.89,1100700
01-24-1992,10.93,10.97,10.85,10.97,684814
01-27-1992,10.93,10.93,10.77,10.93,961437
01-28-1992,10.93,10.97,10.85,10.97,733788
01-29-1992,10.93,10.97,10.81,10.85,811687
01-30-1992,10.85,10.93,10.81,10.93,652076
01-31-1992,10.93,10.93,10.77,10.81,591345
02-03-1992,10.85,10.89,10.69,10.77,751911
02-04-1992,10.77,10.89,10.73,10.89,688002
02-05-1992,10.85,10.89,10.77,10.77,577038
02-06-1992,10.85,10.85,10.69,10.73,3777829
02-07-1992,10.73,10.81,10.69,10.69,930594
02-10-1992,10.69,10.89,10.61,10.89,701996
02-11-1992,10.89,11.01,10.89,11.01,454311
02-12-1992,10.97,11.01,10.85,10.97,657162
02-13-1992,10.97,10.97,10.73,10.81,848883
02-14-1992,10.73,10.81,10.69,10.81,876234
02-18-1992,10.77,10.81,10.69,10.73,1150298
02-19-1992,10.73,10.77,10.69,10.77,1823395
02-20-1992,10.77,10.85,10.73,10.73,977335
02-21-1992,10.73,10.77,10.58,10.73,1965206
02-24-1992,10.46,10.54,10.42,10.46,1340120
02-25-1992,10.42,10.50,10.34,10.50,1791927
02-26-1992,10.50,10.73,10.46,10.73,948083
02-27-1992,10.73,10.73,10.58,10.69,611057
02-28-1992,10.65,10.69,10.54,10.61,794837
03-02-1992,10.61,10.61,10.50,10.50,693728
03-03-1992,10.54,10.54,10.46,10.46,993232
03-04-1992,10.42,10.50,10.38,10.38,1190040
03-05-1992,10.38,10.42,10.34,10.42,674969
03-06-1992,10.42,10.50,10.34,10.42,701039
03-09-1992,10.42,10.50,10.42,10.50,581805
03-10-1992,10.50,10.58,10.39,10.50,1136629
03-11-1992,10.50,10.54,10.46,10.50,755091
03-12-1992,10.58,10.58,10.46,10.50,538251
03-13-1992,10.54,10.54,10.42,10.50,571951
03-16-1992,10.42,10.58,10.38,10.50,1844384
03-17-1992,10.54,10.58,10.46,10.50,1189726
03-18-1992,10.50,10.50,10.42,10.50,724569
03-19-1992,10.54,10.54,10.42,10.46,935051
03-20-1992,10.50,10.54,10.42,10.46,2049464
03-23-1992,10.46,10.46,10.38,10.42,987191
03-24-1992,10.46,10.50,10.42,10.46,662885
03-25-1992,10.46,10.61,10.46,10.46,669560
03-26-1992,10.54,10.54,10.46,10.54,587526
03-27-1992,10.50,10.54,10.50,10.50,468300
03-30-1992,10.54,10.54,10.42,10.46,715029
03-31-1992,10.42,10.54,10.42,10.50,1118823
04-01-1992,10.42,10.46,10.38,10.46,987191
04-02-1992,10.46,10.50,10.38,10.38,704544
04-03-1992,10.42,10.54,10.42,10.50,557641
04-06-1992,10.50,10.54,10.46,10.54,440958
04-07-1992,10.50,10.58,10.34,10.42,1462844
04-08-1992,10.34,10.42,10.06,10.34,1202759
04-09-1992,10.38,10.54,10.38,10.46,854292
