Date,Open,High,Low,Close,Volume
11-17-1995,3.75,3.81,3.75,3.78,12706000
11-20-1995,3.75,3.78,3.75,3.75,1213200
11-21-1995,3.75,3.78,3.75,3.75,909600
11-22-1995,3.75,3.78,3.75,3.75,1314800
11-24-1995,3.75,3.78,3.75,3.75,275200
11-27-1995,3.75,3.78,3.75,3.75,1011600
11-28-1995,3.63,3.63,3.31,3.53,3952000
11-29-1995,3.50,3.56,3.34,3.44,708400
11-30-1995,3.44,3.75,3.41,3.69,1346000
12-01-1995,3.69,3.69,3.53,3.56,790800
12-04-1995,3.53,3.75,3.50,3.72,548000
12-05-1995,3.75,3.78,3.69,3.75,892800
12-06-1995,3.78,3.91,3.78,3.81,521200
12-07-1995,3.81,3.81,3.72,3.72,217600
12-08-1995,3.69,3.78,3.59,3.75,265200
12-11-1995,3.75,3.78,3.72,3.75,392400
12-12-1995,3.78,3.84,3.72,3.78,1363200
12-13-1995,3.91,4.09,3.84,4.03,1664000
12-14-1995,4.06,4.22,4.06,4.19,1551600
12-15-1995,4.19,4.31,4.16,4.25,902800
12-18-1995,4.25,4.28,3.97,4.16,646400
12-19-1995,4.13,4.13,4.00,4.13,324400
12-20-1995,4.13,4.25,4.13,4.16,274000
12-21-1995,4.28,4.50,4.22,4.38,660000
12-22-1995,4.41,4.50,4.38,4.41,422800
12-26-1995,4.44,4.50,4.41,4.41,156800
12-27-1995,4.44,4.53,4.38,4.50,230400
12-28-1995,4.50,4.50,4.44,4.47,213200
12-29-1995,4.50,4.56,4.44,4.56,179600
01-02-1996,4.50,4.53,4.28,4.34,456800
01-03-1996,4.28,4.41,4.19,4.41,147600
01-04-1996,4.47,4.69,4.47,4.56,385200
01-05-1996,4.50,4.81,4.50,4.69,620800
01-08-1996,4.66,4.81,4.66,4.78,67600
01-09-1996,4.75,4.75,4.72,4.72,192400
01-10-1996,4.72,4.75,4.59,4.59,305600
01-11-1996,4.63,4.66,4.56,4.56,369200
01-12-1996,4.59,4.59,4.25,4.38,232000
01-15-1996,4.38,4.56,4.38,4.50,158000
