Date,Open,High,Low,Close,Volume
01-02-1990,16.52,16.71,16.14,16.14,0
01-03-1990,16.27,16.52,16.21,16.21,0
01-04-1990,16.33,16.46,16.08,16.39,0
01-05-1990,16.33,16.33,15.89,15.89,0
01-08-1990,16.02,16.21,16.02,16.14,0
01-09-1990,16.21,16.33,16.14,16.14,0
01-10-1990,16.21,16.27,15.95,16.21,0
01-11-1990,16.26,16.76,16.26,16.76,0
01-12-1990,16.26,16.39,15.76,15.76,0
01-15-1990,15.82,15.95,15.70,15.89,0
01-16-1990,15.77,16.02,15.64,15.83,0
01-17-1990,15.77,15.77,15.27,15.39,0
01-18-1990,14.89,15.45,14.89,15.45,0
01-19-1990,15.52,15.58,15.20,15.20,0
01-22-1990,15.20,15.27,14.89,14.95,0
01-23-1990,15.02,15.39,15.02,15.39,0
01-24-1990,15.14,15.77,14.89,15.70,0
01-25-1990,15.77,15.77,15.27,15.65,0
01-26-1990,15.64,15.64,15.02,15.14,0
01-29-1990,15.14,15.20,14.89,15.02,0
01-30-1990,14.95,15.14,14.89,15.14,0
01-31-1990,15.14,15.39,15.14,15.27,0
02-01-1990,15.20,15.20,14.89,14.95,0
02-02-1990,15.08,15.33,15.02,15.27,0
02-05-1990,15.27,15.39,15.14,15.20,0
02-06-1990,15.14,15.33,15.14,15.20,0
02-07-1990,15.21,15.65,15.15,15.65,0
02-08-1990,15.52,15.71,15.39,15.52,0
02-09-1990,15.57,15.64,15.45,15.57,0
02-12-1990,15.39,15.65,15.39,15.52,0
02-13-1990,15.45,15.65,15.39,15.52,0
02-14-1990,15.64,15.70,15.51,15.57,0
02-15-1990,15.52,15.95,15.52,15.95,0
02-16-1990,15.95,15.95,15.57,15.57,0
02-20-1990,15.45,15.45,15.20,15.45,0
02-21-1990,15.20,16.02,15.20,15.95,0
02-22-1990,15.95,16.14,15.95,16.02,0
02-23-1990,15.83,16.15,15.65,15.65,0
02-26-1990,15.53,15.78,15.46,15.78,0
02-27-1990,15.66,15.97,15.66,15.97,0
02-28-1990,15.91,16.03,15.84,16.03,0
03-01-1990,16.03,16.67,15.91,16.54,0
03-02-1990,16.48,16.79,16.48,16.73,0
03-05-1990,16.66,16.66,16.41,16.48,0
03-06-1990,16.29,16.54,16.29,16.54,0
03-07-1990,16.48,16.60,16.48,16.48,0
03-08-1990,16.48,16.67,16.48,16.67,0
03-09-1990,16.79,16.79,16.54,16.73,0
03-12-1990,16.60,16.60,16.48,16.54,0
03-13-1990,16.48,16.67,16.41,16.67,0
03-14-1990,16.67,16.86,16.67,16.79,0
03-15-1990,16.86,16.86,16.60,16.67,0
03-16-1990,16.73,16.85,16.66,16.85,0
03-19-1990,16.67,16.79,16.67,16.67,0
03-20-1990,16.67,16.79,16.16,16.29,0
03-21-1990,16.23,16.29,16.03,16.03,0
03-22-1990,15.91,15.91,14.96,15.66,0
03-23-1990,15.53,15.53,15.03,15.21,0
03-26-1990,15.34,15.47,15.28,15.34,0
03-27-1990,15.40,15.53,15.21,15.53,0
03-28-1990,15.53,15.53,15.21,15.40,0
03-29-1990,15.34,15.46,15.34,15.40,0
03-30-1990,15.41,15.47,15.34,15.47,0
04-02-1990,15.08,15.15,15.02,15.15,0
04-03-1990,15.02,15.15,14.96,15.15,0
04-04-1990,15.09,15.21,15.03,15.21,0
04-05-1990,15.21,15.21,14.27,14.52,0
04-06-1990,14.65,14.65,14.14,14.52,0
04-09-1990,14.52,14.83,14.52,14.77,0
04-10-1990,14.77,14.77,14.71,14.77,0
04-11-1990,14.77,14.77,14.71,14.77,0
04-12-1990,14.90,15.28,14.90,15.15,0
04-16-1990,15.15,15.41,14.90,14.96,0
04-17-1990,14.65,15.09,14.65,14.96,0
04-18-1990,15.08,15.08,14.90,14.90,0
04-19-1990,14.90,14.96,14.71,14.90,0
04-20-1990,14.90,14.90,14.08,14.08,0
04-23-1990,14.07,14.52,14.01,14.27,0
04-24-1990,14.33,14.33,13.76,14.01,0
04-25-1990,14.01,14.14,13.95,14.01,0
04-26-1990,14.08,14.33,14.02,14.20,0
04-27-1990,14.20,14.27,14.02,14.20,0
04-30-1990,14.20,14.20,14.02,14.20,0
05-01-1990,14.07,14.20,14.07,14.14,0
05-02-1990,14.20,14.20,13.95,14.08,0
05-03-1990,14.07,14.14,13.70,13.76,0
05-04-1990,13.89,13.89,13.70,13.82,0
05-07-1990,13.82,13.89,13.70,13.89,0
05-08-1990,13.95,14.01,13.82,13.89,0
05-09-1990,13.89,13.95,13.64,13.76,0
05-10-1990,13.89,13.89,13.70,13.76,0
05-11-1990,13.89,13.95,13.70,13.89,0
05-14-1990,13.95,13.95,13.70,13.70,0
05-15-1990,13.76,14.08,13.76,13.95,0
05-16-1990,13.96,14.41,13.96,14.21,0
05-17-1990,14.28,14.47,14.28,14.41,0
05-18-1990,14.34,14.54,14.28,14.54,0
05-21-1990,14.47,14.73,14.35,14.47,0
05-22-1990,14.54,14.73,14.54,14.54,0
05-23-1990,14.54,14.73,14.41,14.47,0
05-24-1990,14.54,14.85,14.41,14.85,0
05-25-1990,14.79,14.85,14.79,14.79,0
05-29-1990,14.79,15.10,14.79,14.92,0
05-30-1990,14.98,15.11,14.92,15.05,0
05-31-1990,15.11,15.31,15.05,15.18,0
06-01-1990,15.18,15.43,14.99,15.24,0
06-04-1990,15.24,15.56,15.24,15.49,0
06-05-1990,15.36,15.49,15.30,15.43,0
06-06-1990,15.31,15.37,15.05,15.05,0
06-07-1990,15.05,15.11,14.79,14.85,0
06-08-1990,14.85,14.98,14.79,14.92,0
06-11-1990,15.04,15.30,14.98,15.11,0
06-12-1990,15.05,15.49,15.05,15.37,0
06-13-1990,15.24,15.50,15.05,15.05,0
06-14-1990,15.05,15.11,14.86,15.05,0
06-15-1990,14.80,15.05,14.80,15.05,0
06-18-1990,15.05,15.05,14.66,14.66,0
06-19-1990,14.66,14.85,14.66,14.79,0
06-20-1990,14.92,14.98,14.79,14.92,0
06-21-1990,14.92,15.31,14.92,15.18,0
06-22-1990,15.18,15.30,14.73,14.73,0
06-25-1990,14.73,14.85,14.54,14.54,0
06-26-1990,14.53,14.66,14.02,14.21,0
06-27-1990,14.15,14.15,13.83,14.02,0
06-28-1990,14.08,14.21,13.96,14.02,0
06-29-1990,14.03,14.41,13.96,14.35,0
07-02-1990,14.34,14.41,14.02,14.02,0
07-03-1990,14.16,14.29,14.03,14.16,0
07-05-1990,14.03,14.35,13.96,14.28,0
07-06-1990,14.28,14.54,14.22,14.41,0
07-09-1990,14.66,14.66,14.47,14.66,0
07-10-1990,14.67,15.18,14.67,15.05,0
07-11-1990,15.17,15.17,14.73,14.85,0
07-12-1990,14.73,14.85,14.66,14.85,0
07-13-1990,14.79,14.79,14.54,14.60,0
07-16-1990,14.60,14.60,14.22,14.47,0
07-17-1990,14.41,14.66,14.41,14.66,0
07-18-1990,14.66,14.79,14.60,14.79,0
07-19-1990,14.79,14.79,14.60,14.66,0
07-20-1990,14.73,14.80,14.16,14.16,0
07-23-1990,14.21,14.21,13.64,13.90,0
07-24-1990,13.96,14.21,13.83,13.96,0
07-25-1990,14.02,14.21,13.90,14.09,0
07-26-1990,14.09,14.41,13.96,14.28,0
07-27-1990,14.41,14.41,13.90,14.09,0
07-30-1990,14.03,14.16,13.78,14.16,0
07-31-1990,14.03,14.03,13.77,13.83,0
08-01-1990,13.71,13.84,13.39,13.39,0
08-02-1990,13.26,13.32,12.62,12.94,0
08-03-1990,13.07,13.27,12.50,13.27,0
08-06-1990,13.07,13.07,12.56,12.81,0
08-07-1990,12.88,12.94,12.50,12.69,0
08-08-1990,12.63,12.88,12.63,12.63,0
08-09-1990,12.56,12.88,12.56,12.81,0
08-10-1990,12.94,12.94,12.69,12.69,0
08-13-1990,12.69,13.64,12.62,13.64,0
08-14-1990,13.58,13.65,13.33,13.39,0
08-15-1990,13.32,13.45,13.19,13.19,0
08-16-1990,13.01,13.07,12.63,12.69,0
08-17-1990,12.17,12.24,11.73,12.17,0
08-20-1990,12.17,12.17,11.92,11.98,0
08-21-1990,11.86,11.99,11.61,11.67,0
